# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	2.3	10.8
2	2.5	10.7
3	2.6	10.6
4	2.7	10.5
5	2.8	10.4
6	2.8	10.3
7	2.9	10.3
8	4.3	10.3
9	4.2	10.2
10	3.7	10.2
11	3.3	10.1
12	2.9	9.9
13	2.7	9.8
14	2.5	9.8
15	2.5	9.8
16	2.7	9.7
17	2.9	9.7
18	3.2	9.6
19	3.4	9.5
20	3.6	9.5
21	3.8	9.5
22	4.0	9.5
23	4.2	9.4
24	4.4	9.4
25	3.5	9.4
26	4.0	9.4
27	4.4	9.4
28	4.7	9.4
29	4.9	9.3
30	5.2	9.3
31	5.4	9.3
32	6.9	9.3
33	6.9	9.3
34	6.3	9.3
35	5.8	9.3
36	5.3	9.3
37	5.1	9.3
38	4.9	9.3
39	4.9	9.3
40	5.2	9.2
41	5.6	9.2
42	5.8	9.2
43	6.0	9.2
44	6.2	9.2
45	6.3	9.1
46	6.5	9.1
47	6.6	9.1
48	6.8	9.1
49	5.4	9.1
50	5.3	9.1
51	5.3	9.0
52	5.2	9.0
53	5.2	9.0
54	5.2	9.0
55	5.1	9.0
56	6.5	9.0
57	6.4	9.0
58	5.9	9.0
59	5.4	9.0
60	5.1	8.9
61	4.8	8.9
62	4.7	8.9
63	4.7	8.9
64	4.8	8.9
65	5.1	8.9
66	5.2	8.9
67	5.3	8.9
68	5.3	8.9
69	5.4	8.9
70	5.5	8.8
71	5.6	8.8
72	5.6	8.8
73	4.4	8.8
74	4.7	8.8
75	4.8	8.8
76	4.9	8.7
77	5.0	8.7
78	5.0	8.7
79	5.1	8.7
80	6.5	8.7
81	6.5	8.7
82	6.4	8.7
83	6.2	8.7
84	6.2	8.6
85	6.1	8.6
86	6.1	8.6
87	6.1	8.6
88	6.2	8.6
89	6.3	8.6
90	6.4	8.6
91	6.5	8.6
92	6.6	8.6
93	6.6	8.6
94	6.7	8.6
95	6.8	8.5
96	7.0	8.5
97	5.6	8.5
98	5.6	8.5
99	5.6	8.5
100	5.6	8.5
101	5.6	8.5
102	5.6	8.5
103	5.6	8.5
104	6.9	8.5
105	6.9	8.4
106	6.6	8.4
107	6.4	8.4
108	6.1	8.4
109	6.0	8.4
110	5.9	8.4
111	5.9	8.4
112	6.0	8.4
113	6.1	8.4
114	6.2	8.4
115	6.3	8.4
116	6.4	8.4
117	6.5	8.4
118	6.7	8.4
119	6.7	8.4
120	6.9	8.3
121	5.6	8.3
122	5.8	8.3
123	6.0	8.3
124	6.1	8.3
125	6.1	8.3
126	6.2	8.3
127	6.3	8.3
128	7.7	8.3
129	7.7	8.3
130	7.5	8.3
131	7.3	8.3
132	7.2	8.3
133	7.0	8.3
134	7.0	8.2
135	7.0	8.2
136	7.1	8.2
137	7.3	8.2
138	7.3	8.2
139	7.4	8.2
140	7.5	8.2
141	7.6	8.2
142	7.7	8.2
143	7.8	8.2
144	7.9	8.2
145	6.5	8.2
146	6.5	8.2
147	6.5	8.1
148	6.5	8.1
149	6.5	8.1
150	6.5	8.1
151	6.5	8.1
152	7.9	8.1
153	7.8	8.1
154	7.2	8.1
155	6.6	8.1
156	6.1	8.1
157	5.7	8.1
158	5.5	8.1
159	5.5	8.1
160	5.8	8.1
161	6.2	8.1
162	6.3	8.1
163	6.4	8.1
164	6.5	8.1
165	6.6	8.1
166	6.7	8.1
167	6.8	8.1
168	6.9	8.1
169	5.7	8.1
170	5.9	8.1
171	6.1	8.1
172	6.2	8.0
173	6.3	8.0
174	6.4	8.0
175	6.4	8.0
176	7.9	8.0
177	7.9	8.0
178	7.6	8.0
179	7.5	8.0
180	7.6	8.0
181	7.6	8.0
182	7.3	8.0
183	7.1	8.0
184	7.1	8.0
185	7.3	8.0
186	7.4	8.0
187	7.5	8.0
188	7.6	8.0
189	7.8	8.0
190	7.9	8.0
191	8.0	8.0
192	8.1	8.0
193	6.8	8.0
194	6.9	8.0
195	7.0	7.9
196	7.0	7.9
197	7.0	7.9
198	7.1	7.9
199	7.2	7.9
200	8.5	7.9
201	8.5	7.9
202	8.2	7.9
203	8.0	7.9
204	7.8	7.9
205	7.6	7.9
206	7.6	7.9
207	7.6	7.9
208	7.7	7.9
209	7.9	7.9
210	7.9	7.9
211	7.9	7.9
212	8.0	7.9
213	8.0	7.9
214	8.0	7.9
215	8.1	7.9
216	8.1	7.9
217	6.8	7.9
218	6.8	7.9
219	6.8	7.9
220	6.8	7.9
221	6.8	7.9
222	6.8	7.9
223	6.8	7.8
224	8.2	7.8
225	8.1	7.8
226	7.9	7.8
227	7.6	7.8
228	7.4	7.8
229	7.3	7.8
230	7.2	7.8
231	7.2	7.8
232	7.3	7.8
233	7.4	7.8
234	7.5	7.8
235	7.6	7.8
236	7.7	7.8
237	7.6	7.8
238	7.7	7.8
239	7.7	7.8
240	7.7	7.8
241	6.4	7.8
242	6.5	7.8
243	6.5	7.8
244	6.5	7.8
245	6.5	7.8
246	6.5	7.8
247	6.5	7.8
248	7.9	7.7
249	7.9	7.7
250	7.4	7.7
251	6.9	7.7
252	6.5	7.7
253	6.3	7.7
254	6.1	7.7
255	6.1	7.7
256	6.2	7.7
257	6.5	7.7
258	6.7	7.7
259	6.9	7.7
260	7.0	7.7
261	7.3	7.7
262	7.5	7.7
263	7.7	7.7
264	7.8	7.7
265	6.8	7.7
266	7.3	7.7
267	7.8	7.7
268	8.0	7.7
269	8.3	7.7
