# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.2	57.4
2	13.1	57.1
3	14.0	56.5
4	14.4	56.0
5	14.8	55.6
6	15.1	55.1
7	15.3	55.1
8	22.8	54.9
9	22.4	54.5
10	19.9	54.2
11	17.5	53.6
12	15.5	52.5
13	14.2	52.3
14	13.5	52.2
15	13.5	52.1
16	14.4	52.0
17	15.7	51.6
18	17.0	51.1
19	18.1	51.1
20	19.1	50.7
21	20.2	50.7
22	21.3	50.6
23	22.6	50.6
24	23.7	50.6
25	18.6	50.5
26	21.2	50.1
27	23.5	50.1
28	25.0	50.0
29	26.3	50.0
30	27.7	49.8
31	28.6	49.8
32	37.0	49.8
33	37.0	49.8
34	33.7	49.6
35	31.0	49.4
36	28.4	49.4
37	27.0	49.4
38	26.3	49.4
39	26.3	49.4
40	27.7	49.3
41	30.1	49.2
42	31.0	49.0
43	31.9	49.0
44	32.8	48.9
45	33.5	48.6
46	34.5	48.6
47	35.4	48.6
48	36.3	48.5
49	28.8	48.5
50	28.4	48.4
51	28.1	48.4
52	27.9	48.3
53	27.7	48.3
54	27.5	48.0
55	27.3	48.0
56	34.5	48.0
57	34.1	48.0
58	31.2	47.8
59	28.6	47.8
60	27.0	47.8
61	25.7	47.6
62	25.0	47.6
63	25.0	47.6
64	25.7	47.6
65	27.2	47.6
66	27.7	47.6
67	28.1	47.5
68	28.4	47.5
69	28.8	47.3
70	29.4	47.2
71	29.7	47.2
72	30.1	47.2
73	23.5	47.0
74	24.8	46.9
75	25.5	46.9
76	25.9	46.9
77	26.4	46.7
78	26.8	46.7
79	27.2	46.7
80	34.8	46.6
81	34.8	46.5
82	33.9	46.4
83	33.2	46.3
84	32.8	46.3
85	32.6	46.2
86	32.5	46.0
87	32.6	46.0
88	33.0	46.0
89	33.5	45.9
90	34.1	45.9
91	34.5	45.8
92	35.0	45.8
93	35.4	45.8
94	35.9	45.6
95	36.5	45.6
96	37.6	45.6
97	29.7	45.6
98	29.7	45.4
99	29.7	45.4
100	29.9	45.4
101	29.7	45.4
102	29.7	45.3
103	29.7	45.3
104	37.0	45.2
105	36.8	45.2
106	35.4	45.1
107	33.9	45.1
108	32.6	45.1
109	31.9	45.1
110	31.4	45.1
111	31.2	45.0
112	31.7	44.9
113	32.6	44.9
114	33.2	44.9
115	33.7	44.9
116	34.3	44.9
117	34.8	44.9
118	35.6	44.9
119	35.9	44.8
120	37.0	44.7
121	29.9	44.7
122	30.8	44.7
123	31.7	44.7
124	32.3	44.5
125	32.6	44.5
126	33.0	44.5
127	33.4	44.3
128	41.0	44.3
129	41.0	44.3
130	39.9	44.3
131	38.8	44.1
132	38.1	44.1
133	37.6	44.1
134	37.4	44.1
135	37.4	44.1
136	37.7	43.9
137	38.7	43.9
138	39.0	43.9
139	39.6	43.8
140	39.9	43.8
141	40.5	43.8
142	41.0	43.8
143	41.4	43.8
