# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	21.8	102.6
2	23.4	101.9
3	25.1	101.0
4	25.7	100.0
5	26.4	99.3
6	27.0	98.3
7	27.4	98.3
8	40.7	98.0
9	40.1	97.4
10	35.5	96.7
11	31.3	95.7
12	27.7	93.8
13	25.4	93.5
14	24.1	93.5
15	24.1	93.1
16	25.7	92.8
17	28.0	92.2
18	30.3	91.5
19	32.2	91.2
20	34.2	90.5
21	36.1	90.5
22	38.1	90.5
23	40.4	90.5
24	42.3	90.5
25	33.2	90.2
26	37.8	89.6
27	42.0	89.6
28	44.6	89.6
29	46.9	89.2
30	49.5	89.2
31	51.1	88.9
32	66.1	88.9
33	66.1	88.9
34	60.2	88.6
35	55.4	88.3
36	50.8	88.3
37	48.2	88.3
38	46.9	88.3
39	46.9	88.3
40	49.5	88.2
41	53.7	87.9
42	55.4	87.9
43	57.0	87.6
44	58.6	87.6
45	59.9	87.3
46	61.5	86.9
47	63.2	86.9
48	64.8	86.6
49	51.5	86.6
50	50.8	86.6
51	50.2	86.6
52	49.8	86.3
53	49.5	86.3
54	49.2	86.1
55	48.8	86.1
56	61.5	85.9
57	60.9	85.9
58	55.7	85.6
59	51.1	85.6
60	48.2	85.6
61	45.9	85.3
62	44.6	85.3
63	44.6	85.3
64	45.9	85.3
65	48.5	85.0
66	49.5	85.0
67	50.2	84.9
68	50.8	84.9
69	51.5	84.6
70	52.4	84.3
71	53.1	84.3
72	53.7	84.3
73	42.0	84.3
74	44.3	84.0
75	45.6	84.0
76	46.2	84.0
77	47.2	83.7
78	47.9	83.6
79	48.5	83.6
80	62.2	83.4
81	62.2	83.0
82	60.6	83.0
83	59.3	82.8
84	58.6	82.7
85	58.3	82.7
86	58.0	82.6
87	58.3	82.3
88	58.9	82.3
89	59.9	82.3
90	60.9	82.1
91	61.5	82.1
92	62.5	82.0
93	63.2	81.7
94	64.2	81.7
95	65.1	81.6
96	67.1	81.4
97	53.1	81.4
98	53.1	81.4
99	53.1	81.1
100	53.4	81.1
101	53.1	81.1
102	53.1	81.1
103	53.1	81.0
104	66.1	81.0
105	65.8	81.0
106	63.2	80.8
107	60.6	80.8
108	58.3	80.7
109	57.0	80.7
110	56.0	80.7
111	55.7	80.7
112	56.7	80.4
113	58.3	80.3
114	59.3	80.3
115	60.2	80.3
116	61.2	80.3
117	62.2	80.3
118	63.5	80.3
119	64.2	80.1
120	66.1	80.0
121	53.4	80.0
122	55.0	80.0
123	56.7	79.8
124	57.6	79.7
125	58.3	79.7
126	58.9	79.5
127	59.6	79.3
128	73.3	79.3
129	73.3	79.3
130	71.3	79.2
131	69.4	79.1
132	68.1	79.0
133	67.1	79.0
134	66.8	78.8
135	66.8	78.8
136	67.4	78.8
137	69.0	78.6
138	69.7	78.5
139	70.7	78.5
140	71.3	78.5
141	72.3	78.4
142	73.3	78.4
143	73.9	78.4
144	74.9	78.2
145	61.9	78.2
146	62.2	78.0
147	62.2	78.0
148	62.2	78.0
149	62.2	77.8
150	62.2	77.8
151	62.2	77.8
152	75.2	77.7
153	74.3	77.7
154	68.1	77.5
155	62.5	77.5
156	57.6	77.5
157	54.1	77.5
158	52.1	77.5
159	52.4	77.5
160	55.0	77.5
161	58.6	77.5
162	59.6	77.5
163	60.6	77.5
164	61.5	77.4
165	62.5	77.4
166	63.5	77.4
167	64.8	77.4
168	65.8	77.2
169	54.7	77.2
170	56.0	77.1
171	57.6	77.0
172	58.6	77.0
173	59.6	76.9
174	60.6	76.9
175	61.2	76.9
176	74.9	76.7
177	74.9	76.7
178	72.6	76.7
179	71.6	76.7
180	72.0	76.7
181	72.0	76.5
182	69.0	76.5
183	67.7	76.5
184	67.4	76.5
185	69.0	76.5
186	70.3	76.5
187	71.6	76.5
188	72.6	76.4
189	73.9	76.4
190	74.9	76.4
191	76.2	76.2
192	77.5	76.2
193	65.1	76.1
194	65.8	76.1
195	66.4	76.1
196	66.8	76.1
197	67.1	75.9
