# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.6	17.1
2	3.9	17.0
3	4.2	16.8
4	4.3	16.7
5	4.4	16.6
6	4.5	16.4
7	4.6	16.4
8	6.8	16.4
9	6.7	16.2
10	5.9	16.1
11	5.2	16.0
12	4.6	15.7
13	4.2	15.6
14	4.0	15.6
15	4.0	15.5
16	4.3	15.5
17	4.7	15.4
18	5.1	15.3
19	5.4	15.2
20	5.7	15.2
21	6.0	15.2
22	6.4	15.2
23	6.7	15.1
24	7.1	15.1
25	5.5	15.0
26	6.3	15.0
27	7.0	14.9
28	7.4	14.9
29	7.8	14.9
30	8.3	14.9
31	8.5	14.8
32	11.0	14.8
33	11.0	14.8
34	10.1	14.8
35	9.2	14.8
36	8.5	14.7
37	8.0	14.7
38	7.8	14.7
39	7.8	14.7
40	8.3	14.7
41	9.0	14.7
42	9.2	14.6
43	9.5	14.6
44	9.8	14.6
45	10.0	14.6
46	10.3	14.6
47	10.5	14.5
48	10.8	14.5
49	8.6	14.5
50	8.5	14.5
51	8.4	14.4
52	8.3	14.4
53	8.3	14.4
54	8.2	14.4
55	8.1	14.4
56	10.3	14.3
57	10.2	14.3
58	9.3	14.3
59	8.5	14.3
60	8.0	14.3
61	7.7	14.2
62	7.4	14.2
63	7.4	14.2
64	7.7	14.2
65	8.1	14.2
66	8.3	14.2
67	8.4	14.2
68	8.5	14.1
69	8.6	14.1
70	8.7	14.1
71	8.9	14.1
72	9.0	14.1
73	7.0	14.1
74	7.4	14.1
75	7.6	14.0
76	7.7	14.0
77	7.9	14.0
78	8.0	14.0
79	8.1	13.9
80	10.4	13.9
81	10.4	13.9
82	10.1	13.8
83	9.9	13.8
84	9.8	13.8
85	9.7	13.8
86	9.7	13.8
87	9.7	13.8
88	9.8	13.8
89	10.0	13.7
90	10.2	13.7
91	10.3	13.7
92	10.4	13.7
93	10.5	13.6
94	10.7	13.6
95	10.9	13.6
96	11.2	13.6
97	8.9	13.6
98	8.9	13.6
99	8.9	13.6
100	8.9	13.5
101	8.9	13.5
102	8.9	13.5
103	8.9	13.5
104	11.0	13.5
105	11.0	13.5
106	10.5	13.5
107	10.1	13.5
108	9.7	13.5
109	9.5	13.5
110	9.3	13.5
111	9.3	13.5
112	9.5	13.5
113	9.7	13.5
114	9.9	13.5
115	10.1	13.5
116	10.2	13.4
117	10.4	13.4
118	10.6	13.4
119	10.7	13.4
120	11.0	13.4
121	8.9	13.4
122	9.2	13.3
123	9.5	13.3
124	9.6	13.3
125	9.7	13.3
126	9.8	13.3
127	9.9	13.3
128	12.2	13.3
129	12.2	13.3
130	11.9	13.2
131	11.6	13.2
132	11.4	13.2
133	11.2	13.1
134	11.1	13.1
135	11.1	13.1
136	11.2	13.1
137	11.5	13.1
138	11.6	13.1
139	11.8	13.1
140	11.9	13.1
141	12.1	13.1
142	12.2	13.1
143	12.3	13.1
144	12.5	13.1
145	10.3	13.0
146	10.4	13.0
147	10.4	13.0
148	10.4	13.0
149	10.4	13.0
150	10.4	13.0
151	10.4	13.0
152	12.5	13.0
153	12.4	13.0
154	11.4	13.0
155	10.4	13.0
156	9.6	12.9
157	9.0	12.9
158	8.7	12.9
159	8.7	12.9
160	9.2	12.9
161	9.8	12.9
162	9.9	12.9
163	10.1	12.9
164	10.3	12.9
165	10.4	12.9
166	10.6	12.9
167	10.8	12.9
168	11.0	12.9
169	9.1	12.9
170	9.3	12.9
171	9.6	12.9
172	9.8	12.9
173	9.9	12.9
174	10.1	12.9
175	10.2	12.9
176	12.5	12.8
177	12.5	12.8
178	12.1	12.8
179	12.0	12.8
180	12.0	12.8
181	12.0	12.8
182	11.5	12.8
183	11.3	12.8
184	11.2	12.8
185	11.5	12.8
186	11.7	12.8
187	12.0	12.8
188	12.1	12.7
189	12.3	12.7
190	12.5	12.7
191	12.7	12.7
192	12.9	12.7
193	10.9	12.7
194	11.0	12.7
195	11.1	12.7
196	11.1	12.7
197	11.2	12.7
198	11.3	12.7
199	11.4	12.7
200	13.5	12.7
201	13.5	12.7
202	13.0	12.7
203	12.7	12.7
204	12.3	12.6
205	12.1	12.6
206	12.1	12.6
207	12.0	12.6
208	12.2	12.6
209	12.5	12.6
210	12.5	12.6
211	12.6	12.6
212	12.8	12.5
213	12.8	12.5
214	12.8	12.5
215	12.8	12.5
216	12.9	12.5
217	10.8	12.5
218	10.8	12.5
219	10.8	12.5
220	10.8	12.5
221	10.8	12.5
222	10.8	12.5
223	10.8	12.5
224	13.0	12.5
225	12.9	12.5
226	12.5	12.5
227	12.1	12.5
228	11.7	12.5
229	11.6	12.5
230	11.4	12.5
231	11.4	12.5
232	11.5	12.5
233	11.8	12.4
234	11.9	12.4
235	12.0	12.4
236	12.2	12.4
237	12.1	12.4
238	12.2	12.4
239	12.2	12.4
240	12.3	12.4
241	10.2	12.4
242	10.3	12.4
243	10.3	12.4
244	10.4	12.4
245	10.4	12.4
246	10.4	12.4
247	10.4	12.4
248	12.6	12.4
249	12.5	12.4
250	11.7	12.3
251	11.0	12.3
252	10.4	12.3
253	9.9	12.3
254	9.7	12.3
255	9.6	12.3
256	9.8	12.3
257	10.3	12.3
258	10.6	12.3
259	10.9	12.3
260	11.2	12.3
261	11.5	12.3
262	11.8	12.3
263	12.2	12.3
264	12.4	12.3
265	10.9	12.3
266	11.6	12.3
267	12.3	12.3
268	12.8	12.3
269	13.1	12.3
270	13.6	12.3
271	13.9	12.2
272	16.4	12.2
273	16.4	12.2
274	16.0	12.2
275	15.6	12.2
276	15.1	12.2
277	14.9	12.2
278	15.2	12.2
279	15.4	12.2
280	15.6	12.2
281	16.1	12.2
282	16.2	12.2
283	16.4	12.2
284	16.6	12.2
285	16.7	12.2
286	16.8	12.2
287	17.0	12.2
288	17.1	12.2
289	14.7	12.2
290	14.6	12.2
291	14.0	12.2
292	13.7	12.2
293	13.5	12.2
294	13.3	12.2
295	13.1	12.2
296	15.1	12.1
297	14.9	12.1
298	14.2	12.1
299	13.6	12.1
300	13.1	12.1
301	12.7	12.1
302	12.5	12.1
303	12.5	12.1
304	12.7	12.1
305	13.0	12.1
306	12.9	12.1
307	12.9	12.1
308	12.9	12.1
309	12.9	12.1
310	13.0	12.1
311	12.9	12.1
312	12.9	12.1
313	10.9	12.1
314	11.1	12.1
315	11.4	12.1
316	11.5	12.1
317	11.6	12.1
318	11.7	12.0
319	11.8	12.0
320	14.1	12.0
321	14.1	12.0
322	13.8	12.0
323	13.4	12.0
324	13.1	12.0
325	12.9	12.0
326	12.8	12.0
327	12.8	12.0
328	12.9	12.0
329	13.1	12.0
330	13.4	12.0
331	13.6	12.0
332	13.8	12.0
333	14.0	12.0
334	14.2	12.0
335	14.4	12.0
336	14.6	11.9
337	12.8	11.9
338	12.8	11.9
339	12.9	11.9
340	13.0	11.9
341	13.1	11.9
342	13.2	11.9
343	13.3	11.9
344	15.5	11.9
345	15.5	11.9
346	15.0	11.9
347	14.7	11.9
348	14.5	11.9
349	14.2	11.9
350	14.2	11.8
351	14.3	11.8
352	14.5	11.8
353	14.7	11.8
354	14.7	11.8
355	14.7	11.8
356	14.8	11.8
357	14.8	11.8
358	14.8	11.8
359	14.8	11.8
360	14.9	11.8
361	12.7	11.8
362	12.6	11.7
363	12.5	11.7
364	12.4	11.7
365	12.4	11.7
366	12.3	11.7
367	12.3	11.7
368	14.4	11.7
369	14.3	11.7
370	14.1	11.7
371	13.9	11.7
372	13.7	11.7
373	13.5	11.7
374	12.2	11.7
375	11.5	11.7
376	11.3	11.7
377	11.7	11.7
378	11.8	11.7
379	11.9	11.7
380	12.0	11.6
381	12.1	11.6
382	12.2	11.6
383	12.3	11.6
384	12.3	11.6
385	10.4	11.6
386	10.6	11.6
387	10.9	11.6
388	11.0	11.6
389	11.1	11.6
390	11.3	11.6
391	11.4	11.6
392	13.6	11.6
393	13.5	11.6
394	12.1	11.6
395	10.7	11.6
396	9.5	11.6
397	8.7	11.5
398	8.4	11.5
399	8.4	11.5
400	8.9	11.5
401	9.9	11.5
402	10.0	11.5
403	10.2	11.5
404	10.3	11.5
405	10.4	11.5
406	10.5	11.5
407	10.7	11.5
408	10.8	11.5
409	8.7	11.5
410	8.8	11.5
411	8.9	11.5
412	8.9	11.5
413	9.0	11.5
414	9.0	11.5
415	9.0	11.5
416	11.2	11.5
417	11.1	11.5
418	10.9	11.5
419	10.7	11.5
420	10.5	11.5
421	10.3	11.4
422	8.9	11.4
423	8.2	11.4
424	8.0	11.4
425	8.5	11.4
426	8.6	11.4
427	8.7	11.4
428	8.8	11.4
429	8.9	11.4
430	9.0	11.4
431	9.1	11.4
432	9.2	11.4
433	7.2	11.4
434	7.3	11.4
435	7.5	11.4
436	7.6	11.4
437	7.6	11.4
438	7.7	11.4
439	7.7	11.4
440	9.9	11.4
441	9.9	11.4
442	9.7	11.4
443	9.6	11.3
444	9.5	11.3
445	9.4	11.3
446	8.1	11.3
447	7.3	11.3
448	7.0	11.3
449	7.4	11.3
450	7.6	11.3
451	7.8	11.3
452	8.0	11.3
453	8.2	11.3
454	8.4	11.3
455	8.6	11.3
456	8.8	11.3
457	6.8	11.3
458	7.1	11.3
459	7.4	11.2
460	7.6	11.2
461	7.7	11.2
462	7.9	11.2
463	7.9	11.2
464	10.2	11.2
465	10.2	11.2
466	10.0	11.2
467	9.9	11.2
468	9.8	11.2
469	9.7	11.2
470	8.6	11.2
471	8.2	11.2
472	8.1	11.2
473	8.5	11.2
474	8.6	11.2
475	8.6	11.2
476	8.7	11.2
477	8.9	11.2
478	8.9	11.2
479	9.0	11.2
480	9.1	11.2
481	6.9	11.2
482	6.9	11.1
483	6.8	11.1
484	6.8	11.1
485	6.8	11.1
486	6.8	11.1
487	6.7	11.1
488	8.9	11.1
489	8.8	11.1
490	7.9	11.1
491	7.0	11.1
492	6.2	11.1
493	5.5	11.1
494	5.1	11.1
495	5.1	11.1
496	5.3	11.1
497	5.9	11.1
498	6.1	11.1
499	6.3	11.1
500	6.5	11.1
501	6.7	11.1
502	6.9	11.0
503	7.1	11.0
504	7.3	11.0
505	5.4	11.0
506	5.7	11.0
507	6.0	11.0
508	6.1	11.0
509	6.3	11.0
510	6.4	11.0
511	6.5	11.0
512	8.7	11.0
513	8.6	11.0
514	7.6	11.0
515	6.8	11.0
516	5.9	11.0
517	5.3	11.0
518	4.5	11.0
519	4.2	11.0
520	4.2	11.0
521	4.9	11.0
522	5.4	11.0
523	5.9	11.0
524	6.4	11.0
525	6.8	11.0
526	7.3	11.0
527	7.8	11.0
528	8.2	11.0
529	6.6	10.9
530	7.2	10.9
531	7.7	10.9
532	8.0	10.9
533	8.3	10.9
534	8.6	10.9
535	8.8	10.9
536	11.2	10.9
537	10.9	10.9
538	9.1	10.9
539	7.6	10.9
540	6.5	10.9
541	5.6	10.9
542	5.1	10.9
543	5.1	10.9
544	5.5	10.9
545	6.6	10.9
546	7.2	10.9
547	7.9	10.9
548	8.5	10.9
549	9.2	10.9
550	9.8	10.9
551	10.5	10.9
552	11.1	10.9
553	9.6	10.9
554	10.2	10.9
555	10.9	10.9
556	11.2	10.9
