# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	29.5	124.6
2	31.4	123.8
3	33.3	122.6
4	34.1	121.5
5	34.9	120.7
6	35.6	119.6
7	36.0	119.6
8	51.7	119.2
9	51.0	118.4
10	45.6	117.7
11	40.6	116.5
12	36.4	114.2
13	33.7	113.8
14	32.2	113.7
15	32.2	113.4
16	34.1	113.1
17	36.8	112.3
18	39.5	111.4
19	41.8	111.1
20	44.1	110.4
21	46.4	110.4
22	48.7	110.2
23	51.4	110.2
24	53.7	110.2
25	42.9	110.0
26	48.3	109.9
27	53.3	109.2
28	56.3	109.2
29	59.0	109.1
30	62.1	108.8
31	64.0	108.7
32	81.6	108.5
33	81.6	108.5
34	74.7	108.5
35	69.0	108.1
36	63.6	107.7
37	60.6	107.7
38	59.0	107.7
39	59.0	107.7
40	62.1	107.7
41	67.1	107.7
42	69.0	107.7
43	70.9	107.5
44	72.8	107.3
45	74.4	106.9
46	76.3	106.9
47	78.2	106.5
48	80.1	106.0
49	64.4	106.0
50	63.6	105.8
51	62.9	105.8
52	62.5	105.6
53	62.1	105.6
54	61.7	105.5
55	61.3	105.4
56	76.3	105.4
57	75.5	104.8
58	69.4	104.8
59	64.0	104.6
60	60.6	104.6
61	57.9	104.4
62	56.3	104.2
63	56.3	104.2
64	57.9	104.0
65	60.9	104.0
66	62.1	103.9
67	62.9	103.9
68	63.6	103.7
69	64.4	103.7
70	65.5	103.7
71	66.3	103.3
72	67.1	103.1
73	53.3	103.1
74	56.0	103.1
75	57.5	102.7
76	58.3	102.5
77	59.4	102.5
78	60.2	102.3
79	60.9	102.3
80	77.0	102.1
81	77.0	102.1
82	75.1	101.9
83	73.6	101.6
84	72.8	101.6
85	72.4	101.3
86	72.1	101.2
87	72.4	101.2
88	73.2	100.9
89	74.4	100.6
90	75.5	100.6
91	76.3	100.6
92	77.4	100.4
93	78.2	100.4
94	79.3	100.2
95	80.5	100.0
96	82.8	99.8
97	66.3	99.6
98	66.3	99.6
99	66.3	99.6
100	66.7	99.4
101	66.3	99.3
102	66.3	99.3
103	66.3	99.3
104	81.6	99.3
105	81.3	99.0
106	78.2	99.0
107	75.1	98.9
108	72.4	98.9
109	70.9	98.7
110	69.8	98.6
111	69.4	98.6
112	70.5	98.6
113	72.4	98.6
114	73.6	98.5
115	74.7	98.2
116	75.9	98.2
117	77.0	98.2
118	78.6	98.2
119	79.3	98.2
120	81.6	98.2
121	66.7	98.1
122	68.6	97.9
123	70.5	97.9
124	71.7	97.9
125	72.4	97.7
126	73.2	97.5
127	74.0	97.5
128	90.1	97.4
129	90.1	97.2
130	87.8	97.1
131	85.5	97.1
132	83.9	97.1
133	82.8	97.0
134	82.4	96.8
135	82.4	96.7
136	83.2	96.7
137	85.1	96.6
138	85.9	96.6
139	87.0	96.6
140	87.8	96.2
141	88.9	96.2
142	90.1	96.2
143	90.8	96.1
144	92.0	95.9
145	76.7	95.9
146	77.0	95.9
147	77.0	95.8
148	77.0	95.8
149	77.0	95.5
150	77.0	95.5
151	77.0	95.5
152	92.4	95.4
153	91.2	95.4
154	83.9	95.4
155	77.4	95.4
156	71.7	95.4
157	67.5	95.1
158	65.2	95.1
159	65.5	95.1
