# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	42.2	198.6
2	45.4	197.3
3	48.5	195.4
4	49.8	193.5
5	51.1	192.2
6	52.3	190.4
7	52.9	190.4
8	78.8	189.7
9	77.5	188.5
10	68.7	187.2
11	60.5	185.3
12	53.6	181.5
13	49.2	181.1
14	46.6	180.9
15	46.6	180.3
16	49.8	179.6
17	54.2	178.4
18	58.6	177.3
19	62.4	176.5
20	66.2	175.4
21	70.0	175.4
22	73.7	175.4
23	78.2	175.2
24	81.9	175.2
25	64.3	174.6
26	73.1	173.5
27	81.3	173.3
28	86.4	173.3
29	90.8	172.8
30	95.8	172.7
31	99.0	172.1
32	128.0	172.1
33	128.0	172.1
34	116.6	171.4
35	107.2	170.9
36	98.3	170.8
37	93.3	170.8
38	90.8	170.8
39	90.8	170.8
40	95.8	170.8
41	104.0	170.2
42	107.2	169.6
43	110.3	169.6
44	113.5	169.6
45	116.0	168.9
46	119.1	168.4
47	122.3	168.4
48	125.4	167.7
49	99.6	167.7
50	98.3	167.7
51	97.1	167.7
52	96.4	167.0
53	95.8	167.0
54	95.2	166.4
55	94.5	166.4
56	119.1	166.1
57	117.9	166.1
58	107.8	165.8
59	99.0	165.8
60	93.3	165.8
61	88.9	165.2
62	86.4	165.2
63	86.4	165.1
64	88.9	165.1
65	93.9	164.5
66	95.8	164.5
67	97.1	164.5
68	98.3	164.5
69	99.6	163.9
70	101.5	163.3
71	102.7	163.3
72	104.0	163.3
73	81.3	162.6
74	85.7	162.6
75	88.2	162.6
76	89.5	162.6
77	91.4	162.0
78	92.7	162.0
79	93.9	162.0
80	120.4	161.4
81	120.4	160.7
82	117.2	160.7
83	114.7	160.1
84	113.5	160.1
85	112.8	160.1
86	112.2	159.7
87	112.8	159.4
88	114.1	159.4
89	116.0	159.4
90	117.9	158.8
91	119.1	158.8
92	121.0	158.8
93	122.3	158.2
94	124.2	158.1
95	126.1	157.6
96	129.8	157.6
97	102.7	157.6
98	102.7	157.4
99	102.7	157.0
100	103.4	157.0
101	102.7	157.0
102	102.7	157.0
103	102.7	156.9
104	128.0	156.9
105	127.3	156.3
106	122.3	156.3
107	117.2	156.2
108	112.8	156.2
109	110.3	156.2
110	108.4	156.2
111	107.8	156.2
112	109.7	155.7
113	112.8	155.6
114	114.7	155.6
115	116.6	155.6
116	118.5	155.6
117	120.4	155.6
118	122.9	155.6
119	124.2	155.1
120	128.0	155.0
121	103.4	155.0
122	106.5	155.0
123	109.7	154.4
124	111.6	154.3
125	112.8	154.3
126	114.1	153.8
127	115.3	153.7
128	141.8	153.7
129	141.8	153.7
130	138.0	153.2
131	134.3	153.0
132	131.7	153.0
133	129.8	152.8
134	129.2	152.5
135	129.2	152.5
136	130.5	152.5
137	133.6	151.9
138	134.9	151.9
139	136.8	151.9
140	138.0	151.8
141	139.9	151.8
142	141.8	151.8
143	143.1	151.6
144	145.0	151.3
145	119.8	151.3
146	120.4	151.1
147	120.4	151.1
148	120.4	151.1
149	120.4	150.6
150	120.4	150.6
151	120.4	150.6
152	145.6	150.5
153	143.7	150.5
154	131.7	150.0
155	121.0	150.0
156	111.6	150.0
157	104.6	150.0
158	100.9	150.0
159	101.5	150.0
160	106.5	150.0
161	113.5	150.0
162	115.3	150.0
163	117.2	150.0
164	119.1	149.9
165	121.0	149.9
166	122.9	149.9
167	125.4	149.4
168	127.3	149.4
169	105.9	149.3
170	108.4	149.2
171	111.6	149.2
172	113.5	148.8
173	115.3	148.8
174	117.2	148.8
175	118.5	148.7
176	145.0	148.6
177	145.0	148.6
178	140.6	148.6
179	138.7	148.6
180	139.3	148.6
181	139.3	148.1
182	133.6	148.1
183	131.1	148.1
184	130.5	148.1
185	133.6	148.1
186	136.2	148.1
187	138.7	147.9
188	140.6	147.9
189	143.1	147.9
190	145.0	147.6
191	147.5	147.5
192	150.0	147.5
193	126.1	147.3
194	127.3	147.3
195	128.6	147.3
196	129.2	147.3
197	129.8	146.9
198	131.1	146.9
199	131.7	146.9
200	157.0	146.9
201	156.3	146.7
202	151.3	146.7
203	146.9	146.7
204	143.1	146.7
205	140.6	146.4
206	139.9	146.4
207	139.3	146.2
208	141.2	146.2
209	145.0	146.2
210	145.6	146.0
211	146.2	146.0
212	148.1	145.8
213	148.1	145.8
214	148.1	145.8
215	148.8	145.6
216	150.0	145.6
217	124.8	145.6
218	124.8	145.6
219	125.4	145.4
220	125.4	145.4
221	125.4	145.3
222	125.4	145.3
223	125.4	145.0
224	150.6	145.0
225	150.0	145.0
226	145.0	145.0
227	139.9	145.0
228	136.2	145.0
229	134.3	145.0
230	132.4	145.0
231	132.4	145.0
232	133.6	144.8
233	136.8	144.8
234	138.0	144.8
235	139.3	144.8
236	141.8	144.7
237	139.9	144.7
238	141.2	144.3
239	141.8	144.3
240	142.5	144.3
241	118.5	144.1
242	119.1	144.1
243	119.8	144.1
244	120.4	144.1
245	120.4	144.1
246	120.4	143.7
247	120.4	143.7
248	146.2	143.5
249	145.0	143.5
250	136.2	143.5
251	128.0	143.5
252	120.4	143.1
253	115.3	143.1
254	112.2	143.1
255	111.6	143.1
256	114.1	143.1
257	119.1	143.1
258	122.9	143.1
259	126.7	142.9
260	129.8	142.9
261	133.6	142.9
262	137.4	142.8
263	141.2	142.8
264	144.3	142.8
265	126.1	142.8
266	134.9	142.8
267	143.1	142.5
268	148.1	142.5
269	152.5	142.5
270	157.6	142.5
271	161.4	142.4
272	190.4	142.2
273	189.7	142.2
274	185.3	142.2
275	180.9	142.2
276	175.2	142.2
277	173.3	141.8
278	176.5	141.8
279	178.4	141.8
280	181.5	141.8
281	187.2	141.8
282	188.5	141.8
283	190.4	141.8
284	192.2	141.8
285	193.5	141.6
286	195.4	141.6
287	197.3	141.6
288	198.6	141.6
289	170.8	141.6
290	168.9	141.6
291	162.0	141.2
292	158.8	141.2
293	156.3	141.2
294	153.8	141.2
295	151.9	141.2
296	175.2	140.9
297	173.3	140.9
298	165.1	140.9
299	157.6	140.6
300	151.9	140.6
301	147.5	140.6
302	145.6	140.6
303	145.0	140.3
304	146.9	140.3
305	150.6	140.3
306	150.0	140.3
307	150.0	140.3
308	150.0	140.3
309	150.0	140.3
310	150.6	139.9
311	149.4	139.9
312	149.4	139.9
313	126.7	139.9
314	129.2	139.9
315	131.7	139.7
316	133.0	139.7
317	134.9	139.7
318	136.2	139.3
319	137.4	139.3
320	163.3	139.3
321	163.3	139.3
322	160.1	139.3
323	155.1	139.3
324	151.9	139.3
325	150.0	139.0
326	148.8	139.0
327	148.8	139.0
328	150.0	139.0
329	152.5	138.9
330	155.7	138.9
331	157.6	138.7
332	160.1	138.7
333	162.6	138.4
334	164.5	138.4
335	167.0	138.4
336	169.6	138.4
337	148.1	138.4
338	148.1	138.0
339	150.0	138.0
340	151.3	138.0
341	152.5	138.0
342	153.2	138.0
343	154.4	137.7
344	180.3	137.7
345	179.6	137.7
346	174.6	137.7
347	170.8	137.7
348	167.7	137.4
349	165.1	137.4
350	164.5	137.4
351	165.8	137.1
352	167.7	137.1
353	170.2	137.1
354	170.8	137.1
355	170.8	137.1
356	171.4	137.1
357	172.1	136.8
358	172.1	136.8
359	172.1	136.5
360	172.7	136.5
361	146.9	136.5
362	146.2	136.5
363	145.6	136.5
364	144.3	136.2
365	143.7	136.2
366	143.1	136.2
367	142.5	136.2
368	167.0	136.2
369	165.8	136.2
370	163.3	136.2
371	160.7	136.0
372	158.8	135.8
373	157.0	135.8
374	141.8	135.8
375	133.6	135.8
376	131.1	135.4
377	136.2	135.4
378	137.4	135.3
379	138.0	135.2
380	139.3	135.2
381	140.6	135.2
382	141.2	135.2
383	142.5	135.2
384	143.1	134.9
385	121.0	134.9
386	123.5	134.9
387	126.7	134.9
388	128.0	134.8
389	129.2	134.8
390	131.1	134.7
391	131.7	134.6
392	158.2	134.6
393	157.0	134.6
394	139.9	134.6
395	124.2	134.6
396	110.3	134.3
397	101.5	134.3
398	97.1	134.3
399	97.1	134.3
400	103.4	134.3
401	114.7	133.9
402	116.0	133.9
403	117.9	133.9
404	119.1	133.9
405	121.0	133.7
406	122.3	133.6
407	124.2	133.6
408	125.4	133.6
409	101.5	133.6
410	102.1	133.6
411	103.4	133.6
412	103.4	133.3
413	104.0	133.3
414	104.0	133.3
415	104.0	133.3
416	129.8	133.3
417	128.6	133.3
418	126.7	133.1
419	124.2	133.1
420	122.3	133.0
421	119.8	132.6
422	103.4	132.6
423	95.2	132.6
424	92.7	132.6
425	98.3	132.6
426	99.6	132.4
427	100.9	132.4
428	102.1	132.4
429	102.7	132.0
430	104.0	132.0
431	105.3	132.0
432	106.5	132.0
433	83.2	131.9
434	85.1	131.9
435	87.0	131.9
436	87.6	131.7
437	88.2	131.7
438	89.5	131.7
439	89.5	131.7
440	115.3	131.7
441	114.7	131.7
442	112.8	131.4
443	111.6	131.4
444	109.7	131.4
445	109.0	131.4
446	94.5	131.4
447	85.1	131.4
448	81.3	131.4
449	86.4	131.4
450	88.2	131.4
451	90.8	131.1
452	92.7	131.1
453	95.2	131.1
454	97.7	131.1
455	99.6	130.8
456	102.1	130.7
457	79.4	130.7
458	82.6	130.7
459	85.7	130.7
460	87.6	130.7
461	89.5	130.5
462	91.4	130.5
463	92.0	130.5
464	118.5	130.5
465	117.9	130.2
466	116.0	130.2
467	115.3	130.1
468	113.5	130.1
469	112.2	130.1
470	100.2	130.1
471	95.2	130.1
472	93.9	130.1
473	98.3	129.8
474	99.6	129.8
475	100.2	129.8
476	101.5	129.8
477	102.7	129.8
478	103.4	129.8
479	104.6	129.6
480	105.3	129.6
481	80.1	129.6
482	80.1	129.6
483	79.4	129.5
484	79.4	129.5
485	78.8	129.5
486	78.8	129.5
487	78.2	129.5
488	103.4	129.5
489	102.1	129.5
490	91.4	129.2
491	81.3	129.2
492	71.9	129.2
493	64.3	129.2
494	59.3	129.2
495	58.6	129.2
496	61.8	129.0
497	68.7	129.0
498	70.6	129.0
499	73.1	129.0
500	75.0	129.0
501	77.5	129.0
502	80.1	128.8
503	81.9	128.8
504	84.5	128.8
505	63.0	128.8
506	66.2	128.6
507	70.0	128.6
508	71.2	128.5
509	73.1	128.5
510	74.4	128.5
511	75.6	128.2
512	101.5	128.2
513	100.2	128.2
514	88.2	128.0
515	78.8	128.0
516	68.1	128.0
517	61.1	128.0
518	52.3	128.0
519	48.5	128.0
520	49.2	127.9
521	57.4	127.9
522	63.0	127.9
523	68.1	127.9
524	73.7	127.5
525	79.4	127.5
526	84.5	127.5
527	90.1	127.5
528	95.2	127.3
529	76.3	127.3
530	83.2	127.3
531	89.5	127.3
532	93.3	127.3
533	96.4	127.3
534	100.2	126.9
535	102.1	126.9
536	129.8	126.9
537	126.1	126.9
538	105.9	126.9
539	88.2	126.7
540	75.0	126.7
541	64.9	126.7
542	59.3	126.7
543	58.6	126.7
544	63.7	126.7
545	76.3	126.7
546	83.8	126.7
547	91.4	126.7
548	99.0	126.3
549	106.5	126.3
550	114.1	126.3
551	121.7	126.3
552	129.2	126.3
553	110.9	126.3
554	118.5	126.3
555	126.1	126.3
556	130.5	126.3
557	134.9	126.3
558	139.3	126.3
559	142.5	126.2
560	170.8	126.2
561	169.6	126.2
562	157.0	126.2
563	144.3	126.1
564	136.2	126.1
565	131.7	126.1
566	125.4	126.1
567	123.5	126.1
568	124.8	125.6
569	134.3	125.6
570	136.2	125.6
571	138.0	125.6
572	139.3	125.6
573	141.2	125.4
574	143.1	125.4
575	145.0	125.4
576	146.9	125.4
577	119.1	125.4
578	116.6	125.4
579	114.1	125.4
580	112.2	125.4
581	110.9	125.4
582	109.0	125.4
583	107.8	125.0
584	132.4	125.0
585	130.5	125.0
586	125.4	125.0
587	126.7	125.0
588	119.1	125.0
589	114.7	125.0
590	113.5	125.0
591	114.1	124.8
592	112.8	124.8
593	117.2	124.8
594	117.9	124.4
595	117.2	124.4
596	116.6	124.4
597	116.6	124.4
598	116.6	124.4
599	116.0	124.4
600	115.3	124.4
601	92.0	124.4
602	93.3	124.4
603	94.5	124.4
604	95.2	124.4
605	95.8	124.4
606	96.4	124.4
607	97.1	124.4
608	122.3	124.4
609	116.6	124.2
610	102.1	124.2
611	94.5	124.2
612	87.6	124.2
613	73.7	124.2
614	64.3	123.9
615	58.6	123.9
616	58.0	123.8
617	64.9	123.8
618	75.0	123.8
619	76.9	123.7
620	78.2	123.7
621	80.1	123.7
622	81.9	123.7
623	83.8	123.5
624	85.7	123.5
625	62.4	123.3
626	64.9	123.3
627	67.4	123.3
628	68.7	123.3
629	70.0	123.3
630	71.2	123.3
631	71.9	123.1
632	98.3	123.1
633	97.7	123.1
634	95.8	123.1
635	93.9	123.1
636	93.3	122.9
637	92.0	122.9
638	95.2	122.9
639	91.4	122.7
640	93.9	122.7
641	93.9	122.7
642	95.2	122.4
643	97.1	122.4
644	100.2	122.4
645	101.5	122.4
646	103.4	122.4
647	105.3	122.4
648	107.8	122.4
649	84.5	122.3
650	87.6	122.3
651	90.8	122.3
652	91.4	122.3
653	92.7	122.3
654	94.5	122.3
655	95.2	122.1
656	121.7	122.1
657	119.8	122.1
658	112.8	121.8
659	110.3	121.8
660	105.9	121.8
661	102.7	121.8
662	100.9	121.8
663	101.5	121.8
664	103.4	121.7
665	106.5	121.7
666	109.7	121.6
667	111.6	121.5
668	112.8	121.5
669	114.1	121.5
670	116.0	121.2
671	117.2	121.2
672	119.1	121.2
673	94.5	121.2
674	94.5	121.0
675	95.2	121.0
676	95.2	121.0
677	95.2	121.0
678	95.2	121.0
679	95.2	120.9
680	120.4	120.9
681	118.5	120.9
682	106.5	120.9
683	97.7	120.5
684	84.5	120.5
685	73.1	120.5
