# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	45.5	214.0
2	48.9	212.7
3	52.3	210.6
4	53.7	208.6
5	55.0	207.2
6	56.4	205.2
7	57.1	205.2
8	84.9	204.5
9	83.6	203.2
10	74.1	201.8
11	65.2	199.8
12	57.8	195.7
13	53.0	195.0
14	50.3	194.5
15	50.3	194.3
16	53.7	193.6
17	58.4	192.3
18	63.2	190.4
19	67.3	190.2
20	71.3	188.9
21	75.4	188.9
22	79.5	188.3
23	84.3	188.3
24	88.3	188.3
25	69.3	188.2
26	78.8	186.9
27	87.7	186.9
28	93.1	186.3
29	97.8	186.2
30	103.3	185.8
31	106.7	185.6
32	137.9	185.5
33	137.9	185.5
34	125.7	185.5
35	115.5	184.8
36	106.0	184.1
37	100.6	184.1
38	97.8	184.1
39	97.8	184.1
40	103.3	184.1
41	112.1	183.5
42	115.5	183.5
43	118.9	182.8
44	122.3	182.8
45	125.0	182.1
46	128.4	182.0
47	131.8	182.0
48	135.2	180.8
49	107.4	180.8
50	106.0	180.7
51	104.6	180.7
52	104.0	180.1
53	103.3	180.1
54	102.6	180.1
55	101.9	180.1
56	128.4	178.7
57	127.1	178.7
58	116.2	178.7
59	106.7	178.7
60	100.6	178.2
61	95.8	178.1
62	93.1	178.0
63	93.1	178.0
64	95.8	177.4
65	101.2	177.4
66	103.3	177.3
67	104.6	177.3
68	106.0	176.7
69	107.4	176.7
70	109.4	176.0
71	110.8	176.0
72	112.1	176.0
73	87.7	176.0
74	92.4	175.3
75	95.1	175.0
76	96.5	174.6
77	98.5	174.6
78	99.9	174.6
79	101.2	173.9
80	129.8	173.9
81	129.8	173.9
82	126.4	173.3
83	123.7	172.6
84	122.3	172.6
85	121.6	172.6
86	120.9	172.5
87	121.6	171.9
88	123.0	171.2
89	125.0	171.2
90	127.1	171.2
91	128.4	171.2
92	130.5	171.2
93	131.8	171.2
94	133.9	170.5
95	135.9	170.5
96	140.0	169.9
97	110.8	169.9
98	110.8	169.9
99	110.8	169.8
100	111.4	169.2
101	110.8	169.2
102	110.8	169.2
103	110.8	169.2
104	137.9	168.5
105	137.3	168.5
106	131.8	168.5
107	126.4	168.5
108	121.6	167.8
109	118.9	167.8
110	116.9	167.8
111	116.2	167.8
112	118.2	167.8
113	121.6	167.4
114	123.7	167.1
115	125.7	167.1
116	127.7	167.1
117	129.8	167.1
118	132.5	167.1
119	133.9	167.1
120	137.9	167.1
121	111.4	166.5
122	114.8	166.4
123	118.2	166.4
124	120.3	166.4
125	121.6	166.1
126	123.0	165.8
127	124.3	165.7
128	152.9	165.7
129	152.9	165.1
130	148.8	165.0
131	144.7	165.0
132	142.0	165.0
133	140.0	164.4
134	139.3	164.4
135	139.3	164.4
136	140.6	164.4
137	144.0	164.4
138	145.4	163.8
139	147.4	163.8
140	148.8	163.8
141	150.8	163.6
142	152.9	163.1
143	154.2	163.1
144	156.3	163.0
145	129.1	163.0
146	129.8	163.0
147	129.8	163.0
148	129.8	162.4
149	129.8	162.4
150	129.8	162.4
151	129.8	162.3
152	157.0	162.3
153	154.9	162.3
154	142.0	161.7
155	130.5	161.7
156	120.3	161.7
157	112.8	161.7
158	108.7	161.7
159	109.4	161.7
160	114.8	161.7
161	122.3	161.7
162	124.3	161.7
163	126.4	161.7
164	128.4	161.7
165	130.5	161.6
166	132.5	161.6
167	135.2	161.0
168	137.3	161.0
169	114.1	160.9
170	116.9	160.9
171	120.3	160.9
172	122.3	160.4
173	124.3	160.4
174	126.4	160.4
175	127.7	160.4
176	156.3	160.4
177	156.3	160.3
178	151.5	160.3
179	149.5	159.8
180	150.2	159.8
181	150.2	159.8
182	144.0	159.7
183	141.3	159.7
184	140.6	159.7
185	144.0	159.7
186	146.8	159.7
187	149.5	159.7
188	151.5	159.6
189	154.2	159.6
190	156.3	159.6
191	159.0	159.6
192	161.7	159.6
193	135.9	159.2
194	137.3	159.2
195	138.6	159.0
196	139.3	159.0
197	140.0	158.9
198	141.3	158.9
199	142.0	158.9
200	169.2	158.5
201	168.5	158.5
202	163.1	158.3
203	158.3	158.3
204	154.2	158.3
205	151.5	158.3
206	150.8	158.2
207	150.2	158.2
208	152.2	158.2
209	156.3	158.2
210	157.0	157.9
211	157.6	157.9
212	159.7	157.9
213	159.7	157.6
214	159.7	157.6
215	160.4	157.6
216	161.7	157.5
217	134.5	157.5
218	134.5	157.5
219	135.2	157.5
220	135.2	157.3
221	135.2	157.3
222	135.2	157.0
223	135.2	157.0
224	162.4	157.0
225	161.7	157.0
226	156.3	156.8
227	150.8	156.8
228	146.8	156.6
229	144.7	156.6
230	142.7	156.6
231	142.7	156.3
232	144.0	156.3
233	147.4	156.3
234	148.8	156.3
235	150.2	156.3
236	152.9	156.3
237	150.8	156.3
238	152.2	156.3
239	152.9	156.3
240	153.6	156.1
241	127.7	156.1
242	128.4	156.0
243	129.1	155.6
244	129.8	155.6
245	129.8	155.6
246	129.8	155.5
247	129.8	155.5
248	157.6	155.5
249	156.3	155.5
250	146.8	155.4
251	137.9	155.4
252	129.8	154.9
253	124.3	154.9
254	120.9	154.8
255	120.3	154.8
256	123.0	154.2
257	128.4	154.2
258	132.5	154.2
259	136.6	154.2
260	140.0	154.2
261	144.0	154.2
262	148.1	154.2
263	152.2	154.1
264	155.6	154.1
265	135.9	153.6
266	145.4	153.6
267	154.2	153.6
268	159.7	153.6
269	164.4	153.4
270	169.9	153.4
271	173.9	153.4
272	205.2	153.4
273	204.5	153.4
274	199.8	152.9
275	195.0	152.9
276	188.9	152.9
277	186.9	152.9
278	190.2	152.9
279	192.3	152.9
280	195.7	152.7
281	201.8	152.7
282	203.2	152.7
283	205.2	152.7
284	207.2	152.7
285	208.6	152.2
286	210.6	152.2
287	212.7	152.2
288	214.0	152.2
289	184.1	152.2
290	182.1	152.2
291	174.6	152.2
292	171.2	152.0
293	168.5	152.0
294	165.8	152.0
295	163.8	152.0
296	188.9	152.0
297	186.9	152.0
298	178.0	151.5
299	169.9	151.5
300	163.8	151.5
301	159.0	151.5
302	157.0	151.4
303	156.3	151.4
304	158.3	151.4
305	162.4	150.9
306	161.7	150.9
307	161.7	150.8
308	161.7	150.8
309	161.7	150.8
310	162.4	150.8
311	161.0	150.8
312	161.0	150.7
313	136.6	150.7
314	139.3	150.7
315	142.0	150.7
316	143.4	150.7
317	145.4	150.7
318	146.8	150.7
319	148.1	150.2
320	176.0	150.2
321	176.0	150.2
322	172.6	150.2
323	167.1	150.2
324	163.8	150.2
325	161.7	150.2
326	160.4	150.0
327	160.4	150.0
328	161.7	150.0
329	164.4	149.5
330	167.8	149.5
331	169.9	149.3
332	172.6	149.3
333	175.3	149.3
334	177.3	149.3
335	180.1	149.0
336	182.8	148.8
337	159.7	148.8
338	159.7	148.8
339	161.7	148.8
340	163.1	148.8
341	164.4	148.6
342	165.1	148.6
343	166.5	148.6
344	194.3	148.6
345	193.6	148.6
346	188.2	148.4
347	184.1	148.4
348	180.7	148.1
349	178.0	148.1
350	177.3	148.1
351	178.7	147.9
352	180.7	147.9
353	183.5	147.9
354	184.1	147.8
355	184.1	147.8
356	184.8	147.6
357	185.5	147.4
358	185.5	147.4
359	185.5	147.2
360	186.2	147.2
361	158.3	147.2
362	157.6	147.2
363	157.0	147.2
364	155.6	147.2
365	154.9	147.1
366	154.2	147.1
367	153.6	146.9
368	180.1	146.8
369	178.7	146.8
370	176.0	146.8
371	173.3	146.8
372	171.2	146.8
373	169.2	146.8
374	152.9	146.8
375	144.0	146.6
376	141.3	146.6
377	146.8	146.6
378	148.1	146.6
379	148.8	146.6
380	150.2	146.5
381	151.5	145.9
382	152.2	145.9
383	153.6	145.9
384	154.2	145.9
385	130.5	145.9
386	133.2	145.9
387	136.6	145.4
388	137.9	145.4
389	139.3	145.4
390	141.3	145.4
391	142.0	145.2
392	170.5	145.2
393	169.2	145.2
394	150.8	145.2
395	133.9	145.2
396	118.9	144.7
397	109.4	144.7
398	104.6	144.7
399	104.6	144.6
400	111.4	144.6
401	123.7	144.6
402	125.0	144.5
403	127.1	144.5
404	128.4	144.5
405	130.5	144.5
406	131.8	144.5
407	133.9	144.0
408	135.2	144.0
409	109.4	144.0
410	110.1	144.0
411	111.4	144.0
412	111.4	144.0
413	112.1	144.0
414	112.1	144.0
415	112.1	144.0
416	140.0	143.8
417	138.6	143.8
418	136.6	143.8
419	133.9	143.8
420	131.8	143.4
421	129.1	143.3
422	111.4	143.1
423	102.6	143.1
424	99.9	143.1
425	106.0	143.1
426	107.4	143.1
427	108.7	143.1
428	110.1	142.7
429	110.8	142.7
430	112.1	142.7
431	113.5	142.7
432	114.8	142.7
433	89.7	142.4
434	91.7	142.4
435	93.8	142.4
436	94.4	142.4
437	95.1	142.4
438	96.5	142.1
439	96.5	142.1
440	124.3	142.1
441	123.7	142.0
442	121.6	142.0
443	120.3	142.0
444	118.2	142.0
445	117.5	142.0
446	101.9	142.0
447	91.7	142.0
448	87.7	141.8
449	93.1	141.8
450	95.1	141.8
451	97.8	141.8
452	99.9	141.4
453	102.6	141.4
454	105.3	141.4
455	107.4	141.4
456	110.1	141.3
457	85.6	141.3
458	89.0	141.3
459	92.4	141.3
460	94.4	141.3
461	96.5	141.1
462	98.5	141.1
463	99.2	141.1
464	127.7	141.1
465	127.1	141.1
466	125.0	141.1
467	124.3	140.8
468	122.3	140.8
469	120.9	140.8
470	108.0	140.7
471	102.6	140.7
472	101.2	140.6
473	106.0	140.6
474	107.4	140.6
475	108.0	140.6
476	109.4	140.4
477	110.8	140.4
478	111.4	140.4
479	112.8	140.4
480	113.5	140.4
481	86.3	140.1
482	86.3	140.1
483	85.6	140.1
484	85.6	140.1
485	84.9	140.0
486	84.9	140.0
487	84.3	140.0
488	111.4	140.0
489	110.1	140.0
490	98.5	140.0
491	87.7	139.7
492	77.5	139.7
493	69.3	139.7
494	63.9	139.7
495	63.2	139.7
496	66.6	139.5
497	74.1	139.5
498	76.1	139.5
499	78.8	139.3
500	80.9	139.3
501	83.6	139.3
502	86.3	139.3
503	88.3	139.3
504	91.0	139.3
505	67.9	139.0
506	71.3	139.0
507	75.4	139.0
508	76.8	139.0
509	78.8	139.0
510	80.2	139.0
511	81.5	139.0
512	109.4	138.9
513	108.0	138.9
514	95.1	138.6
515	84.9	138.6
516	73.4	138.3
517	65.9	138.3
518	56.4	138.3
519	52.3	138.3
520	53.0	138.2
521	61.8	138.2
522	67.9	138.2
523	73.4	138.2
524	79.5	138.2
525	85.6	138.2
526	91.0	137.9
527	97.2	137.9
528	102.6	137.9
529	82.2	137.9
530	89.7	137.9
531	96.5	137.9
532	100.6	137.7
533	104.0	137.7
534	108.0	137.7
535	110.1	137.6
536	140.0	137.6
537	135.9	137.6
538	114.1	137.6
539	95.1	137.6
540	80.9	137.3
541	70.0	137.3
542	63.9	137.3
543	63.2	137.0
544	68.6	137.0
545	82.2	137.0
546	90.4	137.0
547	98.5	137.0
548	106.7	136.6
549	114.8	136.6
550	123.0	136.6
551	131.1	136.6
552	139.3	136.6
553	119.6	136.4
554	127.7	136.3
555	135.9	136.3
556	140.6	136.3
557	145.4	136.3
558	150.2	136.3
559	153.6	136.3
560	184.1	136.3
561	182.8	136.3
562	169.2	136.3
563	155.6	136.3
564	146.8	136.3
565	142.0	136.3
566	135.2	135.9
567	133.2	135.9
568	134.5	135.9
569	144.7	135.9
570	146.8	135.9
571	148.8	135.7
572	150.2	135.7
573	152.2	135.7
574	154.2	135.6
575	156.3	135.6
576	158.3	135.6
577	128.4	135.6
578	125.7	135.6
579	123.0	135.6
580	120.9	135.6
581	119.6	135.6
582	117.5	135.6
583	116.2	135.6
584	142.7	135.6
585	140.6	135.2
586	135.2	135.2
587	136.6	135.2
588	128.4	135.2
589	123.7	135.2
590	122.3	135.2
591	123.0	135.2
592	121.6	135.2
593	126.4	135.2
594	127.1	135.2
595	126.4	135.1
596	125.7	135.1
597	125.7	135.1
598	125.7	135.1
599	125.0	135.1
600	124.3	135.1
601	99.2	135.1
602	100.6	134.5
603	101.9	134.5
604	102.6	134.5
605	103.3	134.5
606	104.0	134.4
607	104.6	134.4
608	131.8	134.4
609	125.7	134.2
610	110.1	134.2
611	101.9	134.2
612	94.4	134.2
613	79.5	134.2
614	69.3	134.2
615	63.2	133.9
616	62.5	133.9
617	70.0	133.9
618	80.9	133.9
619	82.9	133.9
620	84.3	133.8
621	86.3	133.5
622	88.3	133.5
623	90.4	133.5
624	92.4	133.5
625	67.3	133.5
626	70.0	133.5
627	72.7	133.5
628	74.1	133.5
629	75.4	133.2
630	76.8	133.2
631	77.5	133.2
632	106.0	133.2
633	105.3	133.2
634	103.3	133.2
635	101.2	133.2
636	100.6	132.9
637	99.2	132.9
638	102.6	132.9
639	98.5	132.9
640	101.2	132.6
641	101.2	132.5
642	102.6	132.5
643	104.6	132.5
644	108.0	132.5
645	109.4	132.5
646	111.4	132.5
647	113.5	132.5
648	116.2	132.2
649	91.0	132.2
650	94.4	132.2
651	97.8	132.2
652	98.5	132.2
653	99.9	131.9
654	101.9	131.9
655	102.6	131.9
656	131.1	131.9
