# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	48.1	226.4
2	51.7	224.9
3	55.3	222.8
4	56.8	220.6
5	58.2	219.2
6	59.6	217.0
7	60.4	217.0
8	89.8	216.3
9	88.4	214.9
10	78.3	213.4
11	69.0	211.3
12	61.1	207.0
13	56.1	206.2
14	53.2	206.2
15	53.2	205.5
16	56.8	204.8
17	61.8	203.4
18	66.8	201.9
19	71.1	201.2
20	75.5	199.8
21	79.8	199.8
22	84.1	199.7
23	89.1	199.7
24	93.4	199.7
25	73.3	199.1
26	83.4	197.7
27	92.7	197.6
28	98.5	197.6
29	103.5	197.5
30	109.2	196.9
31	112.8	196.8
32	145.9	196.2
33	145.9	196.2
34	132.9	196.2
35	122.2	195.5
36	112.1	194.7
37	106.4	194.7
38	103.5	194.7
39	103.5	194.7
40	109.2	194.7
41	118.6	194.6
42	122.2	194.0
43	125.8	193.6
44	129.4	193.6
45	132.2	193.3
46	135.8	193.3
47	139.4	192.6
48	143.0	191.7
49	113.5	191.7
50	112.1	191.2
51	110.7	191.2
52	109.9	191.0
53	109.2	191.0
54	108.5	190.4
55	107.8	190.4
56	135.8	189.6
57	134.4	189.5
58	122.9	189.5
59	112.8	189.0
60	106.4	189.0
61	101.3	188.8
62	98.5	188.3
63	98.5	188.3
64	101.3	188.1
65	107.1	188.1
66	109.2	187.6
67	110.7	187.6
68	112.1	187.4
69	113.5	187.4
70	115.7	186.6
71	117.1	186.2
72	118.6	186.1
73	92.7	186.1
74	97.7	186.1
75	100.6	185.4
76	102.0	185.2
77	104.2	185.2
78	105.6	184.7
79	107.1	184.5
80	137.3	184.5
81	137.3	184.0
82	133.7	183.5
83	130.8	183.2
84	129.4	183.0
85	128.6	182.5
86	127.9	182.5
87	128.6	182.3
88	130.1	182.2
89	132.2	181.5
90	134.4	181.5
91	135.8	181.5
92	138.0	181.1
93	139.4	181.1
94	141.6	180.8
95	143.7	180.4
96	148.0	180.1
97	117.1	179.7
98	117.1	179.7
99	117.1	179.7
100	117.9	178.9
101	117.1	178.9
102	117.1	178.9
103	117.1	178.9
104	145.9	178.6
105	145.2	178.6
106	139.4	178.2
107	133.7	178.2
108	128.6	178.1
109	125.8	177.9
110	123.6	177.9
111	122.9	177.9
112	125.0	177.9
113	128.6	177.5
114	130.8	177.2
115	132.9	177.2
116	135.1	177.2
117	137.3	177.2
118	140.1	177.2
119	141.6	177.2
120	145.9	176.8
121	117.9	176.8
122	121.4	176.5
123	125.0	176.5
124	127.2	176.5
125	128.6	176.1
126	130.1	175.7
127	131.5	175.7
128	161.7	175.3
129	161.7	175.0
130	157.4	175.0
131	153.1	175.0
132	150.2	174.6
133	148.0	174.3
134	147.3	174.3
135	147.3	174.1
136	148.8	173.9
137	152.3	173.9
138	153.8	173.9
139	155.9	173.4
140	157.4	173.2
141	159.5	173.2
142	161.7	173.2
143	163.1	172.8
144	165.3	172.8
145	136.5	172.8
