# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.8	41.3
2	9.4	41.0
3	10.1	40.6
4	10.4	40.2
5	10.6	40.0
6	10.9	39.6
7	11.0	39.6
8	16.4	39.4
9	16.1	39.2
10	14.3	38.9
11	12.6	38.5
12	11.1	37.7
13	10.2	37.7
14	9.7	37.6
15	9.7	37.5
16	10.4	37.4
17	11.3	37.1
18	12.2	36.9
19	13.0	36.7
20	13.8	36.5
21	14.5	36.5
22	15.3	36.5
23	16.3	36.4
24	17.0	36.4
25	13.4	36.3
26	15.2	36.1
27	16.9	36.0
28	18.0	36.0
29	18.9	36.0
30	19.9	35.9
31	20.6	35.8
32	26.6	35.8
33	26.6	35.8
34	24.2	35.6
35	22.3	35.6
36	20.4	35.5
37	19.4	35.5
38	18.9	35.5
39	18.9	35.5
40	19.9	35.5
41	21.6	35.4
42	22.3	35.3
43	22.9	35.3
44	23.6	35.1
45	24.1	35.0
46	24.8	35.0
47	25.4	34.9
48	26.1	34.9
49	20.7	34.9
50	20.4	34.9
51	20.2	34.7
52	20.1	34.7
53	19.9	34.6
54	19.8	34.6
55	19.7	34.5
56	24.8	34.5
57	24.5	34.5
58	22.4	34.4
59	20.6	34.4
60	19.4	34.3
61	18.5	34.3
62	18.0	34.2
63	18.0	34.2
64	18.5	34.2
65	19.5	34.2
66	19.9	34.1
67	20.2	33.9
68	20.4	33.9
69	20.7	33.9
70	21.1	33.8
71	21.4	33.8
72	21.6	33.8
73	16.9	33.8
74	17.8	33.7
75	18.3	33.7
76	18.6	33.7
77	19.0	33.6
78	19.3	33.4
79	19.5	33.4
80	25.0	33.3
81	25.0	33.3
82	24.4	33.3
83	23.9	33.2
84	23.6	33.2
85	23.5	33.2
86	23.3	33.1
87	23.5	33.1
88	23.7	33.0
89	24.1	33.0
90	24.5	33.0
91	24.8	32.9
92	25.2	32.9
93	25.4	32.8
94	25.8	32.8
95	26.2	32.8
96	27.0	32.6
97	21.4	32.6
98	21.4	32.6
99	21.4	32.6
100	21.5	32.6
101	21.4	32.6
102	21.4	32.5
103	21.4	32.5
104	26.6	32.5
105	26.5	32.5
106	25.4	32.5
107	24.4	32.5
108	23.5	32.4
109	22.9	32.4
110	22.5	32.4
111	22.4	32.4
112	22.8	32.4
113	23.5	32.4
114	23.9	32.4
115	24.2	32.4
116	24.6	32.2
117	25.0	32.2
118	25.6	32.2
119	25.8	32.2
120	26.6	32.1
121	21.5	32.1
122	22.1	32.1
123	22.8	32.0
124	23.2	32.0
125	23.5	32.0
126	23.7	32.0
127	24.0	31.9
128	29.5	31.8
129	29.5	31.8
130	28.7	31.8
131	27.9	31.7
132	27.4	31.7
133	27.0	31.7
134	26.9	31.6
135	26.9	31.6
136	27.1	31.6
137	27.8	31.6
138	28.0	31.6
139	28.4	31.6
140	28.7	31.5
141	29.1	31.5
142	29.5	31.4
143	29.8	31.4
144	30.1	31.4
145	24.9	31.4
146	25.0	31.3
147	25.0	31.3
