# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	36.8	173.1
2	39.6	172.0
3	42.3	170.3
4	43.4	168.7
5	44.5	167.6
6	45.6	165.9
7	46.2	165.9
8	68.7	165.4
9	67.6	164.3
10	59.9	163.2
11	52.7	161.5
12	46.7	158.2
13	42.9	157.7
14	40.7	157.2
15	40.7	157.1
16	43.4	156.6
17	47.3	155.5
18	51.1	153.9
19	54.4	153.9
20	57.7	152.8
21	61.0	152.8
22	64.3	152.2
23	68.1	152.2
24	71.4	152.2
25	56.0	152.2
26	63.7	151.1
27	70.9	151.1
28	75.3	150.6
29	79.1	150.6
30	83.5	150.0
31	86.3	150.0
32	111.5	150.0
33	111.5	150.0
34	101.7	149.5
35	93.4	148.9
36	85.7	148.9
37	81.3	148.9
38	79.1	148.9
39	79.1	148.9
40	83.5	148.4
41	90.7	148.4
42	93.4	147.8
43	96.2	147.8
44	98.9	147.3
45	101.1	146.2
46	103.9	146.2
47	106.6	146.2
48	109.3	146.2
49	86.8	145.6
50	85.7	145.6
51	84.6	145.6
52	84.1	145.6
53	83.5	145.6
54	83.0	144.5
55	82.4	144.5
56	103.9	144.5
57	102.8	144.5
58	94.0	144.0
59	86.3	144.0
60	81.3	143.9
61	77.5	143.4
62	75.3	143.4
63	75.3	143.4
64	77.5	143.4
65	81.9	142.8
66	83.5	142.8
67	84.6	142.7
68	85.7	142.7
69	86.8	142.3
70	88.5	142.3
71	89.6	142.3
72	90.7	142.3
73	70.9	141.8
74	74.7	141.2
75	76.9	141.2
76	78.0	141.2
77	79.7	140.7
78	80.8	140.6
79	81.9	140.6
80	104.9	140.1
81	104.9	139.7
82	102.2	139.6
83	100.0	139.6
84	98.9	139.5
85	98.4	139.0
86	97.8	138.5
87	98.4	138.5
88	99.5	138.4
89	101.1	138.4
90	102.8	138.4
91	103.9	137.9
92	105.5	137.8
93	106.6	137.4
94	108.2	137.4
95	109.9	137.4
96	113.2	137.3
97	89.6	137.2
98	89.6	136.8
99	89.6	136.8
100	90.1	136.8
101	89.6	136.8
102	89.6	136.3
103	89.6	136.3
104	111.5	136.2
105	111.0	136.2
106	106.6	135.7
107	102.2	135.6
108	98.4	135.6
109	96.2	135.6
110	94.5	135.6
111	94.0	135.2
112	95.6	135.2
113	98.4	135.1
114	100.0	135.1
115	101.7	135.1
116	103.3	135.1
117	104.9	135.1
118	107.1	135.1
119	108.2	134.6
120	111.5	134.5
121	90.1	134.5
122	92.9	134.5
123	95.6	134.2
124	97.3	134.1
125	98.4	134.0
126	99.5	134.0
127	100.6	133.5
128	123.6	133.4
129	123.6	133.4
130	120.3	133.4
131	117.0	133.0
132	114.8	133.0
133	113.2	133.0
134	112.6	132.9
135	112.6	132.9
136	113.7	132.4
137	116.5	132.4
138	117.6	132.4
139	119.2	131.9
140	120.3	131.9
141	122.0	131.8
142	123.6	131.8
143	124.7	131.8
144	126.4	131.3
145	104.4	131.3
146	104.9	131.3
147	104.9	131.2
148	104.9	131.2
149	104.9	131.2
150	104.9	131.2
151	104.9	130.8
152	126.9	130.8
153	125.3	130.8
154	114.8	130.8
155	105.5	130.8
156	97.3	130.8
157	91.2	130.8
158	87.9	130.8
159	88.5	130.8
160	92.9	130.8
161	98.9	130.6
162	100.6	130.6
163	102.2	130.2
164	103.9	130.2
165	105.5	130.2
166	107.1	130.1
167	109.3	130.1
168	111.0	130.1
169	92.3	129.7
170	94.5	129.7
171	97.3	129.7
172	98.9	129.5
173	100.6	129.5
174	102.2	129.1
175	103.3	129.1
176	126.4	129.1
177	126.4	129.1
178	122.5	129.1
179	120.9	129.1
180	121.4	129.0
181	121.4	129.0
182	116.5	129.0
183	114.3	129.0
184	113.7	129.0
185	116.5	128.6
186	118.7	128.6
187	120.9	128.4
188	122.5	128.4
189	124.7	128.4
190	126.4	128.2
191	128.6	128.0
192	130.8	128.0
193	109.9	128.0
194	111.0	128.0
195	112.1	127.9
196	112.6	127.9
197	113.2	127.9
198	114.3	127.9
199	114.8	127.7
200	136.8	127.5
201	136.3	127.5
202	131.9	127.5
203	128.0	127.3
204	124.7	127.3
205	122.5	127.3
206	122.0	127.3
207	121.4	126.9
208	123.1	126.9
209	126.4	126.9
210	126.9	126.9
211	127.5	126.8
212	129.1	126.8
213	129.1	126.7
214	129.1	126.4
215	129.7	126.4
216	130.8	126.4
217	108.8	126.4
218	108.8	126.4
219	109.3	126.4
220	109.3	126.4
221	109.3	126.4
222	109.3	126.4
223	109.3	126.2
224	131.3	126.2
225	130.8	125.8
226	126.4	125.8
227	122.0	125.8
228	118.7	125.8
229	117.0	125.8
230	115.4	125.7
231	115.4	125.7
232	116.5	125.7
233	119.2	125.7
234	120.3	125.3
235	121.4	125.3
236	123.6	125.3
237	122.0	125.3
238	123.1	125.3
239	123.6	125.1
240	124.2	125.1
241	103.3	124.8
242	103.9	124.8
243	104.4	124.7
244	104.9	124.7
245	104.9	124.7
246	104.9	124.7
247	104.9	124.7
248	127.5	124.7
