# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	13.5	63.6
2	14.5	63.2
3	15.5	62.6
4	15.9	61.9
5	16.3	61.5
6	16.7	60.9
7	16.9	60.9
8	25.2	60.7
9	24.8	60.3
10	22.0	59.9
11	19.4	59.3
12	17.2	58.1
13	15.7	57.9
14	14.9	57.9
15	14.9	57.7
16	15.9	57.5
17	17.4	57.1
18	18.8	56.7
19	20.0	56.5
20	21.2	56.1
21	22.4	56.1
22	23.6	56.1
23	25.0	56.1
24	26.2	56.1
25	20.6	55.9
26	23.4	55.5
27	26.0	55.5
28	27.6	55.5
29	29.1	55.3
30	30.7	55.3
31	31.7	55.1
32	41.0	55.1
33	41.0	55.1
34	37.3	54.9
35	34.3	54.8
36	31.5	54.7
37	29.9	54.7
38	29.1	54.7
39	29.1	54.7
40	30.7	54.7
41	33.3	54.6
42	34.3	54.5
43	35.3	54.3
44	36.3	54.3
45	37.1	54.1
46	38.1	53.8
47	39.1	53.8
48	40.2	53.7
49	31.9	53.7
50	31.5	53.7
51	31.1	53.7
52	30.9	53.6
53	30.7	53.6
54	30.5	53.5
55	30.3	53.5
56	38.1	53.2
57	37.7	53.2
58	34.5	53.1
59	31.7	53.1
60	29.9	53.0
61	28.5	52.9
62	27.6	52.9
63	27.6	52.8
64	28.5	52.8
65	30.1	52.7
66	30.7	52.7
67	31.1	52.6
68	31.5	52.6
69	31.9	52.6
70	32.5	52.4
71	32.9	52.3
72	33.3	52.3
73	26.0	52.3
74	27.4	52.1
75	28.2	52.0
76	28.7	52.0
77	29.3	51.9
78	29.7	51.8
79	30.1	51.8
80	38.5	51.7
81	38.5	51.6
82	37.5	51.5
83	36.7	51.4
84	36.3	51.3
85	36.1	51.3
86	35.9	51.2
87	36.1	51.0
88	36.5	51.0
89	37.1	51.0
90	37.7	50.9
91	38.1	50.8
92	38.7	50.8
93	39.1	50.8
94	39.7	50.6
95	40.4	50.6
96	41.6	50.5
97	32.9	50.4
98	32.9	50.4
99	32.9	50.4
100	33.1	50.2
101	32.9	50.2
102	32.9	50.2
103	32.9	50.2
104	41.0	50.2
105	40.8	50.2
106	39.1	50.0
107	37.5	50.0
108	36.1	50.0
109	35.3	50.0
110	34.7	50.0
111	34.5	50.0
112	35.1	49.8
113	36.1	49.7
114	36.7	49.7
115	37.3	49.7
116	37.9	49.7
117	38.5	49.7
118	39.3	49.7
119	39.7	49.6
120	41.0	49.5
121	33.1	49.5
122	34.1	49.5
123	35.1	49.4
124	35.7	49.4
125	36.1	49.3
126	36.5	49.3
127	36.9	49.2
128	45.4	49.1
129	45.4	49.1
130	44.2	49.1
131	43.0	49.0
132	42.2	49.0
133	41.6	48.9
134	41.4	48.9
135	41.4	48.8
136	41.8	48.8
137	42.8	48.8
138	43.2	48.6
139	43.8	48.6
140	44.2	48.6
141	44.8	48.5
142	45.4	48.5
143	45.8	48.5
144	46.4	48.4
145	38.3	48.4
146	38.5	48.3
147	38.5	48.3
148	38.5	48.3
149	38.5	48.3
150	38.5	48.2
151	38.5	48.2
152	46.6	48.2
153	46.0	48.1
154	42.2	48.1
155	38.7	48.1
156	35.7	48.0
157	33.5	48.0
158	32.3	48.0
159	32.5	48.0
160	34.1	48.0
161	36.3	48.0
162	36.9	48.0
163	37.5	48.0
164	38.1	48.0
165	38.7	48.0
166	39.3	47.9
167	40.2	47.9
168	40.8	47.9
169	33.9	47.8
170	34.7	47.8
171	35.7	47.7
172	36.3	47.7
173	36.9	47.7
174	37.5	47.6
175	37.9	47.6
176	46.4	47.6
177	46.4	47.5
178	45.0	47.5
179	44.4	47.5
180	44.6	47.5
181	44.6	47.5
182	42.8	47.4
183	42.0	47.4
184	41.8	47.4
185	42.8	47.4
186	43.6	47.4
187	44.4	47.4
188	45.0	47.3
189	45.8	47.3
190	46.4	47.3
191	47.2	47.3
192	48.0	47.3
193	40.4	47.2
194	40.8	47.2
195	41.2	47.1
196	41.4	47.1
197	41.6	47.1
198	42.0	47.1
199	42.2	47.1
200	50.2	47.1
201	50.0	47.1
202	48.4	47.0
203	47.0	47.0
204	45.8	47.0
205	45.0	47.0
206	44.8	46.9
207	44.6	46.9
208	45.2	46.9
209	46.4	46.9
210	46.6	46.9
211	46.8	46.9
212	47.4	46.8
213	47.4	46.8
214	47.4	46.8
