# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.8	41.2
2	9.4	40.9
3	10.1	40.5
4	10.3	40.1
5	10.6	39.9
6	10.8	39.5
7	11.0	39.5
8	16.3	39.3
9	16.1	39.1
10	14.2	38.8
11	12.5	38.4
12	11.1	37.6
13	10.2	37.5
14	9.7	37.4
15	9.7	37.4
16	10.3	37.2
17	11.2	37.0
18	12.2	36.6
19	12.9	36.6
20	13.7	36.3
21	14.5	36.3
22	15.3	36.2
23	16.2	36.2
24	17.0	36.2
25	13.3	36.2
26	15.2	35.9
27	16.9	35.9
28	17.9	35.9
29	18.8	35.8
30	19.9	35.7
31	20.5	35.7
32	26.5	35.7
33	26.5	35.7
34	24.2	35.5
35	22.2	35.4
36	20.4	35.4
37	19.3	35.4
38	18.8	35.4
39	18.8	35.4
40	19.9	35.3
41	21.6	35.3
42	22.2	35.1
43	22.9	35.1
44	23.5	35.0
45	24.0	34.8
46	24.7	34.8
47	25.3	34.8
48	26.0	34.8
49	20.6	34.7
50	20.4	34.7
51	20.1	34.6
52	20.0	34.6
53	19.9	34.4
54	19.7	34.4
55	19.6	34.4
56	24.7	34.4
57	24.4	34.4
58	22.3	34.3
59	20.5	34.2
60	19.3	34.2
61	18.4	34.1
62	17.9	34.1
63	17.9	34.1
64	18.4	34.1
65	19.5	34.0
66	19.9	34.0
67	20.1	33.9
68	20.4	33.8
69	20.6	33.8
70	21.0	33.8
71	21.3	33.7
72	21.6	33.7
73	16.9	33.7
74	17.8	33.6
75	18.3	33.6
76	18.6	33.6
77	18.9	33.5
78	19.2	33.5
79	19.5	33.5
80	25.0	33.3
81	25.0	33.2
82	24.3	33.2
83	23.8	33.2
84	23.5	33.1
85	23.4	33.0
86	23.3	33.0
87	23.4	33.0
88	23.7	33.0
89	24.0	32.9
90	24.4	32.9
91	24.7	32.8
92	25.1	32.8
93	25.3	32.7
94	25.7	32.7
95	26.1	32.7
96	26.9	32.7
97	21.3	32.5
98	21.3	32.5
99	21.3	32.5
100	21.4	32.5
101	21.3	32.4
102	21.3	32.4
103	21.3	32.4
104	26.5	32.4
105	26.4	32.4
106	25.3	32.3
107	24.3	32.3
108	23.4	32.3
109	22.9	32.3
110	22.5	32.3
111	22.3	32.2
112	22.7	32.2
113	23.4	32.2
114	23.8	32.2
115	24.2	32.2
116	24.6	32.2
117	25.0	32.1
118	25.5	32.0
119	25.7	32.0
120	26.5	32.0
121	21.4	32.0
122	22.1	31.9
123	22.7	31.9
124	23.1	31.9
125	23.4	31.9
126	23.7	31.8
127	23.9	31.8
128	29.4	31.8
129	29.4	31.8
130	28.6	31.7
131	27.8	31.6
132	27.3	31.6
133	26.9	31.6
134	26.8	31.6
135	26.8	31.6
136	27.0	31.5
137	27.7	31.5
138	28.0	31.5
139	28.4	31.4
140	28.6	31.4
141	29.0	31.4
142	29.4	31.4
143	29.7	31.4
144	30.1	31.2
145	24.8	31.2
146	25.0	31.2
147	25.0	31.2
148	25.0	31.2
149	25.0	31.2
150	25.0	31.1
151	25.0	31.1
152	30.2	31.1
153	29.8	31.1
154	27.3	31.1
155	25.1	31.1
156	23.1	31.1
157	21.7	31.1
158	20.9	31.1
159	21.0	31.1
160	22.1	31.1
161	23.5	31.1
162	23.9	31.0
163	24.3	31.0
164	24.7	31.0
165	25.1	31.0
166	25.5	31.0
167	26.0	31.0
168	26.4	30.8
169	22.0	30.8
170	22.5	30.8
171	23.1	30.8
172	23.5	30.8
173	23.9	30.8
174	24.3	30.7
175	24.6	30.7
176	30.1	30.7
177	30.1	30.7
178	29.1	30.7
179	28.7	30.7
180	28.9	30.7
181	28.9	30.7
182	27.7	30.7
183	27.2	30.7
184	27.0	30.7
185	27.7	30.6
186	28.2	30.6
187	28.7	30.6
188	29.1	30.6
189	29.7	30.6
190	30.1	30.4
191	30.6	30.4
192	31.1	30.4
193	26.1	30.4
194	26.4	30.4
195	26.7	30.4
196	26.8	30.4
197	26.9	30.4
198	27.2	30.3
199	27.3	30.3
200	32.5	30.3
201	32.4	30.3
202	31.4	30.3
203	30.4	30.3
204	29.7	30.3
205	29.1	30.3
206	29.0	30.2
207	28.9	30.2
208	29.3	30.2
209	30.1	30.2
210	30.2	30.2
211	30.3	30.2
212	30.7	30.2
213	30.7	30.1
214	30.7	30.1
215	30.8	30.1
216	31.1	30.1
217	25.9	30.1
218	25.9	30.1
219	26.0	30.1
220	26.0	30.1
221	26.0	30.1
222	26.0	30.1
223	26.0	30.1
224	31.2	29.9
225	31.1	29.9
226	30.1	29.9
227	29.0	29.9
228	28.2	29.9
229	27.8	29.9
230	27.4	29.9
231	27.4	29.9
232	27.7	29.8
233	28.4	29.8
234	28.6	29.8
235	28.9	29.8
236	29.4	29.7
237	29.0	29.7
238	29.3	29.7
239	29.4	29.7
240	29.5	29.7
241	24.6	29.7
242	24.7	29.7
243	24.8	29.7
244	25.0	29.7
245	25.0	29.7
246	25.0	29.7
247	25.0	29.6
248	30.3	29.6
249	30.1	29.6
250	28.2	29.5
251	26.5	29.5
252	25.0	29.5
253	23.9	29.5
254	23.3	29.5
255	23.1	29.5
256	23.7	29.5
257	24.7	29.5
258	25.5	29.5
259	26.3	29.5
260	26.9	29.5
261	27.7	29.4
262	28.5	29.4
263	29.3	29.4
264	29.9	29.4
265	26.1	29.4
266	28.0	29.4
267	29.7	29.4
268	30.7	29.4
269	31.6	29.4
270	32.7	29.4
271	33.5	29.4
272	39.5	29.3
273	39.3	29.3
274	38.4	29.3
275	37.5	29.3
276	36.3	29.3
277	35.9	29.3
278	36.6	29.3
279	37.0	29.3
280	37.6	29.3
281	38.8	29.3
282	39.1	29.3
283	39.5	29.3
284	39.9	29.3
285	40.1	29.2
286	40.5	29.2
287	40.9	29.2
288	41.2	29.1
289	35.4	29.1
290	35.0	29.1
291	33.6	29.1
292	32.9	29.1
293	32.4	29.1
294	31.9	29.1
295	31.5	29.1
296	36.3	29.1
297	35.9	29.0
298	34.2	29.0
299	32.7	29.0
300	31.5	29.0
301	30.6	29.0
302	30.2	29.0
303	30.1	29.0
304	30.4	29.0
305	31.2	29.0
306	31.1	29.0
307	31.1	29.0
308	31.1	29.0
309	31.1	29.0
310	31.2	29.0
311	31.0	29.0
312	31.0	28.9
313	26.3	28.9
314	26.8	28.9
315	27.3	28.9
316	27.6	28.9
317	28.0	28.9
318	28.2	28.9
319	28.5	28.9
320	33.8	28.9
321	33.8	28.9
322	33.2	28.9
323	32.1	28.8
324	31.5	28.8
325	31.1	28.7
326	30.8	28.7
327	30.8	28.7
328	31.1	28.7
329	31.6	28.7
330	32.3	28.7
331	32.7	28.6
332	33.2	28.6
333	33.7	28.6
334	34.1	28.6
335	34.6	28.6
336	35.1	28.6
337	30.7	28.6
338	30.7	28.6
339	31.1	28.6
340	31.4	28.6
341	31.6	28.5
342	31.8	28.5
343	32.0	28.5
344	37.4	28.5
345	37.2	28.5
346	36.2	28.5
347	35.4	28.4
348	34.8	28.4
349	34.2	28.3
350	34.1	28.3
351	34.4	28.3
352	34.8	28.3
353	35.3	28.3
354	35.4	28.3
355	35.4	28.2
356	35.5	28.2
357	35.7	28.2
358	35.7	28.2
359	35.7	28.2
360	35.8	28.2
361	30.4	28.2
362	30.3	28.2
363	30.2	28.2
364	29.9	28.2
365	29.8	28.2
366	29.7	28.2
367	29.5	28.2
368	34.6	28.2
369	34.4	28.1
370	33.8	28.1
371	33.3	28.1
372	32.9	28.1
373	32.5	28.0
374	29.4	28.0
375	27.7	28.0
376	27.2	28.0
377	28.2	27.9
378	28.5	27.9
379	28.6	27.9
380	28.9	27.9
381	29.1	27.9
382	29.3	27.9
383	29.5	27.9
384	29.7	27.8
385	25.1	27.8
386	25.6	27.8
387	26.3	27.8
388	26.5	27.8
389	26.8	27.8
390	27.2	27.8
391	27.3	27.8
392	32.8	27.7
393	32.5	27.7
394	29.0	27.7
395	25.7	27.7
396	22.9	27.7
397	21.0	27.7
398	20.1	27.7
399	20.1	27.7
400	21.4	27.7
401	23.8	27.7
402	24.0	27.6
403	24.4	27.6
404	24.7	27.5
405	25.1	27.5
406	25.3	27.5
407	25.7	27.5
408	26.0	27.5
409	21.0	27.5
410	21.2	27.5
411	21.4	27.5
412	21.4	27.4
413	21.6	27.4
414	21.6	27.4
415	21.6	27.4
416	26.9	27.4
417	26.7	27.4
418	26.3	27.4
419	25.7	27.4
420	25.3	27.3
421	24.8	27.3
422	21.4	27.3
423	19.7	27.3
424	19.2	27.3
425	20.4	27.3
426	20.6	27.3
427	20.9	27.3
428	21.2	27.3
429	21.3	27.3
430	21.6	27.3
431	21.8	27.3
432	22.1	27.2
433	17.2	27.2
434	17.6	27.2
435	18.0	27.2
436	18.2	27.2
437	18.3	27.2
438	18.6	27.2
439	18.6	27.2
440	23.9	27.2
441	23.8	27.2
442	23.4	27.2
443	23.1	27.2
444	22.7	27.2
445	22.6	27.1
446	19.6	27.1
447	17.6	27.0
448	16.9	27.0
449	17.9	27.0
450	18.3	27.0
451	18.8	27.0
452	19.2	27.0
453	19.7	27.0
454	20.3	27.0
455	20.6	27.0
456	21.2	27.0
457	16.5	27.0
458	17.1	26.9
459	17.8	26.9
460	18.2	26.9
461	18.6	26.9
462	18.9	26.9
463	19.1	26.9
464	24.6	26.9
465	24.4	26.9
466	24.0	26.9
467	23.9	26.9
468	23.5	26.9
469	23.3	26.8
470	20.8	26.8
471	19.7	26.8
472	19.5	26.8
473	20.4	26.8
474	20.6	26.8
475	20.8	26.8
476	21.0	26.8
477	21.3	26.8
478	21.4	26.8
479	21.7	26.8
480	21.8	26.8
481	16.6	26.8
482	16.6	26.8
483	16.5	26.8
484	16.5	26.8
485	16.3	26.7
486	16.3	26.7
487	16.2	26.6
488	21.4	26.6
489	21.2	26.6
490	18.9	26.6
491	16.9	26.6
492	14.9	26.6
493	13.3	26.6
494	12.3	26.5
495	12.2	26.5
496	12.8	26.5
497	14.2	26.5
498	14.6	26.5
499	15.2	26.5
500	15.5	26.5
501	16.1	26.5
502	16.6	26.5
503	17.0	26.5
504	17.5	26.4
505	13.1	26.4
506	13.7	26.4
507	14.5	26.4
508	14.8	26.4
509	15.2	26.4
510	15.4	26.4
511	15.7	26.4
512	21.0	26.4
513	20.8	26.3
514	18.3	26.3
515	16.3	26.3
516	14.1	26.3
517	12.7	26.3
518	10.8	26.3
519	10.1	26.3
520	10.2	26.3
521	11.9	26.2
522	13.1	26.2
523	14.1	26.2
524	15.3	26.2
525	16.5	26.2
526	17.5	26.2
527	18.7	26.2
528	19.7	26.2
529	15.8	26.2
530	17.2	26.2
531	18.6	26.1
532	19.3	26.1
533	20.0	26.1
534	20.8	26.1
535	21.2	26.1
536	26.9	26.1
537	26.1	26.1
538	22.0	26.1
539	18.3	26.1
540	15.5	26.1
541	13.5	26.1
542	12.3	26.1
543	12.2	26.1
544	13.2	26.1
545	15.8	26.1
546	17.4	26.1
547	18.9	26.1
548	20.5	26.1
549	22.1	26.1
550	23.7	26.0
551	25.2	26.0
552	26.8	26.0
553	23.0	26.0
554	24.6	26.0
555	26.1	26.0
556	27.0	26.0
557	28.0	26.0
558	28.9	26.0
559	29.5	26.0
560	35.4	26.0
561	35.1	25.9
562	32.5	25.9
563	29.9	25.9
564	28.2	25.9
565	27.3	25.9
566	26.0	25.9
567	25.6	25.9
568	25.9	25.9
569	27.8	25.9
570	28.2	25.8
571	28.6	25.8
572	28.9	25.8
573	29.3	25.8
574	29.7	25.8
575	30.1	25.8
576	30.4	25.8
577	24.7	25.8
578	24.2	25.8
579	23.7	25.7
580	23.3	25.7
581	23.0	25.7
582	22.6	25.7
583	22.3	25.7
584	27.4	25.7
585	27.0	25.7
586	26.0	25.7
587	26.3	25.7
588	24.7	25.7
589	23.8	25.7
590	23.5	25.7
591	23.7	25.7
592	23.4	25.7
593	24.3	25.7
594	24.4	25.6
595	24.3	25.6
596	24.2	25.6
597	24.2	25.6
598	24.2	25.6
599	24.0	25.6
600	23.9	25.6
601	19.1	25.6
602	19.3	25.6
603	19.6	25.6
604	19.7	25.5
605	19.9	25.5
606	20.0	25.5
607	20.1	25.5
608	25.3	25.5
609	24.2	25.5
610	21.2	25.5
611	19.6	25.5
612	18.2	25.5
613	15.3	25.5
614	13.3	25.4
615	12.2	25.4
616	12.0	25.4
617	13.5	25.4
618	15.5	25.4
619	15.9	25.4
620	16.2	25.3
621	16.6	25.3
622	17.0	25.3
623	17.4	25.3
624	17.8	25.3
625	12.9	25.3
626	13.5	25.3
627	14.0	25.3
628	14.2	25.3
629	14.5	25.3
630	14.8	25.3
631	14.9	25.3
632	20.4	25.3
633	20.3	25.2
634	19.9	25.2
635	19.5	25.2
636	19.3	25.2
637	19.1	25.2
638	19.7	25.2
639	18.9	25.2
640	19.5	25.2
641	19.5	25.2
642	19.7	25.2
643	20.1	25.2
644	20.8	25.2
645	21.0	25.2
646	21.4	25.2
647	21.8	25.2
648	22.3	25.1
649	17.5	25.1
650	18.2	25.1
651	18.8	25.1
652	18.9	25.1
653	19.2	25.1
654	19.6	25.1
655	19.7	25.1
656	25.2	25.1
657	24.8	25.0
658	23.4	25.0
659	22.9	25.0
660	22.0	25.0
661	21.3	25.0
662	20.9	25.0
663	21.0	25.0
664	21.4	25.0
665	22.1	25.0
666	22.7	25.0
667	23.1	25.0
668	23.4	25.0
669	23.7	25.0
670	24.0	25.0
671	24.3	25.0
672	24.7	25.0
673	19.6	25.0
674	19.6	25.0
675	19.7	25.0
676	19.7	25.0
677	19.7	25.0
678	19.7	25.0
679	19.7	25.0
680	25.0	25.0
681	24.6	24.9
682	22.1	24.9
683	20.3	24.9
684	17.5	24.9
685	15.2	24.9
686	14.4	24.9
687	14.4	24.9
688	15.3	24.9
689	16.3	24.9
690	17.9	24.9
691	18.0	24.9
692	18.3	24.9
693	18.6	24.8
694	18.8	24.8
695	19.1	24.8
696	19.3	24.8
697	14.5	24.8
698	15.0	24.8
699	15.4	24.8
700	15.7	24.8
701	15.9	24.8
702	16.1	24.8
703	16.3	24.7
704	21.7	24.7
705	21.3	24.7
706	20.5	24.7
707	19.7	24.7
708	19.3	24.7
709	19.2	24.7
710	16.1	24.7
711	14.4	24.7
712	13.9	24.7
713	14.6	24.6
714	15.8	24.6
715	16.1	24.6
716	16.5	24.6
717	16.7	24.6
718	17.0	24.6
719	17.2	24.6
720	17.6	24.6
721	12.7	24.6
722	12.9	24.6
723	13.2	24.6
724	13.2	24.6
725	13.3	24.6
726	13.3	24.6
727	13.5	24.5
728	18.7	24.5
729	18.3	24.5
730	16.5	24.5
731	15.2	24.5
732	13.6	24.5
733	11.8	24.5
734	10.5	24.5
735	9.8	24.5
736	11.4	24.5
737	12.5	24.5
738	13.6	24.5
739	13.9	24.4
740	14.0	24.4
741	14.1	24.4
742	14.2	24.4
743	14.5	24.4
744	14.6	24.4
745	8.8	24.4
746	9.3	24.4
747	9.7	24.4
748	10.0	24.4
749	10.2	24.4
750	10.4	24.4
751	10.6	24.4
752	15.4	24.4
753	15.3	24.4
754	13.9	24.3
755	13.7	24.3
756	12.8	24.3
757	11.7	24.3
758	11.4	24.3
759	11.4	24.3
760	11.4	24.3
761	11.6	24.3
762	12.3	24.3
763	12.8	24.3
764	13.3	24.3
765	13.7	24.3
766	14.3	24.2
767	14.7	24.2
768	15.1	24.2
769	10.8	24.2
770	11.2	24.2
771	11.5	24.2
772	11.7	24.2
773	11.9	24.2
774	12.0	24.2
775	12.0	24.2
776	16.7	24.2
777	15.7	24.2
778	14.3	24.2
779	13.7	24.1
780	12.7	24.1
781	11.4	24.1
782	12.1	24.1
783	12.8	24.1
784	13.4	24.1
785	13.7	24.1
786	14.2	24.1
787	14.7	24.1
788	15.0	24.1
789	15.5	24.1
790	16.0	24.1
791	16.3	24.0
792	16.8	24.0
793	12.9	24.0
794	14.0	24.0
795	14.3	24.0
796	14.7	24.0
797	15.0	24.0
798	15.3	24.0
799	15.5	24.0
800	20.3	24.0
801	20.1	24.0
802	19.5	24.0
803	18.7	24.0
804	18.3	24.0
805	18.1	23.9
806	18.1	23.9
807	18.0	23.9
808	18.0	23.9
809	18.3	23.9
810	18.8	23.9
811	19.4	23.9
812	20.0	23.9
813	20.7	23.9
814	21.2	23.9
815	21.9	23.9
816	22.7	23.9
817	18.9	23.9
818	20.1	23.9
819	21.2	23.9
820	21.8	23.9
821	22.5	23.9
822	23.0	23.9
823	23.4	23.9
824	28.2	23.9
825	27.5	23.9
826	26.3	23.8
827	25.5	23.8
828	24.6	23.8
829	24.4	23.8
830	24.5	23.8
831	25.2	23.8
832	26.1	23.8
833	26.8	23.8
834	27.3	23.8
835	27.2	23.8
836	27.1	23.8
837	27.0	23.8
838	26.8	23.8
839	26.6	23.8
840	26.5	23.7
841	21.5	23.7
842	20.9	23.7
843	20.4	23.7
844	20.1	23.7
845	20.0	23.7
846	19.6	23.7
847	19.2	23.7
848	23.8	23.7
849	23.5	23.7
850	23.0	23.7
851	22.7	23.7
852	22.3	23.7
853	21.9	23.7
854	19.4	23.7
855	17.8	23.7
856	17.1	23.6
857	17.3	23.6
858	18.1	23.6
859	18.3	23.6
860	18.5	23.6
861	18.9	23.6
862	19.1	23.6
863	19.4	23.6
864	19.7	23.5
865	15.8	23.5
866	16.7	23.5
867	17.6	23.5
868	18.1	23.5
869	18.5	23.5
870	18.9	23.5
871	19.2	23.5
872	24.1	23.5
873	24.1	23.5
874	23.9	23.5
875	23.8	23.5
876	23.8	23.5
877	24.1	23.5
878	22.7	23.5
879	22.1	23.4
880	21.8	23.4
881	22.1	23.4
882	22.5	23.4
883	22.7	23.4
884	22.9	23.4
885	23.0	23.4
886	23.2	23.4
887	23.4	23.4
888	23.5	23.4
889	18.7	23.4
890	18.4	23.4
891	18.2	23.4
892	18.1	23.4
893	18.0	23.4
894	17.8	23.4
895	17.7	23.4
896	22.4	23.3
897	22.2	23.3
898	21.2	23.3
899	20.4	23.3
900	19.7	23.3
901	19.4	23.3
902	18.9	23.3
903	18.8	23.3
904	18.8	23.3
905	19.1	23.3
906	19.5	23.3
907	19.7	23.3
908	20.0	23.3
909	20.3	23.2
910	20.5	23.2
911	21.4	23.2
912	21.1	23.2
913	17.5	23.2
914	18.7	23.1
915	20.0	23.1
916	20.7	23.1
917	21.2	23.1
918	21.8	23.1
919	22.3	23.1
920	27.0	23.1
921	26.6	23.1
922	25.9	23.1
923	25.2	23.1
924	24.5	23.1
925	24.2	23.1
926	23.9	23.1
927	23.9	23.1
928	24.2	23.0
929	24.6	23.0
930	25.4	23.0
931	25.9	23.0
932	26.6	23.0
933	27.3	23.0
934	28.2	23.0
935	28.8	23.0
936	29.5	23.0
937	25.0	23.0
938	25.2	23.0
939	25.6	23.0
940	25.7	23.0
941	25.8	22.9
942	25.9	22.9
943	26.1	22.9
944	30.8	22.9
945	29.7	22.9
946	27.9	22.9
947	26.3	22.9
948	24.8	22.9
949	23.7	22.9
950	23.1	22.9
951	22.9	22.9
952	23.1	22.9
953	23.9	22.9
954	25.1	22.8
955	25.2	22.8
956	25.5	22.8
957	25.6	22.8
958	25.8	22.8
959	25.9	22.8
960	26.1	22.8
961	21.5	22.8
962	21.8	22.8
963	21.7	22.8
964	21.8	22.8
965	21.8	22.8
966	21.8	22.8
967	21.8	22.8
968	26.4	22.8
969	26.2	22.8
970	25.0	22.8
971	24.1	22.7
972	22.8	22.7
973	22.3	22.7
974	21.9	22.7
975	21.8	22.7
976	22.2	22.7
977	22.8	22.7
978	23.4	22.7
979	23.7	22.7
980	24.5	22.7
981	24.4	22.7
982	24.6	22.7
983	25.0	22.7
