# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	13.5	63.6
2	14.5	63.2
3	15.5	62.6
4	15.9	62.0
5	16.3	61.6
6	16.7	60.9
7	17.0	60.9
8	25.2	60.7
9	24.8	60.3
10	22.0	59.9
11	19.4	59.3
12	17.2	58.1
13	15.7	58.0
14	14.9	57.9
15	14.9	57.7
16	15.9	57.5
17	17.4	57.1
18	18.8	56.8
19	20.0	56.5
20	21.2	56.2
21	22.4	56.2
22	23.6	56.2
23	25.0	56.1
24	26.2	56.1
25	20.6	55.9
26	23.4	55.6
27	26.0	55.5
28	27.6	55.5
29	29.1	55.4
30	30.7	55.3
31	31.7	55.1
32	41.0	55.1
33	41.0	55.1
34	37.3	54.9
35	34.3	54.7
36	31.5	54.7
37	29.9	54.7
38	29.1	54.7
39	29.1	54.7
40	30.7	54.7
41	33.3	54.5
42	34.3	54.3
43	35.3	54.3
44	36.3	54.1
45	37.1	53.9
46	38.1	53.9
47	39.1	53.7
48	40.2	53.7
49	31.9	53.7
50	31.5	53.7
51	31.1	53.5
52	30.9	53.5
53	30.7	53.4
54	30.5	53.3
55	30.3	53.3
56	38.1	53.1
57	37.7	53.1
58	34.5	53.1
59	31.7	52.9
60	29.9	52.9
61	28.5	52.9
62	27.6	52.9
63	27.6	52.7
64	28.5	52.7
65	30.1	52.7
66	30.7	52.7
67	31.1	52.5
68	31.5	52.3
69	31.9	52.3
70	32.5	52.3
71	32.9	52.3
72	33.3	52.3
73	26.0	52.1
74	27.4	52.1
75	28.3	52.1
76	28.7	51.9
77	29.3	51.9
78	29.7	51.9
79	30.1	51.7
80	38.5	51.5
81	38.5	51.5
82	37.5	51.3
83	36.7	51.3
84	36.3	51.3
85	36.1	51.2
86	35.9	51.1
87	36.1	51.1
88	36.5	51.1
89	37.1	50.9
90	37.7	50.9
91	38.1	50.9
92	38.7	50.7
93	39.1	50.7
94	39.8	50.5
95	40.4	50.5
96	41.6	50.5
97	32.9	50.3
98	32.9	50.2
99	32.9	50.2
100	33.1	50.2
101	32.9	50.2
102	32.9	50.2
103	32.9	50.2
104	41.0	50.0
105	40.8	50.0
106	39.1	50.0
107	37.5	50.0
108	36.1	50.0
109	35.3	50.0
110	34.7	49.8
111	34.5	49.8
112	35.1	49.8
113	36.1	49.8
114	36.7	49.8
115	37.3	49.8
116	37.9	49.8
117	38.5	49.6
118	39.4	49.6
119	39.8	49.6
120	41.0	49.6
121	33.1	49.5
122	34.1	49.4
123	35.1	49.4
124	35.7	49.4
125	36.1	49.2
126	36.5	49.2
127	36.9	49.2
128	45.4	49.2
129	45.4	49.2
130	44.2	49.0
131	43.0	49.0
132	42.2	49.0
133	41.6	48.8
134	41.4	48.8
135	41.4	48.8
136	41.8	48.6
137	42.8	48.6
138	43.2	48.6
139	43.8	48.6
140	44.2	48.6
141	44.8	48.6
142	45.4	48.4
143	45.8	48.4
144	46.4	48.4
145	38.3	48.4
146	38.5	48.4
147	38.5	48.2
148	38.5	48.2
149	38.5	48.2
150	38.5	48.2
151	38.5	48.2
152	46.6	48.1
153	46.0	48.0
154	42.2	48.0
155	38.7	48.0
156	35.7	48.0
157	33.5	48.0
158	32.3	48.0
159	32.5	48.0
160	34.1	48.0
161	36.3	48.0
162	36.9	48.0
163	37.5	48.0
164	38.1	48.0
165	38.7	48.0
166	39.4	47.8
167	40.2	47.8
168	40.8	47.8
169	33.9	47.8
170	34.7	47.7
171	35.7	47.6
172	36.3	47.6
173	36.9	47.6
174	37.5	47.6
175	37.9	47.6
176	46.4	47.6
177	46.4	47.6
178	45.0	47.6
179	44.4	47.4
180	44.6	47.4
181	44.6	47.4
182	42.8	47.4
183	42.0	47.4
184	41.8	47.4
185	42.8	47.4
186	43.6	47.4
187	44.4	47.4
188	45.0	47.2
189	45.8	47.2
190	46.4	47.2
191	47.2	47.2
192	48.0	47.2
193	40.4	47.2
194	40.8	47.0
195	41.2	47.0
196	41.4	47.0
197	41.6	47.0
198	42.0	47.0
199	42.2	47.0
200	50.2	47.0
201	50.0	47.0
202	48.4	47.0
203	47.0	46.8
204	45.8	46.8
205	45.0	46.8
206	44.8	46.8
207	44.6	46.8
208	45.2	46.8
209	46.4	46.6
210	46.6	46.6
211	46.8	46.6
212	47.4	46.6
213	47.4	46.6
214	47.4	46.6
