# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	27.7	130.3
2	29.8	129.4
3	31.8	128.2
4	32.7	127.0
5	33.5	126.1
6	34.3	124.9
7	34.7	124.9
8	51.7	124.5
9	50.9	123.7
10	45.1	122.8
11	39.7	121.6
12	35.2	119.1
13	32.3	118.7
14	30.6	118.5
15	30.6	118.3
16	32.7	117.9
17	35.6	117.0
18	38.5	116.0
19	40.9	115.8
20	43.4	115.0
21	45.9	115.0
22	48.4	114.7
23	51.3	114.7
24	53.8	114.7
25	42.2	114.6
26	48.0	113.7
27	53.3	113.7
28	56.7	113.5
29	59.6	113.3
30	62.9	113.1
31	64.9	113.1
32	84.0	112.9
33	84.0	112.9
34	76.5	112.9
35	70.3	112.5
36	64.5	112.1
37	61.2	112.1
38	59.6	112.1
39	59.6	112.1
40	62.9	112.1
41	68.2	111.8
42	70.3	111.7
43	72.4	111.2
44	74.4	111.2
45	76.1	110.8
46	78.2	110.8
47	80.2	110.8
48	82.3	110.2
49	65.3	110.2
50	64.5	110.0
51	63.7	110.0
52	63.3	109.7
53	62.9	109.7
54	62.4	109.6
55	62.0	109.6
56	78.2	108.9
57	77.3	108.9
58	70.7	108.8
59	64.9	108.8
60	61.2	108.5
61	58.3	108.5
62	56.7	108.4
63	56.7	108.4
64	58.3	108.1
65	61.6	108.1
66	62.9	107.9
67	63.7	107.9
68	64.5	107.7
69	65.3	107.7
70	66.6	107.2
71	67.4	107.1
72	68.2	107.1
73	53.3	107.1
74	56.2	106.7
75	57.9	106.6
76	58.7	106.4
77	60.0	106.4
78	60.8	106.3
79	61.6	106.0
80	79.0	106.0
81	79.0	105.9
82	76.9	105.5
83	75.3	105.2
84	74.4	105.0
85	74.0	105.0
86	73.6	105.0
87	74.0	104.7
88	74.9	104.3
89	76.1	104.3
90	77.3	104.3
91	78.2	104.3
92	79.4	104.2
93	80.2	104.2
94	81.5	103.9
95	82.7	103.8
96	85.2	103.5
97	67.4	103.4
98	67.4	103.4
99	67.4	103.4
100	67.8	103.0
101	67.4	103.0
102	67.4	103.0
103	67.4	103.0
104	84.0	102.6
105	83.5	102.6
106	80.2	102.6
107	76.9	102.6
108	74.0	102.2
109	72.4	102.2
110	71.1	102.2
111	70.7	102.2
112	72.0	102.1
113	74.0	101.9
114	75.3	101.8
115	76.5	101.8
116	77.7	101.8
117	79.0	101.8
118	80.6	101.8
119	81.5	101.8
120	84.0	101.7
121	67.8	101.4
122	69.9	101.4
