# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.5	77.4
2	17.7	77.0
3	18.9	76.2
4	19.4	75.5
5	19.9	75.0
6	20.4	74.3
7	20.7	74.3
8	30.7	74.0
9	30.2	73.5
10	26.8	73.0
11	23.6	72.3
12	20.9	70.8
13	19.2	70.6
14	18.2	70.5
15	18.2	70.3
16	19.4	70.1
17	21.1	69.6
18	22.9	69.0
19	24.3	68.8
20	25.8	68.4
21	27.3	68.4
22	28.8	68.3
23	30.5	68.3
24	32.0	68.3
25	25.1	68.1
26	28.5	67.6
27	31.7	67.6
28	33.7	67.5
29	35.4	67.4
30	37.4	67.3
31	38.6	67.1
32	49.9	67.1
33	49.9	67.1
34	45.5	66.9
35	41.8	66.7
36	38.4	66.6
37	36.4	66.6
38	35.4	66.6
39	35.4	66.6
40	37.4	66.6
41	40.6	66.5
42	41.8	66.4
43	43.0	66.1
44	44.3	66.1
45	45.2	65.9
46	46.5	65.5
47	47.7	65.5
48	48.9	65.4
49	38.8	65.4
50	38.4	65.3
51	37.9	65.3
52	37.6	65.3
53	37.4	65.3
54	37.1	65.2
55	36.9	65.2
56	46.5	64.8
57	46.0	64.8
58	42.0	64.7
59	38.6	64.7
60	36.4	64.5
61	34.7	64.4
62	33.7	64.4
63	33.7	64.3
64	34.7	64.3
65	36.6	64.2
66	37.4	64.2
67	37.9	64.0
68	38.4	64.0
69	38.8	64.0
70	39.6	63.8
71	40.1	63.7
72	40.6	63.7
73	31.7	63.7
74	33.4	63.4
75	34.4	63.3
76	34.9	63.3
77	35.7	63.2
78	36.1	63.0
79	36.6	63.0
80	47.0	62.9
81	47.0	62.8
82	45.7	62.7
83	44.7	62.6
84	44.3	62.5
85	44.0	62.5
86	43.8	62.3
87	44.0	62.1
88	44.5	62.1
89	45.2	62.1
90	46.0	62.0
91	46.5	62.0
92	47.2	61.9
93	47.7	61.8
94	48.4	61.7
95	49.2	61.6
96	50.6	61.5
97	40.1	61.5
98	40.1	61.5
99	40.1	61.5
100	40.3	61.2
101	40.1	61.2
102	40.1	61.2
103	40.1	61.2
104	49.9	61.1
105	49.7	61.1
106	47.7	61.0
107	45.7	61.0
108	44.0	60.8
109	43.0	60.8
110	42.3	60.8
111	42.0	60.8
112	42.8	60.7
113	44.0	60.6
114	44.7	60.6
115	45.5	60.6
116	46.2	60.6
117	47.0	60.6
118	47.9	60.6
119	48.4	60.5
120	49.9	60.3
121	40.3	60.3
122	41.6	60.3
123	42.8	60.2
124	43.5	60.1
125	44.0	60.1
126	44.5	60.1
127	45.0	60.0
128	55.3	59.8
129	55.3	59.8
130	53.8	59.8
131	52.4	59.7
132	51.4	59.7
133	50.6	59.6
134	50.4	59.6
135	50.4	59.5
136	50.9	59.5
137	52.1	59.5
138	52.6	59.3
139	53.4	59.3
140	53.8	59.3
141	54.6	59.1
142	55.3	59.1
143	55.8	59.1
144	56.5	59.0
145	46.7	59.0
146	47.0	58.8
147	47.0	58.8
148	47.0	58.8
149	47.0	58.8
150	47.0	58.8
151	47.0	58.8
152	56.8	58.7
153	56.1	58.6
154	51.4	58.6
155	47.2	58.5
156	43.5	58.5
157	40.8	58.5
158	39.3	58.5
159	39.6	58.5
160	41.6	58.5
161	44.3	58.5
162	45.0	58.5
163	45.7	58.5
164	46.5	58.5
165	47.2	58.5
166	47.9	58.3
167	48.9	58.3
168	49.7	58.3
169	41.3	58.3
170	42.3	58.3
171	43.5	58.1
172	44.3	58.1
173	45.0	58.1
174	45.7	58.0
175	46.2	58.0
176	56.5	58.0
177	56.5	57.8
178	54.8	57.8
179	54.1	57.8
180	54.3	57.8
181	54.3	57.8
182	52.1	57.8
183	51.1	57.8
184	50.9	57.8
185	52.1	57.8
186	53.1	57.8
187	54.1	57.8
188	54.8	57.6
189	55.8	57.6
190	56.5	57.6
191	57.5	57.6
192	58.5	57.6
193	49.2	57.5
194	49.7	57.5
195	50.2	57.4
196	50.4	57.4
197	50.6	57.4
198	51.1	57.3
199	51.4	57.3
200	61.2	57.3
201	61.0	57.3
202	59.0	57.3
203	57.3	57.3
204	55.8	57.3
205	54.8	57.3
206	54.6	57.1
207	54.3	57.1
208	55.1	57.1
209	56.5	57.1
210	56.8	57.1
211	57.0	57.1
212	57.8	57.0
213	57.8	57.0
214	57.8	57.0
215	58.0	56.9
216	58.5	56.9
217	48.7	56.8
218	48.7	56.8
219	48.9	56.8
220	48.9	56.8
221	48.9	56.8
222	48.9	56.8
223	48.9	56.7
224	58.8	56.7
225	58.5	56.7
226	56.5	56.6
227	54.6	56.6
228	53.1	56.5
229	52.4	56.5
230	51.6	56.5
231	51.6	56.5
232	52.1	56.5
233	53.4	56.5
234	53.8	56.5
235	54.3	56.5
236	55.3	56.5
237	54.6	56.5
238	55.1	56.5
239	55.3	56.3
240	55.6	56.3
241	46.2	56.3
242	46.5	56.3
243	46.7	56.3
244	47.0	56.3
245	47.0	56.3
246	47.0	56.2
247	47.0	56.2
248	57.0	56.2
249	56.5	56.1
250	53.1	56.1
251	49.9	56.1
252	47.0	56.1
253	45.0	56.0
254	43.8	55.9
255	43.5	55.9
256	44.5	55.8
257	46.5	55.8
258	47.9	55.8
