# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.7	27.0
2	6.2	26.8
3	6.6	26.5
4	6.8	26.3
5	6.9	26.1
6	7.1	25.8
7	7.2	25.8
8	10.7	25.8
9	10.5	25.6
10	9.3	25.4
11	8.2	25.2
12	7.3	24.6
13	6.7	24.6
14	6.3	24.6
15	6.3	24.5
16	6.8	24.4
17	7.4	24.2
18	8.0	24.1
19	8.5	24.0
20	9.0	23.8
21	9.5	23.8
22	10.0	23.8
23	10.6	23.8
24	11.1	23.8
25	8.7	23.7
26	9.9	23.6
27	11.0	23.5
28	11.7	23.5
29	12.3	23.5
30	13.0	23.4
31	13.4	23.4
32	17.4	23.4
33	17.4	23.4
34	15.8	23.3
35	14.5	23.2
36	13.3	23.2
37	12.7	23.2
38	12.3	23.2
39	12.3	23.2
40	13.0	23.2
41	14.1	23.1
42	14.5	23.0
43	15.0	23.0
44	15.4	22.9
45	15.7	22.9
46	16.2	22.9
47	16.6	22.8
48	17.0	22.8
49	13.5	22.8
50	13.3	22.8
51	13.2	22.7
52	13.1	22.7
53	13.0	22.6
54	12.9	22.6
55	12.8	22.6
56	16.2	22.5
57	16.0	22.5
58	14.6	22.5
59	13.4	22.4
60	12.7	22.4
61	12.1	22.4
62	11.7	22.4
63	11.7	22.4
64	12.1	22.4
65	12.7	22.3
66	13.0	22.3
67	13.2	22.3
68	13.3	22.2
69	13.5	22.2
70	13.8	22.2
71	13.9	22.1
72	14.1	22.1
73	11.0	22.1
74	11.6	22.1
75	12.0	22.1
76	12.2	22.0
77	12.4	22.0
78	12.6	22.0
79	12.7	21.9
80	16.3	21.8
81	16.3	21.8
82	15.9	21.8
83	15.6	21.7
84	15.4	21.7
85	15.3	21.7
86	15.2	21.7
87	15.3	21.7
88	15.5	21.6
89	15.7	21.6
90	16.0	21.6
91	16.2	21.6
92	16.4	21.5
93	16.6	21.5
94	16.9	21.4
95	17.1	21.4
96	17.6	21.4
