# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	26.2	100.9
2	27.7	100.3
3	29.2	99.4
4	29.8	98.5
5	30.4	97.9
6	31.0	97.0
7	31.3	97.0
8	43.7	96.7
9	43.1	96.1
10	38.9	95.5
11	35.0	94.6
12	31.6	92.8
13	29.5	92.5
14	28.3	92.2
15	28.3	92.2
16	29.8	91.9
17	31.9	91.3
18	34.0	90.4
19	35.9	90.4
20	37.7	89.8
21	39.5	89.8
22	41.3	89.5
23	43.4	89.5
24	45.2	89.4
25	36.8	89.4
26	41.0	89.4
27	44.9	88.9
28	47.3	88.9
29	49.4	88.6
30	51.8	88.5
31	53.3	88.3
32	67.2	88.3
33	67.2	88.3
34	61.8	88.2
35	57.2	88.0
36	53.0	87.8
37	50.6	87.8
38	49.4	87.7
39	49.4	87.7
40	51.8	87.7
41	55.7	87.7
42	57.2	87.7
43	58.8	87.4
44	60.3	87.3
45	61.5	87.1
46	63.0	87.1
47	64.5	86.8
48	66.0	86.2
49	53.6	86.2
50	53.0	86.1
51	52.4	86.1
52	52.1	86.1
53	51.8	85.9
54	51.5	85.9
55	51.2	85.8
56	63.0	85.8
57	62.4	85.3
58	57.5	85.3
59	53.3	85.2
60	50.6	85.2
61	48.5	85.0
62	47.3	85.0
63	47.3	84.9
64	48.5	84.7
65	50.9	84.7
66	51.8	84.6
67	52.4	84.6
68	53.0	84.6
69	53.6	84.3
70	54.5	84.3
71	55.1	84.1
72	55.7	84.1
73	44.9	84.1
74	47.0	84.0
75	48.2	83.8
76	48.8	83.5
77	49.7	83.5
78	50.3	83.4
79	50.9	83.4
80	63.6	83.2
81	63.6	83.1
82	62.1	83.1
83	60.9	82.9
84	60.3	82.9
85	60.0	82.6
86	59.7	82.6
87	60.0	82.5
88	60.6	82.2
89	61.5	82.0
90	62.4	82.0
91	63.0	81.9
92	63.9	81.9
93	64.5	81.9
94	65.4	81.7
95	66.3	81.6
96	68.1	81.3
97	55.1	81.3
98	55.1	81.3
99	55.1	81.3
100	55.4	81.2
101	55.1	81.0
102	55.1	81.0
103	55.1	81.0
104	67.2	81.0
105	66.9	80.7
106	64.5	80.7
107	62.1	80.7
108	60.0	80.7
109	58.8	80.6
110	57.8	80.4
111	57.5	80.3
112	58.5	80.3
113	60.0	80.3
114	60.9	80.3
115	61.8	80.1
116	62.7	80.0
117	63.6	80.0
118	64.8	80.0
119	65.4	80.0
120	67.2	80.0
121	55.4	80.0
122	56.9	79.8
123	58.5	79.7
124	59.4	79.7
125	60.0	79.7
126	60.6	79.5
127	61.2	79.5
128	73.8	79.4
129	73.8	79.4
130	72.0	79.2
131	70.2	79.2
132	69.0	79.1
133	68.1	79.1
134	67.8	79.1
135	67.8	78.9
136	68.4	78.9
137	69.9	78.9
138	70.5	78.8
139	71.4	78.8
140	72.0	78.6
141	72.9	78.6
142	73.8	78.6
143	74.4	78.6
144	75.3	78.3
145	63.3	78.3
146	63.6	78.2
147	63.6	78.2
148	63.6	78.2
149	63.6	78.1
150	63.6	78.1
151	63.6	78.0
152	75.6	78.0
153	74.7	78.0
154	69.0	77.9
155	63.9	77.9
156	59.4	77.9
157	56.0	77.8
158	54.2	77.8
159	54.5	77.8
160	56.9	77.7
161	60.3	77.7
162	61.2	77.7
163	62.1	77.7
164	63.0	77.7
165	63.9	77.7
166	64.8	77.7
167	66.0	77.7
168	66.9	77.7
169	56.6	77.7
170	57.8	77.6
171	59.4	77.6
172	60.3	77.5
173	61.2	77.5
174	62.1	77.4
175	62.7	77.4
176	75.3	77.3
177	75.3	77.3
178	73.2	77.3
179	72.3	77.2
180	72.6	77.2
181	72.6	77.1
182	69.9	77.1
183	68.7	77.1
184	68.4	77.0
185	69.9	77.0
186	71.1	76.9
187	72.3	76.9
188	73.2	76.9
189	74.4	76.8
190	75.3	76.8
191	76.5	76.8
192	77.7	76.8
193	66.3	76.8
194	66.9	76.8
195	67.5	76.7
196	67.8	76.7
197	68.1	76.7
198	68.7	76.7
199	69.0	76.7
200	81.0	76.6
201	80.7	76.6
202	78.3	76.5
203	76.2	76.5
204	74.4	76.4
205	73.2	76.4
206	72.9	76.4
207	72.6	76.4
208	73.5	76.4
209	75.3	76.4
210	75.6	76.2
211	75.9	76.2
212	76.8	76.2
213	76.8	76.2
214	76.8	76.1
215	77.1	76.1
216	77.7	76.1
217	65.7	76.1
218	65.7	76.1
219	66.0	75.9
220	66.0	75.9
221	66.0	75.9
222	66.0	75.8
223	66.0	75.8
224	78.0	75.8
225	77.7	75.8
226	75.3	75.8
227	72.9	75.8
228	71.1	75.6
229	70.2	75.6
230	69.3	75.6
231	69.3	75.6
232	69.9	75.5
233	71.4	75.5
234	72.0	75.3
235	72.6	75.3
236	73.8	75.3
237	72.9	75.3
238	73.5	75.3
239	73.8	75.3
240	74.1	75.3
241	62.7	75.3
242	63.0	75.3
243	63.3	75.2
244	63.6	75.2
245	63.6	75.0
246	63.6	75.0
247	63.6	75.0
248	75.9	74.9
249	75.3	74.9
250	71.1	74.9
251	67.2	74.9
252	63.6	74.7
253	61.2	74.7
254	59.7	74.6
255	59.4	74.6
256	60.6	74.4
257	63.0	74.4
258	64.8	74.4
259	66.6	74.4
260	68.1	74.4
261	69.9	74.4
262	71.7	74.4
263	73.5	74.3
264	75.0	74.3
265	66.3	74.3
266	70.5	74.3
267	74.4	74.1
268	76.8	74.1
269	78.9	74.1
270	81.3	74.1
271	83.2	74.0
272	97.0	74.0
273	96.7	74.0
274	94.6	74.0
275	92.5	74.0
276	89.8	73.8
277	88.9	73.8
278	90.4	73.8
279	91.3	73.8
280	92.8	73.8
281	95.5	73.8
282	96.1	73.8
283	97.0	73.8
284	97.9	73.7
285	98.5	73.7
286	99.4	73.7
287	100.3	73.7
288	100.9	73.7
289	87.7	73.5
290	86.8	73.5
291	83.5	73.5
292	82.0	73.5
293	80.7	73.5
294	79.5	73.4
295	78.6	73.4
296	89.8	73.4
297	88.9	73.4
298	85.0	73.4
299	81.3	73.4
300	78.6	73.2
301	76.5	73.2
302	75.6	73.2
303	75.3	73.2
304	76.2	73.1
305	78.0	73.1
306	77.7	73.1
307	77.7	72.9
308	77.7	72.9
309	77.7	72.9
310	78.0	72.9
311	77.4	72.9
312	77.4	72.9
313	66.6	72.8
314	67.8	72.8
315	69.0	72.8
316	69.6	72.8
317	70.5	72.8
318	71.1	72.8
319	71.7	72.8
320	84.1	72.6
321	84.1	72.6
322	82.6	72.6
323	80.1	72.6
324	78.6	72.6
325	77.7	72.6
326	77.1	72.6
327	77.1	72.6
328	77.7	72.6
329	78.9	72.5
330	80.4	72.5
331	81.3	72.5
332	82.6	72.5
333	83.8	72.3
334	84.7	72.3
335	85.9	72.3
336	87.1	72.3
337	76.8	72.2
338	76.8	72.2
339	77.7	72.2
340	78.3	72.2
341	78.9	72.2
342	79.2	72.1
343	79.8	72.1
344	92.2	72.0
345	91.9	72.0
346	89.5	72.0
347	87.7	72.0
348	86.2	72.0
349	85.0	71.9
350	84.7	71.9
351	85.3	71.9
352	86.2	71.9
353	87.4	71.9
354	87.7	71.8
355	87.7	71.7
356	88.0	71.7
357	88.3	71.7
358	88.3	71.6
359	88.3	71.6
360	88.6	71.6
361	76.2	71.5
362	75.9	71.5
363	75.6	71.4
364	75.0	71.4
365	74.7	71.3
366	74.4	71.3
367	74.1	71.3
368	85.9	71.3
369	85.3	71.3
370	84.1	71.3
371	82.9	71.1
372	82.0	71.1
373	81.0	71.1
374	73.8	71.1
375	69.9	71.1
376	68.7	71.1
377	71.1	71.1
378	71.7	70.9
379	72.0	70.9
380	72.6	70.9
381	73.2	70.9
382	73.5	70.9
383	74.1	70.9
384	74.4	70.9
385	63.9	70.9
386	65.1	70.6
387	66.6	70.6
388	67.2	70.6
389	67.8	70.6
390	68.7	70.6
391	69.0	70.6
392	81.7	70.6
393	81.0	70.5
394	72.9	70.5
395	65.4	70.5
396	58.8	70.5
397	54.5	70.3
398	52.4	70.3
399	52.4	70.3
400	55.4	70.3
401	60.9	70.3
402	61.5	70.3
403	62.4	70.2
404	63.0	70.2
405	63.9	70.2
406	64.5	70.1
407	65.4	70.1
408	66.0	70.0
409	54.5	70.0
410	54.8	70.0
411	55.4	70.0
412	55.4	70.0
413	55.7	69.9
414	55.7	69.9
415	55.7	69.9
416	68.1	69.9
417	67.5	69.9
418	66.6	69.9
419	65.4	69.9
420	64.5	69.8
421	63.3	69.8
422	55.4	69.8
423	51.5	69.7
424	50.3	69.7
425	53.0	69.7
426	53.6	69.7
427	54.2	69.7
428	54.8	69.6
429	55.1	69.5
430	55.7	69.5
431	56.3	69.5
432	56.9	69.5
433	45.8	69.4
434	46.7	69.4
435	47.6	69.4
436	47.9	69.4
437	48.2	69.4
438	48.8	69.4
439	48.8	69.4
440	61.2	69.4
441	60.9	69.3
442	60.0	69.3
443	59.4	69.3
444	58.5	69.2
445	58.1	69.2
446	51.2	69.2
447	46.7	69.1
448	44.9	69.1
449	47.3	69.1
450	48.2	69.1
