# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	22.8	107.0
2	24.5	106.3
3	26.2	105.3
4	26.8	104.3
5	27.5	103.6
6	28.2	102.6
7	28.5	102.6
8	42.5	102.2
9	41.8	101.6
10	37.0	100.9
11	32.6	99.9
12	28.9	97.8
13	26.5	97.5
14	25.1	97.4
15	25.1	97.1
16	26.8	96.8
17	29.2	96.1
18	31.6	95.4
19	33.6	95.1
20	35.7	94.4
21	37.7	94.4
22	39.7	94.3
23	42.1	94.3
24	44.2	94.3
25	34.6	94.1
26	39.4	93.4
27	43.8	93.4
28	46.5	93.3
29	48.9	93.1
30	51.6	93.0
31	53.3	92.9
32	69.0	92.7
33	69.0	92.7
34	62.8	92.7
35	57.7	92.4
36	53.0	92.1
37	50.3	92.1
38	48.9	92.1
39	48.9	92.1
40	51.6	92.1
41	56.0	91.9
42	57.7	91.7
43	59.4	91.4
44	61.1	91.4
45	62.5	91.0
46	64.2	91.0
47	65.9	91.0
48	67.6	90.6
49	53.7	90.6
50	53.0	90.4
51	52.3	90.4
52	52.0	90.2
53	51.6	90.2
54	51.3	90.0
55	51.0	90.0
56	64.2	89.5
57	63.5	89.5
58	58.1	89.3
59	53.3	89.3
60	50.3	89.2
61	47.9	89.1
62	46.5	89.0
63	46.5	89.0
64	47.9	88.9
65	50.6	88.9
66	51.6	88.7
67	52.3	88.7
68	53.0	88.5
69	53.7	88.5
70	54.7	88.2
71	55.4	88.0
72	56.0	88.0
73	43.8	88.0
74	46.2	87.6
75	47.6	87.5
76	48.2	87.5
77	49.3	87.5
78	49.9	87.3
79	50.6	87.1
80	64.9	87.1
81	64.9	87.0
82	63.2	86.6
83	61.8	86.5
84	61.1	86.3
85	60.8	86.3
86	60.5	86.2
87	60.8	86.1
88	61.5	85.8
89	62.5	85.8
90	63.5	85.8
91	64.2	85.6
92	65.2	85.6
93	65.9	85.6
94	66.9	85.4
95	67.9	85.3
96	70.0	85.1
97	55.4	84.9
98	55.4	84.9
99	55.4	84.9
100	55.7	84.6
101	55.4	84.6
102	55.4	84.6
103	55.4	84.6
104	69.0	84.4
105	68.6	84.4
106	65.9	84.2
107	63.2	84.2
108	60.8	84.1
109	59.4	84.1
110	58.4	84.1
111	58.1	84.1
112	59.1	83.9
113	60.8	83.7
114	61.8	83.7
115	62.8	83.7
116	63.9	83.7
117	64.9	83.7
118	66.2	83.7
119	66.9	83.7
120	69.0	83.6
121	55.7	83.4
122	57.4	83.4
123	59.1	83.4
124	60.1	83.2
125	60.8	83.1
126	61.5	83.0
