# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.5	86.9
2	19.9	86.4
3	21.3	85.6
4	21.8	84.7
5	22.4	84.2
6	22.9	83.4
7	23.2	83.4
8	34.5	83.1
9	33.9	82.5
10	30.1	82.0
11	26.5	81.1
12	23.5	79.5
13	21.5	79.2
14	20.4	78.9
15	20.4	78.9
16	21.8	78.7
17	23.7	78.1
18	25.7	77.3
19	27.3	77.2
20	29.0	76.7
21	30.6	76.7
22	32.3	76.5
23	34.2	76.4
24	35.9	76.4
25	28.2	76.4
26	32.0	76.1
27	35.6	75.9
28	37.8	75.9
29	39.7	75.6
30	42.0	75.5
31	43.3	75.4
32	56.0	75.4
33	56.0	75.4
34	51.1	75.3
35	46.9	75.1
36	43.1	74.8
37	40.8	74.8
38	39.7	74.8
39	39.7	74.8
40	42.0	74.8
41	45.5	74.5
42	46.9	74.5
43	48.3	74.5
44	49.7	74.4
45	50.8	74.2
46	52.2	74.2
47	53.5	74.0
48	54.9	73.4
49	43.6	73.4
50	43.1	73.3
51	42.5	73.3
52	42.2	73.1
53	42.0	73.1
54	41.7	73.0
55	41.4	73.0
56	52.2	73.0
57	51.6	72.6
58	47.2	72.6
59	43.3	72.5
60	40.8	72.5
61	38.9	72.3
62	37.8	72.3
63	37.8	72.2
64	38.9	72.0
65	41.1	72.0
66	42.0	71.9
67	42.5	71.9
68	43.1	71.7
69	43.6	71.7
70	44.4	71.7
71	45.0	71.5
72	45.5	71.5
73	35.6	71.5
74	37.5	71.4
75	38.6	71.2
76	39.2	70.9
77	40.0	70.8
78	40.6	70.8
79	41.1	70.7
80	52.7	70.6
81	52.7	70.5
82	51.3	70.5
83	50.2	70.4
84	49.7	70.1
85	49.4	70.1
86	49.1	70.1
87	49.4	70.0
88	50.0	69.7
89	50.8	69.6
90	51.6	69.6
91	52.2	69.4
92	53.0	69.4
93	53.5	69.4
94	54.4	69.3
95	55.2	69.2
96	56.9	69.0
97	45.0	69.0
98	45.0	69.0
99	45.0	68.9
100	45.3	68.7
101	45.0	68.7
102	45.0	68.7
103	45.0	68.7
104	56.0	68.5
105	55.8	68.5
106	53.5	68.5
107	51.3	68.3
108	49.4	68.3
109	48.3	68.2
110	47.5	68.0
111	47.2	68.0
112	48.0	68.0
113	49.4	68.0
114	50.2	68.0
115	51.1	67.9
116	51.9	67.8
117	52.7	67.8
118	53.8	67.8
119	54.4	67.8
120	56.0	67.8
121	45.3	67.8
122	46.6	67.6
123	48.0	67.5
124	48.9	67.5
125	49.4	67.5
126	50.0	67.3
127	50.5	67.2
128	62.1	67.2
129	62.1	67.1
130	60.4	67.0
131	58.8	66.9
132	57.7	66.9
133	56.9	66.9
134	56.6	66.8
135	56.6	66.8
136	57.1	66.8
137	58.5	66.7
138	59.1	66.7
139	59.9	66.7
140	60.4	66.5
141	61.3	66.5
142	62.1	66.5
143	62.7	66.2
144	63.5	66.2
145	52.4	66.2
146	52.7	66.1
147	52.7	66.1
148	52.7	66.1
149	52.7	66.0
150	52.7	66.0
151	52.7	66.0
152	63.8	65.8
153	62.9	65.8
154	57.7	65.8
155	53.0	65.7
156	48.9	65.7
157	45.8	65.7
158	44.2	65.7
159	44.4	65.7
160	46.6	65.7
161	49.7	65.7
162	50.5	65.7
163	51.3	65.7
164	52.2	65.7
165	53.0	65.7
166	53.8	65.7
167	54.9	65.5
168	55.8	65.5
169	46.4	65.4
170	47.5	65.4
171	48.9	65.4
172	49.7	65.4
173	50.5	65.4
174	51.3	65.3
175	51.9	65.3
176	63.5	65.3
177	63.5	65.2
178	61.6	65.2
