# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	26.8	126.0
2	28.8	125.2
3	30.8	124.0
4	31.6	122.8
5	32.4	122.0
6	33.2	120.8
7	33.6	120.8
8	50.0	120.4
9	49.2	119.6
10	43.6	118.8
11	38.4	117.6
12	34.0	115.3
13	31.2	115.2
14	29.6	114.8
15	29.6	114.4
16	31.6	114.0
17	34.4	113.2
18	37.2	112.9
19	39.6	112.0
20	42.0	111.7
21	44.4	111.7
22	46.8	111.7
23	49.6	111.2
24	52.0	111.2
25	40.8	110.8
26	46.4	110.4
27	51.6	110.0
28	54.8	110.0
29	57.6	110.0
30	60.8	109.6
31	62.8	109.2
32	81.2	109.2
33	81.2	109.2
34	74.0	108.8
35	68.0	108.8
36	62.4	108.4
37	59.2	108.4
38	57.6	108.4
39	57.6	108.4
40	60.8	108.4
41	66.0	108.0
42	68.0	107.6
43	70.0	107.6
44	72.0	107.5
45	73.6	107.2
46	75.6	107.2
47	77.6	107.2
48	79.6	106.8
49	63.2	106.8
50	62.4	106.4
51	61.6	106.4
52	61.2	106.0
53	60.8	106.0
54	60.4	106.0
55	60.0	106.0
56	75.6	105.6
57	74.8	105.3
58	68.4	105.3
59	62.8	105.2
60	59.2	105.2
61	56.4	105.2
62	54.8	105.2
63	54.8	104.8
64	56.4	104.8
65	59.6	104.8
66	60.8	104.8
67	61.6	104.4
68	62.4	104.4
69	63.2	104.4
70	64.4	103.6
71	65.2	103.6
72	66.0	103.6
73	51.6	103.5
74	54.4	103.5
75	56.0	103.2
76	56.8	103.1
77	58.0	103.1
78	58.8	103.1
79	59.6	102.8
80	76.4	102.4
81	76.4	102.3
82	74.4	102.0
83	72.8	101.9
84	72.0	101.6
85	71.6	101.6
86	71.2	101.5
87	71.6	101.5
88	72.4	101.5
89	73.6	101.3
90	74.8	101.1
91	75.6	100.8
92	76.8	100.8
93	77.6	100.7
94	78.8	100.4
95	80.0	100.0
96	82.4	100.0
97	65.2	100.0
98	65.2	99.9
99	65.2	99.9
100	65.6	99.8
101	65.2	99.6
102	65.2	99.6
103	65.2	99.6
104	81.2	99.6
105	80.8	99.5
106	77.6	99.5
107	74.4	99.5
108	71.6	99.5
109	70.0	99.2
110	68.8	99.2
111	68.4	99.1
112	69.6	99.1
113	71.6	99.1
114	72.8	99.1
115	74.0	99.1
116	75.2	99.1
117	76.4	99.1
118	78.0	98.8
119	78.8	98.7
120	81.2	98.7
121	65.6	98.7
122	67.6	98.4
123	69.6	98.3
124	70.8	98.3
125	71.6	98.0
126	72.4	97.9
127	73.2	97.9
128	90.0	97.9
129	90.0	97.6
130	87.6	97.4
131	85.2	97.4
132	83.6	97.2
133	82.4	96.9
134	82.0	96.8
135	82.0	96.8
136	82.8	96.8
137	84.8	96.6
138	85.6	96.6
139	86.8	96.6
140	87.6	96.4
141	88.8	96.4
142	90.0	96.4
143	90.8	96.2
144	92.0	96.2
145	76.0	96.2
146	76.4	96.1
147	76.4	96.0
148	76.4	96.0
149	76.4	95.8
150	76.4	95.8
151	76.4	95.6
152	92.4	95.6
153	91.2	95.6
154	83.6	95.4
155	76.8	95.4
156	70.8	95.4
157	66.4	95.2
158	64.0	95.2
159	64.4	95.2
160	67.6	95.2
161	72.0	95.2
162	73.2	95.2
163	74.4	95.2
164	75.6	95.2
165	76.8	95.2
166	78.0	95.2
167	79.6	95.0
168	80.8	95.0
169	67.2	94.8
170	68.8	94.8
171	70.8	94.7
172	72.0	94.6
173	73.2	94.6
174	74.4	94.6
175	75.2	94.6
176	92.0	94.6
177	92.0	94.4
178	89.2	94.4
179	88.0	94.4
180	88.4	94.3
181	88.4	94.2
182	84.8	94.2
183	83.2	94.2
184	82.8	94.0
185	84.8	94.0
186	86.4	94.0
187	88.0	94.0
188	89.2	94.0
189	90.8	94.0
190	92.0	93.8
191	93.6	93.8
192	95.2	93.8
193	80.0	93.8
194	80.8	93.6
195	81.6	93.6
196	82.0	93.6
197	82.4	93.4
198	83.2	93.4
199	83.6	93.4
200	99.6	93.4
201	99.2	93.2
202	96.0	93.2
203	93.2	93.2
204	90.8	93.2
205	89.2	93.0
206	88.8	93.0
207	88.4	92.8
208	89.6	92.8
209	92.0	92.8
210	92.4	92.8
211	92.8	92.8
212	94.0	92.6
213	94.0	92.6
214	94.0	92.5
215	94.4	92.5
216	95.2	92.5
217	79.2	92.4
218	79.2	92.4
219	79.6	92.4
220	79.6	92.4
221	79.6	92.2
222	79.6	92.2
223	79.6	92.2
224	95.6	92.2
225	95.2	92.1
226	92.0	92.1
227	88.8	92.0
228	86.4	92.0
229	85.2	92.0
230	84.0	92.0
231	84.0	92.0
232	84.8	92.0
233	86.8	92.0
234	87.6	92.0
235	88.4	92.0
236	90.0	91.8
237	88.8	91.8
238	89.6	91.7
239	90.0	91.7
240	90.4	91.6
241	75.2	91.6
242	75.6	91.6
243	76.0	91.4
244	76.4	91.4
245	76.4	91.4
246	76.4	91.4
247	76.4	91.4
248	92.8	91.2
249	92.0	91.2
250	86.4	91.0
251	81.2	91.0
252	76.4	91.0
253	73.2	91.0
254	71.2	91.0
255	70.8	91.0
256	72.4	91.0
257	75.6	90.8
258	78.0	90.8
259	80.4	90.8
260	82.4	90.8
261	84.8	90.8
262	87.2	90.8
263	89.6	90.8
264	91.6	90.6
265	80.0	90.6
266	85.6	90.6
267	90.8	90.5
268	94.0	90.5
269	96.8	90.5
270	100.0	90.5
271	102.4	90.5
272	120.8	90.4
273	120.4	90.4
274	117.6	90.4
275	114.8	90.4
276	111.2	90.3
277	110.0	90.1
278	112.0	90.1
279	113.2	90.1
280	115.2	90.1
281	118.8	90.1
282	119.6	90.1
283	120.8	90.0
284	122.0	90.0
285	122.8	90.0
286	124.0	90.0
287	125.2	90.0
288	126.0	90.0
289	108.4	89.9
290	107.2	89.9
291	102.8	89.7
292	100.8	89.7
293	99.2	89.7
294	97.6	89.6
295	96.4	89.6
296	111.2	89.6
297	110.0	89.6
298	104.8	89.6
299	100.0	89.3
300	96.4	89.3
301	93.6	89.3
302	92.4	89.3
303	92.0	89.3
304	93.2	89.3
305	95.6	89.3
306	95.2	89.2
307	95.2	89.2
308	95.2	89.2
309	95.2	89.2
310	95.6	88.9
311	94.8	88.9
312	94.8	88.9
313	80.4	88.8
314	82.0	88.8
315	83.6	88.8
