# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	7.8	36.9
2	8.4	36.6
3	9.0	36.3
4	9.2	35.9
5	9.5	35.7
6	9.7	35.4
7	9.8	35.4
8	14.6	35.2
9	14.4	35.0
10	12.8	34.8
11	11.2	34.4
12	10.0	33.7
13	9.1	33.6
14	8.7	33.5
15	8.7	33.5
16	9.2	33.4
17	10.1	33.1
18	10.9	32.8
19	11.6	32.8
20	12.3	32.5
21	13.0	32.5
22	13.7	32.4
23	14.5	32.4
24	15.2	32.4
25	11.9	32.4
26	13.6	32.2
27	15.1	32.2
28	16.0	32.1
29	16.9	32.1
30	17.8	32.0
31	18.4	32.0
32	23.8	32.0
33	23.8	32.0
34	21.7	32.0
35	19.9	31.8
36	18.3	31.7
37	17.3	31.7
38	16.9	31.7
39	16.9	31.7
40	17.8	31.7
41	19.3	31.6
42	19.9	31.6
43	20.5	31.5
44	21.1	31.5
45	21.5	31.4
46	22.1	31.3
47	22.7	31.3
48	23.3	31.2
49	18.5	31.2
50	18.3	31.1
51	18.0	31.1
52	17.9	31.0
53	17.8	31.0
54	17.7	31.0
55	17.6	31.0
56	22.1	30.8
57	21.9	30.8
58	20.0	30.8
59	18.4	30.8
60	17.3	30.7
61	16.5	30.7
62	16.0	30.7
63	16.0	30.6
64	16.5	30.6
65	17.4	30.6
66	17.8	30.6
67	18.0	30.6
68	18.3	30.4
69	18.5	30.4
70	18.8	30.3
71	19.1	30.3
72	19.3	30.3
73	15.1	30.3
74	15.9	30.2
75	16.4	30.1
76	16.6	30.1
77	17.0	30.1
78	17.2	30.1
79	17.4	30.0
80	22.4	30.0
81	22.4	30.0
82	21.8	29.9
83	21.3	29.7
84	21.1	29.7
85	21.0	29.7
86	20.8	29.7
87	21.0	29.6
88	21.2	29.5
89	21.5	29.5
90	21.9	29.5
91	22.1	29.5
92	22.5	29.5
93	22.7	29.4
94	23.1	29.4
95	23.4	29.4
96	24.1	29.3
97	19.1	29.3
98	19.1	29.3
99	19.1	29.3
100	19.2	29.2
101	19.1	29.2
102	19.1	29.2
103	19.1	29.2
104	23.8	29.0
105	23.6	29.0
106	22.7	29.0
107	21.8	29.0
108	21.0	28.9
109	20.5	28.9
110	20.1	28.9
111	20.0	28.9
112	20.4	28.9
113	21.0	28.8
114	21.3	28.8
115	21.7	28.8
116	22.0	28.8
117	22.4	28.8
118	22.8	28.8
119	23.1	28.8
120	23.8	28.8
121	19.2	28.7
122	19.8	28.7
123	20.4	28.7
124	20.7	28.7
125	21.0	28.6
126	21.2	28.6
127	21.4	28.6
128	26.3	28.6
129	26.3	28.4
130	25.6	28.4
131	24.9	28.4
132	24.5	28.4
133	24.1	28.3
134	24.0	28.3
135	24.0	28.3
136	24.2	28.3
137	24.8	28.3
138	25.1	28.2
139	25.4	28.2
140	25.6	28.2
141	26.0	28.1
142	26.3	28.1
143	26.6	28.1
144	26.9	28.1
145	22.2	28.1
146	22.4	28.1
147	22.4	28.0
148	22.4	28.0
149	22.4	28.0
150	22.4	28.0
151	22.4	28.0
152	27.0	28.0
153	26.7	28.0
154	24.5	27.9
155	22.5	27.9
156	20.7	27.9
