# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	15.4	72.4
2	16.5	71.9
3	17.7	71.2
4	18.1	70.5
5	18.6	70.1
6	19.1	69.4
7	19.3	69.4
8	28.7	69.1
9	28.3	68.7
10	25.0	68.2
11	22.1	67.5
12	19.5	66.2
13	17.9	65.9
14	17.0	65.9
15	17.0	65.7
16	18.1	65.5
17	19.8	65.0
18	21.4	64.6
19	22.7	64.3
20	24.1	63.9
21	25.5	63.9
22	26.9	63.9
23	28.5	63.9
24	29.9	63.9
25	23.4	63.6
26	26.6	63.2
27	29.6	63.2
28	31.5	63.2
29	33.1	62.9
30	34.9	62.9
31	36.1	62.7
32	46.6	62.7
33	46.6	62.7
34	42.5	62.5
35	39.0	62.2
36	35.8	62.2
37	34.0	62.2
38	33.1	62.2
39	33.1	62.2
40	34.9	62.2
41	37.9	62.0
42	39.0	61.8
43	40.2	61.8
44	41.3	61.6
45	42.3	61.3
46	43.4	61.3
47	44.6	61.1
48	45.7	61.1
49	36.3	61.1
50	35.8	61.1
51	35.4	60.9
52	35.1	60.9
53	34.9	60.8
54	34.7	60.6
55	34.5	60.6
56	43.4	60.4
57	43.0	60.4
58	39.3	60.4
59	36.1	60.2
60	34.0	60.2
61	32.4	60.1
62	31.5	60.1
63	31.5	60.0
64	32.4	60.0
65	34.2	59.9
66	34.9	59.9
67	35.4	59.7
68	35.8	59.6
69	36.3	59.6
70	37.0	59.5
71	37.4	59.5
72	37.9	59.5
73	29.6	59.3
74	31.2	59.2
75	32.2	59.2
76	32.6	59.0
77	33.3	59.0
78	33.8	59.0
79	34.2	58.8
80	43.9	58.6
81	43.9	58.5
82	42.7	58.3
83	41.8	58.3
84	41.3	58.3
85	41.1	58.3
86	40.9	58.1
87	41.1	58.1
88	41.6	58.1
89	42.3	57.9
90	43.0	57.9
91	43.4	57.8
92	44.1	57.7
93	44.6	57.6
94	45.3	57.4
95	45.9	57.4
96	47.3	57.4
97	37.4	57.3
98	37.4	57.2
99	37.4	57.2
100	37.7	57.2
101	37.4	57.2
102	37.4	57.1
103	37.4	57.1
104	46.6	57.0
105	46.4	57.0
106	44.6	56.9
107	42.7	56.9
108	41.1	56.9
109	40.2	56.9
110	39.5	56.7
111	39.3	56.7
112	40.0	56.7
113	41.1	56.7
114	41.8	56.7
115	42.5	56.7
116	43.2	56.7
117	43.9	56.5
118	44.8	56.5
119	45.3	56.4
120	46.6	56.4
121	37.7	56.4
122	38.8	56.3
123	40.0	56.2
124	40.7	56.2
125	41.1	56.0
126	41.6	56.0
127	42.0	56.0
128	51.7	56.0
129	51.7	56.0
130	50.3	55.8
131	48.9	55.7
132	48.0	55.7
133	47.3	55.6
134	47.1	55.6
135	47.1	55.6
136	47.5	55.4
137	48.7	55.4
138	49.2	55.4
139	49.8	55.3
140	50.3	55.3
141	51.0	55.3
142	51.7	55.1
143	52.1	55.1
144	52.8	55.0
145	43.6	55.0
146	43.9	55.0
147	43.9	54.9
148	43.9	54.9
149	43.9	54.9
150	43.9	54.8
151	43.9	54.8
152	53.1	54.8
153	52.4	54.7
154	48.0	54.7
155	44.1	54.7
156	40.7	54.7
157	38.1	54.7
158	36.8	54.7
159	37.0	54.7
160	38.8	54.7
161	41.3	54.7
162	42.0	54.7
163	42.7	54.6
164	43.4	54.6
165	44.1	54.6
166	44.8	54.4
167	45.7	54.4
168	46.4	54.4
169	38.6	54.3
170	39.5	54.3
171	40.7	54.2
172	41.3	54.2
173	42.0	54.2
174	42.7	54.1
175	43.2	54.1
176	52.8	54.1
177	52.8	54.1
178	51.2	54.1
179	50.5	54.0
180	50.8	54.0
181	50.8	54.0
182	48.7	54.0
183	47.8	54.0
184	47.5	54.0
185	48.7	53.9
186	49.6	53.9
187	50.5	53.9
188	51.2	53.8
189	52.1	53.8
190	52.8	53.6
191	53.8	53.6
192	54.7	53.6
193	45.9	53.6
194	46.4	53.5
195	46.9	53.5
196	47.1	53.5
197	47.3	53.5
198	47.8	53.5
199	48.0	53.4
200	57.2	53.4
201	57.0	53.4
202	55.1	53.4
203	53.5	53.3
204	52.1	53.3
205	51.2	53.3
206	51.0	53.3
207	50.8	53.2
208	51.5	53.2
209	52.8	53.1
210	53.1	53.1
211	53.3	53.1
212	54.0	53.1
213	54.0	52.9
214	54.0	52.9
215	54.2	52.9
216	54.7	52.8
217	45.5	52.8
218	45.5	52.8
219	45.7	52.8
220	45.7	52.8
221	45.7	52.8
222	45.7	52.8
223	45.7	52.8
224	54.9	52.8
225	54.7	52.7
226	52.8	52.7
227	51.0	52.7
228	49.6	52.7
229	48.9	52.6
230	48.2	52.6
231	48.2	52.6
232	48.7	52.5
233	49.8	52.5
234	50.3	52.5
235	50.8	52.5
236	51.7	52.4
237	51.0	52.4
238	51.5	52.3
239	51.7	52.3
240	51.9	52.3
241	43.2	52.2
242	43.4	52.2
