# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.7	83.2
2	19.0	82.7
3	20.3	81.9
4	20.9	81.1
5	21.4	80.6
6	21.9	79.8
7	22.2	79.8
8	33.0	79.5
9	32.5	79.0
10	28.8	78.5
11	25.4	77.7
12	22.5	76.1
13	20.6	76.0
14	19.6	75.8
15	19.6	75.6
16	20.9	75.3
17	22.7	74.8
18	24.6	74.4
19	26.2	74.0
20	27.7	73.6
21	29.3	73.6
22	30.9	73.6
23	32.8	73.5
24	34.3	73.5
25	26.9	73.2
26	30.6	72.8
27	34.1	72.7
28	36.2	72.7
29	38.0	72.6
30	40.2	72.4
31	41.5	72.1
32	53.6	72.1
33	53.6	72.1
34	48.9	71.9
35	44.9	71.8
36	41.2	71.6
37	39.1	71.6
38	38.0	71.6
39	38.0	71.6
40	40.2	71.6
41	43.6	71.3
42	44.9	71.1
43	46.2	71.1
44	47.6	71.0
45	48.6	70.8
46	49.9	70.7
47	51.3	70.7
48	52.6	70.4
49	41.7	70.4
50	41.2	70.3
51	40.7	70.3
52	40.4	70.0
53	40.2	70.0
54	39.9	69.9
55	39.6	69.9
56	49.9	69.6
57	49.4	69.6
58	45.2	69.6
59	41.5	69.5
60	39.1	69.5
61	37.3	69.4
62	36.2	69.4
63	36.2	69.2
64	37.3	69.2
65	39.4	69.1
66	40.2	69.1
67	40.7	69.0
68	41.2	69.0
69	41.7	68.8
70	42.5	68.4
71	43.1	68.4
72	43.6	68.4
73	34.1	68.3
74	35.9	68.3
75	37.0	68.2
76	37.5	68.1
77	38.3	68.0
78	38.8	68.0
79	39.4	67.9
80	50.5	67.6
81	50.5	67.5
82	49.1	67.4
83	48.1	67.2
84	47.6	67.1
85	47.3	67.1
86	47.0	66.9
87	47.3	66.9
88	47.8	66.9
89	48.6	66.9
90	49.4	66.7
91	49.9	66.6
92	50.7	66.6
93	51.3	66.4
94	52.0	66.3
95	52.8	66.1
96	54.4	66.1
97	43.1	66.1
98	43.1	65.9
99	43.1	65.9
100	43.3	65.9
101	43.1	65.8
102	43.1	65.8
103	43.1	65.8
104	53.6	65.8
105	53.4	65.6
106	51.3	65.6
107	49.1	65.6
108	47.3	65.6
109	46.2	65.5
110	45.4	65.5
111	45.2	65.5
112	46.0	65.3
113	47.3	65.3
114	48.1	65.3
115	48.9	65.3
116	49.7	65.3
117	50.5	65.3
118	51.5	65.3
119	52.0	65.1
120	53.6	65.1
121	43.3	65.1
122	44.7	65.0
123	46.0	64.8
124	46.8	64.8
125	47.3	64.7
126	47.8	64.5
127	48.4	64.5
128	59.4	64.5
129	59.4	64.5
130	57.9	64.3
131	56.3	64.3
132	55.2	64.2
133	54.4	64.0
134	54.2	63.9
135	54.2	63.9
136	54.7	63.9
137	56.0	63.7
138	56.5	63.7
139	57.3	63.7
140	57.9	63.7
141	58.7	63.7
142	59.4	63.7
143	60.0	63.5
144	60.8	63.5
145	50.2	63.5
