# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	3.2	15.0
2	3.4	14.9
3	3.7	14.7
4	3.8	14.6
5	3.8	14.5
6	3.9	14.3
7	4.0	14.3
8	5.9	14.3
9	5.8	14.2
10	5.2	14.1
11	4.6	14.0
12	4.0	13.7
13	3.7	13.6
14	3.5	13.6
15	3.5	13.6
16	3.8	13.5
17	4.1	13.4
18	4.4	13.4
19	4.7	13.3
20	5.0	13.2
21	5.3	13.2
22	5.6	13.2
23	5.9	13.2
24	6.2	13.2
25	4.8	13.2
26	5.5	13.1
27	6.1	13.1
28	6.5	13.1
29	6.8	13.0
30	7.2	13.0
31	7.5	13.0
32	9.6	13.0
33	9.6	13.0
34	8.8	13.0
35	8.1	12.9
36	7.4	12.9
37	7.0	12.9
38	6.8	12.9
39	6.8	12.9
40	7.2	12.9
41	7.8	12.9
42	8.1	12.8
43	8.3	12.8
44	8.5	12.8
45	8.7	12.7
46	9.0	12.7
47	9.2	12.7
48	9.4	12.7
49	7.5	12.7
50	7.4	12.6
51	7.3	12.6
52	7.3	12.6
53	7.2	12.6
54	7.2	12.6
55	7.1	12.6
56	9.0	12.5
57	8.9	12.5
58	8.1	12.5
59	7.5	12.5
60	7.0	12.5
61	6.7	12.4
62	6.5	12.4
63	6.5	12.4
64	6.7	12.4
65	7.1	12.4
66	7.2	12.4
67	7.3	12.4
68	7.4	12.4
69	7.5	12.4
70	7.6	12.3
71	7.7	12.3
72	7.8	12.3
73	6.1	12.3
74	6.5	12.3
75	6.6	12.3
76	6.7	12.2
77	6.9	12.2
78	7.0	12.2
79	7.1	12.2
80	9.1	12.2
81	9.1	12.2
82	8.8	12.1
83	8.6	12.1
84	8.5	12.1
85	8.5	12.1
86	8.5	12.1
87	8.5	12.0
88	8.6	12.0
89	8.7	12.0
90	8.9	12.0
91	9.0	12.0
92	9.1	12.0
93	9.2	12.0
94	9.4	11.9
95	9.5	11.9
96	9.8	11.9
97	7.7	11.9
98	7.7	11.9
99	7.7	11.9
100	7.8	11.8
101	7.7	11.8
102	7.7	11.8
103	7.7	11.8
104	9.6	11.8
105	9.6	11.8
106	9.2	11.8
107	8.8	11.8
108	8.5	11.8
109	8.3	11.8
110	8.2	11.8
111	8.1	11.8
112	8.3	11.7
113	8.5	11.7
114	8.6	11.7
115	8.8	11.7
116	8.9	11.7
117	9.1	11.7
118	9.3	11.7
119	9.4	11.7
120	9.6	11.7
121	7.8	11.7
122	8.0	11.7
123	8.3	11.7
124	8.4	11.6
125	8.5	11.6
126	8.6	11.6
127	8.7	11.6
128	10.7	11.6
129	10.7	11.6
130	10.4	11.6
131	10.1	11.6
132	9.9	11.5
133	9.8	11.5
134	9.7	11.5
135	9.7	11.5
136	9.8	11.5
137	10.1	11.5
138	10.2	11.4
139	10.3	11.4
140	10.4	11.4
141	10.5	11.4
142	10.7	11.4
143	10.8	11.4
144	10.9	11.4
145	9.0	11.4
146	9.1	11.4
147	9.1	11.4
148	9.1	11.4
149	9.1	11.4
150	9.1	11.4
151	9.1	11.3
152	11.0	11.3
153	10.8	11.3
154	9.9	11.3
155	9.1	11.3
156	8.4	11.3
157	7.9	11.3
158	7.6	11.3
159	7.6	11.3
160	8.0	11.3
161	8.5	11.3
162	8.7	11.3
163	8.8	11.3
164	9.0	11.3
165	9.1	11.3
166	9.3	11.3
167	9.4	11.3
168	9.6	11.3
169	8.0	11.3
170	8.2	11.3
171	8.4	11.3
172	8.5	11.2
173	8.7	11.2
174	8.8	11.2
175	8.9	11.2
176	10.9	11.2
177	10.9	11.2
178	10.6	11.2
179	10.4	11.2
180	10.5	11.2
181	10.5	11.2
182	10.1	11.2
183	9.9	11.2
184	9.8	11.2
185	10.1	11.2
186	10.3	11.2
187	10.4	11.2
188	10.6	11.2
189	10.8	11.2
190	10.9	11.1
191	11.1	11.1
192	11.3	11.1
193	9.5	11.1
194	9.6	11.1
195	9.7	11.1
196	9.7	11.1
197	9.8	11.1
198	9.9	11.1
199	9.9	11.1
200	11.8	11.1
201	11.8	11.1
202	11.4	11.1
203	11.1	11.1
204	10.8	11.1
205	10.6	11.1
206	10.5	11.1
207	10.5	11.1
208	10.6	11.1
209	10.9	11.1
210	11.0	11.1
211	11.0	11.1
212	11.2	11.1
213	11.2	11.1
214	11.2	11.0
215	11.2	11.0
216	11.3	11.0
217	9.4	11.0
218	9.4	11.0
219	9.4	11.0
220	9.4	11.0
221	9.4	11.0
222	9.4	11.0
223	9.4	11.0
224	11.3	11.0
225	11.3	11.0
226	10.9	11.0
227	10.5	11.0
228	10.3	11.0
229	10.1	11.0
230	10.0	10.9
231	10.0	10.9
232	10.1	10.9
233	10.3	10.9
234	10.4	10.9
235	10.5	10.9
236	10.7	10.9
237	10.5	10.9
238	10.6	10.9
239	10.7	10.9
240	10.7	10.9
241	8.9	10.9
242	9.0	10.9
243	9.0	10.9
244	9.1	10.9
245	9.1	10.9
246	9.1	10.9
247	9.1	10.9
248	11.0	10.9
249	10.9	10.9
250	10.3	10.9
251	9.6	10.9
252	9.1	10.8
253	8.7	10.8
254	8.5	10.8
255	8.4	10.8
256	8.6	10.8
257	9.0	10.8
258	9.3	10.8
259	9.5	10.8
260	9.8	10.8
261	10.1	10.8
262	10.4	10.8
263	10.6	10.8
264	10.9	10.8
265	9.5	10.8
266	10.2	10.8
267	10.8	10.8
268	11.2	10.8
269	11.5	10.8
270	11.9	10.7
271	12.2	10.7
272	14.3	10.7
273	14.3	10.7
274	14.0	10.7
275	13.6	10.7
276	13.2	10.7
277	13.1	10.7
278	13.3	10.7
279	13.4	10.7
280	13.7	10.7
281	14.1	10.7
282	14.2	10.7
283	14.3	10.7
284	14.5	10.7
285	14.6	10.7
286	14.7	10.7
287	14.9	10.7
288	15.0	10.7
289	12.9	10.7
290	12.7	10.7
291	12.2	10.6
292	12.0	10.6
293	11.8	10.6
294	11.6	10.6
295	11.4	10.6
296	13.2	10.6
297	13.1	10.6
298	12.4	10.6
299	11.9	10.6
300	11.4	10.6
301	11.1	10.6
302	11.0	10.6
303	10.9	10.6
304	11.1	10.6
305	11.3	10.6
306	11.3	10.6
307	11.3	10.6
308	11.3	10.6
309	11.3	10.6
310	11.3	10.6
311	11.3	10.6
312	11.3	10.5
313	9.5	10.5
314	9.7	10.5
315	9.9	10.5
316	10.0	10.5
317	10.2	10.5
318	10.3	10.5
319	10.4	10.5
320	12.3	10.5
321	12.3	10.5
322	12.1	10.5
323	11.7	10.5
324	11.4	10.5
325	11.3	10.5
326	11.2	10.5
327	11.2	10.5
328	11.3	10.5
329	11.5	10.5
330	11.7	10.5
331	11.9	10.5
332	12.1	10.5
333	12.2	10.4
334	12.4	10.4
335	12.6	10.4
336	12.8	10.4
337	11.2	10.4
338	11.2	10.4
339	11.3	10.4
340	11.4	10.4
341	11.5	10.4
342	11.5	10.4
343	11.6	10.4
344	13.6	10.4
345	13.5	10.4
346	13.2	10.4
347	12.9	10.4
348	12.6	10.4
349	12.4	10.4
350	12.4	10.4
351	12.5	10.4
352	12.6	10.4
353	12.8	10.4
354	12.9	10.3
355	12.9	10.3
356	12.9	10.3
357	13.0	10.3
358	13.0	10.3
359	13.0	10.3
360	13.0	10.3
361	11.1	10.3
362	11.0	10.3
363	11.0	10.3
364	10.9	10.3
365	10.8	10.3
366	10.8	10.3
367	10.7	10.3
368	12.6	10.3
369	12.5	10.3
370	12.3	10.3
371	12.1	10.3
372	12.0	10.3
373	11.8	10.3
374	10.7	10.3
375	10.1	10.3
376	9.9	10.3
377	10.3	10.3
378	10.4	10.2
379	10.4	10.2
380	10.5	10.2
381	10.6	10.2
382	10.6	10.2
383	10.7	10.2
384	10.8	10.2
385	9.1	10.2
386	9.3	10.2
387	9.5	10.2
388	9.6	10.2
389	9.7	10.2
390	9.9	10.2
391	9.9	10.2
392	11.9	10.2
393	11.8	10.2
394	10.5	10.2
395	9.4	10.2
396	8.3	10.1
397	7.6	10.1
398	7.3	10.1
399	7.3	10.1
400	7.8	10.1
401	8.6	10.1
402	8.7	10.1
403	8.9	10.1
404	9.0	10.1
405	9.1	10.1
406	9.2	10.1
407	9.4	10.1
408	9.4	10.1
409	7.6	10.1
410	7.7	10.1
411	7.8	10.1
412	7.8	10.1
413	7.8	10.1
414	7.8	10.1
415	7.8	10.1
416	9.8	10.1
417	9.7	10.0
418	9.5	10.0
419	9.4	10.0
420	9.2	10.0
421	9.0	10.0
422	7.8	10.0
423	7.2	10.0
424	7.0	10.0
425	7.4	10.0
426	7.5	10.0
427	7.6	10.0
428	7.7	10.0
429	7.7	10.0
430	7.8	10.0
431	7.9	10.0
432	8.0	10.0
433	6.3	10.0
434	6.4	10.0
435	6.6	10.0
436	6.6	10.0
437	6.6	10.0
438	6.7	9.9
439	6.7	9.9
440	8.7	9.9
441	8.6	9.9
442	8.5	9.9
443	8.4	9.9
444	8.3	9.9
445	8.2	9.9
446	7.1	9.9
447	6.4	9.9
448	6.1	9.9
449	6.5	9.9
450	6.6	9.9
451	6.8	9.9
452	7.0	9.9
453	7.2	9.9
454	7.4	9.9
455	7.5	9.9
456	7.7	9.9
457	6.0	9.9
458	6.2	9.9
459	6.5	9.9
460	6.6	9.9
461	6.7	9.9
462	6.9	9.9
463	6.9	9.9
464	8.9	9.9
465	8.9	9.9
