# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.0	46.9
2	10.7	46.6
3	11.5	46.2
4	11.8	45.7
5	12.1	45.4
6	12.4	45.0
7	12.5	45.0
8	18.6	44.8
9	18.3	44.5
10	16.2	44.2
11	14.3	43.8
12	12.7	42.9
13	11.6	42.9
14	11.0	42.8
15	11.0	42.6
16	11.8	42.5
17	12.8	42.2
18	13.9	42.0
19	14.7	41.7
20	15.6	41.6
21	16.5	41.6
22	17.4	41.6
23	18.5	41.4
24	19.4	41.4
25	15.2	41.3
26	17.3	41.1
27	19.2	41.0
28	20.4	41.0
29	21.5	41.0
30	22.6	40.8
31	23.4	40.7
32	30.2	40.7
33	30.2	40.7
34	27.6	40.5
35	25.3	40.5
36	23.2	40.4
37	22.0	40.4
38	21.5	40.4
39	21.5	40.4
40	22.6	40.4
41	24.6	40.2
42	25.3	40.1
43	26.1	40.1
44	26.8	39.9
45	27.4	39.9
46	28.2	39.9
47	28.9	39.8
48	29.6	39.8
49	23.5	39.6
50	23.2	39.6
51	22.9	39.5
52	22.8	39.5
53	22.6	39.5
54	22.5	39.5
55	22.3	39.5
56	28.2	39.3
57	27.9	39.2
58	25.5	39.2
59	23.4	39.2
60	22.0	39.2
61	21.0	39.0
62	20.4	39.0
63	20.4	39.0
64	21.0	39.0
65	22.2	38.9
66	22.6	38.9
67	22.9	38.9
68	23.2	38.7
69	23.5	38.7
70	24.0	38.6
71	24.3	38.6
72	24.6	38.6
73	19.2	38.6
74	20.3	38.6
75	20.9	38.4
76	21.2	38.4
77	21.6	38.4
78	21.9	38.3
79	22.2	38.1
80	28.5	38.1
81	28.5	38.0
82	27.7	38.0
83	27.1	37.9
84	26.8	37.8
85	26.7	37.8
86	26.5	37.8
87	26.7	37.8
88	27.0	37.8
89	27.4	37.7
90	27.9	37.5
91	28.2	37.5
92	28.6	37.5
93	28.9	37.4
94	29.3	37.2
95	29.8	37.2
96	30.7	37.2
97	24.3	37.2
98	24.3	37.2
99	24.3	37.2
100	24.4	37.1
101	24.3	37.1
102	24.3	37.1
103	24.3	37.1
104	30.2	37.0
105	30.1	37.0
106	28.9	37.0
107	27.7	37.0
108	26.7	36.9
109	26.1	36.9
110	25.6	36.9
111	25.5	36.9
112	25.9	36.9
113	26.7	36.9
114	27.1	36.9
115	27.6	36.9
116	28.0	36.8
117	28.5	36.7
118	29.0	36.7
119	29.3	36.7
120	30.2	36.7
121	24.4	36.6
122	25.2	36.6
123	25.9	36.6
124	26.4	36.5
125	26.7	36.4
126	27.0	36.4
127	27.3	36.4
128	33.5	36.4
129	33.5	36.3
130	32.6	36.3
131	31.7	36.3
132	31.1	36.2
133	30.7	36.0
134	30.5	36.0
135	30.5	36.0
136	30.8	36.0
137	31.6	36.0
138	31.9	36.0
139	32.3	35.9
140	32.6	35.9
141	33.1	35.9
142	33.5	35.8
143	33.8	35.8
144	34.3	35.8
145	28.3	35.8
146	28.5	35.8
147	28.5	35.7
148	28.5	35.7
149	28.5	35.6
150	28.5	35.6
151	28.5	35.6
152	34.4	35.6
153	34.0	35.5
154	31.1	35.5
155	28.6	35.5
156	26.4	35.5
157	24.7	35.5
158	23.8	35.5
159	24.0	35.5
160	25.2	35.5
161	26.8	35.5
162	27.3	35.5
163	27.7	35.5
164	28.2	35.5
165	28.6	35.5
166	29.0	35.4
167	29.6	35.4
168	30.1	35.3
169	25.0	35.3
170	25.6	35.3
171	26.4	35.2
172	26.8	35.2
173	27.3	35.2
174	27.7	35.2
175	28.0	35.2
176	34.3	35.2
177	34.3	35.2
178	33.2	35.2
179	32.8	35.1
180	32.9	35.1
181	32.9	35.1
182	31.6	35.0
183	31.0	35.0
184	30.8	35.0
185	31.6	35.0
186	32.2	35.0
187	32.8	35.0
188	33.2	34.9
189	33.8	34.9
190	34.3	34.9
191	34.9	34.9
192	35.5	34.9
193	29.8	34.9
194	30.1	34.8
195	30.4	34.8
196	30.5	34.8
197	30.7	34.8
198	31.0	34.8
199	31.1	34.7
200	37.1	34.7
201	36.9	34.7
202	35.8	34.7
203	34.7	34.6
204	33.8	34.6
205	33.2	34.6
206	33.1	34.6
207	32.9	34.6
208	33.4	34.6
209	34.3	34.5
210	34.4	34.5
211	34.6	34.4
212	35.0	34.4
213	35.0	34.4
214	35.0	34.4
215	35.2	34.4
216	35.5	34.3
217	29.5	34.3
218	29.5	34.3
219	29.6	34.3
220	29.6	34.3
221	29.6	34.3
222	29.6	34.3
223	29.6	34.3
224	35.6	34.3
225	35.5	34.3
226	34.3	34.3
227	33.1	34.3
228	32.2	34.3
229	31.7	34.2
230	31.3	34.2
231	31.3	34.1
232	31.6	34.1
233	32.3	34.1
234	32.6	34.1
235	32.9	34.1
236	33.5	34.0
237	33.1	34.0
238	33.4	34.0
239	33.5	34.0
240	33.7	34.0
241	28.0	34.0
242	28.2	34.0
243	28.3	33.9
244	28.5	33.9
245	28.5	33.9
246	28.5	33.9
247	28.5	33.9
248	34.6	33.8
249	34.3	33.8
250	32.2	33.8
251	30.2	33.8
252	28.5	33.8
253	27.3	33.8
254	26.5	33.8
255	26.4	33.8
256	27.0	33.8
257	28.2	33.7
258	29.0	33.7
259	29.9	33.7
260	30.7	33.7
261	31.6	33.7
262	32.5	33.7
263	33.4	33.7
264	34.1	33.7
265	29.8	33.7
266	31.9	33.7
267	33.8	33.7
268	35.0	33.6
269	36.0	33.6
270	37.2	33.6
271	38.1	33.6
272	45.0	33.6
273	44.8	33.6
274	43.8	33.6
275	42.8	33.6
276	41.4	33.6
277	41.0	33.5
278	41.7	33.5
279	42.2	33.5
280	42.9	33.5
281	44.2	33.5
282	44.5	33.5
283	45.0	33.4
284	45.4	33.4
285	45.7	33.4
286	46.2	33.4
287	46.6	33.4
288	46.9	33.4
289	40.4	33.4
290	39.9	33.4
291	38.3	33.4
292	37.5	33.4
293	36.9	33.3
294	36.3	33.3
295	35.9	33.3
296	41.4	33.3
297	41.0	33.3
298	39.0	33.3
299	37.2	33.3
300	35.9	33.3
301	34.9	33.3
302	34.4	33.3
303	34.3	33.2
304	34.7	33.2
305	35.6	33.2
306	35.5	33.2
307	35.5	33.2
308	35.5	33.1
309	35.5	33.1
310	35.6	33.1
311	35.3	33.1
312	35.3	33.1
313	29.9	33.1
314	30.5	33.1
315	31.1	33.1
316	31.4	33.0
317	31.9	33.0
318	32.2	33.0
319	32.5	33.0
320	38.6	33.0
321	38.6	33.0
322	37.8	32.9
323	36.6	32.9
324	35.9	32.9
325	35.5	32.9
326	35.2	32.9
327	35.2	32.9
328	35.5	32.9
329	36.0	32.8
330	36.8	32.8
331	37.2	32.8
332	37.8	32.8
333	38.4	32.8
334	38.9	32.8
335	39.5	32.8
336	40.1	32.7
337	35.0	32.7
338	35.0	32.7
339	35.5	32.6
340	35.8	32.6
341	36.0	32.6
342	36.2	32.6
343	36.5	32.6
344	42.6	32.5
345	42.5	32.5
346	41.3	32.5
347	40.4	32.5
348	39.6	32.5
349	39.0	32.5
350	38.9	32.5
351	39.2	32.5
352	39.6	32.5
353	40.2	32.4
354	40.4	32.4
355	40.4	32.4
356	40.5	32.4
357	40.7	32.4
358	40.7	32.3
359	40.7	32.3
360	40.8	32.3
361	34.7	32.3
362	34.6	32.2
363	34.4	32.2
364	34.1	32.2
365	34.0	32.2
366	33.8	32.2
367	33.7	32.2
368	39.5	32.2
369	39.2	32.2
370	38.6	32.2
371	38.0	32.2
372	37.5	32.2
373	37.1	32.1
374	33.5	32.1
375	31.6	32.1
376	31.0	32.1
377	32.2	32.1
378	32.5	32.1
379	32.6	32.1
380	32.9	31.9
381	33.2	31.9
382	33.4	31.9
383	33.7	31.9
384	33.8	31.9
385	28.6	31.9
386	29.2	31.9
387	29.9	31.9
388	30.2	31.9
389	30.5	31.8
390	31.0	31.8
391	31.1	31.8
392	37.4	31.8
393	37.1	31.7
394	33.1	31.7
395	29.3	31.7
396	26.1	31.7
397	24.0	31.6
398	22.9	31.6
399	22.9	31.6
400	24.4	31.6
401	27.1	31.6
402	27.4	31.6
403	27.9	31.6
404	28.2	31.6
405	28.6	31.6
406	28.9	31.6
407	29.3	31.6
408	29.6	31.6
409	24.0	31.5
410	24.1	31.5
411	24.4	31.5
412	24.4	31.5
413	24.6	31.5
414	24.6	31.5
415	24.6	31.5
416	30.7	31.4
417	30.4	31.4
418	29.9	31.4
419	29.3	31.4
420	28.9	31.3
421	28.3	31.3
422	24.4	31.3
423	22.5	31.3
424	21.9	31.3
425	23.2	31.3
426	23.5	31.3
427	23.8	31.3
428	24.1	31.3
429	24.3	31.3
430	24.6	31.2
431	24.9	31.2
432	25.2	31.2
433	19.7	31.2
434	20.1	31.2
435	20.6	31.2
436	20.7	31.1
437	20.9	31.1
438	21.2	31.1
439	21.2	31.1
440	27.3	31.1
441	27.1	31.1
442	26.7	31.1
443	26.4	31.0
444	25.9	31.0
445	25.8	31.0
446	22.3	31.0
447	20.1	31.0
448	19.2	31.0
449	20.4	31.0
450	20.9	31.0
451	21.5	31.0
452	21.9	31.0
453	22.5	31.0
454	23.1	30.8
455	23.5	30.8
456	24.1	30.8
457	18.8	30.8
458	19.5	30.8
459	20.3	30.8
460	20.7	30.8
461	21.2	30.8
462	21.6	30.8
463	21.7	30.7
464	28.0	30.7
465	27.9	30.7
466	27.4	30.7
467	27.3	30.7
468	26.8	30.7
469	26.5	30.7
470	23.7	30.7
471	22.5	30.7
472	22.2	30.7
473	23.2	30.7
474	23.5	30.7
475	23.7	30.7
476	24.0	30.7
477	24.3	30.7
478	24.4	30.7
479	24.7	30.6
480	24.9	30.6
481	18.9	30.6
482	18.9	30.5
483	18.8	30.5
484	18.8	30.5
485	18.6	30.5
486	18.6	30.5
487	18.5	30.5
488	24.4	30.5
489	24.1	30.5
490	21.6	30.5
491	19.2	30.5
492	17.0	30.5
493	15.2	30.4
494	14.0	30.4
495	13.9	30.4
496	14.6	30.4
497	16.2	30.4
498	16.7	30.3
499	17.3	30.3
500	17.7	30.2
501	18.3	30.2
502	18.9	30.2
503	19.4	30.2
504	20.0	30.2
505	14.9	30.2
506	15.6	30.2
507	16.5	30.2
508	16.8	30.2
509	17.3	30.2
510	17.6	30.2
511	17.9	30.2
512	24.0	30.2
513	23.7	30.2
514	20.9	30.1
515	18.6	30.1
516	16.1	30.1
517	14.4	30.1
518	12.4	30.1
519	11.5	30.1
520	11.6	30.1
521	13.6	30.1
522	14.9	30.1
523	16.1	30.1
524	17.4	30.1
525	18.8	30.1
526	20.0	30.1
527	21.3	30.0
528	22.5	30.0
529	18.0	29.9
530	19.7	29.9
531	21.2	29.9
532	22.0	29.9
533	22.8	29.9
534	23.7	29.9
535	24.1	29.9
536	30.7	29.9
537	29.8	29.9
538	25.0	29.9
539	20.9	29.9
540	17.7	29.9
541	15.3	29.9
542	14.0	29.9
543	13.9	29.9
544	15.0	29.9
545	18.0	29.9
546	19.8	29.9
547	21.6	29.9
548	23.4	29.8
549	25.2	29.8
550	27.0	29.8
551	28.7	29.8
552	30.5	29.8
553	26.2	29.8
554	28.0	29.8
555	29.8	29.8
556	30.8	29.8
557	31.9	29.6
558	32.9	29.6
559	33.7	29.6
560	40.4	29.6
561	40.1	29.6
562	37.1	29.6
563	34.1	29.6
564	32.2	29.6
565	31.1	29.6
566	29.6	29.6
567	29.2	29.6
568	29.5	29.6
569	31.7	29.6
570	32.2	29.6
571	32.6	29.6
572	32.9	29.6
573	33.4	29.6
574	33.8	29.6
575	34.3	29.6
576	34.7	29.5
577	28.2	29.5
578	27.6	29.5
579	27.0	29.5
580	26.5	29.5
581	26.2	29.5
582	25.8	29.5
583	25.5	29.5
584	31.3	29.5
585	30.8	29.5
586	29.6	29.5
587	29.9	29.5
588	28.2	29.5
589	27.1	29.4
590	26.8	29.4
591	27.0	29.4
592	26.7	29.4
593	27.7	29.4
594	27.9	29.4
595	27.7	29.3
596	27.6	29.3
597	27.6	29.3
598	27.6	29.3
599	27.4	29.3
600	27.3	29.3
601	21.7	29.3
602	22.0	29.3
603	22.3	29.3
604	22.5	29.2
605	22.6	29.2
606	22.8	29.2
607	22.9	29.2
608	28.9	29.2
609	27.6	29.2
610	24.1	29.2
611	22.3	29.2
612	20.7	29.2
613	17.4	29.2
614	15.2	29.2
615	13.9	29.2
616	13.7	29.1
617	15.3	29.0
618	17.7	29.0
619	18.2	29.0
620	18.5	29.0
621	18.9	29.0
622	19.4	29.0
623	19.8	29.0
624	20.3	29.0
625	14.7	29.0
626	15.3	29.0
627	15.9	29.0
628	16.2	29.0
629	16.5	29.0
630	16.8	29.0
631	17.0	29.0
632	23.2	29.0
633	23.1	29.0
634	22.6	29.0
635	22.2	28.9
636	22.0	28.9
637	21.7	28.9
638	22.5	28.9
639	21.6	28.9
640	22.2	28.9
641	22.2	28.9
642	22.5	28.9
643	22.9	28.9
644	23.7	28.9
645	24.0	28.9
646	24.4	28.9
647	24.9	28.8
648	25.5	28.8
649	20.0	28.8
650	20.7	28.8
651	21.5	28.8
