# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	6.8	32.1
2	7.3	31.9
3	7.8	31.6
4	8.0	31.3
5	8.2	31.1
6	8.5	30.7
7	8.6	30.7
8	12.7	30.6
9	12.5	30.4
10	11.1	30.2
11	9.8	29.9
12	8.7	29.4
13	7.9	29.3
14	7.5	29.2
15	7.5	29.1
16	8.0	29.0
17	8.8	28.8
18	9.5	28.8
19	10.1	28.5
20	10.7	28.5
21	11.3	28.5
22	11.9	28.5
23	12.6	28.3
24	13.2	28.3
25	10.4	28.2
26	11.8	28.2
27	13.1	28.1
28	13.9	28.0
29	14.7	28.0
30	15.5	27.9
31	16.0	27.8
32	20.7	27.8
33	20.7	27.8
34	18.8	27.7
35	17.3	27.7
36	15.9	27.6
37	15.1	27.6
38	14.7	27.6
39	14.7	27.6
40	15.5	27.6
41	16.8	27.5
42	17.3	27.4
43	17.8	27.4
44	18.3	27.3
45	18.7	27.3
46	19.2	27.3
47	19.8	27.2
48	20.3	27.2
49	16.1	27.1
50	15.9	27.1
51	15.7	27.0
52	15.6	27.0
53	15.5	27.0
54	15.4	27.0
55	15.3	26.9
56	19.2	26.8
57	19.0	26.8
58	17.4	26.8
59	16.0	26.8
60	15.1	26.7
61	14.4	26.7
62	13.9	26.7
63	13.9	26.7
64	14.4	26.6
65	15.2	26.6
66	15.5	26.6
67	15.7	26.5
68	15.9	26.4
69	16.1	26.4
70	16.4	26.4
71	16.6	26.4
72	16.8	26.4
73	13.1	26.3
74	13.8	26.3
75	14.3	26.3
76	14.5	26.2
77	14.8	26.1
78	15.0	26.1
79	15.2	26.0
80	19.4	26.0
81	19.4	26.0
82	18.9	26.0
83	18.5	25.9
84	18.3	25.9
85	18.2	25.9
86	18.1	25.9
87	18.2	25.9
88	18.4	25.8
89	18.7	25.7
90	19.0	25.7
91	19.2	25.7
92	19.5	25.6
93	19.8	25.5
94	20.1	25.5
95	20.4	25.5
96	21.0	25.5
97	16.6	25.5
98	16.6	25.4
99	16.6	25.4
100	16.7	25.4
101	16.6	25.4
102	16.6	25.4
103	16.6	25.4
104	20.7	25.4
105	20.6	25.4
106	19.8	25.4
107	18.9	25.3
108	18.2	25.3
109	17.8	25.3
110	17.5	25.3
111	17.4	25.3
112	17.7	25.3
113	18.2	25.3
114	18.5	25.3
115	18.8	25.2
116	19.1	25.2
117	19.4	25.2
118	19.9	25.1
119	20.1	25.1
120	20.7	25.1
121	16.7	25.0
122	17.2	25.0
123	17.7	25.0
124	18.0	25.0
125	18.2	25.0
126	18.4	24.9
127	18.6	24.8
128	22.9	24.8
129	22.9	24.8
130	22.3	24.7
131	21.7	24.6
132	21.3	24.6
133	21.0	24.6
134	20.9	24.6
135	20.9	24.6
136	21.1	24.6
137	21.6	24.6
138	21.8	24.5
139	22.1	24.5
140	22.3	24.5
141	22.6	24.5
142	22.9	24.5
143	23.1	24.5
144	23.4	24.4
145	19.3	24.4
146	19.4	24.4
147	19.4	24.4
148	19.4	24.4
149	19.4	24.3
150	19.4	24.3
151	19.4	24.3
152	23.5	24.3
153	23.2	24.3
154	21.3	24.3
155	19.5	24.2
156	18.0	24.2
157	16.9	24.2
158	16.3	24.2
159	16.4	24.2
160	17.2	24.2
161	18.3	24.2
162	18.6	24.2
163	18.9	24.2
164	19.2	24.2
165	19.5	24.2
166	19.9	24.2
167	20.3	24.1
168	20.6	24.1
169	17.1	24.1
170	17.5	24.1
171	18.0	24.1
172	18.3	24.1
173	18.6	24.1
174	18.9	24.0
175	19.1	24.0
176	23.4	24.0
177	23.4	24.0
178	22.7	24.0
179	22.4	24.0
180	22.5	23.9
181	22.5	23.9
182	21.6	23.9
183	21.2	23.9
184	21.1	23.9
185	21.6	23.9
186	22.0	23.9
187	22.4	23.9
188	22.7	23.9
189	23.1	23.9
190	23.4	23.9
191	23.8	23.8
192	24.2	23.8
193	20.4	23.8
194	20.6	23.8
195	20.8	23.8
196	20.9	23.8
197	21.0	23.7
198	21.2	23.7
199	21.3	23.7
200	25.4	23.7
201	25.3	23.7
202	24.4	23.7
203	23.7	23.7
204	23.1	23.6
205	22.7	23.6
206	22.6	23.6
207	22.5	23.6
208	22.8	23.6
209	23.4	23.5
210	23.5	23.5
211	23.6	23.5
212	23.9	23.5
213	23.9	23.5
214	23.9	23.5
215	24.0	23.5
216	24.2	23.5
217	20.2	23.4
218	20.2	23.4
219	20.3	23.4
220	20.3	23.4
221	20.3	23.4
222	20.3	23.4
223	20.3	23.4
224	24.3	23.4
225	24.2	23.4
226	23.4	23.4
227	22.6	23.4
228	22.0	23.3
229	21.7	23.3
230	21.4	23.3
231	21.4	23.3
232	21.6	23.3
233	22.1	23.3
234	22.3	23.3
235	22.5	23.2
236	22.9	23.2
237	22.6	23.2
238	22.8	23.2
239	22.9	23.2
240	23.0	23.2
241	19.1	23.2
242	19.2	23.1
243	19.3	23.1
244	19.4	23.1
245	19.4	23.1
246	19.4	23.1
247	19.4	23.1
248	23.6	23.1
249	23.4	23.1
250	22.0	23.1
251	20.7	23.1
252	19.4	23.1
253	18.6	23.1
254	18.1	23.1
255	18.0	23.0
256	18.4	23.0
257	19.2	23.0
258	19.9	23.0
259	20.5	23.0
260	21.0	23.0
261	21.6	23.0
262	22.2	23.0
263	22.8	23.0
264	23.3	23.0
265	20.4	22.9
266	21.8	22.9
267	23.1	22.9
268	23.9	22.9
269	24.6	22.9
270	25.5	22.9
271	26.1	22.9
272	30.7	22.9
273	30.6	22.9
274	29.9	22.9
275	29.2	22.9
276	28.3	22.8
277	28.0	22.8
278	28.5	22.8
279	28.8	22.8
280	29.3	22.8
281	30.2	22.8
282	30.4	22.8
283	30.7	22.8
284	31.1	22.8
285	31.3	22.8
286	31.6	22.8
287	31.9	22.8
288	32.1	22.8
289	27.6	22.8
290	27.3	22.8
291	26.2	22.7
292	25.7	22.7
293	25.3	22.7
294	24.8	22.7
295	24.5	22.7
296	28.3	22.7
297	28.0	22.7
298	26.7	22.7
299	25.5	22.7
300	24.5	22.6
301	23.8	22.6
302	23.5	22.6
303	23.4	22.6
304	23.7	22.6
305	24.3	22.6
306	24.2	22.6
307	24.2	22.6
308	24.2	22.6
309	24.2	22.6
310	24.3	22.6
311	24.1	22.5
312	24.1	22.5
313	20.5	22.5
314	20.9	22.5
315	21.3	22.5
316	21.5	22.5
317	21.8	22.5
318	22.0	22.5
319	22.2	22.5
320	26.4	22.5
321	26.4	22.5
322	25.9	22.5
323	25.0	22.5
324	24.5	22.5
325	24.2	22.5
326	24.0	22.4
327	24.0	22.4
328	24.2	22.4
329	24.6	22.4
330	25.1	22.4
