Index;Consumption [kWh/h]
1;12433,49
2;12422,81
3;12398,63
4;12393,61
5;12381,60
6;12369,21
7;12363,73
8;12359,91
9;12355,85
10;12351,43
11;12351,24
12;12349,64
13;12346,31
14;12339,10
15;12330,10
16;12329,10
17;12326,51
18;12326,00
19;12321,10
20;12320,10
21;12318,71
22;12315,41
23;12311,26
24;12309,47
25;12307,39
26;12304,42
27;12303,22
28;12300,70
29;12300,55
30;12298,04
31;12297,63
32;12294,16
33;12288,49
34;12287,38
35;12286,25
36;12284,48
37;12284,46
38;12280,85
39;12280,08
40;12278,67
41;12276,88
42;12274,69
43;12270,69
44;12268,50
45;12265,53
46;12264,49
47;12257,05
48;12254,28
49;12253,23
50;12250,96
51;12249,38
52;12247,86
53;12246,57
54;12239,63
55;12236,87
56;12236,05
57;12224,72
58;12222,02
59;12217,80
60;12210,90
61;12208,88
62;12200,48
63;12189,56
64;12184,92
65;12182,15
66;12175,48
67;12154,60
68;12149,13
69;12141,94
70;12140,42
71;12140,30
72;12134,58
73;12130,53
74;12129,10
75;12128,47
76;12127,36
77;12124,72
78;12124,51
79;12123,40
80;12118,38
81;12115,03
82;12112,68
83;12112,39
84;12110,23
85;12105,60
86;12103,73
87;12099,63
88;12098,69
89;12098,12
90;12095,31
91;12092,89
92;12092,16
93;12091,60
94;12087,07
95;12084,09
96;12080,96
97;12078,85
98;12078,21
99;12076,02
100;12073,12
101;12069,79
102;12069,02
103;12065,05
104;12062,71
105;12062,64
106;12062,53
107;12060,74
108;12060,44
109;12059,90
110;12057,41
111;12056,84
112;12053,04
113;12051,02
114;12049,73
115;12048,77
116;12044,81
117;12038,14
118;12036,17
119;12031,70
120;12030,09
121;12027,09
122;12022,67
123;12019,23
124;12019,21
125;12018,54
126;12017,22
127;12008,64
128;12003,12
129;11995,21
130;11985,31
131;11975,33
132;11959,58
133;11316,81
134;11294,59
135;11287,60
136;11286,41
137;11280,63
138;11280,12
139;11252,80
140;11250,02
141;11249,03
142;11247,52
143;11245,03
144;11236,94
145;11236,85
146;11231,01
147;11230,78
148;11227,24
149;11223,87
150;11223,72
151;11221,65
152;11221,03
153;11219,37
154;11217,52
155;11217,21
156;11216,50
157;11215,30
158;11215,28
159;11214,37
160;11210,83
161;11210,25
162;11210,09
163;11209,16
164;11208,88
165;11207,43
166;11207,04
167;11205,64
168;11204,91
169;11203,79
170;11203,16
171;11203,00
172;11201,98
173;11201,54
174;11199,34
175;11198,85
176;11198,64
177;11195,45
178;11195,09
179;11193,83
180;11192,67
181;11191,09
182;11189,16
183;11183,58
184;11182,90
185;11182,67
186;11180,82
187;11178,75
188;11177,89
189;11176,85
190;11175,76
191;11175,31
192;11173,64
193;11172,11
194;11171,16
195;11169,47
196;11167,77
197;11166,76
198;11166,15
199;11164,09
200;11162,89
201;11162,39
202;11160,60
203;11160,22
204;11159,02
205;11158,72
206;11156,37
207;11156,24
208;11156,23
209;11152,38
210;11152,02
211;11146,65
212;11144,90
213;11140,28
214;11139,76
215;11138,41
216;11137,22
217;11137,21
218;11135,39
219;11132,79
220;11131,56
221;11131,49
222;11131,47
223;11130,29
224;11128,65
225;11127,87
