# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	2.7	12.8
2	2.9	12.7
3	3.1	12.6
4	3.2	12.5
5	3.3	12.4
6	3.4	12.3
7	3.4	12.3
8	5.1	12.2
9	5.0	12.2
10	4.4	12.1
11	3.9	12.0
12	3.5	11.7
13	3.2	11.7
14	3.0	11.6
15	3.0	11.6
16	3.2	11.6
17	3.5	11.5
18	3.8	11.4
19	4.0	11.4
20	4.3	11.4
21	4.5	11.3
22	4.8	11.3
23	5.0	11.3
24	5.3	11.3
25	4.2	11.3
26	4.7	11.3
27	5.2	11.2
28	5.6	11.2
29	5.9	11.2
30	6.2	11.2
31	6.4	11.1
32	8.3	11.1
33	8.3	11.1
34	7.5	11.1
35	6.9	11.1
36	6.3	11.1
37	6.0	11.1
38	5.9	11.0
39	5.9	11.0
40	6.2	11.0
41	6.7	11.0
42	6.9	11.0
43	7.1	11.0
44	7.3	11.0
45	7.5	10.9
46	7.7	10.9
47	7.9	10.9
48	8.1	10.9
49	6.4	10.8
50	6.3	10.8
51	6.3	10.8
52	6.2	10.8
53	6.2	10.8
54	6.1	10.8
55	6.1	10.8
56	7.7	10.8
57	7.6	10.8
58	7.0	10.7
59	6.4	10.7
60	6.0	10.7
61	5.7	10.7
62	5.6	10.7
63	5.6	10.7
64	5.7	10.6
65	6.1	10.6
66	6.2	10.6
67	6.3	10.6
68	6.3	10.6
69	6.4	10.6
70	6.6	10.6
71	6.6	10.6
72	6.7	10.5
73	5.2	10.5
74	5.5	10.5
75	5.7	10.5
76	5.8	10.5
77	5.9	10.5
78	6.0	10.5
79	6.1	10.4
80	7.8	10.4
81	7.8	10.4
82	7.6	10.4
83	7.4	10.4
84	7.3	10.4
85	7.3	10.3
86	7.2	10.3
87	7.3	10.3
88	7.4	10.3
89	7.5	10.3
90	7.6	10.3
91	7.7	10.3
92	7.8	10.2
93	7.9	10.2
94	8.0	10.2
95	8.1	10.2
96	8.4	10.2
97	6.6	10.2
98	6.6	10.2
99	6.6	10.2
100	6.7	10.2
101	6.6	10.1
102	6.6	10.1
103	6.6	10.1
104	8.3	10.1
105	8.2	10.1
106	7.9	10.1
107	7.6	10.1
108	7.3	10.1
109	7.1	10.1
110	7.0	10.1
111	7.0	10.0
112	7.1	10.0
113	7.3	10.0
114	7.4	10.0
115	7.5	10.0
116	7.6	10.0
117	7.8	10.0
118	7.9	10.0
119	8.0	10.0
120	8.3	10.0
121	6.7	10.0
122	6.9	10.0
123	7.1	10.0
124	7.2	10.0
125	7.3	9.9
126	7.4	9.9
127	7.4	9.9
128	9.2	9.9
129	9.2	9.9
130	8.9	9.9
131	8.7	9.9
132	8.5	9.9
133	8.4	9.9
134	8.3	9.9
135	8.3	9.9
136	8.4	9.9
137	8.6	9.9
138	8.7	9.8
139	8.8	9.8
140	8.9	9.8
141	9.0	9.8
142	9.2	9.8
143	9.2	9.8
144	9.4	9.8
145	7.7	9.8
146	7.8	9.8
147	7.8	9.8
148	7.8	9.8
149	7.8	9.8
150	7.8	9.8
151	7.8	9.8
152	9.4	9.8
153	9.3	9.7
154	8.5	9.7
155	7.8	9.7
156	7.2	9.7
157	6.8	9.7
158	6.5	9.7
159	6.6	9.7
160	6.9	9.7
161	7.3	9.7
162	7.4	9.7
163	7.6	9.7
164	7.7	9.7
165	7.8	9.7
166	7.9	9.7
167	8.1	9.7
168	8.2	9.7
169	6.8	9.7
170	7.0	9.7
171	7.2	9.7
172	7.3	9.7
173	7.4	9.7
174	7.6	9.7
175	7.6	9.7
176	9.4	9.7
177	9.4	9.7
178	9.1	9.7
179	9.0	9.7
180	9.0	9.7
181	9.0	9.6
182	8.6	9.6
183	8.5	9.6
184	8.4	9.6
185	8.6	9.6
186	8.8	9.6
187	9.0	9.6
188	9.1	9.6
189	9.2	9.6
190	9.4	9.6
191	9.5	9.6
192	9.7	9.6
193	8.1	9.6
194	8.2	9.6
195	8.3	9.6
196	8.3	9.6
197	8.4	9.6
198	8.5	9.6
199	8.5	9.6
200	10.1	9.6
201	10.1	9.5
202	9.8	9.5
203	9.5	9.5
204	9.2	9.5
205	9.1	9.5
206	9.0	9.5
207	9.0	9.5
208	9.1	9.5
209	9.4	9.5
210	9.4	9.5
211	9.4	9.5
212	9.6	9.5
213	9.6	9.5
214	9.6	9.5
215	9.6	9.5
216	9.7	9.5
217	8.1	9.5
218	8.1	9.5
219	8.1	9.5
220	8.1	9.5
221	8.1	9.4
222	8.1	9.4
223	8.1	9.4
224	9.7	9.4
225	9.7	9.4
226	9.4	9.4
227	9.0	9.4
228	8.8	9.4
229	8.7	9.4
230	8.5	9.4
231	8.5	9.4
232	8.6	9.4
233	8.8	9.4
234	8.9	9.4
235	9.0	9.4
236	9.2	9.4
237	9.0	9.4
238	9.1	9.4
239	9.2	9.4
240	9.2	9.4
241	7.6	9.4
242	7.7	9.4
243	7.7	9.3
244	7.8	9.3
245	7.8	9.3
246	7.8	9.3
247	7.8	9.3
248	9.4	9.3
249	9.4	9.3
250	8.8	9.3
251	8.3	9.3
252	7.8	9.3
253	7.4	9.3
254	7.2	9.3
255	7.2	9.3
256	7.4	9.3
257	7.7	9.3
258	7.9	9.2
259	8.2	9.2
260	8.4	9.2
261	8.6	9.2
262	8.9	9.2
263	9.1	9.2
264	9.3	9.2
265	8.1	9.2
266	8.7	9.2
267	9.2	9.2
268	9.6	9.2
269	9.8	9.2
270	10.2	9.2
271	10.4	9.2
272	12.3	9.2
273	12.2	9.2
274	12.0	9.2
275	11.7	9.2
276	11.3	9.2
277	11.2	9.2
278	11.4	9.2
279	11.5	9.2
280	11.7	9.2
281	12.1	9.2
282	12.2	9.2
283	12.3	9.2
284	12.4	9.2
285	12.5	9.2
286	12.6	9.1
287	12.7	9.1
288	12.8	9.1
289	11.0	9.1
290	10.9	9.1
291	10.5	9.1
292	10.3	9.1
293	10.1	9.1
294	9.9	9.1
295	9.8	9.1
296	11.3	9.1
297	11.2	9.1
298	10.7	9.1
299	10.2	9.1
300	9.8	9.1
301	9.5	9.1
302	9.4	9.1
303	9.4	9.1
304	9.5	9.1
305	9.7	9.1
306	9.7	9.1
307	9.7	9.1
308	9.7	9.1
309	9.7	9.1
310	9.7	9.1
311	9.6	9.0
312	9.6	9.0
313	8.2	9.0
314	8.3	9.0
315	8.5	9.0
316	8.6	9.0
317	8.7	9.0
318	8.8	9.0
319	8.9	9.0
320	10.5	9.0
321	10.5	9.0
322	10.3	9.0
323	10.0	9.0
324	9.8	9.0
325	9.7	9.0
326	9.6	9.0
327	9.6	9.0
328	9.7	9.0
329	9.8	9.0
330	10.0	9.0
331	10.2	9.0
332	10.3	9.0
333	10.5	9.0
334	10.6	9.0
335	10.8	9.0
336	10.9	9.0
337	9.6	9.0
338	9.6	9.0
339	9.7	9.0
340	9.8	9.0
341	9.8	9.0
342	9.9	9.0
343	10.0	8.9
344	11.6	8.9
345	11.6	8.9
346	11.3	8.9
347	11.0	8.9
348	10.8	8.9
349	10.7	8.9
350	10.6	8.9
351	10.7	8.9
352	10.8	8.9
353	11.0	8.9
354	11.0	8.9
355	11.0	8.9
356	11.1	8.9
357	11.1	8.9
358	11.1	8.9
359	11.1	8.9
360	11.1	8.9
361	9.5	8.9
362	9.4	8.9
363	9.4	8.8
364	9.3	8.8
365	9.3	8.8
366	9.2	8.8
367	9.2	8.8
368	10.8	8.8
369	10.7	8.8
370	10.5	8.8
371	10.4	8.8
372	10.3	8.8
373	10.1	8.8
374	9.2	8.8
375	8.6	8.8
376	8.5	8.8
377	8.8	8.8
378	8.9	8.8
379	8.9	8.8
380	9.0	8.8
381	9.1	8.8
382	9.1	8.8
383	9.2	8.8
384	9.2	8.8
385	7.8	8.8
386	8.0	8.8
387	8.2	8.8
388	8.3	8.8
389	8.3	8.8
390	8.5	8.8
391	8.5	8.8
392	10.2	8.8
393	10.1	8.8
394	9.0	8.7
395	8.0	8.7
396	7.1	8.7
397	6.6	8.7
398	6.3	8.7
399	6.3	8.7
400	6.7	8.7
401	7.4	8.7
402	7.5	8.7
403	7.6	8.7
404	7.7	8.7
405	7.8	8.7
406	7.9	8.7
407	8.0	8.7
408	8.1	8.7
409	6.6	8.7
410	6.6	8.7
411	6.7	8.7
412	6.7	8.7
413	6.7	8.7
414	6.7	8.7
415	6.7	8.7
416	8.4	8.7
417	8.3	8.7
418	8.2	8.7
419	8.0	8.6
420	7.9	8.6
421	7.7	8.6
422	6.7	8.6
423	6.1	8.6
424	6.0	8.6
425	6.3	8.6
426	6.4	8.6
427	6.5	8.6
428	6.6	8.6
429	6.6	8.6
430	6.7	8.6
431	6.8	8.6
432	6.9	8.6
433	5.4	8.6
434	5.5	8.6
435	5.6	8.6
436	5.7	8.6
437	5.7	8.6
438	5.8	8.6
439	5.8	8.6
440	7.4	8.6
441	7.4	8.6
442	7.3	8.6
443	7.2	8.6
444	7.1	8.6
445	7.0	8.6
446	6.1	8.6
447	5.5	8.6
448	5.2	8.6
449	5.6	8.6
450	5.7	8.6
451	5.9	8.6
452	6.0	8.6
453	6.1	8.5
454	6.3	8.5
455	6.4	8.5
456	6.6	8.5
457	5.1	8.5
458	5.3	8.5
459	5.5	8.5
460	5.7	8.5
461	5.8	8.5
462	5.9	8.5
463	5.9	8.5
464	7.6	8.5
465	7.6	8.5
466	7.5	8.5
467	7.4	8.5
468	7.3	8.5
469	7.2	8.5
470	6.5	8.5
471	6.1	8.5
472	6.1	8.5
473	6.3	8.5
474	6.4	8.5
475	6.5	8.5
476	6.6	8.5
477	6.6	8.5
478	6.7	8.5
479	6.8	8.5
480	6.8	8.5
481	5.2	8.5
482	5.2	8.5
483	5.1	8.5
484	5.1	8.5
485	5.1	8.5
486	5.1	8.5
487	5.0	8.4
488	6.7	8.4
489	6.6	8.4
490	5.9	8.4
491	5.2	8.4
492	4.6	8.4
493	4.2	8.4
494	3.8	8.4
495	3.8	8.4
496	4.0	8.4
497	4.4	8.4
498	4.6	8.4
499	4.7	8.4
500	4.8	8.4
501	5.0	8.4
502	5.2	8.4
503	5.3	8.4
504	5.5	8.4
505	4.1	8.4
506	4.3	8.4
507	4.5	8.4
508	4.6	8.4
509	4.7	8.4
510	4.8	8.4
511	4.9	8.4
512	6.6	8.4
513	6.5	8.4
514	5.7	8.4
515	5.1	8.4
516	4.4	8.4
517	3.9	8.4
518	3.4	8.3
519	3.1	8.3
520	3.2	8.3
521	3.7	8.3
522	4.1	8.3
523	4.4	8.3
524	4.8	8.3
525	5.1	8.3
526	5.5	8.3
527	5.8	8.3
528	6.1	8.3
529	4.9	8.3
530	5.4	8.3
531	5.8	8.3
532	6.0	8.3
533	6.2	8.3
534	6.5	8.3
535	6.6	8.3
536	8.4	8.3
537	8.1	8.3
538	6.8	8.3
539	5.7	8.3
540	4.8	8.3
541	4.2	8.3
542	3.8	8.3
543	3.8	8.3
544	4.1	8.3
545	4.9	8.3
546	5.4	8.3
547	5.9	8.3
548	6.4	8.3
549	6.9	8.3
550	7.4	8.3
551	7.9	8.3
552	8.3	8.3
553	7.2	8.3
554	7.6	8.3
555	8.1	8.3
556	8.4	8.3
557	8.7	8.3
558	9.0	8.3
559	9.2	8.3
560	11.0	8.3
561	10.9	8.3
562	10.1	8.2
563	9.3	8.2
564	8.8	8.2
565	8.5	8.2
566	8.1	8.2
567	8.0	8.2
568	8.1	8.2
569	8.7	8.2
570	8.8	8.2
571	8.9	8.2
572	9.0	8.2
573	9.1	8.2
574	9.2	8.2
575	9.4	8.2
576	9.5	8.2
577	7.7	8.2
578	7.5	8.2
579	7.4	8.2
580	7.2	8.2
581	7.2	8.2
582	7.0	8.2
583	7.0	8.1
584	8.5	8.1
585	8.4	8.1
586	8.1	8.1
587	8.2	8.1
588	7.7	8.1
589	7.4	8.1
590	7.3	8.1
591	7.4	8.1
592	7.3	8.1
593	7.6	8.1
594	7.6	8.1
595	7.6	8.1
596	7.5	8.1
597	7.5	8.1
598	7.5	8.1
599	7.5	8.1
600	7.4	8.1
601	5.9	8.1
602	6.0	8.1
603	6.1	8.1
604	6.1	8.1
605	6.2	8.1
606	6.2	8.1
607	6.3	8.1
608	7.9	8.1
609	7.5	8.1
610	6.6	8.1
611	6.1	8.1
612	5.7	8.1
613	4.8	8.1
614	4.2	8.1
615	3.8	8.1
616	3.7	8.1
617	4.2	8.1
618	4.8	8.1
619	5.0	8.1
620	5.0	8.1
621	5.2	8.1
622	5.3	8.1
623	5.4	8.1
624	5.5	8.1
625	4.0	8.1
626	4.2	8.1
627	4.4	8.1
628	4.4	8.1
629	4.5	8.1
630	4.6	8.1
631	4.6	8.1
632	6.3	8.1
633	6.3	8.0
634	6.2	8.0
635	6.1	8.0
636	6.0	8.0
637	5.9	8.0
638	6.1	8.0
639	5.9	8.0
640	6.1	8.0
641	6.1	8.0
642	6.1	8.0
643	6.3	8.0
644	6.5	8.0
645	6.6	8.0
646	6.7	8.0
647	6.8	8.0
648	7.0	8.0
649	5.5	8.0
650	5.7	8.0
651	5.9	8.0
652	5.9	8.0
653	6.0	8.0
654	6.1	8.0
655	6.1	8.0
656	7.9	8.0
657	7.7	8.0
658	7.3	8.0
659	7.1	8.0
660	6.8	8.0
661	6.6	8.0
662	6.5	8.0
663	6.6	8.0
664	6.7	8.0
665	6.9	8.0
666	7.1	8.0
667	7.2	8.0
668	7.3	8.0
669	7.4	7.9
670	7.5	7.9
671	7.6	7.9
672	7.7	7.9
673	6.1	7.9
674	6.1	7.9
675	6.1	7.9
676	6.1	7.9
677	6.1	7.9
678	6.1	7.9
679	6.1	7.9
680	7.8	7.9
681	7.6	7.9
682	6.9	7.9
683	6.3	7.9
684	5.5	7.9
685	4.7	7.9
686	4.5	7.9
687	4.5	7.9
688	4.8	7.9
689	5.1	7.9
690	5.6	7.9
691	5.6	7.9
692	5.7	7.9
693	5.8	7.9
694	5.9	7.9
695	5.9	7.9
696	6.0	7.9
697	4.5	7.9
698	4.7	7.9
699	4.8	7.9
700	4.9	7.9
701	5.0	7.9
702	5.0	7.9
703	5.1	7.9
704	6.8	7.9
705	6.6	7.9
706	6.4	7.9
707	6.1	7.9
708	6.0	7.9
709	6.0	7.9
710	5.0	7.9
711	4.5	7.9
712	4.3	7.9
713	4.6	7.9
714	4.9	7.9
715	5.0	7.9
716	5.1	7.9
717	5.2	7.9
718	5.3	7.9
719	5.4	7.9
720	5.5	7.9
721	3.9	7.8
722	4.0	7.8
723	4.1	7.8
724	4.1	7.8
725	4.2	7.8
726	4.2	7.8
727	4.2	7.8
728	5.8	7.8
729	5.7	7.8
730	5.1	7.8
731	4.7	7.8
732	4.2	7.8
733	3.7	7.8
734	3.3	7.8
735	3.1	7.8
736	3.5	7.8
737	3.9	7.8
738	4.2	7.8
739	4.3	7.8
740	4.4	7.8
741	4.4	7.8
742	4.4	7.8
743	4.5	7.8
744	4.6	7.8
745	2.9	7.8
746	3.1	7.8
747	3.2	7.8
748	3.3	7.8
749	3.4	7.8
750	3.5	7.8
751	3.5	7.8
752	5.1	7.8
753	5.1	7.8
754	4.6	7.8
755	4.6	7.8
756	4.2	7.8
757	3.9	7.8
758	3.8	7.8
759	3.8	7.8
760	3.8	7.8
761	3.9	7.8
762	4.1	7.8
763	4.2	7.8
764	4.4	7.8
765	4.6	7.8
766	4.8	7.7
767	4.9	7.7
768	5.0	7.7
769	3.6	7.7
770	3.7	7.7
771	3.8	7.7
772	3.9	7.7
773	3.9	7.7
774	4.0	7.7
775	4.0	7.7
776	5.5	7.7
777	5.2	7.7
778	4.8	7.7
779	4.6	7.7
780	4.2	7.7
781	3.8	7.7
782	4.0	7.7
783	4.2	7.7
784	4.4	7.7
785	4.6	7.7
786	4.7	7.7
787	4.9	7.7
788	5.0	7.7
789	5.1	7.7
790	5.3	7.7
791	5.4	7.7
792	5.6	7.7
793	4.3	7.7
794	4.6	7.7
795	4.8	7.7
796	4.9	7.7
797	5.0	7.7
798	5.1	7.7
799	5.1	7.7
800	6.7	7.7
801	6.7	7.7
802	6.5	7.7
803	6.2	7.7
804	6.1	7.7
805	6.0	7.6
806	6.0	7.6
