# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.2	5.5
2	1.3	5.5
3	1.3	5.4
4	1.4	5.4
5	1.4	5.3
6	1.5	5.3
7	1.5	5.3
8	2.2	5.3
9	2.2	5.2
10	1.9	5.2
11	1.7	5.1
12	1.5	5.0
13	1.4	5.0
14	1.3	5.0
15	1.3	5.0
16	1.4	5.0
17	1.5	4.9
18	1.6	4.9
19	1.7	4.9
20	1.8	4.9
21	1.9	4.9
22	2.0	4.9
23	2.2	4.9
24	2.3	4.9
25	1.8	4.8
26	2.0	4.8
27	2.3	4.8
28	2.4	4.8
29	2.5	4.8
30	2.7	4.8
31	2.7	4.8
32	3.6	4.8
33	3.6	4.8
34	3.2	4.8
35	3.0	4.7
36	2.7	4.7
37	2.6	4.7
38	2.5	4.7
39	2.5	4.7
40	2.7	4.7
41	2.9	4.7
42	3.0	4.7
43	3.1	4.7
44	3.1	4.7
45	3.2	4.7
46	3.3	4.7
47	3.4	4.7
48	3.5	4.7
49	2.8	4.7
50	2.7	4.6
51	2.7	4.6
52	2.7	4.6
53	2.7	4.6
54	2.6	4.6
55	2.6	4.6
56	3.3	4.6
57	3.3	4.6
58	3.0	4.6
59	2.7	4.6
60	2.6	4.6
61	2.5	4.6
62	2.4	4.6
63	2.4	4.6
64	2.5	4.6
65	2.6	4.6
66	2.7	4.6
67	2.7	4.6
68	2.7	4.6
69	2.8	4.5
70	2.8	4.5
71	2.9	4.5
72	2.9	4.5
73	2.3	4.5
74	2.4	4.5
75	2.4	4.5
76	2.5	4.5
77	2.5	4.5
78	2.6	4.5
79	2.6	4.5
80	3.3	4.5
81	3.3	4.5
82	3.3	4.5
83	3.2	4.4
84	3.1	4.4
85	3.1	4.4
86	3.1	4.4
87	3.1	4.4
88	3.2	4.4
89	3.2	4.4
90	3.3	4.4
91	3.3	4.4
92	3.4	4.4
93	3.4	4.4
94	3.4	4.4
95	3.5	4.4
96	3.6	4.4
97	2.9	4.4
98	2.9	4.4
99	2.9	4.4
100	2.9	4.4
101	2.9	4.4
102	2.9	4.4
103	2.9	4.4
104	3.6	4.3
105	3.5	4.3
106	3.4	4.3
107	3.3	4.3
108	3.1	4.3
109	3.1	4.3
110	3.0	4.3
111	3.0	4.3
112	3.0	4.3
113	3.1	4.3
114	3.2	4.3
115	3.2	4.3
116	3.3	4.3
117	3.3	4.3
118	3.4	4.3
119	3.4	4.3
120	3.6	4.3
121	2.9	4.3
122	3.0	4.3
123	3.0	4.3
124	3.1	4.3
125	3.1	4.3
126	3.2	4.3
127	3.2	4.3
128	3.9	4.3
129	3.9	4.3
130	3.8	4.3
131	3.7	4.3
132	3.7	4.2
133	3.6	4.2
134	3.6	4.2
135	3.6	4.2
136	3.6	4.2
137	3.7	4.2
138	3.7	4.2
139	3.8	4.2
140	3.8	4.2
141	3.9	4.2
142	3.9	4.2
143	4.0	4.2
144	4.0	4.2
145	3.3	4.2
146	3.3	4.2
147	3.3	4.2
148	3.3	4.2
149	3.3	4.2
150	3.3	4.2
151	3.3	4.2
152	4.0	4.2
153	4.0	4.2
154	3.7	4.2
155	3.4	4.2
156	3.1	4.2
157	2.9	4.2
158	2.8	4.2
159	2.8	4.2
160	3.0	4.2
161	3.1	4.2
162	3.2	4.2
163	3.3	4.2
164	3.3	4.2
165	3.4	4.1
166	3.4	4.1
167	3.5	4.1
168	3.5	4.1
169	2.9	4.1
170	3.0	4.1
171	3.1	4.1
172	3.1	4.1
173	3.2	4.1
174	3.3	4.1
175	3.3	4.1
176	4.0	4.1
177	4.0	4.1
178	3.9	4.1
179	3.8	4.1
180	3.9	4.1
181	3.9	4.1
182	3.7	4.1
183	3.6	4.1
184	3.6	4.1
185	3.7	4.1
186	3.8	4.1
187	3.8	4.1
188	3.9	4.1
189	4.0	4.1
190	4.0	4.1
191	4.1	4.1
192	4.2	4.1
193	3.5	4.1
194	3.5	4.1
195	3.6	4.1
196	3.6	4.1
197	3.6	4.1
198	3.6	4.1
199	3.7	4.1
200	4.4	4.1
201	4.3	4.1
202	4.2	4.1
203	4.1	4.1
204	4.0	4.1
205	3.9	4.1
206	3.9	4.1
207	3.9	4.1
208	3.9	4.1
209	4.0	4.1
210	4.0	4.1
211	4.1	4.1
