# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	14.1	66.4
2	15.2	65.9
3	16.2	65.3
4	16.6	64.7
5	17.1	64.2
6	17.5	63.6
7	17.7	63.6
8	26.3	63.4
9	25.9	63.0
10	23.0	62.6
11	20.2	61.9
12	17.9	60.7
13	16.4	60.5
14	15.6	60.5
15	15.6	60.2
16	16.6	60.0
17	18.1	59.6
18	19.6	59.2
19	20.9	59.0
20	22.1	58.6
21	23.4	58.6
22	24.6	58.5
23	26.1	58.5
24	27.4	58.5
25	21.5	58.3
26	24.4	57.9
27	27.2	57.9
28	28.9	57.9
29	30.3	57.7
30	32.0	57.7
31	33.1	57.5
32	42.8	57.5
33	42.8	57.5
34	39.0	57.3
35	35.8	57.1
36	32.9	57.1
37	31.2	57.1
38	30.3	57.1
39	30.3	57.1
40	32.0	57.1
41	34.8	56.9
42	35.8	56.7
43	36.9	56.7
44	37.9	56.5
45	38.8	56.5
46	39.8	56.2
47	40.9	56.2
48	41.9	56.0
49	33.3	56.0
50	32.9	56.0
51	32.4	56.0
52	32.2	55.8
53	32.0	55.8
54	31.8	55.6
55	31.6	55.6
56	39.8	55.4
57	39.4	55.4
58	36.0	55.4
59	33.1	55.3
60	31.2	55.3
61	29.7	55.2
62	28.9	55.2
63	28.9	55.1
64	29.7	55.1
65	31.4	55.0
66	32.0	55.0
67	32.4	54.9
68	32.9	54.9
69	33.3	54.7
70	33.9	54.6
71	34.3	54.6
72	34.8	54.6
73	27.2	54.3
74	28.6	54.3
75	29.5	54.3
76	29.9	54.2
77	30.5	54.1
78	31.0	54.1
79	31.4	54.1
80	40.2	53.9
81	40.2	53.7
82	39.2	53.6
83	38.3	53.5
84	37.9	53.5
85	37.7	53.4
86	37.5	53.2
87	37.7	53.2
88	38.1	53.2
89	38.8	53.2
90	39.4	53.1
91	39.8	53.1
92	40.4	53.0
93	40.9	52.9
94	41.5	52.8
95	42.1	52.7
96	43.4	52.7
97	34.3	52.7
98	34.3	52.4
99	34.3	52.4
100	34.5	52.4
101	34.3	52.4
102	34.3	52.4
103	34.3	52.4
104	42.8	52.4
105	42.5	52.2
106	40.9	52.2
107	39.2	52.2
108	37.7	52.2
109	36.9	52.2
110	36.2	52.2
111	36.0	52.0
112	36.7	52.0
113	37.7	51.9
114	38.3	51.9
115	39.0	51.9
116	39.6	51.9
117	40.2	51.9
118	41.1	51.9
119	41.5	51.8
120	42.8	51.7
121	34.5	51.7
122	35.6	51.7
123	36.7	51.6
