# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	54.0	253.9
2	58.0	252.3
3	62.1	249.9
4	63.7	247.4
5	65.3	245.8
6	66.9	243.4
7	67.7	243.4
8	100.7	242.6
9	99.1	241.0
10	87.9	239.4
11	77.4	237.0
12	68.5	232.1
13	62.9	231.7
14	59.6	231.3
15	59.6	230.5
16	63.7	229.7
17	69.3	228.1
18	75.0	226.8
19	79.8	225.7
20	84.6	224.4
21	89.5	224.4
22	94.3	224.4
23	99.9	224.1
24	104.8	224.1
25	82.2	223.3
26	93.5	221.9
27	104.0	221.6
28	110.4	221.6
29	116.1	221.1
30	122.5	220.8
31	126.5	220.0
32	163.6	220.0
33	163.6	220.0
34	149.1	219.2
35	137.0	218.7
36	125.7	218.4
37	119.3	218.4
38	116.1	218.4
39	116.1	218.4
40	122.5	218.4
41	133.0	217.6
42	137.0	217.4
43	141.0	216.8
44	145.1	216.8
45	148.3	216.0
46	152.3	215.4
47	156.4	215.4
48	160.4	214.6
49	127.3	214.6
50	125.7	214.4
51	124.1	214.4
52	123.3	213.6
53	122.5	213.6
54	121.7	213.0
55	120.9	213.0
56	152.3	212.9
57	150.7	212.9
58	137.8	212.1
59	126.5	212.0
60	119.3	212.0
61	113.6	211.3
62	110.4	211.3
63	110.4	211.2
64	113.6	211.2
65	120.1	210.5
66	122.5	210.5
67	124.1	210.4
68	125.7	210.4
69	127.3	209.7
70	129.8	208.7
71	131.4	208.7
72	133.0	208.7
73	104.0	208.5
74	109.6	208.1
75	112.8	208.1
76	114.4	207.9
77	116.9	207.3
78	118.5	207.3
79	120.1	207.1
80	153.9	206.3
81	153.9	205.6
82	149.9	205.5
83	146.7	204.8
84	145.1	204.7
85	144.3	204.7
86	143.5	204.7
87	144.3	204.0
88	145.9	204.0
89	148.3	204.0
90	150.7	203.2
91	152.3	203.1
92	154.7	203.1
93	156.4	202.4
94	158.8	202.3
95	161.2	201.8
96	166.0	201.5
97	131.4	201.5
98	131.4	201.5
99	131.4	200.7
100	132.2	200.7
101	131.4	200.7
102	131.4	200.7
103	131.4	200.7
104	163.6	200.7
105	162.8	200.3
106	156.4	199.9
107	149.9	199.9
108	144.3	199.9
109	141.0	199.9
110	138.6	199.9
111	137.8	199.9
112	140.2	199.1
113	144.3	199.1
114	146.7	199.1
115	149.1	199.1
116	151.5	199.1
117	153.9	199.1
118	157.2	199.1
119	158.8	198.3
120	163.6	198.3
121	132.2	198.3
122	136.2	198.3
123	140.2	197.5
124	142.7	197.5
125	144.3	197.5
126	145.9	196.7
127	147.5	196.6
128	181.3	196.6
129	181.3	196.6
130	176.5	195.9
131	171.7	195.8
132	168.4	195.8
133	166.0	195.8
134	165.2	195.0
135	165.2	195.0
136	166.8	195.0
137	170.9	194.4
138	172.5	194.2
139	174.9	194.2
140	176.5	194.2
141	178.9	194.2
142	181.3	194.2
143	183.0	194.2
144	185.4	193.4
145	153.1	193.4
146	153.9	193.4
147	153.9	193.4
148	153.9	193.4
149	153.9	192.6
150	153.9	192.6
151	153.9	192.6
152	186.2	192.6
153	183.8	192.6
154	168.4	191.8
155	154.7	191.8
