# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	67.5	317.2
2	72.5	315.2
3	77.5	312.1
4	79.5	309.1
5	81.6	307.1
6	83.6	304.1
7	84.6	304.1
8	125.9	303.1
9	123.8	301.1
10	109.8	299.0
11	96.7	296.0
12	85.6	290.0
13	78.5	289.0
14	74.5	289.0
15	74.5	288.0
16	79.5	287.0
17	86.6	284.9
18	93.6	282.9
19	99.7	281.9
20	105.7	279.9
21	111.8	279.9
22	117.8	279.9
23	124.9	279.9
24	130.9	279.9
25	102.7	278.9
26	116.8	276.9
27	129.9	276.9
28	137.9	276.8
29	145.0	275.9
30	153.0	275.8
31	158.1	274.9
32	204.4	274.9
33	204.4	274.9
34	186.3	273.9
35	171.2	272.9
36	157.1	272.9
37	149.0	272.9
38	145.0	272.9
39	145.0	272.9
40	153.0	272.7
41	166.1	271.9
42	171.2	271.3
43	176.2	270.9
44	181.2	270.9
45	185.3	269.8
46	190.3	268.7
47	195.3	268.7
48	200.4	267.8
49	159.1	267.8
50	157.1	267.7
51	155.1	267.7
52	154.1	266.8
53	153.0	266.8
54	152.0	265.8
55	151.0	265.8
56	190.3	265.6
57	188.3	265.6
58	172.2	264.8
59	158.1	264.8
60	149.0	264.6
61	142.0	263.8
62	137.9	263.8
63	137.9	263.6
64	142.0	263.6
65	150.0	262.8
66	153.0	262.8
67	155.1	262.6
68	157.1	262.6
69	159.1	261.6
70	162.1	260.8
71	164.1	260.8
72	166.1	260.8
73	129.9	260.2
74	136.9	259.8
75	141.0	259.5
76	143.0	259.5
77	146.0	258.8
78	148.0	258.5
79	150.0	258.5
80	192.3	257.8
81	192.3	256.8
82	187.3	256.5
83	183.3	255.7
84	181.2	255.7
85	180.2	255.6
86	179.2	255.4
87	180.2	254.4
88	182.2	254.4
89	185.3	254.4
90	188.3	253.7
91	190.3	253.7
92	193.3	253.4
93	195.3	252.7
94	198.4	252.4
95	201.4	251.9
96	207.4	251.7
97	164.1	251.7
98	164.1	251.7
99	164.1	250.7
100	165.1	250.7
101	164.1	250.7
102	164.1	250.7
103	164.1	250.4
104	204.4	250.4
105	203.4	250.0
106	195.3	249.7
107	187.3	249.7
108	180.2	249.3
109	176.2	249.3
110	173.2	249.3
111	172.2	249.3
112	175.2	248.7
113	180.2	248.3
114	183.3	248.3
115	186.3	248.3
116	189.3	248.3
117	192.3	248.3
118	196.3	248.3
119	198.4	247.7
120	204.4	247.3
121	165.1	247.3
122	170.2	247.3
123	175.2	246.7
124	178.2	246.3
125	180.2	246.3
126	182.2	245.7
127	184.3	245.3
128	226.5	245.3
129	226.5	245.3
130	220.5	244.7
131	214.5	244.5
132	210.4	244.3
133	207.4	244.3
134	206.4	243.7
135	206.4	243.7
136	208.4	243.7
137	213.5	242.7
138	215.5	242.7
139	218.5	242.7
140	220.5	242.6
141	223.5	242.2
142	226.5	242.2
143	228.6	242.2
144	231.6	241.7
145	191.3	241.7
146	192.3	241.2
147	192.3	241.2
148	192.3	241.2
149	192.3	240.6
150	192.3	240.6
151	192.3	240.6
152	232.6	240.2
153	229.6	240.2
154	210.4	239.6
155	193.3	239.6
156	178.2	239.6
157	167.1	239.6
158	161.1	239.6
159	162.1	239.6
160	170.2	239.6
161	181.2	239.6
162	184.3	239.6
163	187.3	239.6
164	190.3	239.2
165	193.3	239.2
166	196.3	239.2
167	200.4	238.9
168	203.4	238.6
169	169.2	238.6
170	173.2	238.1
171	178.2	238.1
172	181.2	238.0
173	184.3	237.6
174	187.3	237.6
175	189.3	237.6
176	231.6	237.1
177	231.6	237.1
178	224.5	237.1
179	221.5	237.1
180	222.5	237.1
181	222.5	236.6
182	213.5	236.6
183	209.4	236.6
184	208.4	236.6
185	213.5	236.6
186	217.5	236.6
187	221.5	236.1
188	224.5	236.1
189	228.6	236.1
190	231.6	236.1
191	235.6	235.6
192	239.6	235.6
193	201.4	235.1
194	203.4	235.1
195	205.4	235.1
196	206.4	235.1
197	207.4	234.6
198	209.4	234.6
199	210.4	234.6
200	250.7	234.6
201	249.7	234.3
202	241.7	234.3
203	234.6	234.1
204	228.6	234.1
205	224.5	234.1
206	223.5	234.1
207	222.5	233.6
208	225.5	233.6
209	231.6	233.6
210	232.6	233.4
211	233.6	233.4
212	236.6	233.4
213	236.6	233.1
214	236.6	233.1
215	237.6	232.6
216	239.6	232.6
217	199.4	232.6
218	199.4	232.6
219	200.4	232.4
220	200.4	232.4
221	200.4	232.0
222	200.4	232.0
223	200.4	231.6
224	240.6	231.6
225	239.6	231.6
226	231.6	231.6
227	223.5	231.6
228	217.5	231.6
229	214.5	231.6
230	211.4	231.6
231	211.4	231.6
232	213.5	231.5
233	218.5	231.5
234	220.5	231.0
235	222.5	231.0
236	226.5	231.0
237	223.5	231.0
238	225.5	230.6
239	226.5	230.6
240	227.6	230.6
241	189.3	230.6
242	190.3	230.6
243	191.3	230.6
244	192.3	230.0
245	192.3	230.0
246	192.3	229.7
247	192.3	229.7
248	233.6	229.6
249	231.6	229.6
250	217.5	229.0
251	204.4	229.0
252	192.3	228.7
253	184.3	228.7
254	179.2	228.7
255	178.2	228.6
256	182.2	228.6
257	190.3	228.6
258	196.3	228.6
259	202.4	228.6
260	207.4	228.6
261	213.5	228.6
262	219.5	228.0
263	225.5	228.0
264	230.6	228.0
265	201.4	228.0
266	215.5	228.0
267	228.6	227.8
268	236.6	227.6
269	243.7	227.6
270	251.7	227.6
271	257.8	227.6
272	304.1	227.0
273	303.1	227.0
274	296.0	227.0
275	289.0	227.0
276	279.9	227.0
277	276.9	226.9
278	281.9	226.9
279	284.9	226.5
280	290.0	226.5
281	299.0	226.5
282	301.1	226.5
283	304.1	226.5
284	307.1	226.5
285	309.1	225.9
286	312.1	225.9
287	315.2	225.9
288	317.2	225.9
289	272.9	225.9
290	269.8	225.9
291	258.8	225.5
292	253.7	225.5
293	249.7	225.5
294	245.7	225.5
295	242.7	225.5
296	279.9	224.9
297	276.9	224.9
298	263.8	224.9
299	251.7	224.5
300	242.7	224.5
301	235.6	224.5
302	232.6	224.5
303	231.6	223.9
304	234.6	223.9
305	240.6	223.9
306	239.6	223.9
307	239.6	223.9
308	239.6	223.9
309	239.6	223.9
310	240.6	223.5
311	238.6	223.5
312	238.6	223.5
313	202.4	223.5
314	206.4	223.5
315	210.4	222.9
316	212.5	222.9
317	215.5	222.9
318	217.5	222.5
319	219.5	222.5
320	260.8	222.5
321	260.8	222.5
322	255.7	222.5
323	247.7	222.5
324	242.7	222.5
325	239.6	222.3
326	237.6	222.3
327	237.6	221.9
328	239.6	221.9
329	243.7	221.9
330	248.7	221.9
331	251.7	221.5
332	255.7	221.5
333	259.8	220.8
334	262.8	220.8
335	266.8	220.8
336	270.9	220.8
337	236.6	220.8
338	236.6	220.5
339	239.6	220.5
340	241.7	220.5
341	243.7	220.5
342	244.7	220.5
343	246.7	220.4
344	288.0	220.4
345	287.0	219.8
346	278.9	219.8
347	272.9	219.8
348	267.8	219.5
349	263.8	219.5
350	262.8	219.5
351	264.8	218.8
352	267.8	218.8
353	271.9	218.8
354	272.9	218.8
355	272.9	218.8
356	273.9	218.8
357	274.9	218.5
358	274.9	218.5
359	274.9	217.8
360	275.9	217.8
361	234.6	217.8
362	233.6	217.8
363	232.6	217.8
364	230.6	217.6
365	229.6	217.5
366	228.6	217.5
367	227.6	217.5
368	266.8	217.5
369	264.8	217.5
370	260.8	217.5
371	256.8	217.5
372	253.7	217.1
373	250.7	216.8
374	226.5	216.8
375	213.5	216.8
376	209.4	216.8
377	217.5	216.7
378	219.5	216.7
379	220.5	216.1
380	222.5	215.8
381	224.5	215.8
382	225.5	215.8
383	227.6	215.8
384	228.6	215.8
385	193.3	215.8
386	197.3	215.8
387	202.4	215.5
388	204.4	215.5
389	206.4	215.5
390	209.4	215.5
391	210.4	214.8
392	252.7	214.8
393	250.7	214.7
394	223.5	214.7
395	198.4	214.7
396	176.2	214.7
397	162.1	214.7
398	155.1	214.5
399	155.1	214.5
400	165.1	214.5
401	183.3	213.9
402	185.3	213.7
403	188.3	213.7
404	190.3	213.7
405	193.3	213.7
406	195.3	213.5
407	198.4	213.5
408	200.4	213.5
409	162.1	213.5
410	163.1	213.5
411	165.1	213.5
412	165.1	213.0
413	166.1	213.0
414	166.1	212.7
415	166.1	212.7
416	207.4	212.7
417	205.4	212.7
418	202.4	212.7
419	198.4	212.7
420	195.3	212.5
421	191.3	211.7
422	165.1	211.7
423	152.0	211.7
424	148.0	211.7
425	157.1	211.7
426	159.1	211.4
427	161.1	211.4
428	163.1	211.4
429	164.1	211.1
430	166.1	211.1
431	168.1	211.1
432	170.2	210.7
433	132.9	210.7
434	135.9	210.7
435	138.9	210.7
436	140.0	210.4
437	141.0	210.4
438	143.0	210.4
439	143.0	210.4
440	184.3	210.4
441	183.3	210.4
442	180.2	210.2
443	178.2	210.2
444	175.2	210.2
445	174.2	209.7
446	151.0	209.7
447	135.9	209.7
448	129.9	209.7
449	137.9	209.7
450	141.0	209.7
451	145.0	209.4
452	148.0	209.4
453	152.0	209.4
454	156.1	209.4
455	159.1	209.3
456	163.1	208.8
457	126.9	208.6
458	131.9	208.6
459	136.9	208.6
460	140.0	208.6
461	143.0	208.6
462	146.0	208.4
463	147.0	208.4
464	189.3	208.4
465	188.3	208.4
466	185.3	208.4
467	184.3	208.4
468	181.2	207.9
469	179.2	207.6
470	160.1	207.6
471	152.0	207.6
472	150.0	207.6
473	157.1	207.6
474	159.1	207.4
475	160.1	207.4
476	162.1	207.4
477	164.1	207.4
478	165.1	207.4
479	167.1	207.4
480	168.1	207.4
481	127.9	207.4
482	127.9	207.4
483	126.9	207.0
484	126.9	207.0
485	125.9	206.6
486	125.9	206.6
487	124.9	206.6
488	165.1	206.6
489	163.1	206.6
490	146.0	206.6
491	129.9	206.6
492	114.8	206.5
493	102.7	206.5
494	94.6	206.5
495	93.6	206.5
496	98.7	206.4
497	109.8	206.4
498	112.8	206.4
499	116.8	206.4
500	119.8	206.4
501	123.8	206.4
502	127.9	205.6
503	130.9	205.6
504	134.9	205.6
505	100.7	205.6
506	105.7	205.6
507	111.8	205.6
508	113.8	205.6
509	116.8	205.4
510	118.8	205.4
511	120.8	204.7
512	162.1	204.7
513	160.1	204.7
514	141.0	204.7
515	125.9	204.6
516	108.7	204.6
517	97.7	204.6
518	83.6	204.4
519	77.5	204.4
520	78.5	204.4
521	91.6	204.4
522	100.7	204.4
523	108.7	204.4
524	117.8	203.7
525	126.9	203.7
526	134.9	203.7
527	144.0	203.5
528	152.0	203.5
529	121.8	203.5
530	132.9	203.5
531	143.0	203.4
532	149.0	203.4
533	154.1	203.4
534	160.1	203.3
535	163.1	203.3
536	207.4	202.8
537	201.4	202.8
538	169.2	202.5
539	141.0	202.5
540	119.8	202.5
541	103.7	202.5
542	94.6	202.5
543	93.6	202.4
544	101.7	202.4
545	121.8	202.4
546	133.9	202.4
547	146.0	202.4
548	158.1	201.9
549	170.2	201.9
550	182.2	201.9
551	194.3	201.9
552	206.4	201.5
553	177.2	201.5
554	189.3	201.5
555	201.4	201.5
556	208.4	201.5
557	215.5	201.5
558	222.5	201.5
559	227.6	201.5
560	272.9	201.5
561	270.9	201.5
562	250.7	201.5
563	230.6	201.4
564	217.5	201.4
565	210.4	201.4
566	200.4	201.4
567	197.3	201.4
568	199.4	201.0
569	214.5	201.0
570	217.5	201.0
571	220.5	201.0
572	222.5	201.0
573	225.5	200.6
574	228.6	200.4
575	231.6	200.4
576	234.6	200.4
577	190.3	200.4
578	186.3	200.4
579	182.2	200.4
580	179.2	200.4
581	177.2	200.4
582	174.2	200.4
583	172.2	200.4
584	211.4	200.0
585	208.4	199.5
586	200.4	199.5
587	202.4	199.5
588	190.3	199.5
589	183.3	199.5
590	181.2	199.5
591	182.2	199.4
592	180.2	199.4
593	187.3	199.4
594	188.3	199.1
595	187.3	199.1
596	186.3	199.1
597	186.3	199.1
598	186.3	199.1
599	185.3	199.1
600	184.3	199.1
601	147.0	198.7
602	149.0	198.7
603	151.0	198.5
604	152.0	198.5
605	153.0	198.5
606	154.1	198.5
607	155.1	198.5
608	195.3	198.5
609	186.3	198.5
610	163.1	198.5
611	151.0	198.4
612	140.0	198.4
613	117.8	198.4
614	102.7	198.4
615	93.6	198.4
616	92.6	198.2
617	103.7	198.2
618	119.8	198.2
619	122.8	197.8
620	124.9	197.4
621	127.9	197.4
622	130.9	197.4
623	133.9	197.4
624	136.9	197.3
625	99.7	197.3
626	103.7	197.3
627	107.7	197.3
628	109.8	197.3
629	111.8	197.3
630	113.8	197.3
631	114.8	196.4
632	157.1	196.4
633	156.1	196.4
634	153.0	196.4
635	150.0	196.4
636	149.0	196.3
637	147.0	196.3
638	152.0	196.3
639	146.0	196.3
640	150.0	196.3
641	150.0	196.3
642	152.0	196.0
643	155.1	196.0
644	160.1	195.4
645	162.1	195.4
646	165.1	195.4
647	168.1	195.4
648	172.2	195.4
649	134.9	195.4
650	140.0	195.4
651	145.0	195.4
652	146.0	195.3
653	148.0	195.3
654	151.0	195.3
655	152.0	195.3
656	194.3	195.3
657	191.3	195.3
658	180.2	195.1
659	176.2	194.5
660	169.2	194.5
661	164.1	194.5
662	161.1	194.4
663	162.1	194.4
664	165.1	194.4
665	170.2	194.4
666	175.2	194.4
667	178.2	194.4
668	180.2	194.3
669	182.2	194.3
670	185.3	193.5
671	187.3	193.5
672	190.3	193.5
673	151.0	193.5
674	151.0	193.4
675	152.0	193.4
676	152.0	193.4
677	152.0	193.4
678	152.0	193.3
679	152.0	193.3
680	192.3	193.3
681	189.3	193.3
682	170.2	193.3
683	156.1	192.6
684	134.9	192.6
685	116.8	192.6
686	110.8	192.6
687	110.8	192.6
688	117.8	192.6
689	125.9	192.6
690	137.9	192.3
691	138.9	192.3
692	141.0	192.3
693	143.0	192.3
694	145.0	192.3
695	147.0	192.3
696	149.0	192.3
697	111.8	192.3
698	115.8	192.3
699	118.8	192.3
700	120.8	192.3
701	122.8	192.3
702	123.8	192.3
703	125.9	192.3
704	167.1	192.3
705	164.1	192.3
706	158.1	192.3
707	152.0	192.3
708	149.0	192.3
709	148.0	192.3
710	123.8	192.3
711	110.8	192.3
712	106.7	192.3
713	112.8	191.7
714	121.8	191.7
715	123.8	191.7
716	126.9	191.4
717	128.9	191.3
718	130.9	191.3
719	132.9	191.3
720	135.9	191.3
721	97.7	191.3
722	99.7	191.3
723	101.7	191.3
724	101.7	191.3
725	102.7	190.8
726	102.7	190.8
727	103.7	190.8
728	144.0	190.8
729	141.0	190.8
730	126.9	190.8
731	116.8	190.5
732	104.7	190.5
733	90.6	190.3
734	80.6	190.3
735	75.5	190.3
736	87.6	190.3
737	96.7	190.3
738	104.7	190.3
739	106.7	190.3
740	107.7	190.3
741	108.7	190.3
742	109.8	190.3
743	111.8	190.3
744	112.8	190.3
745	69.5	190.3
746	73.2	189.8
747	76.9	189.8
748	78.7	189.8
749	80.6	189.8
750	82.4	189.8
751	83.3	189.6
752	121.3	189.3
753	120.4	189.3
754	109.3	189.3
755	108.4	189.3
756	100.9	189.3
757	92.6	189.3
758	89.8	189.3
759	89.8	189.3
760	89.8	189.3
761	91.7	189.3
762	97.2	189.3
763	100.9	189.3
764	104.6	189.3
765	108.4	189.3
766	113.0	188.9
767	115.8	188.9
768	119.5	188.9
769	85.2	188.9
770	88.0	188.9
771	90.8	188.9
772	92.6	188.9
773	93.5	188.9
774	94.5	188.3
775	94.5	188.3
776	131.5	188.3
777	124.1	188.3
778	113.0	188.3
779	108.4	188.3
780	100.0	188.3
781	89.8	188.0
782	95.4	188.0
783	100.9	188.0
784	105.6	188.0
785	108.4	188.0
786	112.1	188.0
787	115.8	188.0
788	118.5	188.0
789	122.2	187.3
790	125.9	187.3
791	128.7	187.3
792	132.4	187.3
793	101.9	187.3
794	110.2	187.3
795	113.0	187.3
796	115.8	187.3
797	118.5	187.3
798	120.4	187.1
799	122.2	187.1
800	160.2	187.1
801	158.4	187.1
802	153.7	186.8
803	147.2	186.8
804	144.5	186.8
805	142.6	186.3
806	142.6	186.3
807	141.7	186.3
808	141.7	186.3
809	144.5	186.3
810	148.2	186.3
811	152.8	186.3
812	157.4	186.2
813	163.0	186.2
814	167.6	186.2
815	173.2	186.2
816	178.7	186.2
817	149.1	186.2
818	158.4	186.1
819	167.6	186.1
