# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	0.8	3.4
2	0.9	3.4
3	0.9	3.3
4	0.9	3.3
5	0.9	3.3
6	1.0	3.2
7	1.0	3.2
8	1.4	3.2
9	1.4	3.2
10	1.2	3.2
11	1.1	3.2
12	1.0	3.1
13	0.9	3.1
14	0.9	3.1
15	0.9	3.1
16	0.9	3.1
17	1.0	3.0
18	1.1	3.0
19	1.1	3.0
20	1.2	3.0
21	1.3	3.0
22	1.3	3.0
23	1.4	3.0
24	1.5	3.0
25	1.2	3.0
26	1.3	3.0
27	1.4	3.0
28	1.5	3.0
29	1.6	2.9
30	1.7	2.9
31	1.7	2.9
32	2.2	2.9
33	2.2	2.9
34	2.0	2.9
35	1.9	2.9
36	1.7	2.9
37	1.6	2.9
38	1.6	2.9
39	1.6	2.9
40	1.7	2.9
41	1.8	2.9
42	1.9	2.9
43	1.9	2.9
44	2.0	2.9
45	2.0	2.9
46	2.1	2.9
47	2.1	2.9
48	2.2	2.9
49	1.7	2.9
50	1.7	2.9
51	1.7	2.9
52	1.7	2.8
53	1.7	2.8
54	1.7	2.8
55	1.7	2.8
56	2.1	2.8
57	2.0	2.8
58	1.9	2.8
59	1.7	2.8
60	1.6	2.8
61	1.6	2.8
62	1.5	2.8
63	1.5	2.8
64	1.6	2.8
65	1.7	2.8
66	1.7	2.8
67	1.7	2.8
68	1.7	2.8
69	1.7	2.8
70	1.8	2.8
71	1.8	2.8
72	1.8	2.8
73	1.4	2.8
74	1.5	2.8
75	1.6	2.8
76	1.6	2.8
77	1.6	2.8
78	1.6	2.8
79	1.7	2.8
80	2.1	2.8
81	2.1	2.7
82	2.0	2.7
83	2.0	2.7
84	2.0	2.7
85	2.0	2.7
86	2.0	2.7
87	2.0	2.7
88	2.0	2.7
89	2.0	2.7
90	2.0	2.7
91	2.1	2.7
92	2.1	2.7
93	2.1	2.7
94	2.2	2.7
95	2.2	2.7
96	2.2	2.7
97	1.8	2.7
98	1.8	2.7
99	1.8	2.7
100	1.8	2.7
101	1.8	2.7
102	1.8	2.7
103	1.8	2.7
104	2.2	2.7
105	2.2	2.7
106	2.1	2.7
107	2.0	2.7
108	2.0	2.7
109	1.9	2.7
110	1.9	2.7
111	1.9	2.6
112	1.9	2.6
113	2.0	2.6
114	2.0	2.6
115	2.0	2.6
116	2.1	2.6
117	2.1	2.6
118	2.1	2.6
119	2.2	2.6
120	2.2	2.6
121	1.8	2.6
122	1.9	2.6
123	1.9	2.6
124	1.9	2.6
125	2.0	2.6
126	2.0	2.6
127	2.0	2.6
128	2.4	2.6
129	2.4	2.6
130	2.4	2.6
131	2.3	2.6
132	2.3	2.6
133	2.2	2.6
134	2.2	2.6
135	2.2	2.6
136	2.3	2.6
137	2.3	2.6
138	2.3	2.6
139	2.4	2.6
140	2.4	2.6
141	2.4	2.6
142	2.4	2.6
143	2.5	2.6
144	2.5	2.6
145	2.1	2.6
146	2.1	2.6
147	2.1	2.6
148	2.1	2.6
149	2.1	2.6
150	2.1	2.6
151	2.1	2.6
152	2.5	2.6
153	2.5	2.6
154	2.3	2.6
155	2.1	2.6
156	1.9	2.6
157	1.8	2.6
158	1.8	2.6
159	1.8	2.6
160	1.9	2.6
161	2.0	2.6
162	2.0	2.6
163	2.0	2.6
164	2.1	2.6
165	2.1	2.6
166	2.1	2.6
167	2.2	2.6
168	2.2	2.6
169	1.9	2.6
170	1.9	2.6
171	1.9	2.6
172	2.0	2.5
173	2.0	2.5
174	2.0	2.5
175	2.1	2.5
176	2.5	2.5
177	2.5	2.5
178	2.4	2.5
179	2.4	2.5
180	2.4	2.5
181	2.4	2.5
182	2.3	2.5
183	2.3	2.5
184	2.3	2.5
185	2.3	2.5
186	2.3	2.5
187	2.4	2.5
188	2.4	2.5
189	2.5	2.5
190	2.5	2.5
191	2.5	2.5
192	2.6	2.5
193	2.2	2.5
194	2.2	2.5
195	2.2	2.5
196	2.2	2.5
197	2.2	2.5
198	2.3	2.5
199	2.3	2.5
200	2.7	2.5
201	2.7	2.5
202	2.6	2.5
203	2.5	2.5
204	2.5	2.5
205	2.4	2.5
206	2.4	2.5
207	2.4	2.5
208	2.4	2.5
209	2.5	2.5
210	2.5	2.5
211	2.5	2.5
212	2.5	2.5
213	2.5	2.5
214	2.5	2.5
215	2.6	2.5
216	2.6	2.5
217	2.2	2.5
218	2.2	2.5
219	2.2	2.5
220	2.2	2.5
221	2.2	2.5
222	2.2	2.5
223	2.2	2.5
224	2.6	2.5
225	2.6	2.5
226	2.5	2.5
227	2.4	2.5
228	2.3	2.5
229	2.3	2.5
230	2.3	2.5
231	2.3	2.5
232	2.3	2.5
233	2.4	2.5
234	2.4	2.5
235	2.4	2.5
236	2.4	2.5
237	2.4	2.5
238	2.4	2.5
239	2.4	2.5
240	2.5	2.5
241	2.1	2.5
242	2.1	2.5
243	2.1	2.5
244	2.1	2.5
245	2.1	2.5
246	2.1	2.5
247	2.1	2.5
248	2.5	2.5
249	2.5	2.5
250	2.3	2.5
251	2.2	2.5
252	2.1	2.5
253	2.0	2.5
254	2.0	2.5
255	1.9	2.5
256	2.0	2.5
257	2.1	2.5
258	2.1	2.5
259	2.2	2.5
260	2.2	2.5
261	2.3	2.5
262	2.4	2.5
263	2.4	2.5
264	2.5	2.5
265	2.2	2.4
266	2.3	2.4
267	2.5	2.4
268	2.5	2.4
269	2.6	2.4
270	2.7	2.4
271	2.8	2.4
272	3.2	2.4
273	3.2	2.4
274	3.2	2.4
275	3.1	2.4
276	3.0	2.4
277	3.0	2.4
278	3.0	2.4
279	3.0	2.4
280	3.1	2.4
281	3.2	2.4
282	3.2	2.4
283	3.2	2.4
284	3.3	2.4
285	3.3	2.4
286	3.3	2.4
287	3.4	2.4
288	3.4	2.4
289	2.9	2.4
290	2.9	2.4
291	2.8	2.4
292	2.7	2.4
293	2.7	2.4
294	2.6	2.4
295	2.6	2.4
296	3.0	2.4
297	3.0	2.4
298	2.8	2.4
299	2.7	2.4
300	2.6	2.4
301	2.5	2.4
302	2.5	2.4
303	2.5	2.4
304	2.5	2.4
305	2.6	2.4
306	2.6	2.4
307	2.6	2.4
308	2.6	2.4
309	2.6	2.4
310	2.6	2.4
311	2.6	2.4
312	2.6	2.4
313	2.2	2.4
314	2.2	2.4
315	2.3	2.4
316	2.3	2.4
317	2.3	2.4
318	2.3	2.4
319	2.4	2.4
320	2.8	2.4
321	2.8	2.4
322	2.7	2.4
323	2.7	2.4
324	2.6	2.4
325	2.6	2.4
326	2.6	2.4
327	2.6	2.4
328	2.6	2.4
329	2.6	2.4
330	2.7	2.4
331	2.7	2.4
332	2.7	2.4
333	2.8	2.4
334	2.8	2.4
335	2.9	2.4
336	2.9	2.4
337	2.5	2.4
338	2.5	2.4
339	2.6	2.4
340	2.6	2.4
341	2.6	2.4
342	2.6	2.4
343	2.7	2.4
344	3.1	2.4
345	3.1	2.4
