# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.7	83.4
2	19.1	82.8
3	20.4	82.0
4	20.9	81.2
5	21.4	80.7
6	22.0	79.9
7	22.2	79.9
8	33.1	79.7
9	32.5	79.1
10	28.8	78.6
11	25.4	77.8
12	22.5	76.2
13	20.6	76.1
14	19.6	75.9
15	19.6	75.7
16	20.9	75.4
17	22.8	74.9
18	24.6	74.5
19	26.2	74.1
20	27.8	73.7
21	29.4	73.7
22	31.0	73.7
23	32.8	73.6
24	34.4	73.6
25	27.0	73.3
26	30.7	72.9
27	34.1	72.8
28	36.3	72.8
29	38.1	72.6
30	40.2	72.5
31	41.5	72.2
32	53.7	72.2
33	53.7	72.2
34	49.0	72.0
35	45.0	71.8
36	41.3	71.7
37	39.2	71.7
38	38.1	71.7
39	38.1	71.7
40	40.2	71.7
41	43.7	71.7
42	45.0	71.4
43	46.3	71.2
44	47.6	71.2
45	48.7	70.9
46	50.0	70.8
47	51.3	70.8
48	52.7	70.5
49	41.8	70.5
50	41.3	70.4
51	40.8	70.4
52	40.5	70.2
53	40.2	70.2
54	40.0	70.1
55	39.7	70.1
56	50.0	70.0
57	49.5	70.0
58	45.3	69.7
59	41.5	69.6
60	39.2	69.6
61	37.3	69.4
62	36.3	69.4
63	36.3	69.3
64	37.3	69.3
65	39.4	69.2
66	40.2	69.2
67	40.8	69.1
68	41.3	69.1
69	41.8	68.9
70	42.6	68.7
71	43.1	68.5
72	43.7	68.5
73	34.1	68.5
74	36.0	68.4
75	37.0	68.4
76	37.6	68.3
77	38.4	68.1
78	38.9	68.1
79	39.4	68.0
80	50.5	67.7
81	50.5	67.5
82	49.2	67.5
83	48.2	67.5
84	47.6	67.3
85	47.4	67.2
86	47.1	67.2
87	47.4	67.0
88	47.9	67.0
89	48.7	67.0
90	49.5	66.7
91	50.0	66.7
92	50.8	66.7
93	51.3	66.5
94	52.1	66.5
95	52.9	66.4
96	54.5	66.2
97	43.1	66.2
98	43.1	66.2
99	43.1	66.0
100	43.4	65.9
101	43.1	65.9
102	43.1	65.9
103	43.1	65.9
104	53.7	65.9
105	53.5	65.9
106	51.3	65.7
107	49.2	65.7
108	47.4	65.7
109	46.3	65.7
110	45.5	65.6
111	45.3	65.6
112	46.0	65.4
113	47.4	65.4
114	48.2	65.4
115	49.0	65.4
116	49.7	65.4
117	50.5	65.4
118	51.6	65.4
119	52.1	65.1
120	53.7	65.1
121	43.4	65.1
122	44.7	65.1
