# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	28.2	108.5
2	29.8	107.9
3	31.4	106.9
4	32.1	106.0
5	32.7	105.3
6	33.4	104.3
7	33.7	104.3
8	47.0	104.0
9	46.3	103.4
10	41.8	102.7
11	37.6	101.7
12	34.0	99.8
13	31.8	99.5
14	30.5	99.2
15	30.5	99.2
16	32.1	98.8
17	34.3	98.2
18	36.6	97.2
19	38.6	97.2
20	40.5	96.6
21	42.4	96.6
22	44.4	96.2
23	46.7	96.2
24	48.6	96.2
25	39.5	96.2
26	44.1	96.2
27	48.3	95.6
28	50.9	95.6
29	53.1	95.3
30	55.7	95.3
31	57.4	94.9
32	72.3	94.9
33	72.3	94.9
34	66.4	94.9
35	61.6	94.6
36	57.0	94.3
37	54.4	94.3
38	53.1	94.3
39	53.1	94.3
40	55.7	94.3
41	59.9	94.3
42	61.6	94.3
43	63.2	94.0
44	64.8	94.0
45	66.1	93.6
46	67.7	93.6
47	69.3	93.3
48	71.0	92.7
49	57.7	92.7
50	57.0	92.7
51	56.4	92.7
52	56.1	92.5
53	55.7	92.3
54	55.4	92.3
55	55.1	92.3
56	67.7	92.3
57	67.1	91.7
58	61.9	91.7
59	57.4	91.7
60	54.4	91.7
61	52.2	91.4
62	50.9	91.4
63	50.9	91.4
64	52.2	91.1
65	54.8	91.1
66	55.7	91.0
67	56.4	91.0
68	57.0	91.0
69	57.7	90.7
70	58.6	90.7
71	59.3	90.4
72	59.9	90.4
73	48.3	90.4
74	50.5	90.4
75	51.8	90.1
76	52.5	89.8
77	53.5	89.7
78	54.1	89.7
79	54.8	89.7
80	68.4	89.4
81	68.4	89.4
82	66.7	89.4
83	65.5	89.1
84	64.8	89.1
85	64.5	88.8
86	64.2	88.8
87	64.5	88.7
88	65.1	88.4
89	66.1	88.1
90	67.1	88.1
91	67.7	88.1
92	68.7	88.1
93	69.3	88.1
94	70.3	87.8
95	71.3	87.8
96	73.2	87.5
97	59.3	87.5
98	59.3	87.5
99	59.3	87.4
100	59.6	87.3
101	59.3	87.2
102	59.3	87.2
103	59.3	87.2
104	72.3	87.2
105	71.9	86.8
106	69.3	86.8
107	66.7	86.8
108	64.5	86.8
109	63.2	86.7
110	62.2	86.5
111	61.9	86.5
112	62.9	86.5
113	64.5	86.5
114	65.5	86.5
115	66.4	86.2
116	67.4	86.1
117	68.4	86.1
118	69.7	86.1
119	70.3	86.1
120	72.3	86.1
121	59.6	86.1
122	61.2	85.9
123	62.9	85.8
124	63.8	85.8
125	64.5	85.8
126	65.1	85.5
127	65.8	85.5
128	79.4	85.5
129	79.4	85.4
130	77.4	85.2
131	75.5	85.2
132	74.2	85.2
133	73.2	85.2
134	72.9	85.1
135	72.9	84.9
136	73.6	84.9
137	75.2	84.9
138	75.8	84.8
139	76.8	84.8
140	77.4	84.6
141	78.4	84.6
142	79.4	84.6
143	80.0	84.5
144	81.0	84.2
145	68.0	84.2
146	68.4	84.2
147	68.4	84.2
148	68.4	84.2
149	68.4	83.9
150	68.4	83.9
151	68.4	83.9
152	81.3	83.9
153	80.4	83.9
154	74.2	83.8
155	68.7	83.8
156	63.8	83.8
157	60.3	83.6
158	58.3	83.6
159	58.6	83.6
160	61.2	83.6
161	64.8	83.6
162	65.8	83.6
163	66.7	83.6
164	67.7	83.6
165	68.7	83.6
166	69.7	83.6
167	71.0	83.6
168	71.9	83.6
169	60.9	83.6
170	62.2	83.5
171	63.8	83.5
172	64.8	83.3
173	65.8	83.3
174	66.7	83.3
175	67.4	83.3
176	81.0	83.2
177	81.0	83.2
178	78.7	83.2
179	77.8	83.0
180	78.1	83.0
181	78.1	82.9
182	75.2	82.9
183	73.9	82.9
184	73.6	82.9
185	75.2	82.9
186	76.5	82.7
187	77.8	82.7
188	78.7	82.7
189	80.0	82.6
190	81.0	82.6
191	82.3	82.6
192	83.6	82.6
193	71.3	82.6
194	71.9	82.6
195	72.6	82.5
196	72.9	82.5
197	73.2	82.5
198	73.9	82.5
199	74.2	82.5
200	87.2	82.4
201	86.8	82.4
202	84.2	82.3
203	82.0	82.3
204	80.0	82.2
205	78.7	82.2
206	78.4	82.2
207	78.1	82.0
208	79.1	82.0
209	81.0	82.0
210	81.3	82.0
211	81.7	82.0
212	82.6	82.0
213	82.6	82.0
214	82.6	81.9
215	82.9	81.9
216	83.6	81.9
217	70.6	81.9
218	70.6	81.7
219	71.0	81.7
220	71.0	81.7
221	71.0	81.7
