# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	4.4	17.0
2	4.7	16.9
3	4.9	16.8
4	5.0	16.6
5	5.1	16.5
6	5.2	16.4
7	5.3	16.4
8	7.4	16.3
9	7.3	16.2
10	6.6	16.1
11	5.9	16.0
12	5.3	15.7
13	5.0	15.6
14	4.8	15.6
15	4.8	15.6
16	5.0	15.5
17	5.4	15.4
18	5.7	15.3
19	6.0	15.3
20	6.4	15.1
21	6.7	15.1
22	7.0	15.1
23	7.3	15.1
24	7.6	15.1
25	6.2	15.1
26	6.9	15.1
27	7.6	15.0
28	8.0	15.0
29	8.3	15.0
30	8.7	14.9
31	9.0	14.9
32	11.3	14.9
33	11.3	14.9
34	10.4	14.9
35	9.7	14.8
36	8.9	14.8
37	8.5	14.8
38	8.3	14.8
39	8.3	14.8
40	8.7	14.8
41	9.4	14.8
42	9.7	14.8
43	9.9	14.7
44	10.2	14.7
45	10.4	14.7
46	10.6	14.7
47	10.9	14.6
48	11.1	14.5
49	9.0	14.5
50	8.9	14.5
51	8.8	14.5
52	8.8	14.5
53	8.7	14.5
54	8.7	14.5
55	8.6	14.5
56	10.6	14.5
57	10.5	14.4
58	9.7	14.4
59	9.0	14.4
60	8.5	14.4
61	8.2	14.3
62	8.0	14.3
63	8.0	14.3
64	8.2	14.3
65	8.6	14.3
66	8.7	14.3
67	8.8	14.3
68	8.9	14.3
69	9.0	14.2
70	9.2	14.2
71	9.3	14.2
72	9.4	14.2
73	7.6	14.2
74	7.9	14.2
75	8.1	14.1
76	8.2	14.1
77	8.4	14.1
78	8.5	14.1
79	8.6	14.1
80	10.7	14.0
81	10.7	14.0
82	10.5	14.0
83	10.3	14.0
84	10.2	14.0
85	10.1	13.9
86	10.1	13.9
87	10.1	13.9
88	10.2	13.9
89	10.4	13.8
90	10.5	13.8
91	10.6	13.8
92	10.8	13.8
93	10.9	13.8
94	11.0	13.8
95	11.2	13.8
96	11.5	13.7
97	9.3	13.7
98	9.3	13.7
99	9.3	13.7
100	9.4	13.7
101	9.3	13.7
102	9.3	13.7
103	9.3	13.7
104	11.3	13.7
105	11.3	13.6
106	10.9	13.6
107	10.5	13.6
108	10.1	13.6
109	9.9	13.6
110	9.8	13.6
111	9.7	13.6
112	9.9	13.6
