# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	13.0	49.9
2	13.7	49.7
3	14.5	49.2
4	14.8	48.8
5	15.1	48.5
6	15.4	48.0
7	15.5	48.0
8	21.6	47.9
9	21.3	47.6
10	19.2	47.3
11	17.3	46.8
12	15.7	45.9
13	14.6	45.8
14	14.0	45.6
15	14.0	45.5
16	14.8	45.5
17	15.8	45.2
18	16.8	44.7
19	17.7	44.6
20	18.6	44.4
21	19.5	44.4
22	20.4	44.4
23	21.5	44.3
24	22.4	44.2
25	18.2	44.2
26	20.3	44.2
27	22.2	44.0
28	23.4	44.0
29	24.5	43.8
30	25.6	43.7
31	26.4	43.7
32	33.2	43.7
33	33.2	43.7
34	30.6	43.6
35	28.3	43.6
36	26.2	43.6
37	25.0	43.5
38	24.5	43.4
39	24.5	43.4
40	25.6	43.4
41	27.6	43.4
42	28.3	43.4
43	29.1	43.2
44	29.8	43.1
45	30.4	43.1
46	31.2	43.1
47	31.9	42.9
48	32.7	42.7
49	26.5	42.6
50	26.2	42.6
51	25.9	42.5
52	25.8	42.5
53	25.6	42.5
54	25.5	42.5
55	25.3	42.4
56	31.2	42.4
57	30.9	42.2
58	28.5	42.2
59	26.4	42.1
60	25.0	42.1
61	24.0	42.0
62	23.4	42.0
63	23.4	42.0
64	24.0	41.9
65	25.2	41.9
66	25.6	41.9
67	25.9	41.8
68	26.2	41.8
69	26.5	41.6
70	27.0	41.6
71	27.3	41.6
72	27.6	41.6
73	22.2	41.6
74	23.3	41.5
75	23.9	41.5
76	24.2	41.4
77	24.6	41.3
78	24.9	41.2
79	25.2	41.2
80	31.5	41.2
81	31.5	41.1
82	30.7	41.0
83	30.1	41.0
84	29.8	41.0
85	29.7	40.9
86	29.5	40.9
87	29.7	40.7
88	30.0	40.6
89	30.4	40.6
90	30.9	40.6
91	31.2	40.4
92	31.6	40.4
93	31.9	40.4
94	32.4	40.4
95	32.8	40.3
96	33.7	40.3
97	27.3	40.3
98	27.3	40.3
99	27.3	40.3
100	27.4	40.1
101	27.3	40.1
102	27.3	40.1
103	27.3	40.1
104	33.2	40.1
105	33.1	40.0
106	31.9	40.0
107	30.7	40.0
108	29.7	39.8
109	29.1	39.8
110	28.6	39.8
111	28.5	39.7
112	28.9	39.7
113	29.7	39.7
114	30.1	39.7
115	30.6	39.7
116	31.0	39.5
117	31.5	39.5
118	32.1	39.5
119	32.4	39.5
120	33.2	39.5
121	27.4	39.5
122	28.2	39.5
123	28.9	39.4
124	29.4	39.4
125	29.7	39.4
126	30.0	39.4
127	30.3	39.4
128	36.5	39.3
129	36.5	39.2
130	35.6	39.2
131	34.7	39.2
132	34.1	39.1
133	33.7	39.1
134	33.5	39.1
135	33.5	39.1
136	33.8	39.1
137	34.6	39.1
138	34.9	39.0
139	35.3	38.9
140	35.6	38.9
141	36.1	38.9
142	36.5	38.9
143	36.8	38.9
144	37.3	38.8
145	31.3	38.8
146	31.5	38.7
147	31.5	38.7
148	31.5	38.6
149	31.5	38.6
150	31.5	38.6
151	31.5	38.6
152	37.4	38.6
153	37.0	38.6
154	34.1	38.6
155	31.6	38.6
156	29.4	38.6
157	27.7	38.5
158	26.8	38.5
159	27.0	38.5
160	28.2	38.5
161	29.8	38.5
162	30.3	38.5
163	30.7	38.5
164	31.2	38.5
165	31.6	38.5
166	32.1	38.5
167	32.7	38.5
168	33.1	38.5
169	28.0	38.5
170	28.6	38.5
171	29.4	38.5
172	29.8	38.3
173	30.3	38.3
174	30.7	38.3
175	31.0	38.3
176	37.3	38.3
177	37.3	38.3
178	36.2	38.2
179	35.8	38.2
180	35.9	38.2
181	35.9	38.2
182	34.6	38.2
183	34.0	38.2
184	33.8	38.2
185	34.6	38.2
186	35.2	38.2
187	35.8	38.0
188	36.2	38.0
189	36.8	38.0
190	37.3	38.0
191	37.9	38.0
192	38.5	38.0
193	32.8	38.0
194	33.1	38.0
195	33.4	38.0
196	33.5	38.0
197	33.7	37.9
198	34.0	37.9
199	34.1	37.9
200	40.1	37.9
201	40.0	37.9
202	38.8	37.9
203	37.7	37.9
204	36.8	37.9
205	36.2	37.9
206	36.1	37.9
207	35.9	37.7
208	36.4	37.7
209	37.3	37.7
210	37.4	37.7
211	37.6	37.7
212	38.0	37.7
213	38.0	37.7
214	38.0	37.7
215	38.2	37.6
216	38.5	37.6
217	32.5	37.6
218	32.5	37.6
219	32.7	37.6
220	32.7	37.6
221	32.7	37.6
222	32.7	37.6
223	32.7	37.6
224	38.6	37.4
225	38.5	37.4
226	37.3	37.4
227	36.1	37.4
228	35.2	37.4
229	34.7	37.4
230	34.3	37.4
231	34.3	37.4
232	34.6	37.3
233	35.3	37.3
234	35.6	37.3
235	35.9	37.3
236	36.5	37.3
237	36.1	37.3
238	36.4	37.3
239	36.5	37.3
240	36.7	37.3
241	31.0	37.3
242	31.2	37.3
243	31.3	37.1
244	31.5	37.1
245	31.5	37.1
246	31.5	37.1
247	31.5	37.1
248	37.6	37.0
249	37.3	37.0
250	35.2	37.0
251	33.2	37.0
252	31.5	37.0
253	30.3	37.0
254	29.5	36.9
255	29.4	36.9
256	30.0	36.8
257	31.2	36.8
258	32.1	36.8
259	33.0	36.8
260	33.7	36.8
261	34.6	36.8
262	35.5	36.8
263	36.4	36.8
264	37.1	36.8
265	32.8	36.7
266	34.9	36.7
267	36.8	36.7
268	38.0	36.7
269	39.1	36.7
270	40.3	36.7
271	41.2	36.6
272	48.0	36.6
273	47.9	36.5
274	46.8	36.5
275	45.8	36.5
276	44.4	36.5
277	44.0	36.5
278	44.7	36.5
279	45.2	36.5
280	45.9	36.5
281	47.3	36.5
282	47.6	36.5
283	48.0	36.5
284	48.5	36.4
285	48.8	36.4
286	49.2	36.4
287	49.7	36.4
288	49.9	36.4
289	43.4	36.4
290	42.9	36.4
291	41.3	36.4
292	40.6	36.4
293	40.0	36.4
294	39.4	36.2
295	38.9	36.2
296	44.4	36.2
297	44.0	36.2
298	42.0	36.2
299	40.3	36.2
300	38.9	36.2
301	37.9	36.2
302	37.4	36.2
303	37.3	36.2
304	37.7	36.2
305	38.6	36.1
306	38.5	36.1
307	38.5	36.1
308	38.5	36.1
309	38.5	36.1
310	38.6	36.1
311	38.3	36.1
312	38.3	36.1
313	33.0	36.0
314	33.5	36.0
315	34.1	36.0
316	34.4	35.9
317	34.9	35.9
318	35.2	35.9
319	35.5	35.9
320	41.6	35.9
321	41.6	35.9
322	40.9	35.9
323	39.7	35.9
324	38.9	35.9
325	38.5	35.9
326	38.2	35.9
327	38.2	35.9
328	38.5	35.9
329	39.1	35.9
330	39.8	35.9
331	40.3	35.9
332	40.9	35.9
333	41.5	35.8
334	41.9	35.8
335	42.5	35.8
336	43.1	35.8
337	38.0	35.8
338	38.0	35.8
339	38.5	35.8
340	38.8	35.6
341	39.1	35.6
342	39.2	35.6
343	39.5	35.6
344	45.6	35.6
345	45.5	35.6
346	44.3	35.6
347	43.4	35.6
348	42.6	35.6
349	42.0	35.6
350	41.9	35.5
351	42.2	35.5
352	42.6	35.5
353	43.2	35.5
354	43.4	35.5
355	43.4	35.5
356	43.5	35.5
357	43.7	35.5
358	43.7	35.5
359	43.7	35.5
360	43.8	35.3
361	37.7	35.3
362	37.6	35.3
363	37.4	35.3
364	37.1	35.3
365	37.0	35.2
366	36.8	35.2
367	36.7	35.2
368	42.5	35.2
369	42.2	35.2
370	41.6	35.2
371	41.0	35.2
372	40.6	35.2
373	40.1	35.2
374	36.5	35.2
375	34.6	35.2
376	34.0	35.2
377	35.2	35.2
378	35.5	35.2
379	35.6	35.2
380	35.9	35.2
381	36.2	35.0
382	36.4	35.0
383	36.7	35.0
384	36.8	35.0
385	31.6	35.0
386	32.2	35.0
387	33.0	35.0
388	33.2	35.0
389	33.5	34.9
390	34.0	34.9
391	34.1	34.9
392	40.4	34.9
393	40.1	34.9
394	36.1	34.9
395	32.4	34.9
396	29.1	34.9
397	27.0	34.9
398	25.9	34.8
399	25.9	34.8
400	27.4	34.8
401	30.1	34.7
402	30.4	34.7
403	30.9	34.7
404	31.2	34.7
405	31.6	34.7
406	31.9	34.7
407	32.4	34.7
408	32.7	34.7
409	27.0	34.6
410	27.1	34.6
411	27.4	34.6
412	27.4	34.6
413	27.6	34.6
414	27.6	34.6
415	27.6	34.6
416	33.7	34.6
417	33.4	34.6
418	33.0	34.6
419	32.4	34.6
420	31.9	34.6
421	31.3	34.6
422	27.4	34.6
423	25.5	34.6
424	24.9	34.5
425	26.2	34.5
426	26.5	34.5
427	26.8	34.5
428	27.1	34.5
429	27.3	34.5
430	27.6	34.4
431	27.9	34.4
432	28.2	34.4
433	22.7	34.4
434	23.1	34.4
435	23.6	34.3
436	23.7	34.3
437	23.9	34.3
438	24.2	34.3
439	24.2	34.3
440	30.3	34.3
441	30.1	34.3
442	29.7	34.3
443	29.4	34.3
444	28.9	34.3
445	28.8	34.3
446	25.3	34.3
447	23.1	34.2
448	22.2	34.2
449	23.4	34.2
450	23.9	34.2
451	24.5	34.1
452	24.9	34.1
453	25.5	34.1
454	26.1	34.1
455	26.5	34.1
456	27.1	34.1
457	21.8	34.1
458	22.5	34.1
459	23.3	34.1
460	23.7	34.1
461	24.2	34.1
462	24.6	34.1
463	24.8	34.1
464	31.0	34.1
465	30.9	34.0
466	30.4	34.0
467	30.3	34.0
468	29.8	34.0
469	29.5	34.0
470	26.7	34.0
471	25.5	34.0
472	25.2	34.0
473	26.2	33.9
474	26.5	33.9
475	26.7	33.9
476	27.0	33.9
477	27.3	33.8
478	27.4	33.8
479	27.7	33.8
480	27.9	33.8
481	21.9	33.8
482	21.9	33.8
483	21.8	33.8
484	21.8	33.8
485	21.6	33.8
486	21.6	33.8
487	21.5	33.8
488	27.4	33.8
489	27.1	33.8
490	24.6	33.8
491	22.2	33.7
492	20.0	33.7
493	18.2	33.7
494	17.0	33.7
495	16.8	33.7
496	17.6	33.7
497	19.2	33.7
498	19.7	33.7
