# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.8	88.2
2	20.2	87.7
3	21.6	86.8
4	22.1	86.0
5	22.7	85.4
6	23.3	84.6
7	23.5	84.6
8	35.0	84.3
9	34.5	83.8
10	30.5	83.2
11	26.9	82.4
12	23.8	80.7
13	21.9	80.4
14	20.7	80.1
15	20.7	80.1
16	22.1	79.8
17	24.1	79.3
18	26.1	78.4
19	27.7	78.4
20	29.4	77.9
21	31.1	77.9
22	32.8	77.6
23	34.7	77.6
24	36.4	77.6
25	28.6	77.6
26	32.5	77.2
27	36.1	77.0
28	38.4	77.0
29	40.3	76.8
30	42.6	76.7
31	44.0	76.5
32	56.9	76.5
33	56.9	76.5
34	51.8	76.4
35	47.6	76.2
36	43.7	75.9
37	41.5	75.9
38	40.3	75.9
39	40.3	75.9
40	42.6	75.9
41	46.2	75.6
42	47.6	75.6
43	49.0	75.6
44	50.4	75.6
45	51.5	75.4
46	52.9	75.4
47	54.3	75.1
48	55.7	74.5
49	44.3	74.5
50	43.7	74.5
51	43.1	74.5
52	42.9	74.2
53	42.6	74.2
54	42.3	74.2
55	42.0	74.2
56	52.9	74.0
57	52.4	73.7
58	47.9	73.7
59	44.0	73.6
60	41.5	73.6
61	39.5	73.4
62	38.4	73.4
63	38.4	73.3
64	39.5	73.1
65	41.7	73.1
66	42.6	73.0
67	43.1	73.0
68	43.7	72.8
69	44.3	72.8
70	45.1	72.7
71	45.7	72.6
72	46.2	72.6
73	36.1	72.6
74	38.1	72.5
75	39.2	72.3
76	39.8	72.0
77	40.6	71.9
78	41.2	71.9
79	41.7	71.7
80	53.5	71.7
81	53.5	71.6
82	52.1	71.6
83	51.0	71.4
84	50.4	71.2
85	50.1	71.2
86	49.9	71.1
87	50.1	71.1
88	50.7	70.8
89	51.5	70.6
90	52.4	70.6
91	52.9	70.5
92	53.8	70.5
93	54.3	70.5
94	55.2	70.3
95	56.0	70.2
96	57.7	70.0
97	45.7	70.0
98	45.7	70.0
99	45.7	69.9
100	45.9	69.8
101	45.7	69.8
102	45.7	69.8
103	45.7	69.8
104	56.9	69.6
105	56.6	69.5
106	54.3	69.5
107	52.1	69.4
108	50.1	69.4
109	49.0	69.2
110	48.2	69.1
111	47.9	69.1
112	48.7	69.1
113	50.1	69.1
114	51.0	69.0
115	51.8	68.9
116	52.7	68.8
117	53.5	68.8
118	54.6	68.8
119	55.2	68.8
120	56.9	68.8
121	45.9	68.8
122	47.3	68.6
123	48.7	68.5
124	49.6	68.5
125	50.1	68.5
126	50.7	68.4
127	51.3	68.2
128	63.0	68.2
129	63.0	68.1
130	61.4	68.0
131	59.7	68.0
132	58.6	68.0
133	57.7	68.0
134	57.4	67.8
135	57.4	67.8
136	58.0	67.8
137	59.4	67.7
138	60.0	67.7
139	60.8	67.7
140	61.4	67.5
141	62.2	67.5
142	63.0	67.5
143	63.6	67.2
144	64.4	67.2
145	53.2	67.2
146	53.5	67.1
147	53.5	67.1
148	53.5	67.1
149	53.5	67.0
150	53.5	67.0
151	53.5	67.0
152	64.7	66.8
153	63.9	66.8
154	58.6	66.8
155	53.8	66.7
156	49.6	66.7
157	46.5	66.7
158	44.8	66.7
159	45.1	66.7
160	47.3	66.7
161	50.4	66.7
162	51.3	66.7
163	52.1	66.7
164	52.9	66.7
165	53.8	66.7
166	54.6	66.7
167	55.7	66.6
168	56.6	66.6
169	47.1	66.4
170	48.2	66.4
171	49.6	66.4
172	50.4	66.4
173	51.3	66.4
174	52.1	66.3
175	52.7	66.3
176	64.4	66.3
177	64.4	66.1
178	62.5	66.1
179	61.6	66.1
180	61.9	66.1
181	61.9	66.1
182	59.4	66.0
183	58.3	66.0
184	58.0	65.9
185	59.4	65.9
186	60.5	65.8
187	61.6	65.8
188	62.5	65.8
189	63.6	65.8
190	64.4	65.8
191	65.6	65.8
192	66.7	65.7
193	56.0	65.7
194	56.6	65.7
195	57.2	65.7
196	57.4	65.7
197	57.7	65.6
198	58.3	65.6
199	58.6	65.6
200	69.8	65.6
201	69.5	65.6
202	67.2	65.4
203	65.3	65.4
204	63.6	65.4
205	62.5	65.3
206	62.2	65.3
207	61.9	65.3
208	62.8	65.3
209	64.4	65.3
210	64.7	65.3
211	65.0	65.1
212	65.8	65.1
213	65.8	65.1
214	65.8	65.1
215	66.1	65.1
216	66.7	65.1
217	55.5	65.1
218	55.5	65.0
219	55.7	65.0
220	55.7	65.0
221	55.7	64.9
222	55.7	64.9
223	55.7	64.9
224	67.0	64.9
225	66.7	64.8
226	64.4	64.7
227	62.2	64.7
228	60.5	64.7
229	59.7	64.7
230	58.8	64.6
231	58.8	64.6
232	59.4	64.5
233	60.8	64.5
234	61.4	64.4
235	61.9	64.4
236	63.0	64.4
237	62.2	64.4
238	62.8	64.4
239	63.0	64.4
240	63.3	64.4
241	52.7	64.4
242	52.9	64.4
243	53.2	64.3
244	53.5	64.3
245	53.5	64.2
246	53.5	64.2
247	53.5	64.2
248	65.0	64.0
249	64.4	64.0
250	60.5	64.0
251	56.9	64.0
252	53.5	63.9
253	51.3	63.9
254	49.9	63.7
255	49.6	63.7
256	50.7	63.6
257	52.9	63.6
258	54.6	63.6
259	56.3	63.6
260	57.7	63.6
261	59.4	63.6
262	61.1	63.6
263	62.8	63.5
264	64.2	63.5
265	56.0	63.3
266	60.0	63.3
267	63.6	63.3
268	65.8	63.3
269	67.8	63.2
270	70.0	63.2
271	71.7	63.2
272	84.6	63.2
273	84.3	63.2
274	82.4	63.2
275	80.4	63.2
276	77.9	63.0
277	77.0	63.0
278	78.4	63.0
279	79.3	63.0
280	80.7	63.0
281	83.2	63.0
282	83.8	62.9
283	84.6	62.9
284	85.4	62.9
285	86.0	62.9
286	86.8	62.9
287	87.7	62.8
288	88.2	62.8
289	75.9	62.8
290	75.1	62.8
291	72.0	62.8
292	70.6	62.7
293	69.5	62.7
294	68.4	62.6
295	67.5	62.6
296	77.9	62.6
297	77.0	62.6
298	73.4	62.6
299	70.0	62.6
300	67.5	62.5
301	65.6	62.5
302	64.7	62.5
303	64.4	62.5
304	65.3	62.3
305	67.0	62.3
306	66.7	62.3
