# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	2.6	12.4
2	2.8	12.4
3	3.0	12.2
4	3.1	12.1
5	3.2	12.1
6	3.3	11.9
7	3.3	11.9
8	4.9	11.9
9	4.9	11.8
10	4.3	11.7
11	3.8	11.6
12	3.4	11.4
13	3.1	11.3
14	2.9	11.3
15	2.9	11.3
16	3.1	11.3
17	3.4	11.2
18	3.7	11.1
19	3.9	11.1
20	4.1	11.0
21	4.4	11.0
22	4.6	11.0
23	4.9	11.0
24	5.1	11.0
25	4.0	10.9
26	4.6	10.9
27	5.1	10.9
28	5.4	10.8
29	5.7	10.8
30	6.0	10.8
31	6.2	10.8
32	8.0	10.8
33	8.0	10.8
34	7.3	10.7
35	6.7	10.7
36	6.2	10.7
37	5.8	10.7
38	5.7	10.7
39	5.7	10.7
40	6.0	10.7
41	6.5	10.7
42	6.7	10.6
43	6.9	10.6
44	7.1	10.6
45	7.3	10.5
46	7.5	10.5
47	7.7	10.5
48	7.9	10.5
49	6.2	10.5
50	6.2	10.5
51	6.1	10.5
52	6.0	10.5
53	6.0	10.5
54	6.0	10.4
55	5.9	10.4
56	7.5	10.4
57	7.4	10.4
58	6.8	10.4
59	6.2	10.4
60	5.8	10.4
61	5.6	10.3
62	5.4	10.3
63	5.4	10.3
64	5.6	10.3
65	5.9	10.3
66	6.0	10.3
67	6.1	10.3
68	6.2	10.3
69	6.2	10.2
70	6.4	10.2
71	6.4	10.2
72	6.5	10.2
73	5.1	10.2
74	5.4	10.2
75	5.5	10.2
76	5.6	10.2
77	5.7	10.1
78	5.8	10.1
79	5.9	10.1
80	7.5	10.1
81	7.5	10.1
82	7.3	10.0
83	7.2	10.0
84	7.1	10.0
85	7.1	10.0
86	7.0	10.0
87	7.1	10.0
88	7.2	10.0
89	7.3	10.0
90	7.4	10.0
91	7.5	9.9
92	7.6	9.9
93	7.7	9.9
94	7.8	9.9
95	7.9	9.9
96	8.1	9.9
97	6.4	9.9
98	6.4	9.8
99	6.4	9.8
100	6.5	9.8
101	6.4	9.8
102	6.4	9.8
103	6.4	9.8
104	8.0	9.8
105	8.0	9.8
106	7.7	9.8
107	7.3	9.8
108	7.1	9.8
109	6.9	9.8
110	6.8	9.8
111	6.8	9.8
112	6.9	9.7
113	7.1	9.7
114	7.2	9.7
115	7.3	9.7
116	7.4	9.7
117	7.5	9.7
118	7.7	9.7
119	7.8	9.7
120	8.0	9.7
121	6.5	9.7
122	6.7	9.7
123	6.9	9.7
124	7.0	9.6
125	7.1	9.6
126	7.2	9.6
127	7.2	9.6
128	8.9	9.6
129	8.9	9.6
130	8.7	9.6
131	8.4	9.6
132	8.3	9.6
133	8.1	9.6
134	8.1	9.6
135	8.1	9.6
136	8.2	9.5
137	8.4	9.5
138	8.5	9.5
139	8.6	9.5
140	8.7	9.5
141	8.8	9.5
142	8.9	9.5
143	9.0	9.5
144	9.1	9.5
145	7.5	9.4
146	7.5	9.4
147	7.5	9.4
148	7.5	9.4
149	7.5	9.4
150	7.5	9.4
151	7.5	9.4
152	9.1	9.4
153	9.0	9.4
154	8.3	9.4
155	7.6	9.4
156	7.0	9.4
157	6.6	9.4
158	6.3	9.4
159	6.4	9.4
160	6.7	9.4
161	7.1	9.4
162	7.2	9.4
163	7.3	9.4
164	7.5	9.4
165	7.6	9.4
166	7.7	9.4
167	7.9	9.4
168	8.0	9.4
169	6.6	9.3
170	6.8	9.3
171	7.0	9.3
172	7.1	9.3
173	7.2	9.3
174	7.3	9.3
175	7.4	9.3
176	9.1	9.3
177	9.1	9.3
178	8.8	9.3
179	8.7	9.3
180	8.7	9.3
181	8.7	9.3
182	8.4	9.3
183	8.2	9.3
184	8.2	9.3
185	8.4	9.3
186	8.5	9.2
187	8.7	9.2
188	8.8	9.2
189	9.0	9.2
190	9.1	9.2
191	9.2	9.2
192	9.4	9.2
193	7.9	9.2
194	8.0	9.2
195	8.1	9.2
196	8.1	9.2
197	8.1	9.2
198	8.2	9.2
199	8.3	9.2
200	9.8	9.2
201	9.8	9.2
202	9.5	9.2
203	9.2	9.2
204	9.0	9.2
205	8.8	9.2
206	8.8	9.2
207	8.7	9.2
208	8.9	9.1
209	9.1	9.1
210	9.1	9.1
211	9.2	9.1
212	9.3	9.1
213	9.3	9.1
214	9.3	9.1
215	9.3	9.1
216	9.4	9.1
217	7.8	9.1
218	7.8	9.1
219	7.9	9.1
220	7.9	9.1
221	7.9	9.1
222	7.9	9.1
223	7.9	9.1
224	9.4	9.1
225	9.4	9.1
226	9.1	9.1
227	8.8	9.1
228	8.5	9.1
229	8.4	9.1
230	8.3	9.0
231	8.3	9.0
232	8.4	9.0
233	8.6	9.0
234	8.7	9.0
235	8.7	9.0
236	8.9	9.0
237	8.8	9.0
238	8.9	9.0
239	8.9	9.0
240	8.9	9.0
241	7.4	9.0
242	7.5	9.0
243	7.5	9.0
244	7.5	9.0
245	7.5	9.0
246	7.5	9.0
247	7.5	9.0
248	9.2	9.0
249	9.1	9.0
250	8.5	9.0
251	8.0	9.0
252	7.5	9.0
253	7.2	9.0
254	7.0	9.0
255	7.0	9.0
256	7.2	9.0
257	7.5	8.9
258	7.7	8.9
259	7.9	8.9
260	8.1	8.9
261	8.4	8.9
262	8.6	8.9
263	8.9	8.9
264	9.0	8.9
265	7.9	8.9
266	8.5	8.9
267	9.0	8.9
268	9.3	8.9
269	9.6	8.9
270	9.9	8.9
271	10.1	8.9
272	11.9	8.9
273	11.9	8.9
274	11.6	8.9
275	11.3	8.9
276	11.0	8.9
277	10.9	8.9
278	11.1	8.9
279	11.2	8.9
280	11.4	8.9
281	11.7	8.9
282	11.8	8.9
283	11.9	8.9
284	12.1	8.9
285	12.1	8.9
286	12.2	8.9
287	12.4	8.8
288	12.4	8.8
289	10.7	8.8
290	10.6	8.8
291	10.2	8.8
292	10.0	8.8
293	9.8	8.8
294	9.6	8.8
295	9.5	8.8
296	11.0	8.8
297	10.9	8.8
298	10.4	8.8
299	9.9	8.8
300	9.5	8.8
301	9.2	8.8
302	9.1	8.8
303	9.1	8.8
304	9.2	8.8
305	9.4	8.8
306	9.4	8.8
307	9.4	8.8
308	9.4	8.8
309	9.4	8.8
310	9.4	8.8
311	9.4	8.8
312	9.4	8.8
313	7.9	8.8
314	8.1	8.8
315	8.3	8.7
316	8.3	8.7
317	8.5	8.7
318	8.5	8.7
319	8.6	8.7
320	10.2	8.7
321	10.2	8.7
322	10.0	8.7
323	9.7	8.7
324	9.5	8.7
325	9.4	8.7
326	9.3	8.7
327	9.3	8.7
328	9.4	8.7
329	9.6	8.7
330	9.8	8.7
331	9.9	8.7
332	10.0	8.7
333	10.2	8.7
334	10.3	8.7
335	10.5	8.7
336	10.6	8.6
337	9.3	8.6
338	9.3	8.6
339	9.4	8.6
340	9.5	8.6
341	9.6	8.6
342	9.6	8.6
343	9.7	8.6
344	11.3	8.6
345	11.3	8.6
346	10.9	8.6
347	10.7	8.6
348	10.5	8.6
349	10.4	8.6
350	10.3	8.6
351	10.4	8.6
352	10.5	8.6
353	10.7	8.6
354	10.7	8.6
355	10.7	8.6
356	10.7	8.6
357	10.8	8.6
358	10.8	8.6
359	10.8	8.5
360	10.8	8.5
361	9.2	8.5
362	9.2	8.5
363	9.1	8.5
364	9.0	8.5
365	9.0	8.5
366	9.0	8.5
367	8.9	8.5
368	10.5	8.5
369	10.4	8.5
370	10.2	8.5
371	10.1	8.5
372	10.0	8.5
373	9.8	8.5
374	8.9	8.5
375	8.4	8.5
376	8.2	8.5
377	8.5	8.5
378	8.6	8.5
379	8.7	8.5
380	8.7	8.4
381	8.8	8.4
382	8.9	8.4
383	8.9	8.4
384	9.0	8.4
385	7.6	8.4
386	7.7	8.4
387	7.9	8.4
388	8.0	8.4
389	8.1	8.4
390	8.2	8.4
391	8.3	8.4
392	9.9	8.4
393	9.8	8.4
394	8.8	8.4
395	7.8	8.4
396	6.9	8.4
397	6.4	8.4
398	6.1	8.4
399	6.1	8.4
400	6.5	8.4
401	7.2	8.4
402	7.3	8.4
403	7.4	8.4
404	7.5	8.4
405	7.6	8.4
406	7.7	8.4
407	7.8	8.4
408	7.9	8.4
409	6.4	8.3
410	6.4	8.3
411	6.5	8.3
412	6.5	8.3
413	6.5	8.3
414	6.5	8.3
415	6.5	8.3
416	8.1	8.3
417	8.1	8.3
418	7.9	8.3
419	7.8	8.3
420	7.7	8.3
421	7.5	8.3
422	6.5	8.3
423	6.0	8.3
424	5.8	8.3
425	6.2	8.3
426	6.2	8.3
427	6.3	8.3
428	6.4	8.3
429	6.4	8.3
430	6.5	8.3
431	6.6	8.3
432	6.7	8.3
433	5.2	8.3
434	5.3	8.3
435	5.5	8.2
436	5.5	8.2
437	5.5	8.2
438	5.6	8.2
439	5.6	8.2
440	7.2	8.2
441	7.2	8.2
442	7.1	8.2
443	7.0	8.2
444	6.9	8.2
445	6.8	8.2
446	5.9	8.2
447	5.3	8.2
448	5.1	8.2
449	5.4	8.2
450	5.5	8.2
451	5.7	8.2
452	5.8	8.2
453	6.0	8.2
454	6.1	8.2
455	6.2	8.2
456	6.4	8.2
