# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	7.6	35.6
2	8.1	35.3
3	8.7	35.0
4	8.9	34.7
5	9.1	34.4
6	9.4	34.1
7	9.5	34.1
8	14.1	34.0
9	13.9	33.7
10	12.3	33.5
11	10.8	33.2
12	9.6	32.5
13	8.8	32.4
14	8.4	32.4
15	8.4	32.3
16	8.9	32.2
17	9.7	31.9
18	10.5	31.7
19	11.2	31.6
20	11.9	31.4
21	12.5	31.4
22	13.2	31.4
23	14.0	31.4
24	14.7	31.4
25	11.5	31.3
26	13.1	31.0
27	14.6	31.0
28	15.5	31.0
29	16.3	30.9
30	17.2	30.9
31	17.7	30.8
32	22.9	30.8
33	22.9	30.8
34	20.9	30.7
35	19.2	30.6
36	17.6	30.6
37	16.7	30.6
38	16.3	30.6
39	16.3	30.6
40	17.2	30.6
41	18.6	30.5
42	19.2	30.4
43	19.8	30.4
44	20.3	30.2
45	20.8	30.1
46	21.3	30.1
47	21.9	30.0
48	22.5	30.0
49	17.8	30.0
50	17.6	30.0
51	17.4	30.0
52	17.3	29.9
53	17.2	29.9
54	17.0	29.8
55	16.9	29.8
56	21.3	29.7
57	21.1	29.7
58	19.3	29.7
59	17.7	29.6
60	16.7	29.6
61	15.9	29.5
62	15.5	29.5
63	15.5	29.5
64	15.9	29.5
65	16.8	29.4
66	17.2	29.4
67	17.4	29.4
68	17.6	29.4
69	17.8	29.3
70	18.2	29.2
71	18.4	29.2
72	18.6	29.2
73	14.6	29.1
74	15.4	29.1
75	15.8	29.1
76	16.0	29.0
77	16.4	29.0
78	16.6	29.0
79	16.8	28.9
80	21.6	28.8
81	21.6	28.8
82	21.0	28.7
83	20.5	28.7
84	20.3	28.7
85	20.2	28.6
86	20.1	28.5
87	20.2	28.5
88	20.4	28.5
89	20.8	28.4
90	21.1	28.4
91	21.3	28.4
92	21.7	28.3
93	21.9	28.3
94	22.2	28.3
95	22.6	28.2
96	23.3	28.2
97	18.4	28.2
98	18.4	28.1
99	18.4	28.1
100	18.5	28.1
101	18.4	28.1
102	18.4	28.1
103	18.4	28.1
104	22.9	28.0
105	22.8	28.0
106	21.9	27.9
107	21.0	27.9
108	20.2	27.9
109	19.8	27.9
110	19.4	27.9
111	19.3	27.8
112	19.6	27.8
113	20.2	27.8
114	20.5	27.8
115	20.9	27.8
116	21.2	27.8
117	21.6	27.8
118	22.0	27.8
119	22.2	27.7
120	22.9	27.7
121	18.5	27.7
122	19.1	27.7
123	19.6	27.6
124	20.0	27.6
125	20.2	27.6
126	20.4	27.5
127	20.7	27.5
128	25.4	27.5
129	25.4	27.5
130	24.7	27.4
131	24.0	27.4
132	23.6	27.4
133	23.3	27.3
