# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	22.6	106.0
2	24.2	105.4
3	25.9	104.4
4	26.6	103.3
5	27.3	102.7
6	27.9	101.7
7	28.3	101.7
8	42.1	101.3
9	41.4	100.7
10	36.7	100.0
11	32.3	99.0
12	28.6	97.0
13	26.3	96.6
14	24.9	96.4
15	24.9	96.3
16	26.6	95.9
17	29.0	95.3
18	31.3	94.3
19	33.3	94.3
20	35.3	93.6
21	37.4	93.6
22	39.4	93.3
23	41.7	93.3
24	43.8	93.3
25	34.3	93.2
26	39.0	92.8
27	43.4	92.6
28	46.1	92.6
29	48.5	92.3
30	51.2	92.2
31	52.9	92.0
32	68.3	91.9
33	68.3	91.9
34	62.3	91.9
35	57.2	91.6
36	52.5	91.2
37	49.8	91.2
38	48.5	91.2
39	48.5	91.2
40	51.2	91.2
41	55.5	91.0
42	57.2	90.9
43	58.9	90.9
44	60.6	90.9
45	61.9	90.6
46	63.6	90.6
47	65.3	90.2
48	67.0	89.6
49	53.2	89.6
50	52.5	89.5
51	51.8	89.5
52	51.5	89.3
53	51.2	89.3
54	50.8	89.2
55	50.5	89.2
56	63.6	89.0
57	63.0	88.6
58	57.6	88.6
59	52.9	88.5
60	49.8	88.5
61	47.5	88.2
62	46.1	88.2
63	46.1	88.2
64	47.5	87.9
65	50.2	87.9
66	51.2	87.9
67	51.8	87.9
68	52.5	87.6
69	53.2	87.6
70	54.2	87.4
71	54.9	87.2
72	55.5	87.2
73	43.4	87.2
74	45.8	87.2
75	47.1	86.9
76	47.8	86.5
77	48.8	86.5
78	49.5	86.5
79	50.2	86.2
80	64.3	86.2
81	64.3	86.2
82	62.6	86.2
83	61.3	85.8
84	60.6	85.5
85	60.3	85.5
86	59.9	85.5
87	60.3	85.5
88	60.9	85.2
89	61.9	84.8
90	63.0	84.8
91	63.6	84.8
92	64.6	84.8
93	65.3	84.8
94	66.3	84.5
95	67.3	84.5
96	69.3	84.2
97	54.9	84.2
98	54.9	84.2
99	54.9	84.2
100	55.2	83.8
101	54.9	83.8
102	54.9	83.8
103	54.9	83.8
104	68.3	83.6
105	68.0	83.5
106	65.3	83.5
107	62.6	83.5
108	60.3	83.5
109	58.9	83.1
110	57.9	83.1
111	57.6	83.1
112	58.6	83.1
113	60.3	83.1
114	61.3	83.0
115	62.3	82.8
116	63.3	82.8
117	64.3	82.8
118	65.6	82.8
119	66.3	82.8
120	68.3	82.8
121	55.2	82.8
122	56.9	82.5
123	58.6	82.5
124	59.6	82.5
125	60.3	82.5
126	60.9	82.1
127	61.6	82.1
128	75.7	82.1
129	75.7	81.8
130	73.7	81.8
131	71.7	81.8
132	70.4	81.8
133	69.3	81.7
134	69.0	81.5
135	69.0	81.5
136	69.7	81.5
137	71.4	81.5
138	72.0	81.5
139	73.1	81.4
140	73.7	81.1
141	74.7	81.1
142	75.7	81.1
143	76.4	80.8
144	77.4	80.8
145	64.0	80.8
146	64.3	80.8
147	64.3	80.8
148	64.3	80.8
149	64.3	80.5
150	64.3	80.5
151	64.3	80.5
152	77.8	80.4
153	76.8	80.4
154	70.4	80.4
155	64.6	80.1
156	59.6	80.1
157	55.9	80.1
158	53.9	80.1
159	54.2	80.1
160	56.9	80.1
161	60.6	80.1
162	61.6	80.1
163	62.6	80.1
164	63.6	80.1
165	64.6	80.1
166	65.6	80.1
