# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	11.6	32.3
2	12.1	32.1
3	12.6	31.9
4	12.8	31.8
5	13.0	31.6
6	13.2	31.5
7	13.3	31.3
8	13.4	31.0
9	13.2	31.0
10	11.8	30.9
11	10.5	30.7
12	9.4	30.5
13	8.7	30.5
14	8.4	30.4
15	8.4	30.2
16	8.8	30.0
17	9.5	29.8
18	10.2	29.6
19	10.8	29.6
20	11.4	29.5
21	12.0	29.4
22	12.6	29.3
23	13.3	29.3
24	13.9	29.2
25	15.1	29.1
26	16.5	29.1
27	17.8	29.1
28	18.6	29.0
29	19.3	29.0
30	20.1	29.0
31	20.6	28.9
32	21.2	28.9
33	21.2	28.9
34	19.4	28.8
35	17.9	28.8
36	16.5	28.8
37	15.7	28.7
38	15.3	28.7
39	15.3	28.6
40	16.1	28.6
41	17.4	28.6
42	17.9	28.6
43	18.4	28.5
44	18.9	28.5
45	19.3	28.5
46	19.8	28.5
47	20.3	28.5
48	20.8	28.4
49	20.7	28.4
50	20.5	28.3
51	20.3	28.3
52	20.2	28.3
53	20.1	28.3
54	20.0	28.3
55	19.9	28.3
56	19.8	28.3
57	19.6	28.3
58	18.0	28.2
59	16.6	28.2
60	15.7	28.2
61	15.0	28.2
62	14.6	28.1
63	14.6	28.1
64	15.0	28.1
65	15.8	28.1
66	16.1	28.0
67	16.3	28.0
68	16.5	28.0
69	16.7	27.9
70	17.0	27.9
71	17.2	27.9
72	17.4	27.9
73	17.8	27.9
74	18.5	27.9
75	18.9	27.9
76	19.1	27.9
77	19.4	27.8
78	19.6	27.8
79	19.8	27.7
80	20.0	27.7
81	20.0	27.7
82	19.5	27.7
83	19.1	27.6
84	18.9	27.6
85	18.8	27.5
86	18.7	27.5
87	18.8	27.5
88	19.0	27.5
89	19.3	27.4
90	19.6	27.4
91	19.8	27.4
92	20.1	27.4
93	20.3	27.4
94	20.6	27.3
95	20.9	27.3
96	21.5	27.2
97	21.2	27.2
98	21.2	27.1
99	21.2	27.1
100	21.3	27.1
101	21.2	27.1
102	21.2	27.0
103	21.2	27.0
104	21.2	27.0
105	21.1	27.0
106	20.3	27.0
107	19.5	27.0
108	18.8	26.9
109	18.4	26.9
110	18.1	26.9
111	18.0	26.9
112	18.3	26.9
113	18.8	26.9
114	19.1	26.8
115	19.4	26.8
116	19.7	26.8
117	20.0	26.8
118	20.4	26.7
119	20.6	26.7
120	21.2	26.7
121	21.3	26.7
122	21.8	26.7
123	22.3	26.7
124	22.6	26.7
125	22.8	26.7
126	23.0	26.7
127	23.2	26.6
128	23.4	26.6
129	23.4	26.6
130	22.8	26.6
131	22.2	26.5
132	21.8	26.5
133	21.5	26.5
134	21.4	26.4
135	21.4	26.4
136	21.6	26.3
137	22.1	26.3
138	22.3	26.3
139	22.6	26.2
140	22.8	26.2
141	23.1	26.2
142	23.4	26.2
143	23.6	26.2
144	23.9	26.2
145	23.9	26.2
146	24.0	26.2
147	24.0	26.1
148	24.0	26.1
149	24.0	26.1
150	24.0	26.0
151	24.0	25.9
152	24.0	25.9
153	23.7	25.9
154	21.8	25.9
155	20.1	25.9
156	18.6	25.8
157	17.5	25.8
158	16.9	25.8
159	17.0	25.8
160	17.8	25.8
161	18.9	25.7
162	19.2	25.7
163	19.5	25.7
164	19.8	25.7
165	20.1	25.7
166	20.4	25.7
167	20.8	25.7
168	21.1	25.7
169	21.7	25.7
170	22.1	25.7
171	22.6	25.7
172	22.9	25.6
173	23.2	25.6
174	23.5	25.6
175	23.7	25.6
176	23.9	25.6
177	23.9	25.5
178	23.2	25.5
179	22.9	25.5
180	23.0	25.5
181	23.0	25.5
182	22.1	25.5
183	21.7	25.5
184	21.6	25.5
185	22.1	25.4
186	22.5	25.4
187	22.9	25.4
188	23.2	25.4
189	23.6	25.4
190	23.9	25.3
191	24.3	25.3
192	24.7	25.3
193	24.9	25.2
194	25.1	25.2
195	25.3	25.2
196	25.4	25.2
197	25.5	25.2
198	25.6	25.2
199	25.7	25.2
200	25.7	25.1
201	25.6	25.1
202	24.9	25.1
203	24.2	25.1
204	23.6	25.1
205	23.2	25.1
206	23.1	25.1
207	23.0	25.1
208	23.3	25.1
209	23.9	25.1
210	24.0	25.0
211	24.1	25.0
212	24.4	25.0
213	24.4	25.0
214	24.4	25.0
215	24.5	25.0
216	24.7	25.0
217	24.7	25.0
218	24.7	25.0
219	24.8	25.0
220	24.8	25.0
221	24.8	24.9
222	24.8	24.9
223	24.8	24.9
224	24.8	24.9
225	24.7	24.9
226	23.9	24.9
227	23.1	24.9
228	22.5	24.9
229	22.2	24.9
230	21.9	24.8
231	21.9	24.8
232	22.1	24.8
233	22.6	24.8
234	22.8	24.8
235	23.0	24.8
236	23.4	24.8
237	23.1	24.8
238	23.3	24.8
239	23.4	24.8
240	23.5	24.8
241	23.7	24.8
242	23.8	24.7
243	23.9	24.7
244	24.0	24.7
245	24.0	24.7
246	24.0	24.7
247	24.0	24.7
248	24.1	24.7
249	23.9	24.7
250	22.5	24.7
251	21.2	24.7
252	20.0	24.7
253	19.2	24.7
254	18.7	24.7
255	18.6	24.7
256	19.0	24.6
257	19.8	24.6
258	20.4	24.6
259	21.0	24.6
