# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	11.5	32.0
2	12.0	31.8
3	12.5	31.6
4	12.7	31.5
5	12.9	31.3
6	13.1	31.2
7	13.2	31.0
8	13.3	30.7
9	13.1	30.7
10	11.7	30.6
11	10.4	30.4
12	9.3	30.2
13	8.7	30.2
14	8.3	30.1
15	8.3	29.9
16	8.8	29.7
17	9.4	29.5
18	10.1	29.3
19	10.7	29.3
20	11.3	29.2
21	11.9	29.1
22	12.5	29.0
23	13.2	29.0
24	13.8	28.9
25	15.0	28.8
26	16.3	28.8
27	17.6	28.7
28	18.4	28.7
29	19.1	28.7
30	19.9	28.6
31	20.4	28.6
32	21.0	28.6
33	21.0	28.5
34	19.2	28.5
35	17.7	28.5
36	16.3	28.5
37	15.5	28.4
38	15.2	28.4
39	15.2	28.3
40	15.9	28.3
41	17.2	28.3
42	17.7	28.3
43	18.2	28.2
44	18.7	28.2
45	19.1	28.2
46	19.6	28.2
47	20.1	28.2
48	20.6	28.1
49	20.5	28.1
50	20.3	28.0
51	20.1	28.0
52	20.0	28.0
53	19.9	28.0
54	19.8	28.0
55	19.7	28.0
56	19.6	28.0
57	19.4	28.0
58	17.8	27.9
59	16.4	27.9
60	15.5	27.9
61	14.9	27.9
62	14.5	27.8
63	14.5	27.8
64	14.9	27.8
65	15.6	27.8
66	15.9	27.7
67	16.1	27.7
68	16.3	27.7
69	16.5	27.6
70	16.8	27.6
71	17.0	27.6
72	17.2	27.6
73	17.6	27.6
74	18.3	27.6
75	18.7	27.6
76	18.9	27.6
77	19.2	27.5
78	19.4	27.5
79	19.6	27.5
80	19.8	27.4
81	19.8	27.4
82	19.3	27.4
83	18.9	27.4
84	18.7	27.3
85	18.6	27.3
86	18.5	27.3
87	18.6	27.2
88	18.8	27.2
89	19.1	27.2
90	19.4	27.2
91	19.6	27.2
92	19.9	27.2
93	20.1	27.1
94	20.4	27.1
95	20.7	27.1
96	21.3	27.0
97	21.0	26.9
98	21.0	26.9
99	21.0	26.9
100	21.1	26.8
101	21.0	26.8
102	21.0	26.8
103	21.0	26.8
104	21.0	26.7
105	20.9	26.7
106	20.1	26.7
107	19.3	26.7
108	18.6	26.7
109	18.2	26.7
110	17.9	26.7
111	17.8	26.6
112	18.1	26.6
113	18.6	26.6
114	18.9	26.5
115	19.2	26.5
116	19.5	26.5
117	19.8	26.5
