# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	17.1	80.5
2	18.4	80.0
3	19.7	79.3
4	20.2	78.5
5	20.7	78.0
6	21.2	77.2
7	21.5	77.2
8	32.0	77.0
9	31.4	76.4
10	27.9	75.9
11	24.5	75.2
12	21.7	73.6
13	19.9	73.4
14	18.9	73.2
15	18.9	73.1
16	20.2	72.9
17	22.0	72.4
18	23.8	71.6
19	25.3	71.6
20	26.8	71.1
21	28.4	71.1
22	29.9	70.8
23	31.7	70.8
24	33.2	70.8
25	26.1	70.8
26	29.7	70.6
27	33.0	70.3
28	35.0	70.3
29	36.8	70.1
30	38.9	70.1
31	40.1	69.8
32	51.9	69.8
33	51.9	69.8
34	47.3	69.8
35	43.5	69.5
36	39.9	69.3
37	37.8	69.3
38	36.8	69.3
39	36.8	69.3
40	38.9	69.3
41	42.2	69.1
42	43.5	69.1
43	44.7	69.0
44	46.0	69.0
45	47.0	68.8
46	48.3	68.8
47	49.6	68.5
48	50.9	68.0
49	40.4	68.0
50	39.9	68.0
51	39.4	68.0
52	39.1	67.8
53	38.9	67.8
54	38.6	67.7
55	38.3	67.7
56	48.3	67.7
57	47.8	67.2
58	43.7	67.2
59	40.1	67.2
60	37.8	67.2
61	36.0	67.0
62	35.0	67.0
63	35.0	67.0
64	36.0	66.7
65	38.1	66.7
66	38.9	66.7
67	39.4	66.7
68	39.9	66.5
69	40.4	66.5
70	41.2	66.5
71	41.7	66.2
72	42.2	66.2
73	33.0	66.2
74	34.8	66.2
75	35.8	66.0
76	36.3	65.7
77	37.1	65.7
78	37.6	65.7
79	38.1	65.5
80	48.8	65.4
81	48.8	65.4
82	47.6	65.4
83	46.5	65.2
84	46.0	65.0
85	45.8	64.9
86	45.5	64.9
87	45.8	64.9
88	46.3	64.7
89	47.0	64.4
90	47.8	64.4
91	48.3	64.4
92	49.1	64.4
93	49.6	64.4
94	50.4	64.2
95	51.1	64.1
96	52.7	63.9
97	41.7	63.9
98	41.7	63.9
99	41.7	63.9
100	41.9	63.7
101	41.7	63.7
102	41.7	63.7
103	41.7	63.7
104	51.9	63.6
105	51.6	63.4
106	49.6	63.4
107	47.6	63.4
108	45.8	63.4
109	44.7	63.1
110	44.0	63.1
111	43.7	63.1
112	44.5	63.1
113	45.8	63.1
114	46.5	63.1
115	47.3	62.9
116	48.1	62.9
117	48.8	62.9
118	49.9	62.9
119	50.4	62.9
120	51.9	62.9
121	41.9	62.9
122	43.2	62.6
123	44.5	62.6
124	45.3	62.6
125	45.8	62.6
126	46.3	62.4
127	46.8	62.3
128	57.5	62.3
129	57.5	62.1
130	56.0	62.1
131	54.5	62.1
132	53.4	62.1
133	52.7	62.1
134	52.4	61.9
135	52.4	61.9
136	52.9	61.9
137	54.2	61.9
138	54.7	61.8
139	55.5	61.8
140	56.0	61.6
141	56.8	61.6
142	57.5	61.6
143	58.0	61.4
144	58.8	61.4
145	48.6	61.4
146	48.8	61.3
147	48.8	61.3
148	48.8	61.3
149	48.8	61.1
150	48.8	61.1
151	48.8	61.1
152	59.1	61.1
153	58.3	61.1
154	53.4	61.1
155	49.1	60.9
156	45.3	60.9
157	42.4	60.8
158	40.9	60.8
159	41.2	60.8
160	43.2	60.8
161	46.0	60.8
162	46.8	60.8
163	47.6	60.8
164	48.3	60.8
165	49.1	60.8
166	49.9	60.8
167	50.9	60.8
168	51.6	60.8
169	43.0	60.7
170	44.0	60.7
171	45.3	60.7
172	46.0	60.6
173	46.8	60.6
174	47.6	60.5
175	48.1	60.5
176	58.8	60.5
177	58.8	60.5
178	57.0	60.5
179	56.2	60.3
180	56.5	60.3
181	56.5	60.3
182	54.2	60.3
183	53.2	60.3
184	52.9	60.2
185	54.2	60.2
186	55.2	60.1
187	56.2	60.1
188	57.0	60.1
189	58.0	60.1
190	58.8	60.1
191	59.8	60.1
192	60.8	60.0
193	51.1	60.0
194	51.6	60.0
195	52.2	60.0
196	52.4	60.0
197	52.7	60.0
198	53.2	60.0
199	53.4	60.0
200	63.7	59.8
201	63.4	59.8
202	61.4	59.8
203	59.6	59.8
204	58.0	59.8
205	57.0	59.7
206	56.8	59.7
207	56.5	59.6
208	57.3	59.6
209	58.8	59.6
210	59.1	59.6
211	59.3	59.5
212	60.1	59.5
213	60.1	59.5
214	60.1	59.5
215	60.3	59.5
216	60.8	59.5
217	50.6	59.5
218	50.6	59.3
219	50.9	59.3
220	50.9	59.3
221	50.9	59.3
222	50.9	59.3
223	50.9	59.3
224	61.1	59.3
225	60.8	59.3
226	58.8	59.1
227	56.8	59.1
228	55.2	59.1
229	54.5	59.1
230	53.7	59.0
231	53.7	59.0
232	54.2	59.0
233	55.5	59.0
234	56.0	58.8
235	56.5	58.8
236	57.5	58.8
237	56.8	58.8
238	57.3	58.8
239	57.5	58.8
240	57.8	58.8
241	48.1	58.8
242	48.3	58.8
243	48.6	58.7
244	48.8	58.7
245	48.8	58.5
246	48.8	58.5
247	48.8	58.5
248	59.3	58.5
249	58.8	58.5
250	55.2	58.5
251	51.9	58.5
252	48.8	58.3
253	46.8	58.3
254	45.5	58.2
255	45.3	58.2
256	46.3	58.0
257	48.3	58.0
258	49.9	58.0
259	51.4	58.0
260	52.7	58.0
261	54.2	58.0
262	55.7	58.0
263	57.3	58.0
264	58.5	58.0
265	51.1	57.8
266	54.7	57.8
267	58.0	57.8
268	60.1	57.8
269	61.9	57.8
270	63.9	57.8
271	65.4	57.7
272	77.2	57.7
273	77.0	57.7
274	75.2	57.7
275	73.4	57.7
276	71.1	57.5
277	70.3	57.5
278	71.6	57.5
279	72.4	57.5
280	73.6	57.5
281	75.9	57.5
282	76.4	57.4
283	77.2	57.4
284	78.0	57.4
285	78.5	57.4
286	79.3	57.4
287	80.0	57.3
288	80.5	57.3
289	69.3	57.3
290	68.5	57.3
291	65.7	57.3
292	64.4	57.3
293	63.4	57.3
294	62.4	57.2
295	61.6	57.2
296	71.1	57.2
297	70.3	57.2
298	67.0	57.2
299	63.9	57.2
300	61.6	57.0
301	59.8	57.0
302	59.1	57.0
303	58.8	57.0
304	59.6	56.9
305	61.1	56.9
306	60.8	56.9
307	60.8	56.8
308	60.8	56.8
309	60.8	56.8
310	61.1	56.8
311	60.6	56.8
312	60.6	56.7
313	51.4	56.7
314	52.4	56.7
315	53.4	56.7
316	53.9	56.7
317	54.7	56.7
318	55.2	56.7
319	55.7	56.6
320	66.2	56.5
321	66.2	56.5
322	64.9	56.5
323	62.9	56.5
324	61.6	56.5
325	60.8	56.5
326	60.3	56.5
327	60.3	56.4
328	60.8	56.4
329	61.9	56.4
330	63.1	56.4
331	63.9	56.4
332	64.9	56.2
333	66.0	56.2
334	66.7	56.2
335	67.7	56.2
336	68.8	56.2
337	60.1	56.2
338	60.1	56.1
339	60.8	56.1
340	61.4	56.0
341	61.9	56.0
342	62.1	56.0
343	62.6	56.0
344	73.1	56.0
345	72.9	56.0
346	70.8	55.9
347	69.3	55.9
348	68.0	55.9
349	67.0	55.9
350	66.7	55.9
351	67.2	55.9
352	68.0	55.9
353	69.0	55.8
354	69.3	55.7
355	69.3	55.7
356	69.5	55.7
357	69.8	55.6
358	69.8	55.6
359	69.8	55.6
360	70.1	55.6
361	59.6	55.5
362	59.3	55.5
363	59.1	55.4
364	58.5	55.4
365	58.3	55.4
366	58.0	55.4
367	57.8	55.4
368	67.7	55.4
369	67.2	55.4
370	66.2	55.4
371	65.2	55.2
372	64.4	55.2
373	63.7	55.2
374	57.5	55.2
375	54.2	55.2
376	53.2	55.2
377	55.2	55.2
378	55.7	55.1
379	56.0	55.1
380	56.5	55.1
381	57.0	55.1
382	57.3	55.1
383	57.8	54.9
384	58.0	54.9
385	49.1	54.9
386	50.1	54.9
387	51.4	54.9
388	51.9	54.9
389	52.4	54.9
390	53.2	54.7
391	53.4	54.7
392	64.2	54.7
393	63.7	54.7
394	56.8	54.7
395	50.4	54.7
396	44.7	54.7
397	41.2	54.6
398	39.4	54.6
399	39.4	54.6
400	41.9	54.6
401	46.5	54.6
402	47.0	54.5
403	47.8	54.5
404	48.3	54.5
405	49.1	54.4
406	49.6	54.4
407	50.4	54.4
408	50.9	54.4
409	41.2	54.4
410	41.4	54.4
411	41.9	54.2
412	41.9	54.2
413	42.2	54.2
414	42.2	54.2
415	42.2	54.2
416	52.7	54.2
417	52.2	54.2
418	51.4	54.2
419	50.4	54.1
420	49.6	54.1
421	48.6	54.1
422	41.9	54.1
423	38.6	54.0
424	37.6	54.0
425	39.9	54.0
426	40.4	53.9
427	40.9	53.9
428	41.4	53.8
429	41.7	53.8
430	42.2	53.8
431	42.7	53.8
432	43.2	53.8
433	33.7	53.8
434	34.5	53.7
435	35.3	53.7
436	35.5	53.7
437	35.8	53.7
438	36.3	53.7
439	36.3	53.7
440	46.8	53.7
441	46.5	53.6
442	45.8	53.6
443	45.3	53.6
444	44.5	53.6
445	44.2	53.6
446	38.3	53.6
447	34.5	53.5
448	33.0	53.5
449	35.0	53.5
450	35.8	53.4
451	36.8	53.4
452	37.6	53.4
453	38.6	53.4
454	39.6	53.4
455	40.4	53.4
456	41.4	53.4
457	32.2	53.4
458	33.5	53.3
459	34.8	53.3
460	35.5	53.3
461	36.3	53.3
462	37.1	53.2
463	37.3	53.2
464	48.1	53.2
465	47.8	53.2
466	47.0	53.2
467	46.8	53.2
468	46.0	53.2
469	45.5	53.2
470	40.6	53.1
471	38.6	53.1
472	38.1	53.1
473	39.9	53.1
474	40.4	53.1
475	40.6	53.1
476	41.2	53.0
477	41.7	53.0
478	41.9	53.0
479	42.4	52.9
480	42.7	52.9
481	32.5	52.9
482	32.5	52.9
483	32.2	52.8
484	32.2	52.8
485	32.0	52.8
486	32.0	52.8
487	31.7	52.8
488	41.9	52.8
