# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	26.8	126.2
2	28.8	125.4
3	30.8	124.2
4	31.6	123.0
5	32.4	122.2
6	33.2	121.0
7	33.6	121.0
8	50.1	120.6
9	49.3	119.8
10	43.7	119.0
11	38.5	117.8
12	34.1	115.4
13	31.2	115.0
14	29.6	114.9
15	29.6	114.6
16	31.6	114.2
17	34.5	113.4
18	37.3	112.5
19	39.7	112.2
20	42.1	111.4
21	44.5	111.4
22	46.9	111.2
23	49.7	111.2
24	52.1	111.2
25	40.9	111.0
26	46.5	110.2
27	51.7	110.2
28	54.9	110.0
29	57.7	109.8
30	60.9	109.6
31	62.9	109.4
32	81.3	109.4
33	81.3	109.4
34	74.1	109.3
35	68.1	109.0
36	62.5	108.6
37	59.3	108.6
38	57.7	108.6
39	57.7	108.6
40	60.9	108.6
41	66.1	108.4
42	68.1	108.2
43	70.1	107.8
44	72.1	107.8
45	73.7	107.4
46	75.7	107.1
47	77.7	107.1
48	79.7	106.8
49	63.3	106.8
50	62.5	106.6
51	61.7	106.6
52	61.3	106.4
53	60.9	106.4
54	60.5	106.2
55	60.1	106.2
56	75.7	105.6
57	74.9	105.6
58	68.5	105.4
59	62.9	105.4
60	59.3	105.2
61	56.5	105.0
62	54.9	105.0
63	54.9	104.8
64	56.5	104.8
65	59.7	104.8
66	60.9	104.6
67	61.7	104.6
68	62.5	104.4
69	63.3	104.4
70	64.5	104.0
71	65.3	103.8
72	66.1	103.8
73	51.7	103.8
74	54.5	103.4
75	56.1	103.2
76	56.9	103.2
77	58.1	103.0
78	58.9	103.0
79	59.7	102.7
80	76.5	102.7
81	76.5	102.6
82	74.5	102.2
83	72.9	101.9
84	72.1	101.7
85	71.7	101.7
86	71.3	101.5
87	71.7	101.5
88	72.5	101.1
89	73.7	101.1
90	74.9	101.1
91	75.7	100.9
92	76.9	100.9
93	77.7	100.7
94	78.9	100.7
95	80.1	100.5
96	82.5	100.3
97	65.3	100.1
98	65.3	100.1
99	65.3	100.1
100	65.7	99.7
101	65.3	99.7
102	65.3	99.7
103	65.3	99.7
104	81.3	99.5
105	80.9	99.5
106	77.7	99.3
107	74.5	99.3
108	71.7	99.1
109	70.1	99.1
110	68.9	99.1
111	68.5	99.1
112	69.7	98.9
113	71.7	98.7
114	72.9	98.7
115	74.1	98.7
116	75.3	98.7
117	76.5	98.7
118	78.1	98.7
119	78.9	98.5
120	81.3	98.5
121	65.7	98.3
122	67.7	98.3
123	69.7	98.3
124	70.9	98.1
125	71.7	97.9
126	72.5	97.9
127	73.3	97.7
128	90.1	97.7
129	90.1	97.5
130	87.7	97.5
131	85.3	97.5
132	83.7	97.3
133	82.5	97.1
134	82.1	97.1
135	82.1	96.9
136	82.9	96.9
137	84.9	96.9
138	85.7	96.5
139	86.9	96.5
140	87.7	96.5
141	88.9	96.3
142	90.1	96.3
143	90.9	96.3
144	92.1	96.3
145	76.1	96.1
146	76.5	96.1
147	76.5	95.9
148	76.5	95.9
149	76.5	95.9
150	76.5	95.9
151	76.5	95.7
152	92.5	95.7
153	91.3	95.7
154	83.7	95.5
155	76.9	95.5
156	70.9	95.3
157	66.5	95.3
158	64.1	95.3
159	64.5	95.3
160	67.7	95.3
161	72.1	95.3
162	73.3	95.3
163	74.5	95.3
164	75.7	95.3
165	76.9	95.3
166	78.1	95.1
167	79.7	95.1
168	80.9	95.1
169	67.3	95.1
170	68.9	94.9
171	70.9	94.9
172	72.1	94.7
173	73.3	94.7
174	74.5	94.5
175	75.3	94.5
176	92.1	94.5
177	92.1	94.4
178	89.3	94.4
179	88.1	94.3
180	88.5	94.3
181	88.5	94.3
182	84.9	94.3
183	83.3	94.3
184	82.9	94.1
185	84.9	94.1
186	86.5	94.1
187	88.1	94.1
188	89.3	94.1
189	90.9	94.1
190	92.1	94.0
191	93.7	94.0
192	95.3	94.0
193	80.1	93.8
194	80.9	93.8
195	81.7	93.8
196	82.1	93.7
197	82.5	93.7
198	83.3	93.6
199	83.7	93.6
200	99.7	93.4
201	99.3	93.4
202	96.1	93.4
203	93.3	93.4
204	90.9	93.3
205	89.3	93.3
206	88.9	93.3
207	88.5	93.3
208	89.7	93.3
209	92.1	93.3
210	92.5	93.0
211	92.9	93.0
212	94.1	93.0
213	94.1	93.0
214	94.1	92.9
215	94.5	92.9
216	95.3	92.9
217	79.3	92.9
218	79.3	92.9
219	79.7	92.9
220	79.7	92.6
221	79.7	92.6
222	79.7	92.5
223	79.7	92.5
224	95.7	92.5
225	95.3	92.5
226	92.1	92.5
227	88.9	92.5
228	86.5	92.2
229	85.3	92.2
230	84.1	92.2
231	84.1	92.2
232	84.9	92.2
233	86.9	92.1
234	87.7	92.1
235	88.5	92.1
236	90.1	92.1
237	88.9	92.1
238	89.7	92.1
239	90.1	92.1
240	90.5	92.1
241	75.3	92.1
242	75.7	91.8
243	76.1	91.8
244	76.5	91.8
245	76.5	91.8
246	76.5	91.8
247	76.5	91.7
248	92.9	91.7
249	92.1	91.7
250	86.5	91.4
251	81.3	91.4
252	76.5	91.4
253	73.3	91.4
254	71.3	91.3
255	70.9	91.3
256	72.5	91.0
257	75.7	91.0
258	78.1	90.9
259	80.5	90.9
260	82.5	90.9
261	84.9	90.9
262	87.3	90.9
263	89.7	90.9
264	91.7	90.9
265	80.1	90.6
266	85.7	90.6
267	90.9	90.6
268	94.1	90.6
269	96.9	90.6
270	100.1	90.5
271	102.6	90.5
272	121.0	90.5
273	120.6	90.5
274	117.8	90.2
275	115.0	90.2
276	111.4	90.2
277	110.2	90.2
278	112.2	90.2
279	113.4	90.1
280	115.4	90.1
281	119.0	90.1
282	119.8	90.1
283	121.0	90.1
284	122.2	90.1
285	123.0	89.8
286	124.2	89.8
287	125.4	89.8
288	126.2	89.8
289	108.6	89.8
290	107.4	89.8
291	103.0	89.7
292	100.9	89.7
293	99.3	89.7
294	97.7	89.7
295	96.5	89.7
296	111.4	89.5
297	110.2	89.5
298	105.0	89.4
299	100.1	89.4
300	96.5	89.4
301	93.7	89.3
302	92.5	89.3
303	92.1	89.3
304	93.3	89.3
305	95.7	89.0
306	95.3	89.0
307	95.3	89.0
308	95.3	89.0
309	95.3	89.0
310	95.7	89.0
311	94.9	89.0
312	94.9	88.9
313	80.5	88.9
314	82.1	88.9
315	83.7	88.9
316	84.5	88.9
317	85.7	88.8
318	86.5	88.8
319	87.3	88.6
320	103.8	88.6
321	103.8	88.6
322	101.7	88.5
323	98.5	88.5
324	96.5	88.5
325	95.3	88.5
326	94.5	88.5
327	94.5	88.5
