# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	27.4	128.8
2	29.4	128.0
3	31.5	126.8
4	32.3	125.5
5	33.1	124.7
6	33.9	123.5
7	34.4	123.5
8	51.1	123.1
9	50.3	122.3
10	44.6	121.5
11	39.3	120.2
12	34.8	117.8
13	31.9	117.4
14	30.3	117.1
15	30.3	117.0
16	32.3	116.5
17	35.2	115.7
18	38.0	114.6
19	40.5	114.5
20	42.9	113.7
21	45.4	113.7
22	47.8	113.4
23	50.7	113.4
24	53.2	113.4
25	41.7	113.3
26	47.4	112.9
27	52.8	112.5
28	56.0	112.5
29	58.9	112.1
30	62.2	112.0
31	64.2	111.7
32	83.0	111.6
33	83.0	111.6
34	75.7	111.6
35	69.5	111.2
36	63.8	110.8
37	60.5	110.8
38	58.9	110.8
39	58.9	110.8
40	62.2	110.8
41	67.5	110.6
42	69.5	110.6
43	71.6	110.5
44	73.6	110.4
45	75.2	110.0
46	77.3	110.0
47	79.3	109.6
48	81.4	108.8
49	64.6	108.8
50	63.8	108.8
51	63.0	108.8
52	62.6	108.4
53	62.2	108.4
54	61.7	108.4
55	61.3	108.4
56	77.3	108.2
57	76.5	107.6
58	69.9	107.6
59	64.2	107.5
60	60.5	107.5
61	57.7	107.2
62	56.0	107.1
63	56.0	107.1
64	57.7	106.8
65	60.9	106.8
66	62.2	106.7
67	63.0	106.7
68	63.8	106.4
69	64.6	106.4
70	65.8	106.3
71	66.7	106.0
72	67.5	105.9
73	52.8	105.9
74	55.6	105.9
75	57.3	105.5
76	58.1	105.1
77	59.3	105.1
78	60.1	105.1
79	60.9	104.8
80	78.1	104.7
81	78.1	104.7
82	76.1	104.7
83	74.4	104.3
84	73.6	104.0
85	73.2	103.9
86	72.8	103.9
87	73.2	103.9
88	74.0	103.5
89	75.2	103.1
90	76.5	103.1
91	77.3	103.1
92	78.5	103.1
93	79.3	103.1
94	80.6	102.7
95	81.8	102.6
96	84.2	102.2
97	66.7	102.2
98	66.7	102.2
99	66.7	102.2
100	67.1	101.8
101	66.7	101.8
102	66.7	101.8
103	66.7	101.8
104	83.0	101.7
105	82.6	101.4
106	79.3	101.4
107	76.1	101.4
108	73.2	101.4
109	71.6	101.0
110	70.3	101.0
111	69.9	101.0
112	71.2	101.0
113	73.2	101.0
114	74.4	100.9
115	75.7	100.6
116	76.9	100.6
117	78.1	100.6
118	79.7	100.6
119	80.6	100.6
120	83.0	100.6
121	67.1	100.6
122	69.1	100.2
123	71.2	100.2
124	72.4	100.2
125	73.2	100.2
126	74.0	99.8
127	74.8	99.8
128	92.0	99.8
129	92.0	99.4
130	89.6	99.4
131	87.1	99.4
132	85.5	99.4
133	84.2	99.4
134	83.8	99.0
135	83.8	99.0
136	84.6	99.0
137	86.7	99.0
138	87.5	98.9
139	88.7	98.9
140	89.6	98.6
141	90.8	98.6
142	92.0	98.6
143	92.8	98.2
144	94.1	98.1
145	77.7	98.1
146	78.1	98.1
147	78.1	98.1
148	78.1	98.1
149	78.1	97.7
150	78.1	97.7
151	78.1	97.7
152	94.5	97.7
153	93.2	97.7
154	85.5	97.7
155	78.5	97.5
156	72.4	97.5
157	67.9	97.3
158	65.4	97.3
159	65.8	97.3
160	69.1	97.3
161	73.6	97.3
162	74.8	97.3
163	76.1	97.3
164	77.3	97.3
165	78.5	97.3
166	79.7	97.3
167	81.4	97.3
168	82.6	97.3
169	68.7	97.1
170	70.3	97.1
171	72.4	97.1
172	73.6	96.9
173	74.8	96.9
174	76.1	96.9
175	76.9	96.9
176	94.1	96.9
177	94.1	96.7
178	91.2	96.7
179	90.0	96.5
180	90.4	96.5
181	90.4	96.5
182	86.7	96.5
183	85.1	96.5
184	84.6	96.3
185	86.7	96.3
186	88.3	96.1
187	90.0	96.1
188	91.2	96.1
189	92.8	96.1
190	94.1	96.1
191	95.7	96.1
192	97.3	96.1
193	81.8	96.1
194	82.6	96.1
195	83.4	96.1
196	83.8	96.1
197	84.2	95.9
198	85.1	95.9
199	85.5	95.9
200	101.8	95.7
201	101.4	95.7
