# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	12.4	58.2
2	13.3	57.8
3	14.2	57.3
4	14.6	56.7
5	15.0	56.3
6	15.3	55.8
7	15.5	55.8
8	23.1	55.6
9	22.7	55.2
10	20.1	54.9
11	17.7	54.3
12	15.7	53.3
13	14.4	53.2
14	13.7	53.0
15	13.7	52.8
16	14.6	52.6
17	15.9	52.3
18	17.2	52.1
19	18.3	51.7
20	19.4	51.6
21	20.5	51.6
22	21.6	51.6
23	22.9	51.3
24	24.0	51.3
25	18.8	51.2
26	21.4	51.0
27	23.8	50.8
28	25.3	50.8
29	26.6	50.8
30	28.1	50.6
31	29.0	50.4
32	37.5	50.4
33	37.5	50.4
34	34.2	50.3
35	31.4	50.2
36	28.8	50.1
37	27.3	50.1
38	26.6	50.1
39	26.6	50.1
40	28.1	50.1
41	30.5	49.9
42	31.4	49.7
43	32.3	49.7
44	33.2	49.5
45	34.0	49.5
46	34.9	49.5
47	35.8	49.4
48	36.8	49.3
49	29.2	49.3
50	28.8	49.1
51	28.4	49.1
52	28.3	48.9
53	28.1	48.9
54	27.9	48.9
55	27.7	48.9
56	34.9	48.8
57	34.5	48.6
58	31.6	48.6
59	29.0	48.6
60	27.3	48.6
61	26.0	48.4
62	25.3	48.4
63	25.3	48.4
64	26.0	48.4
65	27.5	48.4
66	28.1	48.4
67	28.4	48.2
68	28.8	48.2
69	29.2	48.2
70	29.7	47.8
71	30.1	47.8
72	30.5	47.8
73	23.8	47.8
74	25.1	47.8
75	25.9	47.7
76	26.2	47.6
77	26.8	47.6
78	27.2	47.5
79	27.5	47.4
80	35.3	47.3
81	35.3	47.3
82	34.4	47.1
83	33.6	47.1
84	33.2	46.9
85	33.1	46.9
86	32.9	46.9
87	33.1	46.9
88	33.4	46.9
89	34.0	46.7
90	34.5	46.5
91	34.9	46.5
92	35.5	46.5
93	35.8	46.5
94	36.4	46.4
95	36.9	46.2
96	38.0	46.2
97	30.1	46.2
98	30.1	46.1
99	30.1	46.1
100	30.3	46.0
101	30.1	46.0
102	30.1	46.0
103	30.1	46.0
104	37.5	45.9
105	37.3	45.9
106	35.8	45.9
107	34.4	45.9
108	33.1	45.9
109	32.3	45.8
110	31.8	45.8
111	31.6	45.8
112	32.1	45.8
113	33.1	45.8
114	33.6	45.8
115	34.2	45.8
116	34.7	45.8
117	35.3	45.6
118	36.0	45.6
119	36.4	45.6
120	37.5	45.6
121	30.3	45.5
122	31.2	45.4
123	32.1	45.4
124	32.7	45.4
125	33.1	45.3
126	33.4	45.2
127	33.8	45.2
128	41.6	45.2
129	41.6	45.1
130	40.5	45.0
131	39.3	45.0
132	38.6	44.9
133	38.0	44.7
134	37.9	44.7
135	37.9	44.7
136	38.2	44.6
137	39.2	44.6
138	39.5	44.6
139	40.1	44.5
140	40.5	44.5
141	41.0	44.5
142	41.6	44.5
143	41.9	44.4
144	42.5	44.4
145	35.1	44.4
146	35.3	44.3
147	35.3	44.3
148	35.3	44.3
149	35.3	44.3
150	35.3	44.2
151	35.3	44.1
152	42.7	44.1
153	42.1	44.1
154	38.6	44.1
155	35.5	44.1
156	32.7	44.1
157	30.7	44.0
158	29.6	44.0
159	29.7	44.0
160	31.2	44.0
161	33.2	44.0
162	33.8	44.0
163	34.4	44.0
164	34.9	44.0
165	35.5	44.0
166	36.0	44.0
167	36.8	43.9
168	37.3	43.9
169	31.0	43.8
170	31.8	43.8
171	32.7	43.7
172	33.2	43.7
173	33.8	43.7
174	34.4	43.7
175	34.7	43.7
176	42.5	43.6
177	42.5	43.6
178	41.2	43.6
179	40.6	43.5
180	40.8	43.5
181	40.8	43.5
182	39.2	43.5
183	38.4	43.4
184	38.2	43.4
185	39.2	43.4
186	39.9	43.4
187	40.6	43.4
188	41.2	43.4
189	41.9	43.3
190	42.5	43.3
191	43.2	43.3
192	44.0	43.3
193	36.9	43.3
194	37.3	43.2
195	37.7	43.2
196	37.9	43.1
197	38.0	43.1
198	38.4	43.1
199	38.6	43.1
200	46.0	43.0
201	45.8	43.0
202	44.3	43.0
203	43.0	43.0
204	41.9	43.0
205	41.2	42.9
206	41.0	42.9
207	40.8	42.9
208	41.4	42.9
209	42.5	42.9
210	42.7	42.8
211	42.9	42.8
212	43.4	42.7
213	43.4	42.7
214	43.4	42.7
215	43.6	42.7
216	44.0	42.7
217	36.6	42.7
218	36.6	42.6
219	36.8	42.6
220	36.8	42.6
221	36.8	42.6
222	36.8	42.5
223	36.8	42.5
224	44.1	42.5
225	44.0	42.5
226	42.5	42.5
227	41.0	42.5
228	39.9	42.5
229	39.3	42.5
230	38.8	42.5
231	38.8	42.5
232	39.2	42.5
233	40.1	42.5
234	40.5	42.4
235	40.8	42.4
236	41.6	42.3
237	41.0	42.3
238	41.4	42.3
239	41.6	42.3
240	41.7	42.3
241	34.7	42.2
242	34.9	42.2
243	35.1	42.1
244	35.3	42.1
245	35.3	42.1
246	35.3	42.1
247	35.3	42.0
248	42.9	42.0
249	42.5	42.0
250	39.9	42.0
251	37.5	42.0
252	35.3	42.0
253	33.8	42.0
254	32.9	42.0
255	32.7	41.9
256	33.4	41.9
257	34.9	41.9
258	36.0	41.9
259	37.1	41.9
260	38.0	41.9
261	39.2	41.9
262	40.3	41.8
263	41.4	41.8
264	42.3	41.8
265	36.9	41.8
266	39.5	41.8
267	41.9	41.8
268	43.4	41.8
269	44.7	41.7
270	46.2	41.7
271	47.3	41.7
272	55.8	41.7
273	55.6	41.6
274	54.3	41.6
275	53.0	41.6
276	51.3	41.6
277	50.8	41.6
278	51.7	41.6
279	52.3	41.6
280	53.2	41.6
281	54.9	41.6
282	55.2	41.6
283	55.8	41.6
284	56.3	41.6
285	56.7	41.6
286	57.3	41.6
287	57.8	41.6
288	58.2	41.5
289	50.1	41.4
290	49.5	41.4
291	47.5	41.4
292	46.5	41.4
293	45.8	41.4
294	45.1	41.4
295	44.5	41.4
296	51.3	41.4
297	50.8	41.3
298	48.4	41.3
299	46.2	41.3
300	44.5	41.3
301	43.2	41.3
302	42.7	41.3
303	42.5	41.3
304	43.0	41.3
305	44.1	41.3
306	44.0	41.2
307	44.0	41.2
308	44.0	41.2
309	44.0	41.2
310	44.1	41.1
311	43.8	41.1
312	43.8	41.1
313	37.1	41.0
314	37.9	41.0
315	38.6	41.0
316	39.0	41.0
317	39.5	41.0
318	39.9	40.9
319	40.3	40.9
320	47.8	40.9
321	47.8	40.9
322	46.9	40.8
323	45.4	40.8
324	44.5	40.8
325	44.0	40.8
326	43.6	40.8
327	43.6	40.8
328	44.0	40.8
329	44.7	40.7
330	45.6	40.7
331	46.2	40.7
332	46.9	40.7
333	47.7	40.7
334	48.2	40.6
335	48.9	40.6
336	49.7	40.5
337	43.4	40.5
338	43.4	40.5
339	44.0	40.5
340	44.3	40.5
341	44.7	40.5
342	44.9	40.5
343	45.3	40.5
344	52.8	40.5
345	52.6	40.5
346	51.2	40.3
347	50.1	40.3
348	49.1	40.3
349	48.4	40.3
350	48.2	40.3
351	48.6	40.3
352	49.1	40.3
353	49.9	40.3
354	50.1	40.3
355	50.1	40.1
356	50.2	40.1
357	50.4	40.1
358	50.4	40.1
359	50.4	40.1
360	50.6	40.1
361	43.0	40.1
362	42.9	40.1
363	42.7	40.1
364	42.3	39.9
365	42.1	39.9
366	41.9	39.9
367	41.7	39.9
368	48.9	39.9
369	48.6	39.9
370	47.8	39.9
371	47.1	39.9
372	46.5	39.9
373	46.0	39.9
374	41.6	39.9
375	39.2	39.8
376	38.4	39.8
377	39.9	39.8
378	40.3	39.8
379	40.5	39.8
380	40.8	39.6
381	41.2	39.6
382	41.4	39.6
383	41.7	39.6
384	41.9	39.6
385	35.5	39.6
386	36.2	39.5
387	37.1	39.5
388	37.5	39.5
389	37.9	39.5
390	38.4	39.5
391	38.6	39.5
392	46.4	39.4
393	46.0	39.4
394	41.0	39.4
395	36.4	39.4
396	32.3	39.3
397	29.7	39.3
398	28.4	39.3
399	28.4	39.3
400	30.3	39.3
401	33.6	39.2
402	34.0	39.2
403	34.5	39.2
404	34.9	39.2
405	35.5	39.2
406	35.8	39.2
407	36.4	39.2
408	36.8	39.2
409	29.7	39.2
410	29.9	39.2
411	30.3	39.2
412	30.3	39.2
413	30.5	39.1
414	30.5	39.1
415	30.5	39.0
416	38.0	39.0
417	37.7	39.0
418	37.1	39.0
419	36.4	39.0
420	35.8	39.0
421	35.1	39.0
422	30.3	38.9
423	27.9	38.8
424	27.2	38.8
425	28.8	38.8
426	29.2	38.8
427	29.6	38.8
428	29.9	38.8
429	30.1	38.8
430	30.5	38.8
431	30.8	38.8
432	31.2	38.8
433	24.4	38.6
434	24.9	38.6
435	25.5	38.6
436	25.7	38.6
437	25.9	38.6
438	26.2	38.6
439	26.2	38.6
440	33.8	38.6
441	33.6	38.6
442	33.1	38.6
443	32.7	38.6
444	32.1	38.6
445	32.0	38.4
446	27.7	38.4
447	24.9	38.4
448	23.8	38.4
449	25.3	38.4
450	25.9	38.4
451	26.6	38.4
452	27.2	38.4
453	27.9	38.4
454	28.6	38.4
455	29.2	38.4
456	29.9	38.4
457	23.3	38.3
458	24.2	38.3
459	25.1	38.3
460	25.7	38.3
461	26.2	38.3
462	26.8	38.3
463	27.0	38.3
464	34.7	38.3
465	34.5	38.2
466	34.0	38.2
467	33.8	38.2
468	33.2	38.2
469	32.9	38.1
470	29.4	38.1
471	27.9	38.1
472	27.5	38.1
473	28.8	38.1
474	29.2	38.1
475	29.4	38.1
476	29.7	38.1
477	30.1	38.0
478	30.3	38.0
479	30.7	38.0
480	30.8	38.0
481	23.5	38.0
482	23.5	38.0
483	23.3	37.9
484	23.3	37.9
485	23.1	37.9
486	23.1	37.9
487	22.9	37.9
488	30.3	37.9
489	29.9	37.9
490	26.8	37.9
491	23.8	37.9
492	21.1	37.9
493	18.8	37.9
494	17.4	37.9
495	17.2	37.8
496	18.1	37.8
497	20.1	37.8
498	20.7	37.7
499	21.4	37.7
500	22.0	37.7
501	22.7	37.7
502	23.5	37.7
503	24.0	37.6
504	24.8	37.6
505	18.5	37.6
506	19.4	37.6
507	20.5	37.5
508	20.9	37.5
509	21.4	37.5
510	21.8	37.5
511	22.2	37.5
512	29.7	37.5
513	29.4	37.5
514	25.9	37.5
515	23.1	37.5
516	19.9	37.5
517	17.9	37.5
518	15.3	37.4
519	14.2	37.4
520	14.4	37.4
521	16.8	37.4
522	18.5	37.3
523	19.9	37.3
524	21.6	37.3
525	23.3	37.3
526	24.8	37.3
527	26.4	37.3
528	27.9	37.3
529	22.3	37.3
530	24.4	37.3
531	26.2	37.3
532	27.3	37.3
533	28.3	37.3
534	29.4	37.2
535	29.9	37.2
536	38.0	37.1
537	36.9	37.1
538	31.0	37.1
539	25.9	37.1
540	22.0	37.1
541	19.0	37.1
542	17.4	37.1
543	17.2	37.1
544	18.7	37.1
545	22.3	37.1
546	24.6	37.1
547	26.8	37.1
548	29.0	37.1
549	31.2	37.1
550	33.4	37.1
551	35.6	37.1
552	37.9	37.1
553	32.5	37.1
554	34.7	37.1
555	36.9	36.9
556	38.2	36.9
557	39.5	36.9
558	40.8	36.9
559	41.7	36.9
560	50.1	36.9
561	49.7	36.9
562	46.0	36.8
563	42.3	36.8
564	39.9	36.8
565	38.6	36.8
566	36.8	36.8
567	36.2	36.8
568	36.6	36.8
569	39.3	36.8
570	39.9	36.8
571	40.5	36.8
572	40.8	36.8
573	41.4	36.8
574	41.9	36.8
575	42.5	36.8
576	43.0	36.8
577	34.9	36.8
578	34.2	36.8
579	33.4	36.8
580	32.9	36.8
581	32.5	36.8
582	32.0	36.6
583	31.6	36.6
584	38.8	36.6
585	38.2	36.6
586	36.8	36.6
587	37.1	36.6
588	34.9	36.6
589	33.6	36.6
590	33.2	36.6
591	33.4	36.6
592	33.1	36.6
593	34.4	36.6
594	34.5	36.6
595	34.4	36.6
596	34.2	36.6
597	34.2	36.6
598	34.2	36.5
599	34.0	36.5
600	33.8	36.4
601	27.0	36.4
602	27.3	36.4
603	27.7	36.4
604	27.9	36.4
605	28.1	36.4
606	28.3	36.4
607	28.4	36.4
608	35.8	36.4
609	34.2	36.4
610	29.9	36.2
611	27.7	36.2
612	25.7	36.2
613	21.6	36.2
614	18.8	36.2
615	17.2	36.2
616	17.0	36.2
617	19.0	36.2
618	22.0	36.2
619	22.5	36.2
620	22.9	36.2
621	23.5	36.2
622	24.0	36.2
623	24.6	36.2
624	25.1	36.1
625	18.3	36.1
626	19.0	36.1
627	19.8	36.0
628	20.1	36.0
629	20.5	36.0
630	20.9	36.0
631	21.1	36.0
632	28.8	36.0
633	28.6	36.0
634	28.1	36.0
635	27.5	36.0
636	27.3	36.0
637	27.0	36.0
638	27.9	35.9
639	26.8	35.9
640	27.5	35.9
641	27.5	35.9
642	27.9	35.9
643	28.4	35.8
644	29.4	35.8
645	29.7	35.8
646	30.3	35.8
647	30.8	35.8
648	31.6	35.8
649	24.8	35.8
650	25.7	35.8
651	26.6	35.8
652	26.8	35.8
653	27.2	35.8
654	27.7	35.8
655	27.9	35.7
656	35.6	35.7
657	35.1	35.7
658	33.1	35.7
659	32.3	35.7
660	31.0	35.6
661	30.1	35.6
662	29.6	35.6
663	29.7	35.6
664	30.3	35.6
665	31.2	35.6
666	32.1	35.6
667	32.7	35.6
668	33.1	35.5
669	33.4	35.5
670	34.0	35.5
671	34.4	35.5
672	34.9	35.5
673	27.7	35.4
674	27.7	35.4
675	27.9	35.4
676	27.9	35.4
677	27.9	35.4
678	27.9	35.4
679	27.9	35.4
680	35.3	35.4
681	34.7	35.4
682	31.2	35.4
683	28.6	35.3
