# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.8	88.4
2	20.2	87.8
3	21.6	86.9
4	22.2	86.1
5	22.7	85.5
6	23.3	84.7
7	23.6	84.7
8	35.1	84.4
9	34.5	83.9
10	30.6	83.3
11	26.9	82.5
12	23.8	80.8
13	21.9	80.5
14	20.8	80.2
15	20.8	80.2
16	22.2	79.9
17	24.1	79.4
18	26.1	78.5
19	27.8	78.5
20	29.5	78.0
21	31.1	78.0
22	32.8	77.9
23	34.8	77.7
24	36.5	77.7
25	28.6	77.7
26	32.5	77.7
27	36.2	77.1
28	38.4	77.1
29	40.4	76.9
30	42.6	76.8
31	44.0	76.6
32	56.9	76.6
33	56.9	76.6
34	51.9	76.5
35	47.7	76.3
36	43.8	76.3
37	41.5	76.3
38	40.4	76.0
39	40.4	76.0
40	42.6	76.0
41	46.3	76.0
42	47.7	76.0
43	49.1	75.7
44	50.5	75.7
45	51.6	75.4
46	53.0	75.4
47	54.4	75.2
48	55.8	74.7
49	44.3	74.6
50	43.8	74.6
51	43.2	74.6
52	42.9	74.6
53	42.6	74.3
54	42.4	74.3
55	42.1	74.3
56	53.0	74.3
57	52.4	73.8
58	48.0	73.8
59	44.0	73.7
60	41.5	73.7
61	39.5	73.5
62	38.4	73.5
63	38.4	73.4
64	39.5	73.3
65	41.8	73.2
66	42.6	73.2
67	43.2	73.1
68	43.8	73.1
69	44.3	72.9
70	45.2	72.9
71	45.7	72.6
72	46.3	72.6
73	36.2	72.6
74	38.1	72.6
75	39.3	72.4
76	39.8	72.3
77	40.7	72.1
78	41.2	72.0
79	41.8	72.0
80	53.6	71.8
81	53.6	71.7
82	52.2	71.7
83	51.0	71.7
84	50.5	71.5
85	50.2	71.2
86	49.9	71.2
87	50.2	71.2
88	50.8	70.9
89	51.6	70.7
90	52.4	70.7
91	53.0	70.6
92	53.9	70.6
93	54.4	70.6
94	55.3	70.4
95	56.1	70.3
96	57.8	70.1
97	45.7	70.1
98	45.7	70.1
99	45.7	70.1
100	46.0	70.0
101	45.7	69.8
102	45.7	69.8
103	45.7	69.8
104	56.9	69.8
105	56.7	69.6
106	54.4	69.6
107	52.2	69.6
108	50.2	69.5
109	49.1	69.5
110	48.2	69.3
111	48.0	69.2
112	48.8	69.2
113	50.2	69.2
114	51.0	69.2
115	51.9	69.0
116	52.7	68.9
117	53.6	68.9
118	54.7	68.9
119	55.3	68.9
120	56.9	68.9
121	46.0	68.9
122	47.4	68.7
123	48.8	68.6
124	49.6	68.6
125	50.2	68.6
126	50.8	68.6
127	51.3	68.4
128	63.1	68.3
129	63.1	68.3
130	61.4	68.3
131	59.7	68.2
132	58.6	68.1
133	57.8	68.1
134	57.5	68.1
135	57.5	67.9
136	58.1	67.9
137	59.5	67.9
138	60.0	67.8
139	60.9	67.8
140	61.4	67.8
141	62.3	67.6
142	63.1	67.6
143	63.7	67.6
144	64.5	67.3
145	53.3	67.3
146	53.6	67.2
147	53.6	67.2
148	53.6	67.2
149	53.6	67.2
150	53.6	67.2
151	53.6	67.0
152	64.8	67.0
153	63.9	67.0
154	58.6	67.0
155	53.9	67.0
156	49.6	67.0
157	46.6	66.9
158	44.9	66.9
159	45.2	66.9
160	47.4	66.8
161	50.5	66.8
162	51.3	66.8
163	52.2	66.8
164	53.0	66.8
165	53.9	66.8
166	54.7	66.8
167	55.8	66.8
168	56.7	66.8
169	47.1	66.8
170	48.2	66.7
171	49.6	66.7
172	50.5	66.6
173	51.3	66.6
174	52.2	66.5
175	52.7	66.5
176	64.5	66.4
177	64.5	66.4
178	62.5	66.4
179	61.7	66.4
180	62.0	66.4
181	62.0	66.2
182	59.5	66.2
183	58.3	66.2
184	58.1	66.2
185	59.5	66.2
186	60.6	66.2
187	61.7	66.1
188	62.5	66.1
189	63.7	65.9
190	64.5	65.9
191	65.6	65.9
192	66.8	65.9
193	56.1	65.9
194	56.7	65.9
195	57.2	65.9
196	57.5	65.9
197	57.8	65.8
198	58.3	65.8
199	58.6	65.8
200	69.8	65.8
201	69.6	65.8
202	67.3	65.6
203	65.4	65.6
204	63.7	65.6
205	62.5	65.6
206	62.3	65.6
207	62.0	65.5
208	62.8	65.5
209	64.5	65.5
210	64.8	65.4
211	65.1	65.4
212	65.9	65.4
213	65.9	65.4
214	65.9	65.4
215	66.2	65.2
216	66.8	65.2
217	55.5	65.2
218	55.5	65.2
219	55.8	65.1
