# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	14.1	54.3
2	14.9	54.0
3	15.7	53.5
4	16.0	53.0
5	16.4	52.7
6	16.7	52.2
7	16.9	52.2
8	23.5	52.0
9	23.2	51.7
10	20.9	51.4
11	18.8	50.9
12	17.0	49.9
13	15.9	49.7
14	15.2	49.7
15	15.2	49.6
16	16.0	49.4
17	17.2	49.1
18	18.3	48.7
19	19.3	48.6
20	20.3	48.3
21	21.2	48.3
22	22.2	48.2
23	23.3	48.2
24	24.3	48.2
25	19.8	48.1
26	22.0	47.8
27	24.1	47.8
28	25.4	47.8
29	26.6	47.6
30	27.9	47.6
31	28.7	47.5
32	36.1	47.5
33	36.1	47.5
34	33.2	47.3
35	30.8	47.1
36	28.5	47.1
37	27.2	47.1
38	26.6	47.1
39	26.6	47.1
40	27.9	47.1
41	30.0	47.0
42	30.8	46.8
43	31.6	46.8
44	32.4	46.7
45	33.1	46.5
46	33.9	46.5
47	34.7	46.3
48	35.5	46.3
49	28.8	46.3
50	28.5	46.3
51	28.2	46.2
52	28.0	46.2
53	27.9	46.0
54	27.7	46.0
55	27.5	45.9
56	33.9	45.9
57	33.5	45.8
58	30.9	45.7
59	28.7	45.7
60	27.2	45.7
61	26.1	45.6
62	25.4	45.6
63	25.4	45.5
64	26.1	45.5
65	27.4	45.5
66	27.9	45.5
67	28.2	45.3
68	28.5	45.2
69	28.8	45.2
70	29.3	45.2
71	29.7	45.0
72	30.0	45.0
73	24.1	45.0
74	25.3	44.9
75	25.9	44.8
76	26.2	44.8
77	26.7	44.8
78	27.1	44.8
79	27.4	44.7
80	34.2	44.6
81	34.2	44.5
82	33.4	44.4
83	32.7	44.4
84	32.4	44.3
85	32.2	44.2
86	32.1	44.2
87	32.2	44.2
88	32.6	44.1
89	33.1	44.1
90	33.5	44.0
91	33.9	43.9
92	34.3	43.9
93	34.7	43.8
94	35.2	43.7
95	35.6	43.7
96	36.6	43.7
97	29.7	43.6
98	29.7	43.6
99	29.7	43.6
100	29.8	43.6
101	29.7	43.5
102	29.7	43.5
103	29.7	43.4
104	36.1	43.4
105	36.0	43.3
106	34.7	43.3
107	33.4	43.3
108	32.2	43.3
109	31.6	43.3
110	31.1	43.2
111	30.9	43.2
112	31.4	43.2
113	32.2	43.2
114	32.7	43.2
115	33.2	43.2
116	33.7	43.2
117	34.2	43.1
118	34.8	43.0
119	35.2	43.0
120	36.1	43.0
121	29.8	42.9
122	30.6	42.9
123	31.4	42.9
124	31.9	42.8
125	32.2	42.7
126	32.6	42.7
127	32.9	42.7
128	39.7	42.6
129	39.7	42.6
130	38.7	42.5
131	37.8	42.5
132	37.1	42.5
133	36.6	42.5
134	36.5	42.5
135	36.5	42.3
136	36.8	42.3
137	37.6	42.3
138	37.9	42.3
139	38.4	42.2
140	38.7	42.2
141	39.2	42.2
142	39.7	42.1
143	40.0	42.1
144	40.5	42.0
145	34.0	42.0
146	34.2	42.0
147	34.2	42.0
148	34.2	42.0
149	34.2	42.0
150	34.2	41.9
151	34.2	41.9
152	40.7	41.8
153	40.2	41.8
154	37.1	41.8
155	34.3	41.8
156	31.9	41.8
157	30.1	41.8
158	29.2	41.8
159	29.3	41.8
160	30.6	41.8
161	32.4	41.8
162	32.9	41.7
163	33.4	41.7
164	33.9	41.7
165	34.3	41.6
166	34.8	41.6
167	35.5	41.5
168	36.0	41.5
169	30.5	41.5
170	31.1	41.5
171	31.9	41.5
172	32.4	41.4
173	32.9	41.4
174	33.4	41.4
175	33.7	41.4
176	40.5	41.4
177	40.5	41.4
178	39.4	41.3
179	38.9	41.3
180	39.0	41.3
181	39.0	41.3
182	37.6	41.3
183	36.9	41.3
184	36.8	41.2
185	37.6	41.2
186	38.2	41.2
187	38.9	41.2
188	39.4	41.2
189	40.0	41.1
190	40.5	41.1
191	41.2	41.1
192	41.8	41.1
193	35.6	41.1
194	36.0	41.0
195	36.3	41.0
196	36.5	41.0
197	36.6	41.0
198	36.9	40.9
199	37.1	40.9
200	43.6	40.9
201	43.4	40.9
202	42.1	40.8
203	41.0	40.8
204	40.0	40.8
205	39.4	40.7
206	39.2	40.7
207	39.0	40.7
208	39.5	40.7
209	40.5	40.7
210	40.7	40.7
211	40.8	40.6
212	41.3	40.6
213	41.3	40.6
214	41.3	40.5
215	41.5	40.5
216	41.8	40.5
217	35.3	40.5
218	35.3	40.5
219	35.5	40.5
220	35.5	40.5
221	35.5	40.5
222	35.5	40.5
223	35.5	40.4
224	42.0	40.4
225	41.8	40.4
226	40.5	40.4
227	39.2	40.4
228	38.2	40.3
229	37.8	40.3
230	37.3	40.3
231	37.3	40.2
232	37.6	40.2
233	38.4	40.2
234	38.7	40.2
235	39.0	40.1
236	39.7	40.1
237	39.2	40.1
238	39.5	40.0
239	39.7	40.0
240	39.9	40.0
241	33.7	40.0
242	33.9	40.0
243	34.0	40.0
244	34.2	40.0
245	34.2	39.9
246	34.2	39.9
247	34.2	39.9
248	40.8	39.9
