# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	11.5	54.2
2	12.4	53.9
3	13.3	53.4
4	13.6	52.8
5	13.9	52.5
6	14.3	52.0
7	14.5	52.0
8	21.5	51.8
9	21.2	51.5
10	18.8	51.1
11	16.5	50.6
12	14.6	49.7
13	13.4	49.6
14	12.7	49.4
15	12.7	49.2
16	13.6	49.1
17	14.8	48.7
18	16.0	48.6
19	17.0	48.2
20	18.1	48.1
21	19.1	48.1
22	20.1	48.1
23	21.3	47.9
24	22.4	47.9
25	17.6	47.7
26	20.0	47.6
27	22.2	47.4
28	23.6	47.3
29	24.8	47.3
30	26.2	47.2
31	27.0	47.0
32	34.9	47.0
33	34.9	47.0
34	31.8	46.9
35	29.3	46.8
36	26.9	46.6
37	25.5	46.6
38	24.8	46.6
39	24.8	46.6
40	26.2	46.6
41	28.4	46.5
42	29.3	46.3
43	30.1	46.3
44	31.0	46.2
45	31.7	46.2
46	32.5	46.1
47	33.4	46.0
48	34.3	46.0
49	27.2	45.8
50	26.9	45.8
51	26.5	45.7
52	26.3	45.7
53	26.2	45.6
54	26.0	45.6
55	25.8	45.5
56	32.5	45.3
57	32.2	45.3
58	29.4	45.3
59	27.0	45.3
60	25.5	45.1
61	24.3	45.1
62	23.6	45.1
63	23.6	45.1
64	24.3	45.0
65	25.6	45.0
66	26.2	44.9
67	26.5	44.9
68	26.9	44.6
69	27.2	44.6
70	27.7	44.6
71	28.1	44.6
72	28.4	44.6
73	22.2	44.4
74	23.4	44.4
75	24.1	44.4
76	24.4	44.2
77	25.0	44.1
78	25.3	44.1
79	25.6	44.1
80	32.9	44.1
81	32.9	43.9
82	32.0	43.9
83	31.3	43.7
84	31.0	43.7
85	30.8	43.7
86	30.6	43.7
87	30.8	43.7
88	31.2	43.6
89	31.7	43.4
90	32.2	43.4
91	32.5	43.4
92	33.0	43.2
93	33.4	43.2
94	33.9	43.0
95	34.4	43.0
96	35.5	43.0
97	28.1	43.0
98	28.1	43.0
99	28.1	42.9
100	28.2	42.9
101	28.1	42.9
102	28.1	42.9
103	28.1	42.9
104	34.9	42.9
105	34.8	42.9
106	33.4	42.9
107	32.0	42.7
108	30.8	42.7
109	30.1	42.7
110	29.6	42.7
111	29.4	42.7
112	30.0	42.7
113	30.8	42.7
114	31.3	42.7
115	31.8	42.5
116	32.4	42.5
117	32.9	42.5
118	33.6	42.5
119	33.9	42.4
120	34.9	42.3
121	28.2	42.3
122	29.1	42.3
123	30.0	42.2
124	30.5	42.2
125	30.8	42.2
126	31.2	42.2
127	31.5	42.0
128	38.7	42.0
129	38.7	42.0
130	37.7	41.8
131	36.7	41.8
132	36.0	41.7
133	35.5	41.7
134	35.3	41.7
135	35.3	41.6
136	35.6	41.6
137	36.5	41.6
138	36.8	41.5
139	37.4	41.5
140	37.7	41.5
141	38.2	41.5
142	38.7	41.5
143	39.1	41.5
144	39.6	41.5
145	32.7	41.3
146	32.9	41.3
147	32.9	41.3
148	32.9	41.3
149	32.9	41.1
150	32.9	41.1
151	32.9	41.1
152	39.8	41.1
153	39.2	41.1
154	36.0	41.1
155	33.0	41.0
156	30.5	41.0
157	28.6	41.0
158	27.5	41.0
159	27.7	41.0
160	29.1	41.0
161	31.0	41.0
162	31.5	41.0
163	32.0	41.0
164	32.5	41.0
165	33.0	40.9
166	33.6	40.9
167	34.3	40.8
168	34.8	40.8
169	28.9	40.8
170	29.6	40.8
171	30.5	40.8
172	31.0	40.8
173	31.5	40.8
174	32.0	40.6
175	32.4	40.6
176	39.6	40.6
177	39.6	40.6
178	38.4	40.6
179	37.9	40.6
180	38.0	40.6
181	38.0	40.5
182	36.5	40.5
183	35.8	40.5
184	35.6	40.5
185	36.5	40.5
186	37.2	40.5
187	37.9	40.4
188	38.4	40.4
189	39.1	40.4
190	39.6	40.4
191	40.3	40.3
192	41.0	40.3
193	34.4	40.2
194	34.8	40.2
195	35.1	40.2
196	35.3	40.2
197	35.5	40.2
198	35.8	40.1
199	36.0	40.1
200	42.9	40.1
201	42.7	40.1
202	41.3	40.1
203	40.1	40.1
204	39.1	39.9
205	38.4	39.9
206	38.2	39.9
207	38.0	39.9
208	38.6	39.9
209	39.6	39.8
210	39.8	39.8
211	39.9	39.8
212	40.5	39.8
213	40.5	39.7
214	40.5	39.7
215	40.6	39.7
216	41.0	39.7
217	34.1	39.6
218	34.1	39.6
219	34.3	39.6
220	34.3	39.6
221	34.3	39.6
222	34.3	39.6
223	34.3	39.6
224	41.1	39.6
225	41.0	39.6
226	39.6	39.6
227	38.2	39.5
228	37.2	39.5
229	36.7	39.5
230	36.1	39.4
231	36.1	39.4
232	36.5	39.4
233	37.4	39.4
234	37.7	39.4
235	38.0	39.2
236	38.7	39.2
237	38.2	39.2
238	38.6	39.2
239	38.7	39.2
240	38.9	39.2
241	32.4	39.2
242	32.5	39.2
243	32.7	39.1
244	32.9	39.1
245	32.9	39.1
246	32.9	39.1
247	32.9	39.1
248	39.9	39.1
249	39.6	39.1
250	37.2	39.0
251	34.9	39.0
252	32.9	39.0
253	31.5	39.0
254	30.6	39.0
255	30.5	38.9
256	31.2	38.9
257	32.5	38.9
258	33.6	38.9
259	34.6	38.9
260	35.5	38.9
261	36.5	38.8
262	37.5	38.8
263	38.6	38.8
264	39.4	38.8
265	34.4	38.8
266	36.8	38.8
267	39.1	38.7
268	40.5	38.7
269	41.7	38.7
270	43.0	38.7
271	44.1	38.7
272	52.0	38.7
273	51.8	38.7
274	50.6	38.7
275	49.4	38.7
276	47.9	38.7
277	47.3	38.7
