# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.1	75.7
2	17.3	75.2
3	18.5	74.5
4	19.0	73.8
5	19.5	73.3
6	19.9	72.6
7	20.2	72.6
8	30.0	72.3
9	29.5	71.8
10	26.2	71.3
11	23.1	70.6
12	20.4	69.2
13	18.7	68.9
14	17.8	68.9
15	17.8	68.7
16	19.0	68.5
17	20.7	68.0
18	22.3	67.5
19	23.8	67.3
20	25.2	66.8
21	26.7	66.8
22	28.1	66.8
23	29.8	66.8
24	31.2	66.8
25	24.5	66.5
26	27.9	66.1
27	31.0	66.1
28	32.9	66.0
29	34.6	65.8
30	36.5	65.8
31	37.7	65.6
32	48.8	65.6
33	48.8	65.6
34	44.4	65.3
35	40.8	65.1
36	37.5	65.1
37	35.6	65.1
38	34.6	65.1
39	34.6	65.1
40	36.5	65.1
41	39.6	64.9
42	40.8	64.6
43	42.0	64.6
44	43.2	64.4
45	44.2	64.3
46	45.4	64.1
47	46.6	64.1
48	47.8	63.9
49	38.0	63.9
50	37.5	63.8
51	37.0	63.8
52	36.8	63.7
53	36.5	63.7
54	36.3	63.4
55	36.0	63.4
56	45.4	63.2
57	44.9	63.2
58	41.1	63.1
59	37.7	63.0
60	35.6	63.0
61	33.9	62.9
62	32.9	62.9
63	32.9	62.9
64	33.9	62.9
65	35.8	62.7
66	36.5	62.7
67	37.0	62.6
68	37.5	62.6
69	38.0	62.4
70	38.7	62.2
71	39.2	62.2
72	39.6	62.2
73	31.0	62.0
74	32.7	61.9
75	33.6	61.9
76	34.1	61.7
77	34.8	61.7
78	35.3	61.7
79	35.8	61.6
80	45.9	61.5
81	45.9	61.3
82	44.7	61.2
83	43.7	61.0
84	43.2	61.0
85	43.0	60.9
86	42.8	60.7
87	43.0	60.7
88	43.5	60.7
89	44.2	60.5
90	44.9	60.5
91	45.4	60.5
92	46.1	60.4
93	46.6	60.3
94	47.3	60.2
95	48.0	60.1
96	49.5	60.1
97	39.2	60.1
98	39.2	59.8
99	39.2	59.8
100	39.4	59.8
101	39.2	59.8
102	39.2	59.7
103	39.2	59.7
104	48.8	59.7
105	48.5	59.6
