# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	16.5	77.6
2	17.7	77.1
3	19.0	76.3
4	19.5	75.6
5	19.9	75.1
6	20.4	74.4
7	20.7	74.4
8	30.8	74.1
9	30.3	73.6
10	26.8	73.1
11	23.6	72.4
12	20.9	70.9
13	19.2	70.7
14	18.2	70.7
15	18.2	70.4
16	19.5	70.2
17	21.2	69.7
18	22.9	69.2
19	24.4	69.0
20	25.9	68.5
21	27.3	68.5
22	28.8	68.4
23	30.5	68.4
24	32.0	68.4
25	25.1	68.2
26	28.6	68.0
27	31.8	67.7
28	33.7	67.7
29	35.5	67.7
30	37.4	67.5
31	38.7	67.4
32	50.0	67.2
33	50.0	67.2
34	45.6	67.2
35	41.9	67.0
36	38.4	66.7
37	36.4	66.7
38	35.5	66.7
39	35.5	66.7
40	37.4	66.7
41	40.6	66.7
42	41.9	66.6
43	43.1	66.6
44	44.3	66.5
45	45.3	66.2
46	46.5	66.2
47	47.8	66.0
48	49.0	65.7
49	38.9	65.7
50	38.4	65.5
51	37.9	65.5
52	37.7	65.4
53	37.4	65.4
54	37.2	65.3
55	36.9	65.3
56	46.5	65.2
57	46.1	64.9
58	42.1	64.9
59	38.7	64.8
60	36.4	64.8
61	34.7	64.7
62	33.7	64.5
63	33.7	64.5
64	34.7	64.4
65	36.7	64.4
66	37.4	64.3
67	37.9	64.3
68	38.4	64.2
69	38.9	64.2
70	39.6	64.0
71	40.1	63.9
72	40.6	63.8
73	31.8	63.8
74	33.5	63.8
75	34.5	63.5
76	35.0	63.4
77	35.7	63.4
78	36.2	63.3
79	36.7	63.2
80	47.0	63.2
81	47.0	63.1
82	45.8	63.0
83	44.8	62.8
84	44.3	62.7
85	44.1	62.6
86	43.8	62.6
87	44.1	62.6
88	44.6	62.5
89	45.3	62.2
90	46.1	62.2
91	46.5	62.2
92	47.3	62.1
93	47.8	62.1
94	48.5	62.0
95	49.3	61.8
96	50.7	61.7
