# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	20.9	58.0
2	21.8	57.7
3	22.7	57.3
4	23.0	57.1
5	23.4	56.8
6	23.7	56.6
7	23.9	56.2
8	24.1	55.7
9	23.7	55.7
10	21.2	55.5
11	18.9	55.2
12	17.0	54.8
13	15.7	54.8
14	15.0	54.6
15	15.0	54.3
16	15.9	53.9
17	17.1	53.6
18	18.4	53.2
19	19.5	53.2
20	20.5	53.0
21	21.6	52.8
22	22.7	52.7
23	23.9	52.7
24	25.0	52.6
25	27.1	52.5
26	29.6	52.4
27	32.0	52.3
28	33.4	52.3
29	34.6	52.2
30	36.1	52.1
31	37.0	52.1
32	38.0	51.9
33	38.0	51.9
34	34.8	51.8
35	32.1	51.8
36	29.6	51.5
37	28.2	51.5
38	27.5	51.4
39	27.5	51.4
40	28.9	51.4
41	31.2	51.2
42	32.1	51.1
43	33.0	51.0
44	33.9	51.0
45	34.6	51.0
46	35.5	50.9
47	36.4	50.9
48	37.3	50.9
49	37.1	50.9
50	36.8	50.9
51	36.4	50.7
52	36.2	50.6
53	36.1	50.6
54	35.9	50.5
55	35.7	50.5
56	35.5	50.5
57	35.2	50.5
58	32.3	50.4
59	29.8	50.4
60	28.2	50.4
61	27.0	50.4
62	26.2	50.3
63	26.2	50.3
64	27.0	50.2
65	28.4	50.2
66	28.9	50.2
67	29.3	50.2
68	29.6	50.2
69	30.0	50.2
70	30.5	50.2
71	30.9	50.1
72	31.2	50.0
73	32.0	49.9
74	33.2	49.9
75	33.9	49.9
76	34.3	49.8
77	34.8	49.8
78	35.2	49.8
79	35.5	49.7
80	35.9	49.7
81	35.9	49.7
82	35.0	49.7
83	34.3	49.6
84	33.9	49.6
85	33.7	49.6
86	33.6	49.5
87	33.7	49.5
88	34.1	49.5
89	34.6	49.3
90	35.2	49.3
91	35.5	49.3
92	36.1	49.3
93	36.4	49.2
94	37.0	49.1
95	37.5	49.1
96	38.6	49.0
97	38.0	49.0
98	38.0	48.8
99	38.0	48.8
100	38.2	48.8
101	38.0	48.8
102	38.0	48.7
103	38.0	48.7
104	38.0	48.6
105	37.8	48.6
106	36.4	48.6
107	35.0	48.6
108	33.7	48.5
109	33.0	48.5
110	32.5	48.5
111	32.3	48.5
112	32.8	48.5
113	33.7	48.4
114	34.3	48.4
115	34.8	48.4
116	35.3	48.3
117	35.9	48.3
118	36.6	48.3
119	37.0	48.3
120	38.0	48.3
121	38.2	48.1
122	39.1	48.1
123	40.0	48.0
124	40.5	48.0
125	40.9	48.0
126	41.2	47.9
127	41.6	47.9
128	42.0	47.9
129	42.0	47.8
130	40.9	47.8
131	39.8	47.7
132	39.1	47.7
133	38.6	47.6
134	38.4	47.6
135	38.4	47.5
136	38.7	47.4
137	39.6	47.4
138	40.0	47.4
139	40.5	47.3
140	40.9	47.2
141	41.4	47.2
142	42.0	47.1
143	42.3	47.1
144	42.8	47.1
145	42.8	47.1
146	43.0	47.1
147	43.0	47.0
148	43.0	46.8
149	43.0	46.8
150	43.0	46.7
151	43.0	46.7
152	43.0	46.7
153	42.5	46.6
154	39.1	46.6
155	36.1	46.5
156	33.4	46.5
157	31.4	46.5
158	30.3	46.4
159	30.5	46.4
160	32.0	46.3
161	33.9	46.2
162	34.5	46.2
163	35.0	46.2
164	35.5	46.2
165	36.1	46.2
166	36.6	46.2
167	37.3	46.2
168	37.8	46.1
169	38.9	46.1
170	39.6	46.1
171	40.5	46.1
172	41.1	46.1
173	41.6	46.0
174	42.1	45.9
175	42.5	45.9
176	42.8	45.8
177	42.8	45.8
178	41.6	45.7
179	41.1	45.7
180	41.2	45.7
181	41.2	45.6
182	39.6	45.6
183	38.9	45.6
184	38.7	45.6
185	39.6	45.5
186	40.3	45.5
187	41.1	45.5
188	41.6	45.4
189	42.3	45.4
190	42.8	45.4
191	43.6	45.4
192	44.3	45.4
193	44.6	45.4
194	45.0	45.4
195	45.3	45.4
196	45.5	45.4
197	45.7	45.3
198	46.1	45.2
199	46.2	45.2
200	46.2	45.2
201	46.1	45.2
202	44.6	45.2
203	43.4	45.2
204	42.3	45.1
205	41.6	45.1
206	41.4	45.0
207	41.2	45.0
208	41.8	45.0
209	42.8	44.9
210	43.0	44.9
211	43.2	44.9
212	43.7	44.9
213	43.7	44.8
214	43.7	44.8
215	43.9	44.8
216	44.3	44.8
217	44.3	44.7
218	44.3	44.7
219	44.5	44.7
220	44.5	44.7
221	44.5	44.6
222	44.5	44.6
223	44.5	44.6
224	44.5	44.6
225	44.3	44.5
226	42.8	44.5
227	41.4	44.5
228	40.3	44.5
229	39.8	44.5
230	39.3	44.5
231	39.3	44.5
232	39.6	44.5
233	40.5	44.5
234	40.9	44.5
235	41.2	44.3
236	42.0	44.3
237	41.4	44.3
238	41.8	44.3
239	42.0	44.3
240	42.1	44.3
241	42.5	44.3
242	42.7	44.3
243	42.8	44.3
244	43.0	44.3
245	43.0	44.3
246	43.0	44.3
247	43.0	44.3
248	43.2	44.3
249	42.8	44.3
250	40.3	44.3
251	38.0	44.2
252	35.9	44.2
253	34.5	44.2
254	33.6	44.2
255	33.4	44.2
256	34.1	44.1
257	35.5	44.1
258	36.6	44.0
259	37.7	44.0
260	38.6	43.9
261	39.6	43.9
262	40.7	43.9
263	41.8	43.9
264	42.7	43.9
265	44.6	43.9
266	47.1	43.9
267	49.5	43.8
268	50.9	43.8
269	52.1	43.8
270	53.6	43.8
271	54.6	43.8
272	55.7	43.7
273	55.5	43.7
274	54.3	43.7
275	53.0	43.7
276	51.4	43.7
277	50.9	43.6
278	51.8	43.6
279	52.3	43.6
280	53.2	43.6
281	54.8	43.6
282	55.2	43.5
283	55.7	43.4
284	56.2	43.4
285	56.6	43.4
286	57.1	43.4
287	57.7	43.4
288	58.0	43.4
289	57.3	43.4
290	56.8	43.4
291	54.8	43.4
292	53.9	43.4
293	53.2	43.3
294	52.5	43.3
295	51.9	43.3
296	51.4	43.2
297	50.9	43.2
298	48.6	43.2
299	46.4	43.2
300	44.8	43.1
301	43.6	43.1
302	43.0	43.1
303	42.8	43.1
304	43.4	43.1
305	44.5	43.0
306	44.3	43.0
307	44.3	43.0
308	44.3	43.0
309	44.3	43.0
310	44.5	43.0
311	44.1	43.0
312	44.1	43.0
313	44.8	43.0
314	45.5	43.0
315	46.2	43.0
316	46.6	43.0
317	47.1	43.0
318	47.5	43.0
319	47.8	42.9
320	48.0	42.9
321	48.0	42.9
322	47.1	42.9
323	45.7	42.9
324	44.8	42.9
325	44.3	42.9
326	43.9	42.9
327	43.9	42.9
328	44.3	42.8
329	45.0	42.8
330	45.9	42.8
331	46.4	42.8
332	47.1	42.8
333	47.8	42.8
334	48.4	42.8
335	49.1	42.8
336	49.8	42.8
337	50.9	42.8
338	50.9	42.8
339	51.4	42.7
340	51.8	42.7
341	52.1	42.7
342	52.3	42.7
343	52.7	42.7
344	52.8	42.7
345	52.7	42.7
346	51.2	42.7
347	50.2	42.6
348	49.3	42.6
349	48.6	42.5
350	48.4	42.5
351	48.7	42.5
352	49.3	42.5
353	50.0	42.5
354	50.2	42.5
355	50.2	42.4
356	50.3	42.4
357	50.5	42.4
358	50.5	42.4
359	50.5	42.4
360	50.7	42.3
361	50.5	42.3
362	50.3	42.3
363	50.2	42.3
364	49.8	42.3
365	49.6	42.2
366	49.5	42.2
367	49.3	42.2
368	49.1	42.2
369	48.7	42.2
370	48.0	42.1
371	47.3	42.1
372	46.8	42.1
373	46.2	42.0
374	42.0	42.0
375	39.6	42.0
376	38.9	42.0
377	40.3	42.0
378	40.7	42.0
379	40.9	42.0
380	41.2	42.0
381	41.6	41.9
382	41.8	41.9
383	42.1	41.8
384	42.3	41.8
385	43.2	41.8
386	43.9	41.8
387	44.8	41.8
388	45.2	41.8
389	45.5	41.8
390	46.1	41.8
391	46.2	41.8
392	46.6	41.8
393	46.2	41.7
394	41.4	41.7
395	37.0	41.7
396	33.0	41.7
397	30.5	41.7
398	29.3	41.7
399	29.3	41.6
400	31.1	41.6
401	34.3	41.6
402	34.6	41.6
403	35.2	41.6
404	35.5	41.6
405	36.1	41.5
406	36.4	41.5
407	37.0	41.5
408	37.3	41.5
409	37.7	41.5
410	37.8	41.5
411	38.2	41.5
412	38.2	41.5
413	38.4	41.4
414	38.4	41.4
415	38.4	41.4
416	38.6	41.4
417	38.2	41.4
418	37.7	41.4
419	37.0	41.4
420	36.4	41.3
421	35.7	41.2
422	31.1	41.2
423	28.7	41.2
424	28.0	41.2
425	29.6	41.2
426	30.0	41.2
427	30.3	41.2
428	30.7	41.2
429	30.9	41.2
430	31.2	41.1
431	31.6	41.1
432	32.0	41.1
433	32.5	41.1
434	33.0	41.1
435	33.6	41.1
436	33.7	41.1
437	33.9	41.1
438	34.3	41.1
439	34.3	41.0
440	34.5	41.0
441	34.3	41.0
442	33.7	40.9
443	33.4	40.9
444	32.8	40.9
445	32.7	40.9
446	28.6	40.9
447	25.9	40.9
448	24.8	40.9
449	26.2	40.9
450	26.8	40.9
451	27.5	40.9
452	28.0	40.9
453	28.7	40.9
454	29.5	40.9
455	30.0	40.9
456	30.7	40.9
457	31.4	40.8
458	32.3	40.8
459	33.2	40.8
460	33.7	40.8
461	34.3	40.8
462	34.8	40.8
463	35.0	40.7
464	35.3	40.7
465	35.2	40.7
466	34.6	40.7
467	34.5	40.7
468	33.9	40.7
469	33.6	40.7
470	30.2	40.6
471	28.7	40.6
472	28.4	40.6
473	29.6	40.6
474	30.0	40.6
475	30.2	40.6
476	30.5	40.6
477	30.9	40.5
478	31.1	40.5
479	31.4	40.5
480	31.6	40.5
481	31.6	40.5
482	31.6	40.5
483	31.4	40.5
484	31.4	40.5
485	31.2	40.4
486	31.2	40.4
487	31.1	40.4
488	31.1	40.4
489	30.7	40.4
490	27.7	40.4
491	24.8	40.3
492	22.1	40.3
493	20.0	40.3
494	18.6	40.3
495	18.4	40.3
496	19.3	40.3
497	21.2	40.3
498	21.8	40.3
499	22.5	40.2
500	23.0	40.2
501	23.7	40.2
502	24.5	40.2
503	25.0	40.2
504	25.7	40.2
505	26.8	40.2
506	27.7	40.2
507	28.7	40.1
508	29.1	40.1
509	29.6	40.1
510	30.0	40.1
511	30.3	40.1
512	30.5	40.0
513	30.2	40.0
514	26.8	40.0
515	24.1	40.0
516	21.1	40.0
517	19.1	40.0
518	16.6	40.0
519	15.5	39.9
520	15.7	39.9
521	18.0	39.9
522	19.6	39.9
523	21.1	39.9
524	22.7	39.9
525	24.3	39.9
526	25.7	39.8
527	27.3	39.8
528	28.7	39.8
529	30.5	39.8
530	32.5	39.7
531	34.3	39.7
532	35.3	39.7
533	36.2	39.7
534	37.3	39.7
535	37.8	39.7
536	38.6	39.7
537	37.5	39.7
538	31.8	39.7
539	26.8	39.7
540	23.0	39.6
541	20.2	39.6
542	18.6	39.6
543	18.4	39.6
544	19.8	39.6
545	23.4	39.6
546	25.5	39.6
547	27.7	39.5
548	29.8	39.5
549	32.0	39.5
550	34.1	39.5
551	36.2	39.5
552	38.4	39.5
553	40.3	39.5
554	42.5	39.5
555	44.6	39.5
556	45.9	39.5
557	47.1	39.5
558	48.4	39.4
559	49.3	39.4
560	50.2	39.4
561	49.8	39.4
562	46.2	39.4
563	42.7	39.4
564	40.3	39.4
565	39.1	39.4
566	37.3	39.4
567	36.8	39.4
568	37.1	39.4
569	39.8	39.4
570	40.3	39.4
571	40.9	39.4
572	41.2	39.3
573	41.8	39.3
574	42.3	39.3
575	42.8	39.3
576	43.4	39.3
577	42.7	39.3
578	42.0	39.3
579	41.2	39.3
580	40.7	39.3
581	40.3	39.3
582	39.8	39.2
583	39.5	39.2
584	39.3	39.2
585	38.7	39.2
586	37.3	39.2
587	37.7	39.2
588	35.5	39.2
589	34.3	39.2
590	33.9	39.2
591	34.1	39.2
592	33.7	39.2
593	35.0	39.2
594	35.2	39.1
595	35.0	39.1
596	34.8	39.1
597	34.8	39.1
598	34.8	39.1
599	34.6	39.1
600	34.5	39.0
601	35.0	39.0
602	35.3	39.0
603	35.7	39.0
604	35.9	39.0
605	36.1	39.0
606	36.2	39.0
607	36.4	39.0
608	36.4	39.0
609	34.8	39.0
610	30.7	39.0
611	28.6	39.0
612	26.6	38.9
613	22.7	38.9
614	20.0	38.9
615	18.4	38.9
616	18.2	38.9
617	20.2	38.9
618	23.0	38.9
619	23.6	38.9
620	23.9	38.9
621	24.5	38.9
622	25.0	38.9
623	25.5	38.9
624	26.1	38.9
625	26.6	38.8
626	27.3	38.8
627	28.0	38.8
628	28.4	38.8
629	28.7	38.8
630	29.1	38.8
631	29.3	38.8
632	29.6	38.7
633	29.5	38.7
634	28.9	38.7
635	28.4	38.7
636	28.2	38.7
637	27.8	38.7
638	28.7	38.6
639	27.7	38.6
640	28.4	38.6
641	28.4	38.6
642	28.7	38.6
