# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	5.4	25.4
2	5.8	25.2
3	6.2	25.0
4	6.4	24.8
5	6.5	24.6
6	6.7	24.4
7	6.8	24.4
8	10.1	24.3
9	9.9	24.1
10	8.8	24.0
11	7.7	23.7
12	6.9	23.2
13	6.3	23.2
14	6.0	23.1
15	6.0	23.1
16	6.4	23.0
17	6.9	22.8
18	7.5	22.6
19	8.0	22.6
20	8.5	22.4
21	9.0	22.4
22	9.4	22.4
23	10.0	22.4
24	10.5	22.4
25	8.2	22.3
26	9.4	22.3
27	10.4	22.2
28	11.1	22.2
29	11.6	22.1
30	12.3	22.1
31	12.7	22.1
32	16.4	22.0
33	16.4	22.0
34	14.9	22.0
35	13.7	21.9
36	12.6	21.9
37	11.9	21.9
38	11.6	21.9
39	11.6	21.9
40	12.3	21.9
41	13.3	21.8
42	13.7	21.8
43	14.1	21.8
44	14.5	21.8
45	14.8	21.7
46	15.2	21.7
47	15.6	21.6
48	16.1	21.5
49	12.7	21.5
50	12.6	21.5
51	12.4	21.5
52	12.3	21.4
53	12.3	21.4
54	12.2	21.4
55	12.1	21.4
56	15.2	21.4
57	15.1	21.3
58	13.8	21.3
59	12.7	21.2
60	11.9	21.2
61	11.4	21.2
62	11.1	21.1
63	11.1	21.1
64	11.4	21.1
65	12.0	21.1
66	12.3	21.1
67	12.4	21.1
68	12.6	21.0
69	12.7	21.0
70	13.0	21.0
71	13.1	20.9
72	13.3	20.9
73	10.4	20.9
74	11.0	20.9
75	11.3	20.8
76	11.5	20.8
77	11.7	20.8
78	11.9	20.7
79	12.0	20.7
80	15.4	20.7
81	15.4	20.7
82	15.0	20.7
83	14.7	20.6
84	14.5	20.5
85	14.4	20.5
86	14.4	20.5
87	14.4	20.5
88	14.6	20.4
89	14.8	20.4
90	15.1	20.4
91	15.2	20.4
92	15.5	20.3
93	15.6	20.3
94	15.9	20.3
95	16.1	20.2
96	16.6	20.2
97	13.1	20.2
98	13.1	20.2
99	13.1	20.2
100	13.2	20.1
101	13.1	20.1
102	13.1	20.1
103	13.1	20.1
104	16.4	20.1
105	16.3	20.0
106	15.6	20.0
107	15.0	20.0
108	14.4	20.0
109	14.1	19.9
110	13.9	19.9
111	13.8	19.9
112	14.0	19.9
113	14.4	19.9
114	14.7	19.9
115	14.9	19.9
116	15.2	19.9
117	15.4	19.9
118	15.7	19.9
119	15.9	19.9
120	16.4	19.9
121	13.2	19.8
122	13.6	19.8
123	14.0	19.8
124	14.3	19.8
125	14.4	19.8
126	14.6	19.7
127	14.8	19.7
128	18.2	19.7
129	18.2	19.6
130	17.7	19.6
131	17.2	19.6
132	16.9	19.6
133	16.6	19.6
134	16.5	19.5
135	16.5	19.5
136	16.7	19.5
137	17.1	19.5
138	17.3	19.5
139	17.5	19.5
140	17.7	19.4
141	17.9	19.4
142	18.2	19.4
143	18.3	19.4
144	18.6	19.4
145	15.3	19.4
146	15.4	19.4
147	15.4	19.4
148	15.4	19.4
149	15.4	19.3
150	15.4	19.3
151	15.4	19.3
152	18.6	19.3
153	18.4	19.3
154	16.9	19.3
155	15.5	19.2
156	14.3	19.2
157	13.4	19.2
158	12.9	19.2
159	13.0	19.2
160	13.6	19.2
161	14.5	19.2
162	14.8	19.2
163	15.0	19.2
164	15.2	19.2
165	15.5	19.2
166	15.7	19.2
167	16.1	19.2
168	16.3	19.2
169	13.6	19.2
170	13.9	19.2
171	14.3	19.2
172	14.5	19.1
173	14.8	19.1
174	15.0	19.1
175	15.2	19.1
176	18.6	19.1
177	18.6	19.1
178	18.0	19.1
179	17.7	19.1
180	17.8	19.1
181	17.8	19.0
182	17.1	19.0
183	16.8	19.0
184	16.7	19.0
185	17.1	19.0
186	17.4	19.0
187	17.7	19.0
188	18.0	19.0
189	18.3	19.0
190	18.6	19.0
191	18.9	19.0
192	19.2	19.0
193	16.1	19.0
194	16.3	19.0
195	16.5	19.0
196	16.5	19.0
197	16.6	18.9
198	16.8	18.9
199	16.9	18.9
200	20.1	18.9
201	20.0	18.9
202	19.4	18.9
203	18.8	18.9
204	18.3	18.9
205	18.0	18.9
206	17.9	18.9
207	17.8	18.8
208	18.1	18.8
209	18.6	18.8
210	18.6	18.8
211	18.7	18.8
212	19.0	18.8
213	19.0	18.8
214	19.0	18.8
215	19.0	18.8
216	19.2	18.8
217	16.0	18.8
218	16.0	18.7
219	16.1	18.7
220	16.1	18.7
221	16.1	18.7
222	16.1	18.7
223	16.1	18.7
224	19.3	18.7
225	19.2	18.7
226	18.6	18.6
227	17.9	18.6
228	17.4	18.6
