# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	21.1	99.2
2	22.7	98.6
3	24.3	97.7
4	24.9	96.7
5	25.5	96.1
6	26.1	95.1
7	26.5	95.1
8	39.4	94.8
9	38.7	94.2
10	34.3	93.6
11	30.2	92.6
12	26.8	90.7
13	24.6	90.4
14	23.3	90.1
15	23.3	90.0
16	24.9	89.8
17	27.1	89.1
18	29.3	88.2
19	31.2	88.1
20	33.1	87.6
21	35.0	87.6
22	36.9	87.3
23	39.1	87.3
24	41.0	87.1
25	32.1	87.1
26	36.5	87.1
27	40.6	86.6
28	43.2	86.6
29	45.4	86.3
30	47.9	86.2
31	49.5	86.0
32	63.9	86.0
33	63.9	86.0
34	58.3	85.9
35	53.6	85.7
36	49.1	85.6
37	46.6	85.6
38	45.4	85.4
39	45.4	85.4
40	47.9	85.4
41	52.0	85.4
42	53.6	85.4
43	55.1	85.1
44	56.7	84.9
45	58.0	84.7
46	59.5	84.7
47	61.1	84.4
48	62.7	83.8
49	49.8	83.8
50	49.1	83.8
51	48.5	83.7
52	48.2	83.7
53	47.9	83.5
54	47.6	83.5
55	47.3	83.3
56	59.5	83.3
57	58.9	82.8
58	53.9	82.8
59	49.5	82.7
60	46.6	82.7
61	44.4	82.5
62	43.2	82.5
63	43.2	82.4
64	44.4	82.3
65	46.9	82.2
66	47.9	82.2
67	48.5	82.1
68	49.1	82.1
69	49.8	81.8
70	50.7	81.8
71	51.3	81.6
72	52.0	81.6
73	40.6	81.6
74	42.8	81.4
75	44.1	81.3
76	44.7	81.1
77	45.7	81.0
78	46.3	80.8
79	46.9	80.8
80	60.2	80.6
81	60.2	80.5
82	58.6	80.5
83	57.3	80.5
84	56.7	80.3
85	56.4	80.0
86	56.1	80.0
87	56.4	79.9
88	57.0	79.5
89	58.0	79.4
90	58.9	79.4
91	59.5	79.2
92	60.5	79.2
93	61.1	79.2
94	62.1	79.1
95	63.0	78.9
96	64.9	78.8
97	51.3	78.8
98	51.3	78.8
99	51.3	78.7
100	51.7	78.6
101	51.3	78.4
102	51.3	78.4
103	51.3	78.4
104	63.9	78.4
105	63.6	78.1
106	61.1	78.1
107	58.6	78.1
108	56.4	78.0
109	55.1	78.0
110	54.2	77.8
111	53.9	77.6
112	54.8	77.6
113	56.4	77.6
114	57.3	77.6
115	58.3	77.5
116	59.2	77.3
117	60.2	77.3
118	61.4	77.3
119	62.1	77.3
120	63.9	77.3
121	51.7	77.3
122	53.2	77.2
123	54.8	77.0
124	55.8	77.0
125	56.4	77.0
126	57.0	76.9
127	57.6	76.9
128	70.9	76.7
129	70.9	76.7
130	69.0	76.6
