# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	20.9	98.4
2	22.5	97.8
3	24.1	96.9
4	24.7	95.9
5	25.3	95.3
6	25.9	94.4
7	26.2	94.4
8	39.1	94.0
9	38.4	93.4
10	34.1	92.8
11	30.0	91.9
12	26.6	90.0
13	24.4	89.7
14	23.1	89.6
15	23.1	89.4
16	24.7	89.0
17	26.9	88.4
18	29.1	87.7
19	30.9	87.5
20	32.8	86.9
21	34.7	86.9
22	36.6	86.7
23	38.7	86.7
24	40.6	86.7
25	31.9	86.5
26	36.2	85.9
27	40.3	85.9
28	42.8	85.9
29	45.0	85.8
30	47.5	85.6
31	49.1	85.5
32	63.4	85.3
33	63.4	85.3
34	57.8	85.3
35	53.1	85.0
36	48.7	84.7
37	46.2	84.7
38	45.0	84.7
39	45.0	84.7
40	47.5	84.7
41	51.6	84.5
42	53.1	84.4
43	54.7	84.1
44	56.2	84.1
45	57.5	84.1
46	59.1	84.1
47	60.6	83.7
48	62.2	83.2
49	49.4	83.2
50	48.7	83.1
51	48.1	83.1
52	47.8	82.9
53	47.5	82.9
54	47.2	82.8
55	46.9	82.8
56	59.1	82.3
57	58.4	82.3
58	53.4	82.3
59	49.1	82.2
60	46.2	82.2
61	44.1	82.0
62	42.8	81.9
63	42.8	81.9
64	44.1	81.7
65	46.6	81.7
66	47.5	81.6
67	48.1	81.6
68	48.7	81.4
69	49.4	81.4
70	50.3	81.0
71	50.9	80.9
72	51.6	80.9
73	40.3	80.9
74	42.5	80.9
75	43.7	80.6
76	44.4	80.4
77	45.3	80.4
78	45.9	80.3
79	46.6	80.1
80	59.7	80.1
81	59.7	80.0
82	58.1	79.7
83	56.9	79.7
84	56.2	79.5
85	55.9	79.4
86	55.6	79.4
87	55.9	79.1
88	56.6	79.1
89	57.5	78.8
90	58.4	78.8
91	59.1	78.8
92	60.0	78.7
93	60.6	78.7
94	61.6	78.5
95	62.5	78.4
96	64.4	78.2
97	50.9	78.1
98	50.9	78.1
99	50.9	78.1
100	51.2	77.8
101	50.9	77.8
102	50.9	77.8
103	50.9	77.8
104	63.4	77.6
105	63.1	77.6
106	60.6	77.5
107	58.1	77.5
108	55.9	77.4
109	54.7	77.3
110	53.7	77.3
111	53.4	77.3
112	54.4	77.3
113	55.9	77.2
114	56.9	76.9
115	57.8	76.9
116	58.7	76.9
117	59.7	76.9
118	60.9	76.9
119	61.6	76.9
120	63.4	76.9
121	51.2	76.8
122	52.8	76.6
123	54.4	76.6
124	55.3	76.6
125	55.9	76.6
126	56.6	76.3
127	57.2	76.3
128	70.3	76.2
129	70.3	76.0
130	68.4	76.0
131	66.6	76.0
132	65.3	75.9
133	64.4	75.7
134	64.1	75.7
135	64.1	75.6
136	64.7	75.6
137	66.2	75.6
138	66.9	75.6
139	67.8	75.3
140	68.4	75.3
141	69.4	75.3
142	70.3	75.3
143	70.9	75.0
144	71.9	75.0
145	59.4	75.0
146	59.7	75.0
147	59.7	75.0
148	59.7	74.7
149	59.7	74.7
150	59.7	74.7
151	59.7	74.7
152	72.2	74.7
153	71.2	74.7
154	65.3	74.7
155	60.0	74.4
156	55.3	74.4
157	51.9	74.4
158	50.0	74.4
159	50.3	74.4
160	52.8	74.4
161	56.2	74.4
162	57.2	74.4
163	58.1	74.4
164	59.1	74.4
165	60.0	74.4
166	60.9	74.4
167	62.2	74.1
168	63.1	74.1
169	52.5	74.1
170	53.7	74.1
171	55.3	74.1
172	56.2	74.1
173	57.2	74.1
174	58.1	73.8
175	58.7	73.8
176	71.9	73.8
177	71.9	73.8
178	69.7	73.8
179	68.7	73.7
180	69.1	73.7
181	69.1	73.7
182	66.2	73.5
183	65.0	73.5
184	64.7	73.5
185	66.2	73.5
186	67.5	73.5
187	68.7	73.5
188	69.7	73.5
189	70.9	73.4
190	71.9	73.4
191	73.1	73.4
192	74.4	73.4
193	62.5	73.4
194	63.1	73.4
195	63.7	73.3
196	64.1	73.3
197	64.4	73.2
198	65.0	73.2
199	65.3	73.2
200	77.8	73.1
201	77.5	73.1
202	75.0	73.0
203	72.8	73.0
204	70.9	73.0
205	69.7	72.8
206	69.4	72.8
207	69.1	72.8
208	70.0	72.8
209	71.9	72.8
210	72.2	72.8
211	72.5	72.8
212	73.4	72.8
213	73.4	72.7
214	73.4	72.7
215	73.7	72.5
216	74.4	72.5
217	61.9	72.5
218	61.9	72.5
219	62.2	72.5
220	62.2	72.5
221	62.2	72.5
222	62.2	72.4
223	62.2	72.4
224	74.7	72.4
225	74.4	72.2
226	71.9	72.2
227	69.4	72.2
228	67.5	72.2
229	66.6	72.2
230	65.6	72.2
231	65.6	72.1
232	66.2	71.9
233	67.8	71.9
234	68.4	71.9
235	69.1	71.9
236	70.3	71.9
237	69.4	71.9
238	70.0	71.9
239	70.3	71.9
240	70.6	71.9
241	58.7	71.9
242	59.1	71.9
243	59.4	71.8
244	59.7	71.8
245	59.7	71.6
246	59.7	71.6
247	59.7	71.6
248	72.5	71.6
249	71.9	71.6
250	67.5	71.6
251	63.4	71.6
252	59.7	71.3
253	57.2	71.3
254	55.6	71.2
255	55.3	71.2
256	56.6	70.9
257	59.1	70.9
258	60.9	70.9
259	62.8	70.9
260	64.4	70.9
261	66.2	70.9
262	68.1	70.9
263	70.0	70.9
264	71.6	70.9
265	62.5	70.6
266	66.9	70.6
267	70.9	70.6
268	73.4	70.6
269	75.6	70.6
270	78.1	70.6
271	80.0	70.6
272	94.4	70.6
273	94.0	70.6
274	91.9	70.3
275	89.7	70.3
276	86.9	70.3
277	85.9	70.3
278	87.5	70.3
279	88.4	70.3
280	90.0	70.3
281	92.8	70.3
282	93.4	70.3
283	94.4	70.3
284	95.3	70.3
285	95.9	70.3
286	96.9	70.3
287	97.8	70.0
288	98.4	70.0
289	84.7	70.0
290	83.7	70.0
291	80.3	70.0
292	78.7	70.0
293	77.5	70.0
294	76.2	70.0
295	75.3	70.0
296	86.9	70.0
297	85.9	70.0
298	81.9	69.7
299	78.1	69.7
300	75.3	69.7
301	73.1	69.7
302	72.2	69.7
303	71.9	69.7
304	72.8	69.7
305	74.7	69.7
306	74.4	69.7
307	74.4	69.4
308	74.4	69.4
309	74.4	69.4
310	74.7	69.4
311	74.1	69.4
312	74.1	69.4
313	62.8	69.4
314	64.1	69.4
315	65.3	69.4
316	65.9	69.4
317	66.9	69.4
318	67.5	69.4
319	68.1	69.1
320	80.9	69.1
321	80.9	69.1
322	79.4	69.1
323	76.9	69.1
324	75.3	69.1
325	74.4	69.1
326	73.7	69.1
327	73.7	69.1
328	74.4	69.1
329	75.6	68.9
330	77.2	68.7
331	78.1	68.7
332	79.4	68.7
333	80.6	68.7
334	81.6	68.7
335	82.8	68.7
336	84.1	68.7
337	73.4	68.6
338	73.4	68.6
339	74.4	68.4
340	75.0	68.4
341	75.6	68.4
342	75.9	68.4
343	76.6	68.4
344	89.4	68.4
345	89.0	68.4
346	86.5	68.4
347	84.7	68.4
348	83.1	68.4
349	81.9	68.4
350	81.6	68.3
351	82.2	68.3
352	83.1	68.1
353	84.4	68.1
354	84.7	68.1
355	84.7	68.1
356	85.0	68.1
357	85.3	68.1
358	85.3	68.0
359	85.3	68.0
360	85.6	67.8
361	72.8	67.8
362	72.5	67.8
363	72.2	67.8
364	71.6	67.8
365	71.2	67.8
366	70.9	67.8
367	70.6	67.8
368	82.8	67.7
369	82.2	67.5
370	80.9	67.5
371	79.7	67.5
372	78.7	67.5
373	77.8	67.5
374	70.3	67.5
375	66.2	67.5
376	65.0	67.5
377	67.5	67.5
378	68.1	67.5
379	68.4	67.5
380	69.1	67.5
381	69.7	67.4
382	70.0	67.4
383	70.6	67.2
384	70.9	67.2
385	60.0	67.2
386	61.2	67.2
387	62.8	66.9
388	63.4	66.9
389	64.1	66.9
390	65.0	66.9
391	65.3	66.8
392	78.4	66.8
393	77.8	66.8
394	69.4	66.8
395	61.6	66.8
396	54.7	66.8
397	50.3	66.8
398	48.1	66.8
399	48.1	66.6
400	51.2	66.6
401	56.9	66.6
402	57.5	66.5
403	58.4	66.5
404	59.1	66.5
405	60.0	66.5
406	60.6	66.5
407	61.6	66.5
408	62.2	66.5
409	50.3	66.5
410	50.6	66.2
411	51.2	66.2
412	51.2	66.2
413	51.6	66.2
414	51.6	66.2
415	51.6	66.2
416	64.4	66.2
417	63.7	66.2
418	62.8	66.2
419	61.6	66.2
420	60.6	66.2
421	59.4	66.1
422	51.2	65.9
423	47.2	65.9
424	45.9	65.9
425	48.7	65.9
426	49.4	65.9
427	50.0	65.9
428	50.6	65.9
429	50.9	65.9
430	51.6	65.9
431	52.2	65.8
432	52.8	65.6
433	41.2	65.6
434	42.2	65.6
435	43.1	65.6
436	43.4	65.6
437	43.7	65.6
438	44.4	65.6
439	44.4	65.6
440	57.2	65.6
441	56.9	65.6
442	55.9	65.6
443	55.3	65.5
444	54.4	65.5
445	54.1	65.3
446	46.9	65.3
447	42.2	65.3
448	40.3	65.3
449	42.8	65.3
450	43.7	65.3
451	45.0	65.3
452	45.9	65.3
453	47.2	65.3
454	48.4	65.3
455	49.4	65.3
456	50.6	65.3
457	39.4	65.3
458	40.9	65.3
459	42.5	65.0
460	43.4	65.0
461	44.4	65.0
462	45.3	65.0
463	45.6	65.0
464	58.7	65.0
465	58.4	65.0
466	57.5	65.0
467	57.2	65.0
468	56.2	65.0
469	55.6	65.0
470	49.7	65.0
471	47.2	65.0
472	46.6	64.8
473	48.7	64.8
474	49.4	64.8
475	49.7	64.8
476	50.3	64.7
477	50.9	64.7
478	51.2	64.7
479	51.9	64.7
480	52.2	64.6
481	39.7	64.6
482	39.7	64.6
483	39.4	64.6
484	39.4	64.6
485	39.1	64.5
486	39.1	64.5
487	38.7	64.5
488	51.2	64.4
489	50.6	64.4
490	45.3	64.4
491	40.3	64.4
492	35.6	64.4
493	31.9	64.4
494	29.4	64.3
495	29.1	64.3
496	30.6	64.3
497	34.1	64.3
498	35.0	64.3
499	36.2	64.3
500	37.2	64.3
501	38.4	64.2
502	39.7	64.2
503	40.6	64.1
504	41.9	64.1
505	31.2	64.1
506	32.8	64.1
507	34.7	64.1
508	35.3	64.1
509	36.2	64.0
510	36.9	64.0
511	37.5	64.0
512	50.3	64.0
513	49.7	64.0
514	43.7	64.0
515	39.1	64.0
516	33.7	63.9
517	30.3	63.9
518	25.9	63.9
519	24.1	63.9
520	24.4	63.7
521	28.4	63.7
522	31.2	63.7
523	33.7	63.7
524	36.6	63.7
525	39.4	63.7
526	41.9	63.6
527	44.7	63.6
528	47.2	63.6
529	37.8	63.6
530	41.2	63.6
531	44.4	63.5
532	46.2	63.4
533	47.8	63.4
534	49.7	63.4
535	50.6	63.4
536	64.4	63.4
537	62.5	63.4
538	52.5	63.4
539	43.7	63.4
540	37.2	63.4
541	32.2	63.3
542	29.4	63.1
543	29.1	63.1
544	31.6	63.1
545	37.8	63.1
546	41.6	63.1
547	45.3	63.1
548	49.1	63.1
549	52.8	63.0
550	56.6	63.0
551	60.3	63.0
552	64.1	63.0
553	55.0	63.0
554	58.7	63.0
555	62.5	63.0
556	64.7	62.9
557	66.9	62.9
558	69.1	62.8
559	70.6	62.8
560	84.7	62.8
561	84.1	62.8
562	77.8	62.8
563	71.6	62.7
564	67.5	62.7
565	65.3	62.7
566	62.2	62.7
567	61.2	62.7
568	61.9	62.7
569	66.6	62.7
570	67.5	62.7
571	68.4	62.6
572	69.1	62.5
573	70.0	62.5
574	70.9	62.5
575	71.9	62.5
576	72.8	62.5
577	59.1	62.4
578	57.8	62.4
579	56.6	62.4
580	55.6	62.4
581	55.0	62.4
582	54.1	62.4
583	53.4	62.4
584	65.6	62.4
585	64.7	62.4
586	62.2	62.4
587	62.8	62.4
588	59.1	62.4
589	56.9	62.4
590	56.2	62.4
591	56.6	62.4
592	55.9	62.4
593	58.1	62.2
594	58.4	62.2
595	58.1	62.2
596	57.8	62.2
597	57.8	62.2
598	57.8	62.2
599	57.5	62.2
600	57.2	62.2
601	45.6	62.2
602	46.2	62.2
603	46.9	62.1
604	47.2	62.1
605	47.5	62.1
606	47.8	62.0
607	48.1	62.0
608	60.6	61.9
609	57.8	61.9
610	50.6	61.9
611	46.9	61.8
612	43.4	61.8
613	36.6	61.8
614	31.9	61.8
615	29.1	61.8
616	28.7	61.8
617	32.2	61.8
618	37.2	61.7
619	38.1	61.6
620	38.7	61.6
621	39.7	61.6
622	40.6	61.6
623	41.6	61.6
624	42.5	61.5
625	30.9	61.5
626	32.2	61.5
627	33.4	61.5
628	34.1	61.5
629	34.7	61.5
630	35.3	61.5
631	35.6	61.5
632	48.7	61.5
633	48.4	61.5
634	47.5	61.5
635	46.6	61.2
636	46.2	61.2
637	45.6	61.2
638	47.2	61.2
639	45.3	61.2
640	46.6	61.2
641	46.6	61.2
642	47.2	61.2
643	48.1	61.2
644	49.7	61.2
645	50.3	60.9
646	51.2	60.9
647	52.2	60.9
648	53.4	60.9
649	41.9	60.9
650	43.4	60.9
651	45.0	60.9
652	45.3	60.9
653	45.9	60.9
654	46.9	60.9
655	47.2	60.9
656	60.3	60.9
657	59.4	60.9
658	55.9	60.9
