# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	1.6	4.4
2	1.7	4.4
3	1.7	4.4
4	1.8	4.3
5	1.8	4.3
6	1.8	4.3
7	1.8	4.3
8	1.8	4.2
9	1.8	4.2
10	1.6	4.2
11	1.4	4.2
12	1.3	4.2
13	1.2	4.2
14	1.1	4.2
15	1.1	4.1
16	1.2	4.1
17	1.3	4.1
18	1.4	4.0
19	1.5	4.0
20	1.6	4.0
21	1.6	4.0
22	1.7	4.0
23	1.8	4.0
24	1.9	4.0
25	2.1	4.0
26	2.3	4.0
27	2.4	4.0
28	2.5	4.0
29	2.6	4.0
30	2.7	4.0
31	2.8	4.0
32	2.9	4.0
33	2.9	4.0
34	2.6	4.0
35	2.4	4.0
36	2.3	4.0
37	2.1	3.9
38	2.1	3.9
39	2.1	3.9
40	2.2	3.9
41	2.4	3.9
42	2.4	3.9
43	2.5	3.9
44	2.6	3.9
45	2.6	3.9
46	2.7	3.9
47	2.8	3.9
48	2.8	3.9
49	2.8	3.9
50	2.8	3.9
51	2.8	3.9
52	2.8	3.9
53	2.7	3.9
54	2.7	3.9
55	2.7	3.9
56	2.7	3.9
57	2.7	3.9
58	2.5	3.9
59	2.3	3.8
60	2.1	3.8
61	2.0	3.8
62	2.0	3.8
63	2.0	3.8
64	2.0	3.8
65	2.2	3.8
66	2.2	3.8
67	2.2	3.8
68	2.3	3.8
69	2.3	3.8
70	2.3	3.8
71	2.3	3.8
72	2.4	3.8
73	2.4	3.8
74	2.5	3.8
75	2.6	3.8
76	2.6	3.8
77	2.6	3.8
78	2.7	3.8
79	2.7	3.8
80	2.7	3.8
81	2.7	3.8
82	2.7	3.8
83	2.6	3.8
84	2.6	3.8
85	2.6	3.8
86	2.6	3.8
87	2.6	3.8
88	2.6	3.7
89	2.6	3.7
90	2.7	3.7
91	2.7	3.7
92	2.7	3.7
93	2.8	3.7
94	2.8	3.7
95	2.8	3.7
96	2.9	3.7
97	2.9	3.7
98	2.9	3.7
99	2.9	3.7
100	2.9	3.7
101	2.9	3.7
102	2.9	3.7
103	2.9	3.7
104	2.9	3.7
105	2.9	3.7
106	2.8	3.7
107	2.7	3.7
108	2.6	3.7
109	2.5	3.7
110	2.5	3.7
111	2.5	3.7
112	2.5	3.7
113	2.6	3.7
114	2.6	3.7
115	2.6	3.7
116	2.7	3.7
117	2.7	3.7
118	2.8	3.7
119	2.8	3.6
120	2.9	3.6
121	2.9	3.6
122	3.0	3.6
123	3.0	3.6
124	3.1	3.6
125	3.1	3.6
126	3.1	3.6
127	3.2	3.6
128	3.2	3.6
129	3.2	3.6
130	3.1	3.6
131	3.0	3.6
132	3.0	3.6
133	2.9	3.6
134	2.9	3.6
135	2.9	3.6
136	2.9	3.6
137	3.0	3.6
138	3.0	3.6
139	3.1	3.6
140	3.1	3.6
141	3.1	3.6
142	3.2	3.6
143	3.2	3.6
144	3.3	3.6
145	3.3	3.6
146	3.3	3.6
147	3.3	3.6
148	3.3	3.6
149	3.3	3.6
150	3.3	3.6
151	3.3	3.6
152	3.3	3.6
153	3.2	3.6
154	3.0	3.6
155	2.7	3.6
156	2.5	3.5
157	2.4	3.5
158	2.3	3.5
159	2.3	3.5
160	2.4	3.5
161	2.6	3.5
162	2.6	3.5
163	2.7	3.5
164	2.7	3.5
165	2.7	3.5
166	2.8	3.5
167	2.8	3.5
168	2.9	3.5
169	3.0	3.5
170	3.0	3.5
171	3.1	3.5
172	3.1	3.5
173	3.2	3.5
174	3.2	3.5
175	3.2	3.5
176	3.3	3.5
177	3.3	3.5
178	3.2	3.5
179	3.1	3.5
180	3.1	3.5
181	3.1	3.5
182	3.0	3.5
183	3.0	3.5
184	2.9	3.5
185	3.0	3.5
186	3.1	3.5
187	3.1	3.5
188	3.2	3.5
189	3.2	3.5
190	3.3	3.5
191	3.3	3.5
192	3.4	3.5
193	3.4	3.5
194	3.4	3.5
195	3.4	3.5
196	3.5	3.5
197	3.5	3.5
198	3.5	3.5
199	3.5	3.5
200	3.5	3.5
201	3.5	3.4
202	3.4	3.4
203	3.3	3.4
204	3.2	3.4
205	3.2	3.4
206	3.1	3.4
207	3.1	3.4
208	3.2	3.4
209	3.3	3.4
210	3.3	3.4
211	3.3	3.4
212	3.3	3.4
213	3.3	3.4
214	3.3	3.4
215	3.3	3.4
216	3.4	3.4
217	3.4	3.4
218	3.4	3.4
219	3.4	3.4
220	3.4	3.4
221	3.4	3.4
222	3.4	3.4
223	3.4	3.4
224	3.4	3.4
225	3.4	3.4
226	3.3	3.4
227	3.1	3.4
228	3.1	3.4
229	3.0	3.4
230	3.0	3.4
231	3.0	3.4
232	3.0	3.4
233	3.1	3.4
