# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	7.3	34.5
2	7.9	34.2
3	8.4	33.9
4	8.6	33.6
5	8.9	33.4
6	9.1	33.0
7	9.2	33.0
8	13.7	32.9
9	13.5	32.7
10	11.9	32.5
11	10.5	32.2
12	9.3	31.6
13	8.5	31.5
14	8.1	31.4
15	8.1	31.3
16	8.6	31.2
17	9.4	31.0
18	10.2	31.0
19	10.8	30.6
20	11.5	30.6
21	12.1	30.6
22	12.8	30.6
23	13.6	30.4
24	14.2	30.4
25	11.2	30.3
26	12.7	30.3
27	14.1	30.2
28	15.0	30.1
29	15.8	30.1
30	16.6	30.0
31	17.2	29.9
32	22.2	29.9
33	22.2	29.9
34	20.2	29.8
35	18.6	29.8
36	17.1	29.7
37	16.2	29.7
38	15.8	29.7
39	15.8	29.7
40	16.6	29.7
41	18.1	29.5
42	18.6	29.4
43	19.1	29.4
44	19.7	29.4
45	20.1	29.4
46	20.7	29.3
47	21.2	29.3
48	21.8	29.3
49	17.3	29.1
50	17.1	29.1
51	16.8	29.1
52	16.7	29.1
53	16.6	29.0
54	16.5	29.0
55	16.4	29.0
56	20.7	28.8
57	20.5	28.8
58	18.7	28.8
59	17.2	28.8
60	16.2	28.7
61	15.4	28.7
62	15.0	28.7
63	15.0	28.7
64	15.4	28.6
65	16.3	28.6
66	16.6	28.6
67	16.8	28.4
68	17.1	28.4
69	17.3	28.4
70	17.6	28.3
71	17.8	28.3
72	18.1	28.3
73	14.1	28.3
74	14.9	28.3
75	15.3	28.2
76	15.5	28.1
77	15.9	28.1
78	16.1	28.0
79	16.3	27.9
80	20.9	27.9
81	20.9	27.9
82	20.4	27.9
83	19.9	27.8
84	19.7	27.8
85	19.6	27.8
86	19.5	27.8
87	19.6	27.8
88	19.8	27.7
89	20.1	27.6
90	20.5	27.6
91	20.7	27.6
92	21.0	27.5
93	21.2	27.4
94	21.6	27.4
95	21.9	27.4
96	22.5	27.4
97	17.8	27.4
98	17.8	27.3
99	17.8	27.3
100	17.9	27.3
101	17.8	27.3
102	17.8	27.3
103	17.8	27.2
104	22.2	27.2
105	22.1	27.2
106	21.2	27.2
107	20.4	27.2
108	19.6	27.2
109	19.1	27.2
110	18.8	27.2
111	18.7	27.2
112	19.0	27.2
113	19.6	27.1
114	19.9	27.1
115	20.2	27.1
116	20.6	27.1
117	20.9	27.1
118	21.3	27.0
119	21.6	26.9
120	22.2	26.9
121	17.9	26.9
122	18.5	26.8
123	19.0	26.8
124	19.4	26.8
125	19.6	26.8
126	19.8	26.8
127	20.0	26.7
128	24.6	26.7
129	24.6	26.7
130	24.0	26.6
131	23.3	26.5
132	22.9	26.5
133	22.5	26.5
134	22.4	26.5
135	22.4	26.5
136	22.6	26.5
137	23.2	26.4
138	23.4	26.4
139	23.7	26.4
140	24.0	26.4
141	24.3	26.4
142	24.6	26.4
143	24.8	26.4
144	25.2	26.3
145	20.8	26.3
146	20.9	26.3
147	20.9	26.3
148	20.9	26.2
149	20.9	26.2
150	20.9	26.2
151	20.9	26.2
152	25.3	26.2
153	24.9	26.2
154	22.9	26.2
155	21.0	26.1
156	19.4	26.1
157	18.2	26.0
158	17.5	26.0
159	17.6	26.0
160	18.5	26.0
161	19.7	26.0
162	20.0	26.0
163	20.4	26.0
164	20.7	26.0
165	21.0	26.0
166	21.3	26.0
167	21.8	25.9
168	22.1	25.9
169	18.4	25.9
170	18.8	25.9
171	19.4	25.9
172	19.7	25.9
173	20.0	25.9
174	20.4	25.8
175	20.6	25.8
176	25.2	25.8
177	25.2	25.8
178	24.4	25.8
179	24.1	25.8
180	24.2	25.7
181	24.2	25.7
182	23.2	25.7
183	22.8	25.7
184	22.6	25.7
185	23.2	25.7
186	23.6	25.7
187	24.1	25.7
188	24.4	25.7
189	24.8	25.7
190	25.2	25.6
191	25.6	25.6
192	26.0	25.6
193	21.9	25.6
194	22.1	25.6
195	22.3	25.6
196	22.4	25.6
197	22.5	25.5
198	22.8	25.5
199	22.9	25.5
200	27.2	25.5
201	27.1	25.5
202	26.3	25.5
203	25.5	25.4
204	24.8	25.4
205	24.4	25.4
206	24.3	25.4
207	24.2	25.4
208	24.5	25.4
209	25.2	25.3
210	25.3	25.3
211	25.4	25.3
212	25.7	25.3
213	25.7	25.3
214	25.7	25.3
215	25.8	25.3
216	26.0	25.3
217	21.7	25.2
218	21.7	25.2
219	21.8	25.2
220	21.8	25.2
221	21.8	25.2
222	21.8	25.2
223	21.8	25.2
224	26.2	25.2
225	26.0	25.2
226	25.2	25.2
227	24.3	25.2
228	23.6	25.1
229	23.3	25.1
230	23.0	25.1
231	23.0	25.1
232	23.2	25.1
233	23.7	25.0
234	24.0	24.9
235	24.2	24.9
236	24.6	24.9
237	24.3	24.9
238	24.5	24.9
239	24.6	24.9
240	24.7	24.9
241	20.6	24.9
242	20.7	24.8
243	20.8	24.8
244	20.9	24.8
245	20.9	24.8
246	20.9	24.8
247	20.9	24.8
248	25.4	24.8
249	25.2	24.8
250	23.6	24.8
251	22.2	24.8
252	20.9	24.8
253	20.0	24.8
254	19.5	24.8
255	19.4	24.7
256	19.8	24.7
257	20.7	24.7
258	21.3	24.7
259	22.0	24.7
260	22.5	24.7
261	23.2	24.7
262	23.9	24.7
263	24.5	24.7
264	25.1	24.7
265	21.9	24.6
266	23.4	24.6
267	24.8	24.6
268	25.7	24.6
269	26.5	24.6
270	27.4	24.6
271	28.0	24.6
272	33.0	24.6
273	32.9	24.6
274	32.2	24.6
275	31.4	24.6
276	30.4	24.5
277	30.1	24.5
278	30.6	24.5
279	31.0	24.5
280	31.5	24.5
281	32.5	24.5
282	32.7	24.5
283	33.0	24.5
284	33.4	24.5
285	33.6	24.5
286	33.9	24.5
287	34.2	24.5
288	34.5	24.5
289	29.7	24.5
290	29.3	24.5
291	28.1	24.4
292	27.6	24.4
293	27.1	24.4
294	26.7	24.4
295	26.4	24.4
296	30.4	24.4
297	30.1	24.4
298	28.7	24.4
299	27.4	24.4
300	26.4	24.3
301	25.6	24.3
302	25.3	24.3
303	25.2	24.3
304	25.5	24.3
305	26.2	24.3
306	26.0	24.3
307	26.0	24.3
308	26.0	24.3
309	26.0	24.3
310	26.2	24.3
311	25.9	24.2
312	25.9	24.2
313	22.0	24.2
314	22.4	24.2
315	22.9	24.2
316	23.1	24.2
317	23.4	24.2
318	23.6	24.2
319	23.9	24.2
320	28.3	24.2
321	28.3	24.2
322	27.8	24.2
323	26.9	24.2
324	26.4	24.2
325	26.0	24.2
326	25.8	24.1
327	25.8	24.1
328	26.0	24.1
329	26.5	24.1
330	27.0	24.1
331	27.4	24.1
332	27.8	24.1
333	28.2	24.0
334	28.6	24.0
335	29.0	24.0
336	29.4	24.0
337	25.7	24.0
338	25.7	24.0
339	26.0	24.0
340	26.3	24.0
341	26.5	23.9
342	26.6	23.9
343	26.8	23.9
344	31.3	23.9
345	31.2	23.9
346	30.3	23.9
347	29.7	23.9
348	29.1	23.9
349	28.7	23.9
350	28.6	23.9
351	28.8	23.8
352	29.1	23.8
353	29.5	23.8
354	29.7	23.8
355	29.7	23.8
356	29.8	23.8
357	29.9	23.8
358	29.9	23.7
359	29.9	23.7
360	30.0	23.7
361	25.5	23.7
362	25.4	23.7
363	25.3	23.7
364	25.1	23.6
365	24.9	23.6
366	24.8	23.6
367	24.7	23.6
368	29.0	23.6
369	28.8	23.6
370	28.3	23.6
371	27.9	23.6
372	27.6	23.6
373	27.2	23.6
374	24.6	23.6
375	23.2	23.6
376	22.8	23.5
377	23.6	23.5
378	23.9	23.5
379	24.0	23.5
380	24.2	23.5
381	24.4	23.4
382	24.5	23.4
383	24.7	23.4
384	24.8	23.4
385	21.0	23.4
386	21.4	23.4
387	22.0	23.4
388	22.2	23.4
389	22.4	23.3
390	22.8	23.3
391	22.9	23.3
392	27.5	23.3
393	27.2	23.3
394	24.3	23.3
395	21.6	23.3
396	19.1	23.3
397	17.6	23.3
398	16.8	23.3
399	16.8	23.3
400	17.9	23.2
401	19.9	23.2
402	20.1	23.2
403	20.5	23.2
404	20.7	23.2
405	21.0	23.2
406	21.2	23.2
407	21.6	23.2
408	21.8	23.2
409	17.6	23.2
410	17.7	23.2
411	17.9	23.1
412	17.9	23.1
413	18.1	23.1
414	18.1	23.0
415	18.1	23.0
416	22.5	23.0
417	22.3	23.0
418	22.0	23.0
419	21.6	23.0
420	21.2	23.0
421	20.8	22.9
422	17.9	22.9
423	16.5	22.9
424	16.1	22.9
425	17.1	22.9
426	17.3	22.9
427	17.5	22.9
428	17.7	22.9
429	17.8	22.9
430	18.1	22.9
431	18.3	22.9
432	18.5	22.9
433	14.4	22.8
434	14.8	22.8
435	15.1	22.8
436	15.2	22.8
437	15.3	22.8
438	15.5	22.8
439	15.5	22.8
440	20.0	22.8
441	19.9	22.8
442	19.6	22.8
443	19.4	22.7
444	19.0	22.7
445	18.9	22.7
446	16.4	22.7
447	14.8	22.7
448	14.1	22.7
449	15.0	22.7
450	15.3	22.6
451	15.8	22.6
452	16.1	22.6
453	16.5	22.6
454	17.0	22.6
455	17.3	22.6
456	17.7	22.6
457	13.8	22.6
458	14.3	22.6
459	14.9	22.6
460	15.2	22.6
461	15.5	22.6
462	15.9	22.6
463	16.0	22.5
464	20.6	22.5
465	20.5	22.5
466	20.1	22.5
467	20.0	22.5
468	19.7	22.5
469	19.5	22.5
470	17.4	22.5
471	16.5	22.5
472	16.3	22.5
473	17.1	22.5
474	17.3	22.5
475	17.4	22.4
476	17.6	22.4
477	17.8	22.4
478	17.9	22.4
479	18.2	22.4
480	18.3	22.4
481	13.9	22.4
482	13.9	22.4
483	13.8	22.4
484	13.8	22.4
485	13.7	22.3
486	13.7	22.3
487	13.6	22.3
488	17.9	22.3
489	17.7	22.3
490	15.9	22.3
491	14.1	22.3
492	12.5	22.3
493	11.2	22.2
494	10.3	22.2
495	10.2	22.2
496	10.7	22.2
497	11.9	22.2
