# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	4.7	22.0
2	5.0	21.8
3	5.4	21.6
4	5.5	21.4
5	5.7	21.3
6	5.8	21.1
7	5.9	21.1
8	8.7	21.0
9	8.6	20.9
10	7.6	20.7
11	6.7	20.5
12	5.9	20.1
13	5.4	20.0
14	5.2	20.0
15	5.2	20.0
16	5.5	19.9
17	6.0	19.7
18	6.5	19.6
19	6.9	19.5
20	7.3	19.4
21	7.7	19.4
22	8.2	19.4
23	8.6	19.4
24	9.1	19.4
25	7.1	19.3
26	8.1	19.2
27	9.0	19.2
28	9.6	19.2
29	10.0	19.1
30	10.6	19.1
31	11.0	19.0
32	14.2	19.0
33	14.2	19.0
34	12.9	19.0
35	11.9	18.9
36	10.9	18.9
37	10.3	18.9
38	10.0	18.9
39	10.0	18.9
40	10.6	18.9
41	11.5	18.8
42	11.9	18.8
43	12.2	18.8
44	12.6	18.7
45	12.8	18.6
46	13.2	18.6
47	13.5	18.6
48	13.9	18.6
49	11.0	18.6
50	10.9	18.6
51	10.7	18.5
52	10.7	18.5
53	10.6	18.5
54	10.5	18.4
55	10.5	18.4
56	13.2	18.4
57	13.0	18.3
58	11.9	18.3
59	11.0	18.3
60	10.3	18.3
61	9.8	18.3
62	9.6	18.3
63	9.6	18.2
64	9.8	18.2
65	10.4	18.2
66	10.6	18.2
67	10.7	18.1
68	10.9	18.1
69	11.0	18.1
70	11.2	18.1
71	11.4	18.1
72	11.5	18.1
73	9.0	18.0
74	9.5	18.0
75	9.8	18.0
76	9.9	17.9
77	10.1	17.9
78	10.3	17.9
79	10.4	17.9
80	13.3	17.8
81	13.3	17.8
82	13.0	17.8
83	12.7	17.7
84	12.6	17.7
85	12.5	17.7
86	12.4	17.6
87	12.5	17.6
88	12.6	17.6
89	12.8	17.6
90	13.0	17.6
91	13.2	17.6
92	13.4	17.5
93	13.5	17.5
94	13.7	17.4
95	14.0	17.4
96	14.4	17.4
97	11.4	17.4
98	11.4	17.4
99	11.4	17.4
100	11.4	17.4
101	11.4	17.4
102	11.4	17.4
103	11.4	17.4
104	14.2	17.3
105	14.1	17.3
106	13.5	17.3
107	13.0	17.3
108	12.5	17.3
109	12.2	17.3
110	12.0	17.2
111	11.9	17.2
112	12.1	17.2
113	12.5	17.2
114	12.7	17.2
115	12.9	17.2
116	13.1	17.2
117	13.3	17.2
118	13.6	17.2
119	13.7	17.2
120	14.2	17.2
121	11.4	17.2
122	11.8	17.1
123	12.1	17.1
124	12.3	17.1
125	12.5	17.1
126	12.6	17.0
127	12.8	17.0
128	15.7	17.0
129	15.7	17.0
130	15.3	17.0
131	14.9	16.9
132	14.6	16.9
133	14.4	16.9
134	14.3	16.9
135	14.3	16.9
136	14.4	16.8
137	14.8	16.8
138	14.9	16.8
139	15.1	16.8
140	15.3	16.8
141	15.5	16.8
142	15.7	16.7
143	15.8	16.7
144	16.0	16.7
145	13.3	16.7
146	13.3	16.7
147	13.3	16.7
148	13.3	16.7
149	13.3	16.7
150	13.3	16.7
151	13.3	16.7
152	16.1	16.7
153	15.9	16.6
154	14.6	16.6
155	13.4	16.6
156	12.3	16.6
157	11.6	16.6
158	11.2	16.6
159	11.2	16.6
160	11.8	16.6
161	12.6	16.6
162	12.8	16.6
163	13.0	16.6
164	13.2	16.6
165	13.4	16.6
166	13.6	16.6
167	13.9	16.5
168	14.1	16.5
169	11.7	16.5
170	12.0	16.5
171	12.3	16.5
172	12.6	16.5
173	12.8	16.5
174	13.0	16.4
175	13.1	16.4
176	16.0	16.4
177	16.0	16.4
178	15.6	16.4
179	15.3	16.4
180	15.4	16.4
181	15.4	16.4
182	14.8	16.4
183	14.5	16.4
184	14.4	16.4
185	14.8	16.4
186	15.1	16.4
187	15.3	16.4
188	15.6	16.3
189	15.8	16.3
190	16.0	16.3
191	16.3	16.3
192	16.6	16.3
193	14.0	16.3
194	14.1	16.3
195	14.2	16.3
196	14.3	16.3
197	14.4	16.3
198	14.5	16.3
199	14.6	16.2
200	17.4	16.2
201	17.3	16.2
202	16.7	16.2
203	16.3	16.2
204	15.8	16.2
205	15.6	16.2
206	15.5	16.2
207	15.4	16.2
208	15.6	16.2
209	16.0	16.1
210	16.1	16.1
211	16.2	16.1
212	16.4	16.1
213	16.4	16.1
214	16.4	16.1
215	16.5	16.1
216	16.6	16.0
217	13.8	16.0
218	13.8	16.0
219	13.9	16.0
220	13.9	16.0
221	13.9	16.0
222	13.9	16.0
223	13.9	16.0
224	16.7	16.0
225	16.6	16.0
226	16.0	16.0
227	15.5	16.0
228	15.1	16.0
229	14.9	16.0
230	14.6	16.0
231	14.6	16.0
232	14.8	16.0
233	15.1	16.0
234	15.3	16.0
235	15.4	16.0
236	15.7	15.9
237	15.5	15.9
238	15.6	15.9
239	15.7	15.9
240	15.8	15.9
241	13.1	15.9
242	13.2	15.9
243	13.3	15.9
244	13.3	15.9
245	13.3	15.8
246	13.3	15.8
247	13.3	15.8
248	16.2	15.8
249	16.0	15.8
250	15.1	15.8
251	14.2	15.8
252	13.3	15.8
253	12.8	15.8
254	12.4	15.8
255	12.3	15.8
256	12.6	15.8
257	13.2	15.8
258	13.6	15.8
259	14.0	15.8
260	14.4	15.8
261	14.8	15.8
262	15.2	15.8
263	15.6	15.7
264	16.0	15.7
265	14.0	15.7
266	14.9	15.7
267	15.8	15.7
268	16.4	15.7
269	16.9	15.7
270	17.4	15.7
271	17.9	15.7
272	21.1	15.7
273	21.0	15.7
274	20.5	15.7
275	20.0	15.7
276	19.4	15.7
277	19.2	15.7
