# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	18.8	88.4
2	20.2	87.8
3	21.6	87.0
4	22.2	86.1
5	22.7	85.6
6	23.3	84.7
7	23.6	84.7
8	35.1	84.5
9	34.5	83.9
10	30.6	83.3
11	26.9	82.5
12	23.8	80.8
13	21.9	80.7
14	20.8	80.5
15	20.8	80.2
16	22.2	80.0
17	24.1	79.4
18	26.1	79.0
19	27.8	78.6
20	29.5	78.2
21	31.1	78.2
22	32.8	78.2
23	34.8	78.0
24	36.5	78.0
25	28.6	77.7
26	32.5	77.3
27	36.2	77.2
28	38.4	77.2
29	40.4	77.0
30	42.6	76.9
31	44.0	76.6
32	57.0	76.6
33	57.0	76.6
34	51.9	76.3
35	47.7	76.2
36	43.8	76.0
37	41.5	76.0
38	40.4	76.0
39	40.4	76.0
40	42.6	76.0
41	46.3	75.8
42	47.7	75.5
43	49.1	75.5
44	50.5	75.2
45	51.6	75.0
46	53.0	75.0
47	54.4	74.8
48	55.8	74.8
49	44.3	74.8
50	43.8	74.6
51	43.2	74.6
52	42.9	74.4
53	42.6	74.4
54	42.4	74.2
55	42.1	74.2
56	53.0	73.9
57	52.5	73.8
58	48.0	73.8
59	44.0	73.6
60	41.5	73.6
61	39.6	73.5
62	38.4	73.5
63	38.4	73.3
64	39.6	73.3
65	41.8	73.3
66	42.6	73.3
67	43.2	73.2
68	43.8	73.2
69	44.3	73.1
70	45.2	72.7
71	45.7	72.7
72	46.3	72.7
73	36.2	72.5
74	38.2	72.5
75	39.3	72.4
76	39.8	72.2
77	40.7	72.2
78	41.2	72.1
79	41.8	71.8
80	53.6	71.8
81	53.6	71.6
82	52.2	71.5
83	51.1	71.3
84	50.5	71.3
85	50.2	71.3
86	49.9	71.1
87	50.2	71.1
88	50.8	71.1
89	51.6	70.8
90	52.5	70.7
91	53.0	70.7
92	53.9	70.5
93	54.4	70.5
94	55.3	70.4
95	56.1	70.1
96	57.8	70.1
97	45.7	70.1
98	45.7	69.9
99	45.7	69.9
100	46.0	69.9
101	45.7	69.9
102	45.7	69.9
103	45.7	69.9
104	57.0	69.6
105	56.7	69.6
106	54.4	69.6
107	52.2	69.6
108	50.2	69.6
109	49.1	69.6
110	48.3	69.5
111	48.0	69.4
112	48.8	69.4
113	50.2	69.4
114	51.1	69.4
115	51.9	69.4
116	52.7	69.4
117	53.6	69.3
118	54.7	69.1
119	55.3	69.1
120	57.0	69.1
121	46.0	69.0
122	47.4	68.9
123	48.8	68.8
124	49.7	68.8
125	50.2	68.7
126	50.8	68.5
127	51.3	68.5
128	63.1	68.5
129	63.1	68.5
130	61.4	68.2
131	59.8	68.2
132	58.6	68.2
133	57.8	67.9
134	57.5	67.9
135	57.5	67.9
136	58.1	67.7
137	59.5	67.7
138	60.0	67.7
139	60.9	67.6
140	61.4	67.6
141	62.3	67.6
142	63.1	67.4
143	63.7	67.4
144	64.5	67.4
145	53.3	67.4
146	53.6	67.3
147	53.6	67.3
148	53.6	67.1
149	53.6	67.1
150	53.6	67.1
151	53.6	67.1
152	64.8	67.1
153	64.0	66.9
154	58.6	66.8
155	53.9	66.8
156	49.7	66.8
157	46.6	66.8
158	44.9	66.8
159	45.2	66.8
160	47.4	66.8
161	50.5	66.8
162	51.3	66.8
163	52.2	66.8
164	53.0	66.8
165	53.9	66.8
166	54.7	66.8
167	55.8	66.5
168	56.7	66.5
169	47.1	66.5
170	48.3	66.5
171	49.7	66.2
172	50.5	66.2
173	51.3	66.2
174	52.2	66.2
175	52.7	66.2
176	64.5	66.2
177	64.5	66.2
178	62.6	66.2
179	61.7	65.9
180	62.0	65.9
181	62.0	65.9
182	59.5	65.9
183	58.4	65.9
184	58.1	65.9
185	59.5	65.9
186	60.6	65.9
187	61.7	65.9
188	62.6	65.9
189	63.7	65.7
190	64.5	65.7
191	65.7	65.7
192	66.8	65.7
193	56.1	65.7
194	56.7	65.7
195	57.2	65.6
196	57.5	65.4
197	57.8	65.4
198	58.4	65.4
199	58.6	65.4
200	69.9	65.4
201	69.6	65.4
202	67.3	65.4
203	65.4	65.4
204	63.7	65.1
205	62.6	65.1
206	62.3	65.1
207	62.0	65.1
208	62.8	65.1
209	64.5	65.1
210	64.8	64.8
211	65.1	64.8
212	65.9	64.8
213	65.9	64.8
214	65.9	64.8
215	66.2	64.8
216	66.8	64.6
217	55.6	64.6
218	55.6	64.5
219	55.8	64.5
