# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	14.0	65.8
2	15.0	65.4
3	16.1	64.7
4	16.5	64.1
5	16.9	63.7
6	17.3	63.1
7	17.5	63.1
8	26.1	62.9
9	25.7	62.4
10	22.8	62.0
11	20.0	61.4
12	17.8	60.1
13	16.3	60.0
14	15.5	59.9
15	15.5	59.7
16	16.5	59.5
17	18.0	59.1
18	19.4	58.7
19	20.7	58.5
20	21.9	58.1
21	23.2	58.1
22	24.4	58.1
23	25.9	58.1
24	27.1	58.1
25	21.3	57.8
26	24.2	57.5
27	26.9	57.4
28	28.6	57.4
29	30.1	57.3
30	31.7	57.2
31	32.8	57.0
32	42.4	57.0
33	42.4	57.0
34	38.6	56.8
35	35.5	56.6
36	32.6	56.6
37	30.9	56.6
38	30.1	56.6
39	30.1	56.6
40	31.7	56.6
41	34.5	56.4
42	35.5	56.2
43	36.5	56.2
44	37.6	56.0
45	38.4	55.8
46	39.5	55.8
47	40.5	55.6
48	41.6	55.6
49	33.0	55.6
50	32.6	55.6
51	32.2	55.5
52	32.0	55.3
53	31.7	55.3
54	31.5	55.2
55	31.3	55.2
56	39.5	54.9
57	39.1	54.9
58	35.7	54.9
59	32.8	54.7
60	30.9	54.7
61	29.4	54.7
62	28.6	54.7
63	28.6	54.5
64	29.4	54.5
65	31.1	54.5
66	31.7	54.5
67	32.2	54.3
68	32.6	54.3
69	33.0	54.3
70	33.6	54.1
71	34.0	54.1
72	34.5	54.1
73	26.9	53.9
74	28.4	53.9
75	29.2	53.9
76	29.7	53.7
77	30.3	53.7
78	30.7	53.7
79	31.1	53.5
80	39.9	53.3
81	39.9	53.3
82	38.8	53.2
83	38.0	53.0
84	37.6	53.0
85	37.4	53.0
86	37.2	52.8
87	37.4	52.8
88	37.8	52.8
89	38.4	52.6
90	39.1	52.6
91	39.5	52.6
92	40.1	52.4
93	40.5	52.4
94	41.1	52.2
95	41.8	52.2
96	43.0	52.2
97	34.0	52.2
98	34.0	52.0
99	34.0	52.0
100	34.2	52.0
101	34.0	52.0
