# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	10.7	50.3
2	11.5	50.0
3	12.3	49.5
4	12.6	49.1
5	12.9	48.7
6	13.3	48.3
7	13.4	48.3
8	20.0	48.1
9	19.7	47.8
10	17.4	47.5
11	15.3	47.0
12	13.6	46.0
13	12.5	45.9
14	11.8	45.9
15	11.8	45.7
16	12.6	45.5
17	13.7	45.2
18	14.9	45.0
19	15.8	44.7
20	16.8	44.5
21	17.7	44.5
22	18.7	44.5
23	19.8	44.4
24	20.8	44.4
25	16.3	44.3
26	18.5	44.0
27	20.6	43.9
28	21.9	43.9
29	23.0	43.8
30	24.3	43.8
31	25.1	43.6
32	32.4	43.6
33	32.4	43.6
34	29.6	43.5
35	27.2	43.4
36	24.9	43.3
37	23.6	43.3
38	23.0	43.3
39	23.0	43.3
40	24.3	43.3
41	26.4	43.1
42	27.2	43.0
43	28.0	43.0
44	28.8	42.8
45	29.4	42.7
46	30.2	42.7
47	31.0	42.7
48	31.8	42.5
49	25.2	42.5
50	24.9	42.5
51	24.6	42.5
52	24.4	42.3
53	24.3	42.3
54	24.1	42.2
55	24.0	42.2
56	30.2	42.1
57	29.9	42.0
58	27.3	42.0
59	25.1	41.9
60	23.6	41.9
61	22.5	41.9
62	21.9	41.9
63	21.9	41.8
64	22.5	41.8
65	23.8	41.7
66	24.3	41.7
67	24.6	41.7
68	24.9	41.7
69	25.2	41.6
70	25.7	41.4
71	26.0	41.4
72	26.4	41.4
73	20.6	41.2
74	21.7	41.2
75	22.4	41.2
76	22.7	41.1
77	23.2	41.1
78	23.5	41.1
79	23.8	41.0
80	30.5	40.9
81	30.5	40.8
82	29.7	40.7
83	29.1	40.6
84	28.8	40.6
85	28.6	40.6
86	28.4	40.4
87	28.6	40.4
88	28.9	40.4
89	29.4	40.3
90	29.9	40.3
91	30.2	40.3
92	30.7	40.2
93	31.0	40.1
94	31.5	40.1
95	32.0	39.9
96	32.9	39.9
97	26.0	39.9
98	26.0	39.8
99	26.0	39.8
100	26.2	39.8
101	26.0	39.8
102	26.0	39.8
103	26.0	39.8
104	32.4	39.6
105	32.3	39.6
106	31.0	39.6
107	29.7	39.6
