# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	31.7	122.0
2	33.5	121.3
3	35.3	120.2
4	36.0	119.1
5	36.8	118.3
6	37.5	117.3
7	37.9	117.3
8	52.8	116.9
9	52.1	116.2
10	47.0	115.4
11	42.2	114.3
12	38.2	112.2
13	35.7	111.8
14	34.2	111.4
15	34.2	111.4
16	36.0	111.1
17	38.6	110.3
18	41.1	109.2
19	43.3	109.2
20	45.5	108.5
21	47.7	108.5
22	49.9	108.1
23	52.4	108.1
24	54.6	108.1
25	44.4	108.1
26	49.5	107.8
27	54.3	107.4
28	57.2	107.4
29	59.7	107.1
30	62.6	107.0
31	64.5	106.7
32	81.2	106.7
33	81.2	106.7
34	74.6	106.6
35	69.2	106.3
36	64.1	106.0
37	61.2	106.0
38	59.7	106.0
39	59.7	106.0
40	62.6	106.0
41	67.4	105.8
42	69.2	105.8
43	71.0	105.6
44	72.8	105.5
45	74.3	105.2
46	76.1	105.2
47	77.9	104.9
48	79.7	104.1
49	64.8	104.1
50	64.1	104.0
51	63.4	104.0
52	63.0	103.8
53	62.6	103.8
54	62.3	103.7
55	61.9	103.7
56	76.1	103.7
57	75.4	103.0
58	69.5	103.0
59	64.5	102.9
60	61.2	102.9
61	58.6	102.7
62	57.2	102.7
63	57.2	102.6
64	58.6	102.3
65	61.5	102.3
66	62.6	102.2
67	63.4	102.2
68	64.1	102.0
69	64.8	101.8
70	65.9	101.8
71	66.6	101.6
72	67.4	101.6
73	54.3	101.6
74	56.8	101.5
75	58.3	101.2
76	59.0	100.9
77	60.1	100.7
78	60.8	100.7
79	61.5	100.6
80	76.8	100.5
81	76.8	100.4
82	75.0	100.4
83	73.6	100.1
84	72.8	99.9
85	72.5	99.8
86	72.1	99.8
87	72.5	99.6
88	73.2	99.3
89	74.3	99.0
90	75.4	99.0
91	76.1	98.9
92	77.2	98.9
93	77.9	98.9
94	79.0	98.7
95	80.1	98.5
96	82.3	98.3
97	66.6	98.3
98	66.6	98.3
99	66.6	98.2
100	67.0	98.0
101	66.6	98.0
102	66.6	98.0
103	66.6	98.0
104	81.2	97.9
105	80.8	97.6
106	77.9	97.6
107	75.0	97.4
108	72.5	97.4
109	71.0	97.2
110	69.9	97.2
111	69.5	97.1
112	70.6	97.1
113	72.5	97.1
114	73.6	97.1
115	74.6	96.9
116	75.7	96.7
117	76.8	96.7
118	78.3	96.7
119	79.0	96.7
120	81.2	96.7
121	67.0	96.7
122	68.8	96.5
123	70.6	96.3
124	71.7	96.3
125	72.5	96.3
126	73.2	96.1
127	73.9	96.0
128	89.2	96.0
129	89.2	95.8
130	87.0	95.8
131	84.8	95.6
132	83.4	95.6
133	82.3	95.6
134	81.9	95.4
135	81.9	95.4
136	82.7	95.4
137	84.5	95.4
138	85.2	95.2
139	86.3	95.2
140	87.0	95.0
141	88.1	95.0
142	89.2	95.0
143	89.9	94.8
144	91.0	94.7
145	76.5	94.7
146	76.8	94.5
147	76.8	94.5
148	76.8	94.5
149	76.8	94.3
150	76.8	94.3
151	76.8	94.3
152	91.4	94.1
153	90.3	94.1
154	83.4	94.1
155	77.2	94.1
156	71.7	94.1
157	67.7	93.9
158	65.5	93.9
159	65.9	93.9
160	68.8	93.9
161	72.8	93.9
162	73.9	93.9
163	75.0	93.9
164	76.1	93.9
165	77.2	93.9
166	78.3	93.9
167	79.7	93.8
168	80.8	93.8
169	68.5	93.7
170	69.9	93.7
171	71.7	93.7
172	72.8	93.6
173	73.9	93.6
174	75.0	93.4
175	75.7	93.4
176	91.0	93.4
177	91.0	93.4
178	88.5	93.4
179	87.4	93.2
180	87.8	93.2
181	87.8	93.2
182	84.5	93.0
183	83.0	93.0
184	82.7	93.0
185	84.5	93.0
186	85.9	92.9
187	87.4	92.9
188	88.5	92.9
189	89.9	92.9
190	91.0	92.9
191	92.5	92.9
192	93.9	92.7
193	80.1	92.7
194	80.8	92.7
195	81.6	92.7
196	81.9	92.7
197	82.3	92.7
198	83.0	92.7
199	83.4	92.7
200	98.0	92.5
201	97.6	92.5
202	94.7	92.3
203	92.1	92.3
204	89.9	92.3
205	88.5	92.3
206	88.1	92.3
207	87.8	92.1
208	88.8	92.1
209	91.0	92.1
210	91.4	92.1
211	91.8	92.0
212	92.9	92.0
213	92.9	92.0
214	92.9	91.9
215	93.2	91.9
216	93.9	91.9
217	79.4	91.9
218	79.4	91.8
219	79.7	91.8
220	79.7	91.8
221	79.7	91.7
222	79.7	91.6
223	79.7	91.6
224	94.3	91.6
225	93.9	91.6
226	91.0	91.4
227	88.1	91.4
228	85.9	91.4
229	84.8	91.4
230	83.8	91.3
231	83.8	91.3
232	84.5	91.2
233	86.3	91.2
234	87.0	91.0
235	87.8	91.0
236	89.2	91.0
237	88.1	91.0
238	88.8	91.0
239	89.2	91.0
240	89.6	91.0
241	75.7	91.0
242	76.1	91.0
243	76.5	90.8
244	76.8	90.8
245	76.8	90.7
246	76.8	90.7
247	76.8	90.7
248	91.8	90.5
249	91.0	90.5
250	85.9	90.5
251	81.2	90.5
252	76.8	90.3
253	73.9	90.3
254	72.1	90.1
255	71.7	90.1
256	73.2	89.9
257	76.1	89.9
258	78.3	89.9
259	80.5	89.9
260	82.3	89.9
261	84.5	89.9
262	86.7	89.9
263	88.8	89.7
264	90.7	89.7
265	80.1	89.6
266	85.2	89.6
267	89.9	89.6
268	92.9	89.6
269	95.4	89.6
270	98.3	89.6
271	100.5	89.4
272	117.3	89.4
273	116.9	89.4
274	114.3	89.4
275	111.8	89.4
276	108.5	89.2
277	107.4	89.2
278	109.2	89.2
279	110.3	89.2
280	112.2	89.2
281	115.4	89.2
282	116.2	89.0
283	117.3	89.0
284	118.3	89.0
285	119.1	89.0
286	120.2	89.0
287	121.3	88.9
288	122.0	88.9
289	106.0	88.8
290	104.9	88.8
291	100.9	88.8
292	99.0	88.8
293	97.6	88.8
294	96.1	88.6
295	95.0	88.6
296	108.5	88.6
297	107.4	88.6
298	102.7	88.6
299	98.3	88.6
300	95.0	88.5
301	92.5	88.5
302	91.4	88.5
303	91.0	88.5
304	92.1	88.3
305	94.3	88.3
306	93.9	88.3
307	93.9	88.1
308	93.9	88.1
309	93.9	88.1
310	94.3	88.1
311	93.6	88.1
312	93.6	87.9
313	80.5	87.9
314	81.9	87.9
315	83.4	87.9
316	84.1	87.9
317	85.2	87.9
