# HOY	Heat Demand	Load duration curve
# [h]	[kWh / h]	[kWh / h]
1	8.9	41.9
2	9.6	41.6
3	10.2	41.2
4	10.5	40.8
5	10.8	40.6
6	11.0	40.2
7	11.2	40.2
8	16.6	40.0
9	16.4	39.8
10	14.5	39.5
11	12.8	39.1
12	11.3	38.4
13	10.4	38.3
14	9.8	38.2
15	9.8	38.0
16	10.5	37.9
17	11.4	37.6
18	12.4	37.5
19	13.2	37.2
20	14.0	37.1
21	14.8	37.1
22	15.6	37.1
23	16.5	37.0
24	17.3	37.0
25	13.6	36.8
26	15.4	36.7
27	17.2	36.6
28	18.2	36.6
29	19.1	36.6
30	20.2	36.4
31	20.9	36.3
32	27.0	36.3
33	27.0	36.3
34	24.6	36.2
35	22.6	36.2
36	20.7	36.0
37	19.7	36.0
38	19.1	36.0
39	19.1	36.0
40	20.2	36.0
41	21.9	35.9
42	22.6	35.8
43	23.3	35.8
44	23.9	35.7
45	24.5	35.7
46	25.1	35.6
47	25.8	35.5
48	26.5	35.5
49	21.0	35.4
50	20.7	35.4
51	20.5	35.2
52	20.3	35.2
53	20.2	35.2
54	20.1	35.2
55	19.9	35.1
56	25.1	35.0
57	24.9	35.0
58	22.7	35.0
59	20.9	35.0
60	19.7	34.8
61	18.7	34.8
62	18.2	34.8
63	18.2	34.8
64	18.7	34.7
65	19.8	34.7
66	20.2	34.7
67	20.5	34.7
68	20.7	34.4
69	21.0	34.4
70	21.4	34.4
71	21.7	34.4
72	21.9	34.4
73	17.2	34.3
74	18.1	34.3
75	18.6	34.3
76	18.9	34.2
77	19.3	34.0
78	19.5	34.0
79	19.8	34.0
80	25.4	34.0
81	25.4	33.9
82	24.7	33.9
83	24.2	33.8
84	23.9	33.8
85	23.8	33.8
86	23.7	33.8
87	23.8	33.8
88	24.1	33.6
89	24.5	33.5
90	24.9	33.5
91	25.1	33.5
92	25.5	33.4
93	25.8	33.3
94	26.2	33.2
95	26.6	33.2
96	27.4	33.2
97	21.7	33.2
98	21.7	33.2
99	21.7	33.1
100	21.8	33.1
101	21.7	33.1
102	21.7	33.1
103	21.7	33.1
104	27.0	33.1
105	26.9	33.1
106	25.8	33.1
107	24.7	33.0
108	23.8	33.0
109	23.3	33.0
110	22.9	33.0
111	22.7	33.0
